schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,844229,51000005,6,7,,,,5.25,7,8.75,8.60,N1,51,Sở GDĐT An Giang ,,21.00,,,19.30,21.60,
2021,844234,51000010,8.20,7,4.50,7,7.50,,,,5.20,N1,51,Sở GDĐT An Giang ,19.00,,19.70,22.70,,20.40,17.90
2021,844225,51000001,7.80,8.50,,,,5.50,7.75,9,9.80,N1,51,Sở GDĐT An Giang ,,22.30,,,21.80,26.10,
2021,844233,51000009,6.40,7.50,,,,6.25,7.25,9.25,5.60,N1,51,Sở GDĐT An Giang ,,22.80,,,21.00,19.50,
2021,844231,51000007,7.60,8.50,,,,5.25,7.75,9,9,N1,51,Sở GDĐT An Giang ,,22.00,,,21.50,25.10,
2021,844226,51000002,7.20,6.25,6.75,5.75,4.50,,,,7.80,N1,51,Sở GDĐT An Giang ,17.00,,19.70,17.50,,21.30,21.80
2021,844228,51000004,2.20,,3.50,3.75,,,,,,,51,Sở GDĐT An Giang ,,,9.50,,,,
2021,844227,51000003,8.20,6,8.25,5.25,5.75,,,,8.80,N1,51,Sở GDĐT An Giang ,19.30,,21.70,19.20,,23.00,25.30
2021,844232,51000008,7.40,8,7.50,7.50,3.75,,,,7.20,N1,51,Sở GDĐT An Giang ,18.80,,22.40,18.70,,22.60,22.10
2021,844230,51000006,6.80,8.25,,,,6.75,7.50,7.25,5.40,N1,51,Sở GDĐT An Giang ,,21.50,,,22.50,20.50,
2021,844238,51000014,4.80,6,,,,5,,,,,51,Sở GDĐT An Giang ,,,,,,,
2021,844235,51000011,7.40,8.25,,,,5.25,7.50,7.50,9.60,N1,51,Sở GDĐT An Giang ,,20.30,,,21.00,25.30,
2021,844236,51000012,6,8,,,,4,7.25,8.75,5.20,N1,51,Sở GDĐT An Giang ,,20.00,,,19.30,19.20,
2021,844245,51000021,6.20,7.25,,,,8.25,8.75,8.25,7.60,N1,51,Sở GDĐT An Giang ,,25.30,,,24.30,21.00,
2021,844237,51000013,7,7,6.50,6,4.25,,,,7.20,N1,51,Sở GDĐT An Giang ,16.80,,19.50,17.30,,21.20,20.70
2021,844240,51000016,7.40,7,6,7.25,8,,,,9.60,N1,51,Sở GDĐT An Giang ,21.30,,20.70,22.70,,24.00,23.00
2021,844239,51000015,6.80,7.50,5.50,7.50,5,,,,8.40,N1,51,Sở GDĐT An Giang ,18.00,,19.80,19.30,,22.70,20.70
2021,844241,51000017,7.40,6.50,6.75,3.75,4.75,,,,9.40,N1,51,Sở GDĐT An Giang ,15.30,,17.90,15.90,,23.30,23.60
2021,844242,51000018,7.40,7.50,5.50,5.25,5.50,,,,9,N1,51,Sở GDĐT An Giang ,16.30,,18.20,18.20,,23.90,21.90
2021,844243,51000019,8.40,8.25,7.75,3.25,5.25,,,,9,N1,51,Sở GDĐT An Giang ,16.30,,19.40,16.90,,25.70,25.20
2021,844246,51000022,8.20,7.50,,,,5,7,8,8.20,N1,51,Sở GDĐT An Giang ,,20.00,,,19.50,23.90,
2021,844249,51000026,7.80,6.75,7.75,8,6,,,,7.40,N1,51,Sở GDĐT An Giang ,21.80,,23.60,21.80,,22.00,23.00
2021,844247,51000024,7.20,6.50,5.25,5.50,6.25,,,,7.60,N1,51,Sở GDĐT An Giang ,17.00,,18.00,19.00,,21.30,20.00
2021,844248,51000025,8.40,7.25,,,,4.25,7.75,8.50,6.80,N1,51,Sở GDĐT An Giang ,,20.50,,,19.30,22.50,
2021,844252,51000029,8.20,6.50,7.75,4.75,5,,,,8.80,N1,51,Sở GDĐT An Giang ,17.50,,20.70,18.00,,23.50,24.80
2021,844250,51000027,7.60,7.25,7.25,8,5.25,,,,7,N1,51,Sở GDĐT An Giang ,20.50,,22.90,20.90,,21.90,21.90
2021,844253,51000030,7.60,7,,,,4.75,7.50,9,7,N1,51,Sở GDĐT An Giang ,,21.30,,,19.30,21.60,
2021,844251,51000028,9.20,7,8,7.75,7,,,,8.20,N1,51,Sở GDĐT An Giang ,22.80,,25.00,24.00,,24.40,25.40
2021,844254,51000031,3.60,3.50,,,,3.50,4,,,,51,Sở GDĐT An Giang ,,,,,11.00,,
2021,844259,51000036,8,7.25,7,4.25,4.75,,,,7.60,N1,51,Sở GDĐT An Giang ,16.00,,19.30,17.00,,22.90,22.60
2021,844256,51000033,7.80,8,,,,6,7.75,8.75,7.80,N1,51,Sở GDĐT An Giang ,,22.50,,,21.80,23.60,
2021,844261,51000038,7.40,6.50,7.25,7.50,6,,,,7.40,N1,51,Sở GDĐT An Giang ,20.80,,22.20,20.90,,21.30,22.10
2021,844257,51000034,7.20,7.50,6.50,8,5.50,,,,9.40,N1,51,Sở GDĐT An Giang ,20.00,,21.70,20.70,,24.10,23.10
2021,844264,51000041,7.80,5.50,6.25,6.25,5,,,,8.60,N1,51,Sở GDĐT An Giang ,17.50,,20.30,19.10,,21.90,22.70
2021,844266,51000043,3.20,4.25,,,,4.50,6.25,5.75,3.40,N1,51,Sở GDĐT An Giang ,,16.50,,,15.00,10.90,
2021,844258,51000035,5,5,,,,3,,,,,51,Sở GDĐT An Giang ,,,,,,,
2021,844260,51000037,9,7.50,8.75,8.25,5.50,,,,8.80,N1,51,Sở GDĐT An Giang ,22.50,,26.00,22.80,,25.30,26.60
2021,844262,51000039,6.20,6.25,,,,5,6.75,,,,51,Sở GDĐT An Giang ,,,,,18.00,,
2021,844263,51000040,7.60,5.75,6.50,8,5.50,,,,9.40,N1,51,Sở GDĐT An Giang ,20.00,,22.10,21.10,,22.80,23.50
2021,844244,51000020,7.20,8.50,,,,5,6.50,8.75,8.40,N1,51,Sở GDĐT An Giang ,,20.30,,,20.00,24.10,
2021,844267,51000044,9.20,7.25,5.25,6.75,5.75,,,,9.20,N1,51,Sở GDĐT An Giang ,17.80,,21.20,21.70,,25.70,23.70
2021,844265,51000042,4.20,4,,,,4.50,5.25,,,,51,Sở GDĐT An Giang ,,,,,13.80,,
2021,844268,51000045,6.60,8.25,,,,5.50,6.75,7.75,8,N1,51,Sở GDĐT An Giang ,,20.00,,,20.50,22.90,
2021,844271,51000048,8.40,7.50,7.50,7.75,4.75,,,,8.60,N1,51,Sở GDĐT An Giang ,20.00,,23.70,20.90,,24.50,24.50
2021,844255,51000032,6.80,8,,,,4,7,8.50,5,N1,51,Sở GDĐT An Giang ,,19.50,,,19.00,19.80,
2021,844269,51000046,3.60,5.25,,,,6.25,,,,,51,Sở GDĐT An Giang ,,,,,,,
2021,844270,51000047,7,8,,,,6,8.75,9.75,9.20,N1,51,Sở GDĐT An Giang ,,24.50,,,22.80,24.20,
2021,844276,51000053,8.20,7.08,7.50,3,5.50,,,,9,N1,51,Sở GDĐT An Giang ,16.00,,18.70,16.70,,24.30,24.70
2021,844273,51000050,7.20,8.50,7.50,6,7.50,,,,9,N1,51,Sở GDĐT An Giang ,21.00,,20.70,20.70,,24.70,23.70
2021,844272,51000049,8.40,7,,,,4.75,7,7,8.40,N1,51,Sở GDĐT An Giang ,,18.80,,,18.80,23.80,
2021,844274,51000051,8,8.50,7.25,6.50,5.50,,,,8.60,N1,51,Sở GDĐT An Giang ,19.30,,21.80,20.00,,25.10,23.90
2021,844275,51000052,6.80,5.75,6,6.50,5,,,,6,N1,51,Sở GDĐT An Giang ,17.50,,19.30,18.30,,18.60,18.80
2021,844277,51000054,6.80,7.75,5,4.75,3.25,,,,7.80,N1,51,Sở GDĐT An Giang ,13.00,,16.60,14.80,,22.40,19.60
2021,844278,51000055,7.80,8.25,,,,6.75,7.75,8.50,9.60,N1,51,Sở GDĐT An Giang ,,23.00,,,22.80,25.70,
2021,844279,51000056,6.60,8,,,,7.75,8.25,9.25,8.60,N1,51,Sở GDĐT An Giang ,,25.30,,,24.00,23.20,
2021,844280,51000057,6.80,4.50,,,,9,,,,,51,Sở GDĐT An Giang ,,,,,,,
2021,844290,51000067,7.80,8.75,,,,9.75,8.75,9.75,8.60,N1,51,Sở GDĐT An Giang ,,28.30,,,27.30,25.20,
2021,844281,51000058,7.60,6.50,5.75,8,5.25,,,,8.80,N1,51,Sở GDĐT An Giang ,19.00,,21.40,20.90,,22.90,22.20
2021,844282,51000059,8.20,,,6.25,9,,,,,,51,Sở GDĐT An Giang ,,,,23.50,,,
2021,844284,51000061,8.20,6.75,,,,6,7.25,9,8.20,N1,51,Sở GDĐT An Giang ,,22.30,,,20.00,23.20,
2021,844286,51000063,9.20,7.50,8.50,7.75,5.75,,,,7,N1,51,Sở GDĐT An Giang ,22.00,,25.50,22.70,,23.70,24.70
2021,844283,51000060,8.20,4.50,7,6.50,5.25,,,,7.60,N1,51,Sở GDĐT An Giang ,18.80,,21.70,20.00,,20.30,22.80
2021,844285,51000062,6.60,6.75,5.25,4.25,4.25,,,,6.80,N1,51,Sở GDĐT An Giang ,13.80,,16.10,15.10,,20.20,18.70
2021,844287,51000064,3.60,5.50,,,,6,5.75,8,1.80,N1,51,Sở GDĐT An Giang ,,19.80,,,17.30,10.90,
2021,844288,51000065,,4.50,,,,3.25,4.25,,,,51,Sở GDĐT An Giang ,,,,,12.00,,
2021,844289,51000066,7.80,7,7.75,8.50,3.50,,,,7,N1,51,Sở GDĐT An Giang ,19.80,,24.10,19.80,,21.80,22.60
2021,844293,51000070,5,5.75,,,,7.75,,,,,51,Sở GDĐT An Giang ,,,,,,,
2021,844291,51000068,5.60,8,,,,7.25,8,,,,51,Sở GDĐT An Giang ,,,,,23.30,,
2021,844292,51000069,8.80,5,7.25,4.50,4.75,,,,9.40,N1,51,Sở GDĐT An Giang ,16.50,,20.60,18.10,,23.20,25.50
2021,844294,51000071,8.20,8.50,8.50,6.50,5.75,,,,9.40,N1,51,Sở GDĐT An Giang ,20.80,,23.20,20.50,,26.10,26.10
2021,844295,51000072,7.80,8.75,,,,4,7.25,8.75,9,N1,51,Sở GDĐT An Giang ,,20.00,,,20.00,25.60,
2021,844296,51000073,7.60,8.75,7.25,5.50,5.50,,,,8.80,N1,51,Sở GDĐT An Giang ,18.30,,20.40,18.60,,25.20,23.70
2021,844297,51000074,6.20,6.50,,,,4.50,6.75,7.50,6.80,N1,51,Sở GDĐT An Giang ,,18.80,,,17.80,19.50,
2021,844298,51000075,7.60,8.25,,,,5.75,6,7.25,8.60,N1,51,Sở GDĐT An Giang ,,19.00,,,20.00,24.50,
2021,844300,51000077,7.80,6.50,7.25,8,5.75,,,,7,N1,51,Sở GDĐT An Giang ,21.00,,23.10,21.60,,21.30,22.10
2021,844299,51000076,7,7.25,,,,4.50,7,8.75,7.80,N1,51,Sở GDĐT An Giang ,,20.30,,,18.80,22.10,
