schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,856339,52000004,6,7.25,,,,4.75,7.50,,,,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,,,,19.50,,
2021,856337,52000002,7.40,7.50,7,8.25,5.75,,,,7.20,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,21.00,,22.70,21.40,,22.10,21.60
2021,856341,52000006,7,7.25,5,7.25,5.75,,,,5.40,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,18.00,,19.30,20.00,,19.70,17.40
2021,856343,52000008,8,6.75,7.25,7.50,6.75,,,,8,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,21.50,,22.80,22.30,,22.80,23.30
2021,856344,52000009,7,7.50,,,,7.50,7,9.50,7.80,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,24.00,,,22.00,22.30,
2021,856338,52000003,5.80,5,,,,5.50,7.50,,,,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,,,,18.00,,
2021,856336,52000001,6.80,4,,,,5,6,,,,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,,,,15.00,,
2021,856340,52000005,7.80,7.25,5.75,5.25,6.50,,,,8.60,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,17.50,,18.80,19.60,,23.70,22.20
2021,856345,52000010,7.80,6.25,,,,6.50,8,9.25,7.80,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,23.80,,,20.80,21.90,
2021,856342,52000007,7,6,4.75,5.75,4.25,,,,7.80,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,14.80,,17.50,17.00,,20.80,19.60
2021,856353,52000018,7.20,7.25,,,,2.75,5.75,8.75,5.60,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,17.30,,,15.80,20.00,
2021,856348,52000013,7,6,,,,6.75,7.25,8.50,6.20,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,22.50,,,20.00,19.20,
2021,856349,52000014,6.60,7,,,,6.50,6.25,8.75,7.40,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,21.50,,,19.80,21.00,
2021,856354,52000019,6.40,4,4.75,4.50,3.75,,,,6.80,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,13.00,,15.70,14.70,,17.20,18.00
2021,856346,52000011,6.20,7.41,5.75,4.25,5.75,,,,6,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,15.80,,16.20,16.20,,19.60,18.00
2021,856350,52000015,6,6,,,,4.75,6.50,8,4,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,19.30,,,17.30,16.00,
2021,856351,52000016,6.60,7,6.50,6.75,4.75,,,,5.80,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,18.00,,19.90,18.10,,19.40,18.90
2021,856352,52000017,6.80,7.25,,,,5,6.75,9.25,6,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,21.00,,,19.00,20.10,
2021,856347,52000012,7.40,8,,,,5.25,7,9,8.80,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,21.30,,,20.30,24.20,
2021,856355,52000020,6.60,6.75,,,,4.75,8,9.75,6.40,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,22.50,,,19.50,19.80,
2021,856357,52000022,6.80,5.25,,,,5,7.25,,,,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,,,,17.50,,
2021,856359,52000024,5.20,5.75,5.25,7,4,,,,4.80,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,16.30,,17.50,16.20,,15.80,15.30
2021,856356,52000021,7.80,5.75,6,7,4.75,,,,7.20,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,17.80,,20.80,19.60,,20.80,21.00
2021,856366,52000031,5.40,7.25,,,,3.50,6.75,7.50,4.80,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,17.80,,,17.50,17.50,
2021,856360,52000025,6.60,4.75,4.25,4.75,4.25,,,,4.20,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,13.30,,15.60,15.60,,15.60,15.10
2021,856358,52000023,7,,5.50,3.50,,,,,,,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,,16.00,,,,
2021,856369,52000034,6.40,5.75,,,,5.25,5.25,,,,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,,,,16.30,,
2021,856365,52000030,7.40,8.25,,,,7,7,9,7.60,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,23.00,,,22.30,23.30,
2021,856361,52000026,6.60,6.25,,,,5.25,6.50,8.75,4,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,20.50,,,18.00,16.90,
2021,856363,52000028,8.80,7.25,5.75,,,,,,8,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,,,,,24.10,22.60
2021,856362,52000027,7.20,6.50,,,,5,7,8.50,8,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,20.50,,,18.50,21.70,
2021,856364,52000029,5.40,7.25,,,,4,6,7.25,6.20,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,17.30,,,17.30,18.90,
2021,856368,52000033,6,6.25,,,,5.75,7.75,9.75,8.20,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,23.30,,,19.80,20.50,
2021,856371,52000036,6.80,7,,,,6,7.50,9.75,5,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,23.30,,,20.50,18.80,
2021,856367,52000032,7,7.25,5.75,5.75,4.25,,,,7.20,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,15.80,,18.50,17.00,,21.50,20.00
2021,856375,52000040,7.40,7.25,4.25,6.75,5,,,,5.80,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,16.00,,18.40,19.20,,20.50,17.50
2021,856376,52000041,6.80,6.75,5.75,5.50,4.50,,,,5.60,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,15.80,,18.10,16.80,,19.20,18.20
2021,856377,52000042,7.40,7.25,,,,6.25,8.50,,,,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,,,,22.00,,
2021,856378,52000043,5.80,5.75,5,7.25,5,,,,6.20,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,17.30,,18.10,18.10,,17.80,17.00
2021,856382,52000047,6.40,7,5,5.75,4,,,,5.80,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,14.80,,17.20,16.20,,19.20,17.20
2021,856383,52000048,7.40,8,6,7.50,6.75,,,,9.40,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,20.30,,20.90,21.70,,24.80,22.80
2021,856384,52000049,6,7.50,,,,5.50,7,8.75,7.60,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,21.30,,,20.00,21.10,
2021,856370,52000035,7.60,8,,,,6.25,8.50,9.50,6.80,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,24.30,,,22.80,22.40,
2021,856372,52000037,4.60,4.25,,,,4.50,5.25,7.50,4.20,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,17.30,,,14.00,13.10,
2021,856373,52000038,8,7,6.75,6.25,4.50,,,,6,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,17.50,,21.00,18.80,,21.00,20.80
2021,856374,52000039,7.60,8.75,,,,6.50,7.50,10,9.40,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,24.00,,,22.80,25.80,
2021,856386,52000051,6.80,7,,,,5,7.25,7.75,7.40,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,20.00,,,19.30,21.20,
2021,856379,52000044,7.20,6.75,,,,6,7,7.75,4,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,20.80,,,19.80,18.00,
2021,856380,52000045,7.80,7.50,5.25,5.50,5.50,,,,4,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,16.30,,18.60,18.80,,19.30,17.10
2021,856381,52000046,6.80,8,5.50,5.25,4.25,,,,8.80,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,15.00,,17.60,16.30,,23.60,21.10
2021,856393,52000059,8.60,7.50,7.50,8.25,6.50,,,,9,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,22.30,,24.40,23.40,,25.10,25.10
2021,856385,52000050,7.40,7.25,7,7.50,7,,,,7.80,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,21.50,,21.90,21.90,,22.50,22.20
2021,856394,52000060,6.40,4.83,,,,1.75,6,,,,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,,,,12.60,,
2021,856387,52000052,7.20,7.25,,,,6,7.75,8.50,5.80,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,22.30,,,21.00,20.30,
2021,856388,52000053,7,8,,,,4.75,8.75,9.50,8,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,23.00,,,21.50,23.00,
2021,856389,52000054,7.40,7.50,6,7,4.50,,,,7.20,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,17.50,,20.40,18.90,,22.10,20.60
2021,856390,52000055,6.60,7.50,,,,3.75,5.25,8.25,6.80,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,17.30,,,16.50,20.90,
2021,856391,52000057,5,6.50,,,,3,7.50,,,,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,,,,17.00,,
2021,856396,52000062,7.20,6.25,,,,6.50,6,7.50,7.40,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,20.00,,,18.80,20.90,
2021,856392,52000058,6.60,6.75,2.75,5.50,3.25,,,,5.80,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,11.50,,14.90,15.40,,19.20,15.20
2021,856399,52000065,6.80,5.50,,,,4,6,6.50,5.40,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,16.50,,,15.50,17.70,
2021,856401,52000067,6.20,5,,,,5.25,7,,,,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,,,,17.30,,
2021,856403,52000069,6.60,6.50,,,,6.50,7.25,9.50,7.20,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,23.30,,,20.30,20.30,
2021,856405,52000071,6.60,7,,,,6.75,6.50,6.75,8.40,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,20.00,,,20.30,22.00,
2021,856395,52000061,8.60,7.50,6.25,6.50,6.25,,,,8.60,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,19.00,,21.40,21.40,,24.70,23.50
2021,856407,52000073,7.60,7.75,,,,7,8,9.25,8.80,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,24.30,,,22.80,24.20,
2021,856397,52000063,6.40,7,,,,2.50,6.75,6.50,5.40,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,15.80,,,16.30,18.80,
2021,856398,52000064,6.80,8,,,,5.25,7.75,9.25,8.60,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,22.30,,,21.00,23.40,
2021,856400,52000066,6.60,5,,,,3.25,7,,,,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,,,,15.30,,
2021,856409,52000075,7,5.50,6,4.75,5.50,,,,8.80,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,16.30,,17.80,17.30,,21.30,21.80
2021,856410,52000076,8.60,6.75,8.25,7.75,6.25,,,,9.60,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,22.30,,24.60,22.60,,25.00,26.50
2021,856402,52000068,6.60,5.50,,,,3.25,7,,,,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,,,,15.80,,
2021,856404,52000070,7.20,7,6.75,6,5.25,,,,9,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,18.00,,20.00,18.50,,23.20,23.00
2021,856414,52000080,6.40,7.50,,,,4,6.25,9,4.40,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,19.30,,,17.80,18.30,
2021,856415,52000081,8,6.25,6.50,7.50,6,,,,8,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,20.00,,22.00,21.50,,22.30,22.50
2021,856406,52000072,6.80,7.25,,,,6.25,7.75,9.75,8.20,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,23.80,,,21.30,22.30,
2021,856416,52000082,8,6.50,8,7.75,6.25,,,,8,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,22.00,,23.80,22.00,,22.50,24.00
2021,856417,52000083,4.60,8,,,,6,7,9.25,8.20,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,22.30,,,21.00,20.80,
2021,856408,52000074,6,7.25,6.50,8.25,4.25,,,,6.80,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,19.00,,20.80,18.50,,20.10,19.30
2021,856419,52000085,6.60,8,5.50,5.50,4.50,,,,7.80,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,15.50,,17.60,16.60,,22.40,19.90
2021,856421,52000087,8.40,6.25,7.25,7,5.75,,,,8.60,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,20.00,,22.70,21.20,,23.30,24.30
2021,856422,52000088,7.60,7.75,,,,8.50,7.75,,,,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,,,,24.00,,
2021,856411,52000077,3.40,6.25,,,,4.50,7,,,,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,,,,17.80,,
2021,856423,52000089,7.80,8.50,,,,4.50,7,9,9.60,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,20.50,,,20.00,25.90,
2021,856412,52000078,4.80,7,,,,5.25,7.25,9.50,7,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,22.00,,,19.50,18.80,
2021,856424,52000090,7,7.75,,,,5,7.50,9.50,8.60,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,22.00,,,20.30,23.40,
2021,856413,52000079,5.60,5.50,,,,5.75,6.75,,,,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,,,,18.00,,
2021,856425,52000091,7.80,7.25,6.75,5.25,4.50,,,,6.20,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,16.50,,19.80,17.60,,21.30,20.80
2021,856426,52000092,5.60,6.25,5,5,4.50,,,,4.20,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,14.50,,15.60,15.10,,16.10,14.80
2021,856427,52000093,6,7,,,,8,9.25,8.75,5.60,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,,26.00,,,24.30,18.60,
2021,856428,52000094,8,5.50,7,6.25,6.25,,,,9.60,N1,52,Sở GDĐT Bà Rịa-Vũng Tàu ,19.50,,21.30,20.50,,23.10,24.60
