schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,746330,44000001,5.40,7.75,,,,5.75,7.75,9.50,6,N1,44,Sở GDĐT Bình Dương ,,23.00,,,21.30,19.20,
2021,746336,44000007,9.20,7.25,9,9.25,6.75,,,,8.80,N1,44,Sở GDĐT Bình Dương ,25.00,,27.50,25.20,,25.30,27.00
2021,746334,44000005,7.80,7.75,,,,6.25,7.50,8.25,9,N1,44,Sở GDĐT Bình Dương ,,22.00,,,21.50,24.60,
2021,746331,44000002,3,6.50,,,,2,7.25,7.50,4.60,N1,44,Sở GDĐT Bình Dương ,,16.80,,,15.80,14.10,
2021,746338,44000009,8.20,7.25,4,7.25,6,,,,7,N1,44,Sở GDĐT Bình Dương ,17.30,,19.50,21.50,,22.50,19.20
2021,746339,44000010,8,6.25,7.75,6.50,7.75,,,,8.60,N1,44,Sở GDĐT Bình Dương ,22.00,,22.30,22.30,,22.90,24.40
2021,746335,44000006,7.40,6.50,,,,8,8.75,,,,44,Sở GDĐT Bình Dương ,,,,,23.30,,
2021,746333,44000004,9,6.75,8.75,8.50,7,,,,7.80,N1,44,Sở GDĐT Bình Dương ,24.30,,26.30,24.50,,23.60,25.60
2021,746332,44000003,7.40,6.75,,,,2.50,6,7,7.40,N1,44,Sở GDĐT Bình Dương ,,15.50,,,15.30,21.60,
2021,746337,44000008,7.80,7.75,,,,4.50,7.75,6.75,9,N1,44,Sở GDĐT Bình Dương ,,19.00,,,20.00,24.60,
2021,746347,44000019,9,7.75,7.50,7.75,7.75,,,,8.40,N1,44,Sở GDĐT Bình Dương ,23.00,,24.30,24.50,,25.20,24.90
2021,746341,44000012,6.40,6.50,4.50,5.50,4.50,,,,9.60,N1,44,Sở GDĐT Bình Dương ,14.50,,16.40,16.40,,22.50,20.50
2021,746343,44000015,8.60,8.25,,,,8.25,,,9,N1,44,Sở GDĐT Bình Dương ,,,,,,25.90,
2021,746340,44000011,7.20,7,,,,5.25,7.25,9.25,9.20,N1,44,Sở GDĐT Bình Dương ,,21.80,,,19.50,23.40,
2021,746345,44000017,6.20,6.25,,,,4.75,7,,,,44,Sở GDĐT Bình Dương ,,,,,18.00,,
2021,746346,44000018,6.80,6.75,,,,4.25,7.75,8.75,3.80,N1,44,Sở GDĐT Bình Dương ,,20.80,,,18.80,17.40,
2021,746344,44000016,8.60,7.25,8.50,8,7.25,,,,9.20,N1,44,Sở GDĐT Bình Dương ,23.80,,25.10,23.90,,25.00,26.30
2021,746342,44000014,8,7.50,7.50,7.50,7.25,,,,8.60,N1,44,Sở GDĐT Bình Dương ,22.30,,23.00,22.80,,24.10,24.10
2021,746354,44000027,9,8.50,8,6.75,5.25,,,,9.60,N1,44,Sở GDĐT Bình Dương ,20.00,,23.80,21.00,,27.10,26.60
2021,746352,44000025,7.60,6.50,,,,4.75,6.50,,,,44,Sở GDĐT Bình Dương ,,,,,17.80,,
2021,746350,44000023,8.20,7.75,7.75,8.50,8.50,,,,8.20,N1,44,Sở GDĐT Bình Dương ,24.80,,24.50,25.20,,24.20,24.20
2021,746348,44000021,5,6,,,,6,7.50,7.75,8.60,N1,44,Sở GDĐT Bình Dương ,,21.30,,,19.50,19.60,
2021,746349,44000022,8,7.50,5.75,7.75,7.75,,,,8.80,N1,44,Sở GDĐT Bình Dương ,21.30,,21.50,23.50,,24.30,22.60
2021,746355,44000028,9,8.50,,,,7,8,9.25,9.60,N1,44,Sở GDĐT Bình Dương ,,24.30,,,23.50,27.10,
2021,746357,44000030,6.60,7.75,,,,7.50,8.25,9.75,6.40,N1,44,Sở GDĐT Bình Dương ,,25.50,,,23.50,20.80,
2021,746353,44000026,7.80,8.50,,,,8,8.50,9,8.40,N1,44,Sở GDĐT Bình Dương ,,25.50,,,25.00,24.70,
2021,746351,44000024,8.20,7,5.50,8.75,5.25,,,,8.80,N1,44,Sở GDĐT Bình Dương ,19.50,,22.50,22.20,,24.00,22.50
2021,746356,44000029,8.40,8,6.50,7,5.75,,,,9.60,N1,44,Sở GDĐT Bình Dương ,19.30,,21.90,21.20,,26.00,24.50
2021,746358,44000031,8,7.25,,,,7.25,9,9.50,8.20,N1,44,Sở GDĐT Bình Dương ,,25.80,,,23.50,23.50,
2021,746365,44000038,8.80,6.75,8,6.50,6.75,,,,8.60,N1,44,Sở GDĐT Bình Dương ,21.30,,23.30,22.10,,24.20,25.40
2021,746359,44000032,7.40,7.25,6.50,5.50,4.75,,,,6.40,N1,44,Sở GDĐT Bình Dương ,16.80,,19.40,17.70,,21.10,20.30
2021,746369,44000042,7.40,8.25,,,,9,9.25,10,8.40,N1,44,Sở GDĐT Bình Dương ,,28.30,,,26.50,24.10,
