schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,735968,43000001,5.80,7.50,,,,5,7.75,9,4.40,N1,43,Sở GDĐT Bình Phước ,,21.80,,,20.30,17.70,
2021,735970,43000003,6.80,5.50,,,,5.25,7.50,9.25,7.40,N1,43,Sở GDĐT Bình Phước ,,22.00,,,18.30,19.70,
2021,735971,43000004,4.20,7.25,,,,6,7.75,8,4.80,N1,43,Sở GDĐT Bình Phước ,,21.80,,,21.00,16.30,
2021,735973,43000006,8.40,8.25,6.25,6.50,6.25,,,,9.40,N1,43,Sở GDĐT Bình Phước ,19.00,,21.20,21.20,,26.10,24.10
2021,735977,43000010,3.60,6.75,,,,5,6.25,7.50,4.20,N1,43,Sở GDĐT Bình Phước ,,18.80,,,18.00,14.60,
2021,735972,43000005,6.40,7.25,,,,6.25,8.50,9.75,6.40,N1,43,Sở GDĐT Bình Phước ,,24.50,,,22.00,20.10,
2021,735975,43000008,7.40,8,7.25,6.75,7,,,,4.60,N1,43,Sở GDĐT Bình Phước ,21.00,,21.40,21.20,,20.00,19.30
2021,735974,43000007,8,5.50,,,,4,6,8.25,7.20,N1,43,Sở GDĐT Bình Phước ,,18.30,,,15.50,20.70,
2021,735969,43000002,6.20,6,,,,6.25,5.75,6.75,5.40,N1,43,Sở GDĐT Bình Phước ,,18.80,,,18.00,17.60,
2021,735976,43000009,7.20,5.50,6.50,8,6,,,,4.60,N1,43,Sở GDĐT Bình Phước ,20.50,,21.70,21.20,,17.30,18.30
2021,735983,43000016,5.40,7,,,,6.75,8,9,5.60,N1,43,Sở GDĐT Bình Phước ,,23.80,,,21.80,18.00,
2021,735979,43000012,8,6,7,6,4.25,,,,6.60,N1,43,Sở GDĐT Bình Phước ,17.30,,21.00,18.30,,20.60,21.60
2021,735978,43000011,8.20,6,5.75,6.75,5.50,,,,4.80,N1,43,Sở GDĐT Bình Phước ,18.00,,20.70,20.50,,19.00,18.80
2021,735980,43000013,7.60,6.75,,,,8,8,9.75,6.60,N1,43,Sở GDĐT Bình Phước ,,25.80,,,22.80,21.00,
2021,735982,43000015,6.20,7,,,,4,6.50,9.50,8.80,N1,43,Sở GDĐT Bình Phước ,,20.00,,,17.50,22.00,
2021,735984,43000017,7,7.75,,,,3,6,7,6.40,N1,43,Sở GDĐT Bình Phước ,,16.00,,,16.80,21.20,
2021,735981,43000014,6.60,7.25,,,,3.50,8,8.75,5.60,N1,43,Sở GDĐT Bình Phước ,,20.30,,,18.80,19.50,
2021,735985,43000018,7.80,7,6,4.75,8.25,,,,7.60,N1,43,Sở GDĐT Bình Phước ,19.00,,18.60,20.80,,22.40,21.40
2021,735986,43000019,6.40,6,,,,6.25,7.25,9.50,8,N1,43,Sở GDĐT Bình Phước ,,23.00,,,19.50,20.40,
