schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,774949,47000005,6.60,7.50,5.75,4.50,4.50,,,,8.60,N1,47,Sở GDĐT Bình Thuận ,14.80,,16.90,15.60,,22.70,21.00
2021,774952,47000008,7,5.25,6.25,5.75,4.25,,,,8,N1,47,Sở GDĐT Bình Thuận ,16.30,,19.00,17.00,,20.30,21.30
2021,774945,47000001,6.60,8.25,,,,8.50,7.75,9.25,6.80,N1,47,Sở GDĐT Bình Thuận ,,25.50,,,24.50,21.70,
2021,774953,47000009,7.20,7.25,4.50,6.75,6.75,,,,6.60,N1,47,Sở GDĐT Bình Thuận ,18.00,,18.50,20.70,,21.00,18.30
2021,774950,47000006,7.60,7.25,8,7.50,5,,,,6.40,N1,47,Sở GDĐT Bình Thuận ,20.50,,23.10,20.10,,21.30,22.00
2021,774947,47000003,8.40,7.25,7,6.50,4.75,,,,9,N1,47,Sở GDĐT Bình Thuận ,18.30,,21.90,19.70,,24.70,24.40
2021,774946,47000002,5.20,6,,,,7,8,8.25,7.20,N1,47,Sở GDĐT Bình Thuận ,,23.30,,,21.00,18.40,
2021,774951,47000007,8.20,8.25,,,,8.25,9,8.25,9.20,N1,47,Sở GDĐT Bình Thuận ,,25.50,,,25.50,25.70,
2021,774954,47000010,3.80,4,,,,3,6,,,,47,Sở GDĐT Bình Thuận ,,,,,13.00,,
2021,774948,47000004,6.40,7.25,,,,4.50,6.50,9,7,N1,47,Sở GDĐT Bình Thuận ,,20.00,,,18.30,20.70,
2021,774957,47000013,7.80,7,6.25,6.75,8.50,,,,8.20,N1,47,Sở GDĐT Bình Thuận ,21.50,,20.80,23.10,,23.00,22.30
2021,774960,47000016,6.20,6,,,,4,6.25,7.25,7.60,N1,47,Sở GDĐT Bình Thuận ,,17.50,,,16.30,19.80,
2021,774956,47000012,8.60,6.25,8,7.50,7.50,,,,8,N1,47,Sở GDĐT Bình Thuận ,23.00,,24.10,23.60,,22.90,24.60
2021,774958,47000014,9,4.75,5.50,8.50,8.75,,,,7.40,N1,47,Sở GDĐT Bình Thuận ,22.80,,23.00,26.30,,21.20,21.90
2021,774962,47000018,9.40,7.75,8.75,5.75,6.75,,,,9.60,N1,47,Sở GDĐT Bình Thuận ,21.30,,23.90,21.90,,26.80,27.80
2021,774961,47000017,8,5.50,6.75,7.75,5.75,,,,8.20,N1,47,Sở GDĐT Bình Thuận ,20.30,,22.50,21.50,,21.70,23.00
2021,774955,47000011,7.80,6.75,8.25,6.50,5,,,,9.20,N1,47,Sở GDĐT Bình Thuận ,19.80,,22.60,19.30,,23.80,25.30
2021,774964,47000020,6.20,6.50,5.25,3.50,6,,,,3.20,N1,47,Sở GDĐT Bình Thuận ,14.80,,15.00,15.70,,15.90,14.70
2021,774963,47000019,8,6.50,,,,6,7.75,8.50,8.60,N1,47,Sở GDĐT Bình Thuận ,,22.30,,,20.30,23.10,
2021,774959,47000015,5.60,6.50,,,,3.25,7.50,7.25,7.40,N1,47,Sở GDĐT Bình Thuận ,,18.00,,,17.30,19.50,
2021,774968,47000024,7.80,9,,,,5.50,7.50,9.75,9.60,N1,47,Sở GDĐT Bình Thuận ,,22.80,,,22.00,26.40,
2021,774965,47000021,6,6.50,,,,4.25,5,7.75,5,N1,47,Sở GDĐT Bình Thuận ,,17.00,,,15.80,17.50,
2021,774966,47000022,7.60,6.50,,,,8,8.25,9.25,8,N1,47,Sở GDĐT Bình Thuận ,,25.50,,,22.80,22.10,
2021,774967,47000023,9.20,7.75,7.50,8.75,6.25,,,,7.80,N1,47,Sở GDĐT Bình Thuận ,22.50,,25.50,24.20,,24.80,24.50
2021,774975,47000031,7.40,4.75,6.25,7.75,4,,,,5.40,N1,47,Sở GDĐT Bình Thuận ,18.00,,21.40,19.20,,17.60,19.10
2021,774978,47000034,5.80,7.25,,,,6.25,6.50,9.50,8.80,N1,47,Sở GDĐT Bình Thuận ,,22.30,,,20.00,21.90,
2021,774977,47000033,6.60,7.75,,,,6.75,8.25,8.25,8.80,N1,47,Sở GDĐT Bình Thuận ,,23.30,,,22.80,23.20,
2021,774969,47000025,7,6.25,7.75,7.25,5.50,,,,9.60,N1,47,Sở GDĐT Bình Thuận ,20.50,,22.00,19.80,,22.90,24.40
