schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,649344,37000002,8,7.25,,,,6.75,5.75,8.75,9.20,N1,37,Sở GDĐT Bình Định ,,21.30,,,19.80,24.50,
2021,649349,37000007,8.40,8,,,,5.25,6.25,6.50,9.40,N1,37,Sở GDĐT Bình Định ,,18.00,,,19.50,25.80,
2021,649352,37000010,,4.25,,,,6.50,7.50,,,,37,Sở GDĐT Bình Định ,,,,,18.30,,
2021,649343,37000001,8.40,7,8.75,5.25,5.75,,,,10,N1,37,Sở GDĐT Bình Định ,19.80,,22.40,19.40,,25.40,27.20
2021,649348,37000006,8.80,7.25,,,,6.75,8,8.50,9.60,N1,37,Sở GDĐT Bình Định ,,23.30,,,22.00,25.70,
2021,649345,37000003,8,7.75,7.75,6.50,6.50,,,,9.80,N1,37,Sở GDĐT Bình Định ,20.80,,22.30,21.00,,25.60,25.60
2021,649350,37000008,8.20,4.75,7.75,8.50,5.25,,,,9.60,N1,37,Sở GDĐT Bình Định ,21.50,,24.50,22.00,,22.50,25.50
2021,649347,37000005,8,7,8.50,6.75,5.50,,,,9.60,N1,37,Sở GDĐT Bình Định ,20.80,,23.30,20.30,,24.60,26.10
2021,649351,37000009,9.20,5,7.50,4.50,5.25,,,,9.60,N1,37,Sở GDĐT Bình Định ,17.30,,21.20,19.00,,23.80,26.30
2021,649346,37000004,8.60,7.25,8,8.25,7.25,,,,8.40,N1,37,Sở GDĐT Bình Định ,23.50,,24.90,24.10,,24.30,25.00
2021,649354,37000012,9.20,6.50,9,4,7.50,,,,9.40,N1,37,Sở GDĐT Bình Định ,20.50,,22.20,20.70,,25.10,27.60
2021,649353,37000011,8.80,5.25,8.25,6.75,5,,,,9.80,N1,37,Sở GDĐT Bình Định ,20.00,,23.80,20.60,,23.90,26.90
2021,649360,37000018,8.80,4.75,7.50,9,6.50,,,,6.80,N1,37,Sở GDĐT Bình Định ,23.00,,25.30,24.30,,20.40,23.10
2021,649361,37000019,8.40,8,,,,5.50,7.25,8.25,9.20,N1,37,Sở GDĐT Bình Định ,,21.00,,,20.80,25.60,
2021,649355,37000013,8.40,6.75,,,,7.50,7.25,9.75,9.60,N1,37,Sở GDĐT Bình Định ,,24.50,,,21.50,24.80,
2021,649359,37000017,7.20,4.50,5.75,7.75,7.25,,,,9.40,N1,37,Sở GDĐT Bình Định ,20.80,,20.70,22.20,,21.10,22.40
2021,649362,37000020,9.60,4.50,8.25,9,10,,,,8.60,N1,37,Sở GDĐT Bình Định ,27.30,,26.90,28.60,,22.70,26.50
2021,649363,37000021,8.60,4.50,8.75,6,4.50,,,,10,N1,37,Sở GDĐT Bình Định ,19.30,,23.40,19.10,,23.10,27.40
