schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,954255,60000010,7.60,6.75,7.25,8.50,6.75,,,,4.60,N1,60,Sở GDĐT Bạc Liêu ,22.50,,23.40,22.90,,19.00,19.50
2021,954248,60000003,6.80,6,,,,8.75,8,9.50,4.60,N1,60,Sở GDĐT Bạc Liêu ,,26.30,,,22.80,17.40,
2021,954246,60000001,9,6.75,8,7.75,6.75,,,,6,N1,60,Sở GDĐT Bạc Liêu ,22.50,,24.80,23.50,,21.80,23.00
2021,954247,60000002,7.40,8,,,,7.75,8,8.50,6,N1,60,Sở GDĐT Bạc Liêu ,,24.30,,,23.80,21.40,
2021,954251,60000006,5.80,6.25,,,,2.75,6.50,8.25,3.60,N1,60,Sở GDĐT Bạc Liêu ,,17.50,,,15.50,15.70,
2021,954249,60000004,4.20,6.50,,,,4.50,6.50,8,4.40,N1,60,Sở GDĐT Bạc Liêu ,,19.00,,,17.50,15.10,
2021,954252,60000007,8.20,7.50,8,8.25,6,,,,8,N1,60,Sở GDĐT Bạc Liêu ,22.30,,24.50,22.50,,23.70,24.20
2021,954250,60000005,7.20,6.75,6.25,6,4.75,,,,6.60,N1,60,Sở GDĐT Bạc Liêu ,17.00,,19.50,18.00,,20.50,20.00
2021,954253,60000008,8,8.25,,,,6.50,7.75,9.50,5.20,N1,60,Sở GDĐT Bạc Liêu ,,23.80,,,22.50,21.50,
2021,954254,60000009,8,8,,,,8.50,9.25,10,6.80,N1,60,Sở GDĐT Bạc Liêu ,,27.80,,,25.80,22.80,
2021,954259,60000014,7.60,7.75,,,,5.50,8.50,9,5.40,N1,60,Sở GDĐT Bạc Liêu ,,23.00,,,21.80,20.80,
2021,954256,60000011,8.80,8,,,,7.75,8.25,9.25,5,N1,60,Sở GDĐT Bạc Liêu ,,25.30,,,24.00,21.80,
2021,954257,60000012,5.40,7,,,,5.25,8.50,9.75,4.40,N1,60,Sở GDĐT Bạc Liêu ,,23.50,,,20.80,16.80,
