schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,348073,18000004,6.60,6.75,,,,8,8.50,9.75,9.60,N1,18,Sở GDĐT Bắc Giang ,,26.30,,,23.30,23.00,
2021,348076,18000007,6.60,7.75,,,,6.50,8.25,9.75,5.20,N1,18,Sở GDĐT Bắc Giang ,,24.50,,,22.50,19.60,
2021,348071,18000002,8.40,6.25,6.75,6.25,4,,,,9,N1,18,Sở GDĐT Bắc Giang ,17.00,,21.40,18.70,,23.70,24.20
2021,348074,18000005,7.20,6,,,,3.50,8,8.75,4.80,N1,18,Sở GDĐT Bắc Giang ,,20.30,,,17.50,18.00,
2021,348072,18000003,4.80,5,,,,6.25,7.25,,,,18,Sở GDĐT Bắc Giang ,,,,,18.50,,
2021,348077,18000008,7.60,6.25,6.25,7.75,4.50,,,,3.40,N1,18,Sở GDĐT Bắc Giang ,18.50,,21.60,19.90,,17.30,17.30
2021,348075,18000006,8,6.25,,,,5.50,7.50,9,4.40,N1,18,Sở GDĐT Bắc Giang ,,22.00,,,19.30,18.70,
2021,348079,18000010,7.80,6.75,6.25,7.75,6.75,,,,5.20,N1,18,Sở GDĐT Bắc Giang ,20.80,,21.80,22.30,,19.80,19.30
2021,348070,18000001,4,3.25,,,,3.50,6.50,,,,18,Sở GDĐT Bắc Giang ,,,,,13.30,,
2021,348078,18000009,5.20,5.25,,,,5,6,,,,18,Sở GDĐT Bắc Giang ,,,,,16.30,,
2021,348083,18000014,6.40,5.50,,,,6,7,,,,18,Sở GDĐT Bắc Giang ,,,,,18.50,,
2021,348080,18000011,8.20,5,6.25,7.75,5,,,,1.80,N1,18,Sở GDĐT Bắc Giang ,19.00,,22.20,21.00,,15.00,16.30
2021,348088,18000019,2.60,5,,,,3.25,4.75,,,,18,Sở GDĐT Bắc Giang ,,,,,13.00,,
2021,348087,18000018,3.40,5.25,,,,1.75,5.50,,,,18,Sở GDĐT Bắc Giang ,,,,,12.50,,
2021,348081,18000012,7.40,7.25,,,,7.25,7.25,9.50,6.80,N4,18,Sở GDĐT Bắc Giang ,,24.00,,,21.80,21.50,
2021,348085,18000016,7.20,6.25,6.75,6.75,3,,,,4.40,N1,18,Sở GDĐT Bắc Giang ,16.50,,20.70,17.00,,17.90,18.40
2021,348086,18000017,5.20,3.50,,,,4.75,6.50,,,,18,Sở GDĐT Bắc Giang ,,,,,14.80,,
2021,348084,18000015,5.40,4,,,,5.50,7.25,,,,18,Sở GDĐT Bắc Giang ,,,,,16.80,,
2021,348082,18000013,8.40,5.25,7.75,6.75,5.50,,,,3.20,N1,18,Sở GDĐT Bắc Giang ,20.00,,22.90,20.70,,16.90,19.30
2021,348089,18000020,3.60,4.75,,,,5,5.75,,,,18,Sở GDĐT Bắc Giang ,,,,,15.50,,
2021,348091,18000022,4,2.25,,,,3.25,6.25,,,,18,Sở GDĐT Bắc Giang ,,,,,11.80,,
2021,348090,18000021,7.40,8,,,,7.25,8.50,9.50,6.20,N1,18,Sở GDĐT Bắc Giang ,,25.30,,,23.80,21.60,
2021,348092,18000023,6.20,8,,,,5.25,7.25,7.75,5.80,N1,18,Sở GDĐT Bắc Giang ,,20.30,,,20.50,20.00,
2021,348098,18000029,5.60,5.50,,,,6,7.25,7.50,3.20,N1,18,Sở GDĐT Bắc Giang ,,20.80,,,18.80,14.30,
2021,348099,18000030,7,5.75,,,,4.75,7,8.50,4.80,N1,18,Sở GDĐT Bắc Giang ,,20.30,,,17.50,17.60,
2021,348103,18000034,8.20,5,6.25,7.75,6.50,,,,4.80,N1,18,Sở GDĐT Bắc Giang ,20.50,,22.20,22.50,,18.00,19.30
2021,348097,18000028,4,4,,,,5.75,5.50,,,,18,Sở GDĐT Bắc Giang ,,,,,15.30,,
2021,348093,18000024,7.60,7.50,,,,4.25,7.25,8.75,8,N1,18,Sở GDĐT Bắc Giang ,,20.30,,,19.00,23.10,
2021,348094,18000025,4,5.25,,,,3.25,5.50,,,,18,Sở GDĐT Bắc Giang ,,,,,14.00,,
2021,348096,18000027,6.20,6.25,,,,4.75,7,8.75,4.40,N1,18,Sở GDĐT Bắc Giang ,,20.50,,,18.00,16.90,
2021,348095,18000026,8,7.50,,,,6,8,9.75,8.20,N1,18,Sở GDĐT Bắc Giang ,,23.80,,,21.50,23.70,
2021,348101,18000032,4.20,4,,,,4,6.75,,,,18,Sở GDĐT Bắc Giang ,,,,,14.80,,
2021,348107,18000038,8.80,7,,,,4.25,6,7.50,8.20,N1,18,Sở GDĐT Bắc Giang ,,17.80,,,17.30,24.00,
2021,348102,18000033,3.60,5.50,,,,3.50,6,,,,18,Sở GDĐT Bắc Giang ,,,,,15.00,,
2021,348100,18000031,7,6.25,,,,5,8,7.75,4.60,N1,18,Sở GDĐT Bắc Giang ,,20.80,,,19.30,17.90,
2021,348110,18000041,5.20,6,,,,6,7.25,8.75,5,N1,18,Sở GDĐT Bắc Giang ,,22.00,,,19.30,16.20,
2021,348104,18000035,5.60,2.50,,,,4.25,6.75,,,,18,Sở GDĐT Bắc Giang ,,,,,13.50,,
2021,348112,18000043,6.40,6.75,,,,5.25,6,,,,18,Sở GDĐT Bắc Giang ,,,,,18.00,,
2021,348105,18000036,7.80,7.50,7,6,5.25,,,,9,N1,18,Sở GDĐT Bắc Giang ,18.30,,20.80,19.10,,24.30,23.80
2021,348106,18000037,7.80,7.50,,,,6.75,9,9,6.40,N1,18,Sở GDĐT Bắc Giang ,,24.80,,,23.30,21.70,
2021,348108,18000039,6.20,7,,,,5.75,8.25,9.50,5.80,N1,18,Sở GDĐT Bắc Giang ,,23.50,,,21.00,19.00,
2021,348109,18000040,8.60,7.25,,,,5.50,7.75,8.50,6.80,N1,18,Sở GDĐT Bắc Giang ,,21.80,,,20.50,22.70,
2021,348111,18000042,4.40,3,,,,6.50,7.25,,,,18,Sở GDĐT Bắc Giang ,,,,,16.80,,
2021,348113,18000044,4.40,6,,,,5.75,7.75,8.50,4.20,N1,18,Sở GDĐT Bắc Giang ,,22.00,,,19.50,14.60,
2021,348121,18000052,7.20,6.75,,,,8.50,7.50,8.50,4.40,N1,18,Sở GDĐT Bắc Giang ,,24.50,,,22.80,18.40,
2021,348115,18000046,6,6.50,,,,4.50,6.50,8.75,5.20,N1,18,Sở GDĐT Bắc Giang ,,19.80,,,17.50,17.70,
2021,348114,18000045,5.60,3.75,,,,3.50,5.50,,,,18,Sở GDĐT Bắc Giang ,,,,,12.80,,
2021,348116,18000047,8.60,8,,,,6.25,8.25,10,7.40,N1,18,Sở GDĐT Bắc Giang ,,24.50,,,22.50,24.00,
2021,348117,18000048,4.60,3.50,,,,3.75,5.75,,,,18,Sở GDĐT Bắc Giang ,,,,,13.00,,
2021,348118,18000049,5,6.25,,,,3.75,6.25,,,,18,Sở GDĐT Bắc Giang ,,,,,16.30,,
2021,348119,18000050,8.40,6.50,,,,7.25,9.25,,,,18,Sở GDĐT Bắc Giang ,,,,,23.00,,
2021,348120,18000051,4.80,6.75,,,,3,5.75,7.75,3.40,N1,18,Sở GDĐT Bắc Giang ,,16.50,,,15.50,15.00,
2021,348131,18000062,4.20,7.50,,,,8.75,8.25,9.25,5.20,N1,18,Sở GDĐT Bắc Giang ,,26.30,,,24.50,16.90,
2021,348123,18000054,4.80,5,,,,4.75,6.75,,,,18,Sở GDĐT Bắc Giang ,,,,,16.50,,
2021,348122,18000053,6.20,6.25,,,,8.50,8,8,3.80,N1,18,Sở GDĐT Bắc Giang ,,24.50,,,22.80,16.30,
2021,348124,18000055,7.20,7,7.25,7.25,5,,,,3.80,N1,18,Sở GDĐT Bắc Giang ,19.50,,21.70,19.50,,18.00,18.30
2021,348126,18000057,5.20,3.75,,,,8.25,7.75,,,,18,Sở GDĐT Bắc Giang ,,,,,19.80,,
2021,348125,18000056,6.40,6.75,,,,3.50,6.75,8.50,3.40,N1,18,Sở GDĐT Bắc Giang ,,18.80,,,17.00,16.60,
2021,348127,18000058,8,6.50,7.50,7,4.75,,,,6,N1,18,Sở GDĐT Bắc Giang ,19.30,,22.50,19.80,,20.50,21.50
2021,348128,18000059,5.80,5.25,,,,4.75,8,8.50,4,N1,18,Sở GDĐT Bắc Giang ,,21.30,,,18.00,15.10,
2021,348135,18000066,4,4.50,,,,3.50,4.75,,,,18,Sở GDĐT Bắc Giang ,,,,,12.80,,
2021,348129,18000060,7,7.50,,,,7.25,8.75,,,,18,Sở GDĐT Bắc Giang ,,,,,23.50,,
2021,348130,18000061,4.60,5,,,,4,7.25,8.50,3.80,N1,18,Sở GDĐT Bắc Giang ,,19.80,,,16.30,13.40,
2021,348137,18000068,3.80,3,,,,3,5,,,,18,Sở GDĐT Bắc Giang ,,,,,11.00,,
2021,348132,18000063,2.80,5,,,,4,6.50,6.50,2.80,N1,18,Sở GDĐT Bắc Giang ,,17.00,,,15.50,10.60,
2021,348134,18000065,7,5.75,,,,5,7.50,,,,18,Sở GDĐT Bắc Giang ,,,,,18.30,,
2021,348133,18000064,3.40,5.50,,,,5.25,6.25,7.75,4.20,N1,18,Sở GDĐT Bắc Giang ,,19.30,,,17.00,13.10,
2021,348136,18000067,6,6.25,,,,3.25,6.50,7.75,3.20,N1,18,Sở GDĐT Bắc Giang ,,17.50,,,16.00,15.50,
2021,348138,18000069,5.40,5.75,,,,4.50,6.75,8.75,3.80,N1,18,Sở GDĐT Bắc Giang ,,20.00,,,17.00,15.00,
2021,348139,18000070,4.40,4.75,,,,5,7.25,,,,18,Sở GDĐT Bắc Giang ,,,,,17.00,,
2021,348146,18000077,6.60,7.25,,,,8.75,9.50,9.50,6.60,N1,18,Sở GDĐT Bắc Giang ,,27.80,,,25.50,20.50,
2021,348147,18000078,7.20,6.50,,,,6,8,9.25,6,N1,18,Sở GDĐT Bắc Giang ,,23.30,,,20.50,19.70,
2021,348141,18000072,2,3.50,,,,3.75,6.75,,,,18,Sở GDĐT Bắc Giang ,,,,,14.00,,
2021,348140,18000071,4.60,5,,,,5.25,7,,,,18,Sở GDĐT Bắc Giang ,,,,,17.30,,
2021,348142,18000073,4,4,,,,3.75,6,,,,18,Sở GDĐT Bắc Giang ,,,,,13.80,,
2021,348152,18000083,5.40,7,,,,4.50,6.25,8,4.80,N1,18,Sở GDĐT Bắc Giang ,,18.80,,,17.80,17.20,
2021,348149,18000080,6.20,6.50,,,,7.25,7.75,9.50,3,N1,18,Sở GDĐT Bắc Giang ,,24.50,,,21.50,15.70,
2021,348144,18000075,8.60,7.25,6.25,7.75,5.50,,,,4.80,N1,18,Sở GDĐT Bắc Giang ,19.50,,22.60,21.90,,20.70,19.70
2021,348148,18000079,8.20,6.25,6.50,7.75,3.75,,,,7,N1,18,Sở GDĐT Bắc Giang ,18.00,,22.50,19.70,,21.50,21.70
2021,348145,18000076,3.60,5.25,,,,5.50,6.50,8,4.20,N1,18,Sở GDĐT Bắc Giang ,,20.00,,,17.30,13.10,
2021,348150,18000081,6.40,7.50,,,,5.75,7.25,9.75,5.60,N1,18,Sở GDĐT Bắc Giang ,,22.80,,,20.50,19.50,
2021,348143,18000074,4.40,5.75,,,,6,9,,,,18,Sở GDĐT Bắc Giang ,,,,,20.80,,
2021,348153,18000084,6,6.75,,,,4.75,6.25,,,,18,Sở GDĐT Bắc Giang ,,,,,17.80,,
2021,348151,18000082,6.40,6.50,,,,4.25,7.50,8,6.20,N1,18,Sở GDĐT Bắc Giang ,,19.80,,,18.30,19.10,
2021,348158,18000089,5,6.75,,,,3.75,8.25,9.50,7.80,N1,18,Sở GDĐT Bắc Giang ,,21.50,,,18.80,19.60,
2021,348161,18000092,3.60,3.25,,,,3.50,6.25,,,,18,Sở GDĐT Bắc Giang ,,,,,13.00,,
2021,348156,18000087,5.80,5.75,,,,6.75,7.75,9.25,9,N1,18,Sở GDĐT Bắc Giang ,,23.80,,,20.30,20.60,
2021,348163,18000094,3,5,,,,3.75,6.25,,,,18,Sở GDĐT Bắc Giang ,,,,,15.00,,
2021,348165,18000096,7,7,,,,3.75,8.25,9.50,5.20,N1,18,Sở GDĐT Bắc Giang ,,21.50,,,19.00,19.20,
2021,348166,18000097,5.60,6.50,,,,3.25,6,8.25,4,N1,18,Sở GDĐT Bắc Giang ,,17.50,,,15.80,16.10,
2021,348162,18000093,6.40,7,,,,5.75,7.50,7.75,6.40,N1,18,Sở GDĐT Bắc Giang ,,21.00,,,20.30,19.80,
2021,348155,18000086,5.80,6.25,,,,5,6.25,8.25,5.80,N1,18,Sở GDĐT Bắc Giang ,,19.50,,,17.50,17.90,
2021,348160,18000091,5.80,6.50,,,,5.25,7.25,9,2.40,N1,18,Sở GDĐT Bắc Giang ,,21.50,,,19.00,14.70,
