schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,262270,11000001,,5.50,,,,2.25,7,,,,11,Sở GDĐT Bắc Kạn ,,,,,14.80,,
2021,262275,11000006,5.20,7.50,,,,3.75,8.25,9,3.40,N1,11,Sở GDĐT Bắc Kạn ,,21.00,,,19.50,16.10,
2021,262276,11000007,7.60,7.25,,,,6,8.75,10,6.20,N1,11,Sở GDĐT Bắc Kạn ,,24.80,,,22.00,21.10,
2021,262278,11000009,7,4,8,7.25,2.75,,,,6.20,N1,11,Sở GDĐT Bắc Kạn ,18.00,,22.30,17.00,,17.20,21.20
2021,262271,11000002,6.40,6,,,,4.50,8.25,9.25,3.20,N1,11,Sở GDĐT Bắc Kạn ,,22.00,,,18.80,15.60,
2021,262273,11000004,7.60,8,,,,8.25,9,10,6.40,N1,11,Sở GDĐT Bắc Kạn ,,27.30,,,25.30,22.00,
2021,262277,11000008,3.20,6.75,,,,4.25,6.75,9.50,2.60,N1,11,Sở GDĐT Bắc Kạn ,,20.50,,,17.80,12.50,
2021,262272,11000003,4.20,5.25,,,,3.75,4.50,8,5.20,N1,11,Sở GDĐT Bắc Kạn ,,16.30,,,13.50,14.70,
2021,262274,11000005,7.60,6,8.25,5.50,4.25,,,,8.40,N1,11,Sở GDĐT Bắc Kạn ,18.00,,21.40,17.40,,22.00,24.30
2021,262279,11000010,6.80,7,,,,7.50,9,10,5.20,N1,11,Sở GDĐT Bắc Kạn ,,26.50,,,23.50,19.00,
2021,262283,11000014,4.80,6.25,,,,5.50,6.25,7.50,3.40,N1,11,Sở GDĐT Bắc Kạn ,,19.30,,,18.00,14.50,
2021,262281,11000012,5.20,4.25,,,,3.50,8,7.50,3.60,N1,11,Sở GDĐT Bắc Kạn ,,19.00,,,15.80,13.10,
2021,262280,11000011,7.20,6,,,,6.75,8.25,9,4.80,N1,11,Sở GDĐT Bắc Kạn ,,24.00,,,21.00,18.00,
2021,262287,11000018,6.80,6.50,,,,7,8.75,10,7.20,N1,11,Sở GDĐT Bắc Kạn ,,25.80,,,22.30,20.50,
2021,262288,11000019,,6.75,,,,8.75,9,,,,11,Sở GDĐT Bắc Kạn ,,,,,24.50,,
2021,262282,11000013,,5.25,,,,8.75,8.50,,,,11,Sở GDĐT Bắc Kạn ,,,,,22.50,,
2021,262286,11000017,5.60,5.75,,,,5.50,7.75,8.50,4.20,N1,11,Sở GDĐT Bắc Kạn ,,21.80,,,19.00,15.60,
2021,262285,11000016,3,4.50,,,,3.50,7.75,9.50,3.60,N1,11,Sở GDĐT Bắc Kạn ,,20.80,,,15.80,11.10,
2021,262284,11000015,6.40,5.75,,,,5.75,8.75,9.25,5.20,N1,11,Sở GDĐT Bắc Kạn ,,23.80,,,20.30,17.40,
2021,262289,11000020,5.60,6,,,,6,8.25,9.75,5.80,N1,11,Sở GDĐT Bắc Kạn ,,24.00,,,20.30,17.40,
2021,262290,11000021,6,6.25,,,,5,8,8.75,5,N1,11,Sở GDĐT Bắc Kạn ,,21.80,,,19.30,17.30,
2021,262300,11000031,2,4.50,,,,4.50,6.25,8.75,3,N1,11,Sở GDĐT Bắc Kạn ,,19.50,,,15.30,9.50,
2021,262291,11000022,6.40,5.75,,,,5.75,8.25,9.75,6.20,N1,11,Sở GDĐT Bắc Kạn ,,23.80,,,19.80,18.40,
2021,262292,11000023,5.20,5.75,,,,6.50,6.75,8.75,3.40,N1,11,Sở GDĐT Bắc Kạn ,,22.00,,,19.00,14.40,
2021,262294,11000025,5.80,6.50,,,,5.50,6.50,8.25,4.40,N1,11,Sở GDĐT Bắc Kạn ,,20.30,,,18.50,16.70,
2021,262296,11000027,5.20,4.25,,,,2.50,6,6.50,3.40,N1,11,Sở GDĐT Bắc Kạn ,,15.00,,,12.80,12.90,
2021,262295,11000026,,7.75,,,,6.75,8.75,,,,11,Sở GDĐT Bắc Kạn ,,,,,23.30,,
2021,262293,11000024,6,5.75,,,,3,6,7.75,2.40,N1,11,Sở GDĐT Bắc Kạn ,,16.80,,,14.80,14.20,
2021,262297,11000028,3.60,6,,,,4,6,6.75,4.20,N1,11,Sở GDĐT Bắc Kạn ,,16.80,,,16.00,13.80,
2021,262298,11000029,6.80,7.50,,,,4,8,9.50,5.40,N1,11,Sở GDĐT Bắc Kạn ,,21.50,,,19.50,19.70,
2021,262299,11000030,5.60,4.25,,,,1.75,7,7.50,2.20,N1,11,Sở GDĐT Bắc Kạn ,,16.30,,,13.00,12.10,
2021,262303,11000034,2.60,3.75,,,,3.25,7.75,7.50,2.40,N1,11,Sở GDĐT Bắc Kạn ,,18.50,,,14.80,8.80,
2021,262306,11000037,5.20,8,,,,2.50,7.75,6,3.40,N1,11,Sở GDĐT Bắc Kạn ,,16.30,,,18.30,16.60,
2021,262309,11000040,7,6.25,,,,5.50,8,9.50,4.20,N1,11,Sở GDĐT Bắc Kạn ,,23.00,,,19.80,17.50,
2021,262301,11000032,2.40,5.25,,,,3,5.75,7.25,3,N1,11,Sở GDĐT Bắc Kạn ,,16.00,,,14.00,10.70,
2021,262302,11000033,4.60,7,,,,4.50,7.25,9.25,5.40,N1,11,Sở GDĐT Bắc Kạn ,,21.00,,,18.80,17.00,
