schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,366000,19000008,8.40,6.25,6.50,8.25,8.75,,,,8.60,N1,19,Sở GDĐT Bắc Ninh ,23.50,,23.20,25.40,,23.30,23.50
2021,365994,19000002,8.60,7.75,8.50,5.50,5.75,,,,10,N1,19,Sở GDĐT Bắc Ninh ,19.80,,22.60,19.90,,26.40,27.10
2021,365997,19000005,7.40,8.75,,,,10,9.50,9.25,7.80,N1,19,Sở GDĐT Bắc Ninh ,,28.80,,,28.30,24.00,
2021,366002,19000010,8.60,8.75,,,,6.50,7.75,9.50,10,N1,19,Sở GDĐT Bắc Ninh ,,23.80,,,23.00,27.40,
2021,365995,19000003,7.60,9.25,,,,7.50,9,9.25,9.60,N1,19,Sở GDĐT Bắc Ninh ,,25.80,,,25.80,26.50,
2021,365996,19000004,8.20,9.50,,,,6.25,8.75,8.25,9.80,N1,19,Sở GDĐT Bắc Ninh ,,23.30,,,24.50,27.50,
2021,365998,19000006,8.60,9,7.25,4,4.75,,,,9.80,N4,19,Sở GDĐT Bắc Ninh ,16.00,,19.90,17.40,,27.40,25.70
2021,365993,19000001,9,8.75,8.25,6.50,7.50,,,,10,N1,19,Sở GDĐT Bắc Ninh ,22.30,,23.80,23.00,,27.80,27.30
2021,365999,19000007,9,7,8.25,8,5,,,,9.40,N1,19,Sở GDĐT Bắc Ninh ,21.30,,25.30,22.00,,25.40,26.70
2021,366001,19000009,9.20,9,,,,6,8.75,9.50,9.80,N1,19,Sở GDĐT Bắc Ninh ,,24.30,,,23.80,28.00,
2021,366011,19000019,8.80,8,5.75,8.50,9.25,,,,8.80,N1,19,Sở GDĐT Bắc Ninh ,23.50,,23.10,26.60,,25.60,23.40
2021,366003,19000011,8.60,6,7.50,2.75,3.50,,,,9.20,N1,19,Sở GDĐT Bắc Ninh ,13.80,,18.90,14.90,,23.80,25.30
2021,366004,19000012,8.20,9.25,,,,6.50,7.25,8.50,9.60,N1,19,Sở GDĐT Bắc Ninh ,,22.30,,,23.00,27.10,
2021,366007,19000015,6.80,7.50,,,,2.25,6,7,7.60,N1,19,Sở GDĐT Bắc Ninh ,,15.30,,,15.80,21.90,
2021,366006,19000014,9.40,7.75,8.50,5.25,6,,,,10,N1,19,Sở GDĐT Bắc Ninh ,19.80,,23.20,20.70,,27.20,27.90
2021,366008,19000016,8.40,5.75,6.50,9.25,9.25,,,,5.80,N1,19,Sở GDĐT Bắc Ninh ,25.00,,24.20,26.90,,20.00,20.70
2021,366005,19000013,6.20,8.75,,,,9.50,9.75,9.50,10,N1,19,Sở GDĐT Bắc Ninh ,,28.80,,,28.00,25.00,
2021,366010,19000018,8,9.25,,,,5.75,7.50,7.50,9.60,N1,19,Sở GDĐT Bắc Ninh ,,20.80,,,22.50,26.90,
2021,366009,19000017,9,5.75,7.25,6.75,5,,,,8.60,N1,19,Sở GDĐT Bắc Ninh ,19.00,,23.00,20.80,,23.40,24.90
2021,366012,19000020,8.80,7.75,7.50,7,6.50,,,,9,N1,19,Sở GDĐT Bắc Ninh ,21.00,,23.30,22.30,,25.60,25.30
2021,366021,19000029,8.20,7.50,7,8.25,6.50,,,,10,N1,19,Sở GDĐT Bắc Ninh ,21.80,,23.50,23.00,,25.70,25.20
2021,366020,19000028,8.20,9,,,,4.25,6,7.25,9.40,N1,19,Sở GDĐT Bắc Ninh ,,17.50,,,19.30,26.60,
2021,366013,19000021,9,5.25,8,8.25,2.75,,,,8.80,N1,19,Sở GDĐT Bắc Ninh ,19.00,,25.30,20.00,,23.10,25.80
2021,366014,19000022,8.40,9.25,,,,6.25,8.50,9.50,9.80,N1,19,Sở GDĐT Bắc Ninh ,,24.30,,,24.00,27.50,
2021,366015,19000023,6.20,7.75,,,,4.75,7.25,8.50,,,19,Sở GDĐT Bắc Ninh ,,20.50,,,19.80,,
2021,366025,19000033,7.20,9.25,,,,9.75,9.25,9.50,8.20,N1,19,Sở GDĐT Bắc Ninh ,,28.50,,,28.30,24.70,
2021,366016,19000024,7.40,9,,,,8,9.25,8.75,,,19,Sở GDĐT Bắc Ninh ,,26.00,,,26.30,,
2021,366017,19000025,8.20,8.75,,,,5.50,7.50,8.50,9.40,N1,19,Sở GDĐT Bắc Ninh ,,21.50,,,21.80,26.40,
2021,366019,19000027,7.60,9.50,,,,10,9.50,9.75,7.40,N1,19,Sở GDĐT Bắc Ninh ,,29.30,,,29.00,24.50,
2021,366018,19000026,9.20,6.50,8.50,8.50,4,,,,8.20,N1,19,Sở GDĐT Bắc Ninh ,21.00,,26.20,21.70,,23.90,25.90
2021,366022,19000030,8.80,9,,,,6.50,8.50,9.50,9.80,N1,19,Sở GDĐT Bắc Ninh ,,24.50,,,24.00,27.60,
2021,366029,19000037,8,8.75,,,,8,8.75,9.50,9.40,N1,19,Sở GDĐT Bắc Ninh ,,26.30,,,25.50,26.20,
2021,366024,19000032,9.40,9,,,,7.75,9.25,9.50,10,N1,19,Sở GDĐT Bắc Ninh ,,26.50,,,26.00,28.40,
2021,366023,19000031,7.40,8.50,,,,6,9.25,9.25,9.80,N1,19,Sở GDĐT Bắc Ninh ,,24.50,,,23.80,25.70,
2021,366026,19000034,9,7.75,,,,7.25,8.50,9.25,9.80,N1,19,Sở GDĐT Bắc Ninh ,,25.00,,,23.50,26.60,
2021,366027,19000035,8.60,6,8,3.50,3.25,,,,9.60,N1,19,Sở GDĐT Bắc Ninh ,14.80,,20.10,15.40,,24.20,26.20
2021,366028,19000036,8.60,4.25,9,3.75,2.75,,,,9.60,N1,19,Sở GDĐT Bắc Ninh ,15.50,,21.40,15.10,,22.50,27.20
2021,366036,19000044,8.20,9,,,,7.75,8.25,9.50,9.60,N1,19,Sở GDĐT Bắc Ninh ,,25.50,,,25.00,26.80,
2021,366030,19000038,8.60,6,8.25,5.75,5.25,,,,9.60,N1,19,Sở GDĐT Bắc Ninh ,19.30,,22.60,19.60,,24.20,26.50
2021,366031,19000039,8.60,7.25,9,5.25,6,,,,10,N1,19,Sở GDĐT Bắc Ninh ,20.30,,22.90,19.90,,25.90,27.60
2021,366032,19000040,9,7.50,9,8.75,7.25,,,,,,19,Sở GDĐT Bắc Ninh ,25.00,,26.80,25.00,,,
2021,366033,19000041,8.20,8.50,8,3,4.25,,,,9.20,N1,19,Sở GDĐT Bắc Ninh ,15.30,,19.20,15.50,,25.90,25.40
