schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,911310,56000001,7,5.75,,,,5.50,7,8.50,6.20,N1,56,Sở GDĐT Bến Tre ,,21.00,,,18.30,19.00,
2021,911312,56000003,5,6,,,,5.50,8.50,9.50,2.60,N1,56,Sở GDĐT Bến Tre ,,23.50,,,20.00,13.60,
2021,911311,56000002,6.80,6.75,6.50,5.75,5.25,,,,5.20,N1,56,Sở GDĐT Bến Tre ,17.50,,19.10,17.80,,18.80,18.50
2021,911313,56000004,4.60,7.25,,,,5,7,8.75,6,N1,56,Sở GDĐT Bến Tre ,,20.80,,,19.30,17.90,
2021,911317,56000008,7.60,,6.50,4,,,,,,,56,Sở GDĐT Bến Tre ,,,18.10,,,,
2021,911314,56000005,5.60,5.50,,,,7.75,7,,,,56,Sở GDĐT Bến Tre ,,,,,20.30,,
2021,911318,56000009,5.40,7,,,,6.50,7.75,,,,56,Sở GDĐT Bến Tre ,,,,,21.30,,
2021,911319,56000010,5.20,8.50,,,,4,7.25,8,5.20,N1,56,Sở GDĐT Bến Tre ,,19.30,,,19.80,18.90,
2021,911316,56000007,7.20,6.25,5.75,7.50,5.50,,,,6.60,N1,56,Sở GDĐT Bến Tre ,18.80,,20.50,20.20,,20.00,19.50
2021,911315,56000006,6.60,5.25,,,,4.50,7,8.25,3,N1,56,Sở GDĐT Bến Tre ,,19.80,,,16.80,14.90,
2021,911321,56000012,4.60,6,,,,7.25,6.75,,,,56,Sở GDĐT Bến Tre ,,,,,20.00,,
2021,911320,56000011,7.40,6.50,7.25,4.75,5,,,,8,N1,56,Sở GDĐT Bến Tre ,17.00,,19.40,17.20,,21.90,22.70
2021,911331,56000022,6.60,6.50,,,,4.25,6.25,8.25,4,N1,56,Sở GDĐT Bến Tre ,,18.80,,,17.00,17.10,
2021,911323,56000014,3.40,5.75,,,,4.25,6.25,,,,56,Sở GDĐT Bến Tre ,,,,,16.30,,
2021,911329,56000020,2,4.50,,,,4,6.25,,,,56,Sở GDĐT Bến Tre ,,,,,14.80,,
2021,911327,56000018,3,7,,,,6.25,7.75,7.75,3.80,N1,56,Sở GDĐT Bến Tre ,,21.80,,,21.00,13.80,
2021,911322,56000013,8.80,8.25,7.25,7.25,7.75,,,,8.80,N1,56,Sở GDĐT Bến Tre ,22.30,,23.30,23.80,,25.90,24.90
2021,911328,56000019,7.20,7,,,,4,7.25,8.50,4.40,N1,56,Sở GDĐT Bến Tre ,,19.80,,,18.30,18.60,
2021,911325,56000016,8.40,8.50,,,,7.25,8.25,9.25,7.40,N1,56,Sở GDĐT Bến Tre ,,24.80,,,24.00,24.30,
2021,911324,56000015,6.20,7.25,4.25,5.50,5.75,,,,6.80,N1,56,Sở GDĐT Bến Tre ,15.50,,16.00,17.50,,20.30,17.30
2021,911326,56000017,8.20,5.75,7,6.75,5.50,,,,5.40,N1,56,Sở GDĐT Bến Tre ,19.30,,22.00,20.50,,19.40,20.60
2021,911332,56000023,2,5,,,,6.75,8.50,,,,56,Sở GDĐT Bến Tre ,,,,,20.30,,
2021,911330,56000021,8.40,4.25,6.75,7.25,5.25,,,,6.80,N1,56,Sở GDĐT Bến Tre ,19.30,,22.40,20.90,,19.50,22.00
2021,911339,56000030,7,8,,,,6,6.75,8.25,3.80,N1,56,Sở GDĐT Bến Tre ,,21.00,,,20.80,18.80,
2021,911334,56000025,6.60,7,,,,5.50,7.25,9.25,6.80,N1,56,Sở GDĐT Bến Tre ,,22.00,,,19.80,20.40,
2021,911333,56000024,7,3.50,,,,5.50,7,9,3,N1,56,Sở GDĐT Bến Tre ,,21.50,,,16.00,13.50,
2021,911338,56000029,5.20,5.25,,,,5.25,6,7.50,5,N1,56,Sở GDĐT Bến Tre ,,18.80,,,16.50,15.50,
2021,911336,56000027,2.40,3,,,,3.25,5.25,,,,56,Sở GDĐT Bến Tre ,,,,,11.50,,
2021,911337,56000028,7.80,8,6.25,7,6.25,,,,7.60,N1,56,Sở GDĐT Bến Tre ,19.50,,21.10,21.10,,23.40,21.70
2021,911335,56000026,9,7,,,,5.75,8,8.75,5.40,N1,56,Sở GDĐT Bến Tre ,,22.50,,,20.80,21.40,
2021,911340,56000031,7.20,5,,,,6,7.25,7,4.60,N1,56,Sở GDĐT Bến Tre ,,20.30,,,18.30,16.80,
