schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,228432,06000005,4.20,8,,,,4.50,7.25,8.25,4,N1,06,Sở GDĐT Cao Bằng ,,20.00,,,19.80,16.20,
2021,228438,06000011,4.60,6.50,,,,,,,3.60,N1,06,Sở GDĐT Cao Bằng ,,,,,,14.70,
2021,228429,06000002,5,7,,,,6.75,6.75,8.50,2.60,N1,06,Sở GDĐT Cao Bằng ,,22.00,,,20.50,14.60,
2021,228433,06000006,3.40,3.25,,,,3.75,6.75,6.50,5,N1,06,Sở GDĐT Cao Bằng ,,17.00,,,13.80,11.70,
2021,228435,06000008,6.60,5.75,,,,5.50,,,,,06,Sở GDĐT Cao Bằng ,,,,,,,
2021,228431,06000004,3.20,4.25,,,,4,5,4,3.20,N1,06,Sở GDĐT Cao Bằng ,,13.00,,,13.30,10.70,
2021,228437,06000010,4.80,5.25,,,,3,5.50,4,3.40,N1,06,Sở GDĐT Cao Bằng ,,12.50,,,13.80,13.50,
2021,228430,06000003,4.20,6,,,,4,5.50,8,2.20,N1,06,Sở GDĐT Cao Bằng ,,17.50,,,15.50,12.40,
2021,228436,06000009,,5,,,,4.50,7.75,,,,06,Sở GDĐT Cao Bằng ,,,,,17.30,,
2021,228434,06000007,7.80,7.25,,,,,,,9.40,N1,06,Sở GDĐT Cao Bằng ,,,,,,24.50,
2021,228428,06000001,,4.25,,,,6.50,7,,,,06,Sở GDĐT Cao Bằng ,,,,,17.80,,
2021,228448,06000021,3.60,6.25,,,,4.25,5.25,8,3,N1,06,Sở GDĐT Cao Bằng ,,17.50,,,15.80,12.90,
2021,228439,06000012,7.20,6.50,,,,5.50,7.50,9.50,4,N1,06,Sở GDĐT Cao Bằng ,,22.50,,,19.50,17.70,
2021,228440,06000013,2.20,3.25,,,,2.50,3,5.50,2.20,N1,06,Sở GDĐT Cao Bằng ,,11.00,,,8.80,7.70,
2021,228446,06000019,4.60,5.75,,,,5.25,6.50,6.50,2.40,N1,06,Sở GDĐT Cao Bằng ,,18.30,,,17.50,12.80,
2021,228445,06000018,5.40,8,,,,4.50,8,8,3.80,N1,06,Sở GDĐT Cao Bằng ,,20.50,,,20.50,17.20,
