schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,960578,61000001,7.20,6.50,,,,5.75,8,10,3.80,N1,61,Sở GDĐT Cà Mau ,,23.80,,,20.30,17.50,
2021,960579,61000002,6.80,6.25,,,,6,6.75,9,8.40,N1,61,Sở GDĐT Cà Mau ,,21.80,,,19.00,21.50,
2021,960583,61000006,7,6.75,,,,3.25,6.25,9.50,5,N1,61,Sở GDĐT Cà Mau ,,19.00,,,16.30,18.80,
2021,960580,61000003,5.60,8.50,,,,6.25,7.50,9.50,6,N1,61,Sở GDĐT Cà Mau ,,23.30,,,22.30,20.10,
2021,960581,61000004,6.60,7.75,,,,6.75,7.50,9.25,7.60,N1,61,Sở GDĐT Cà Mau ,,23.50,,,22.00,22.00,
2021,960586,61000009,8.20,6.50,,,,4.75,6.25,9.50,7.80,N1,61,Sở GDĐT Cà Mau ,,20.50,,,17.50,22.50,
2021,960585,61000008,7.20,6.25,5,5.25,6,,,,6,N1,61,Sở GDĐT Cà Mau ,16.30,,17.50,18.50,,19.50,18.20
2021,960587,61000010,2.60,5,,,,1.25,5.50,8.25,1.80,N1,61,Sở GDĐT Cà Mau ,,15.00,,,11.80,9.40,
2021,960584,61000007,6.80,6.50,,,,5,6,7.75,4.20,N1,61,Sở GDĐT Cà Mau ,,18.80,,,17.50,17.50,
2021,960582,61000005,6.60,7,,,,5,9,9,8.40,N1,61,Sở GDĐT Cà Mau ,,23.00,,,21.00,22.00,
2021,960594,61000017,6,4,,,,4.25,6.50,8.25,3.60,N1,61,Sở GDĐT Cà Mau ,,19.00,,,14.80,13.60,
2021,960588,61000011,7.40,7.25,,,,7.50,7.50,9.25,9,N1,61,Sở GDĐT Cà Mau ,,24.30,,,22.30,23.70,
2021,960597,61000020,8,8.50,5,7.50,4.75,,,,8.20,N1,61,Sở GDĐT Cà Mau ,17.30,,20.50,20.30,,24.70,21.20
2021,960589,61000012,6.80,5.75,,,,6,7.50,8.25,5.80,N1,61,Sở GDĐT Cà Mau ,,21.80,,,19.30,18.40,
2021,960601,61000024,4.20,6.25,,,,4.25,6.50,8.75,5.60,N1,61,Sở GDĐT Cà Mau ,,19.50,,,17.00,16.00,
