schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,899200,55000004,7,7,4.50,4.25,4,,,,7.60,N1,55,Sở GDĐT Cần Thơ ,12.80,,15.80,15.30,,21.60,19.10
2021,899199,55000003,6.40,6.50,,,,4.25,7.50,7.75,3.80,N1,55,Sở GDĐT Cần Thơ ,,19.50,,,18.30,16.70,
2021,899203,55000007,5,6.50,,,,4.25,7.50,8,4,N1,55,Sở GDĐT Cần Thơ ,,19.80,,,18.30,15.50,
2021,899201,55000005,7.60,7,6,6.25,5.50,,,,6.80,N1,55,Sở GDĐT Cần Thơ ,17.80,,19.90,19.40,,21.40,20.40
2021,899197,55000001,7,7.25,,,,3.25,7.25,8,4.20,N1,55,Sở GDĐT Cần Thơ ,,18.50,,,17.80,18.50,
2021,899205,55000009,4.60,6.50,,,,2.50,7.75,8.25,3.60,N1,55,Sở GDĐT Cần Thơ ,,18.50,,,16.80,14.70,
2021,899204,55000008,8.20,8.50,,,,4,7.50,9,8.80,N1,55,Sở GDĐT Cần Thơ ,,20.50,,,20.00,25.50,
2021,899198,55000002,7,6.75,7,7.75,6.50,,,,5.40,N1,55,Sở GDĐT Cần Thơ ,21.30,,21.80,21.30,,19.20,19.40
2021,899206,55000010,4.60,6,,,,4.75,7.25,8.75,2.80,N1,55,Sở GDĐT Cần Thơ ,,20.80,,,18.00,13.40,
2021,899202,55000006,6.20,7.50,5.75,7,6.25,,,,5.80,N1,55,Sở GDĐT Cần Thơ ,19.00,,19.00,19.50,,19.50,17.80
2021,899207,55000011,4.80,7,,,,6.50,7.75,8.50,4.40,N1,55,Sở GDĐT Cần Thơ ,,22.80,,,21.30,16.20,
2021,899208,55000012,4.20,5.50,,,,4.75,6.50,7.25,3.80,N1,55,Sở GDĐT Cần Thơ ,,18.50,,,16.80,13.50,
2021,899209,55000013,8,6.75,,,,5.25,8.25,8.75,8.80,N1,55,Sở GDĐT Cần Thơ ,,22.30,,,20.30,23.60,
2021,899210,55000014,7.60,6.25,7,7,5.50,,,,7.60,N1,55,Sở GDĐT Cần Thơ ,19.50,,21.60,20.10,,21.50,22.20
2021,899211,55000015,4.60,6,,,,4.25,6.25,9,3.80,N1,55,Sở GDĐT Cần Thơ ,,19.50,,,16.50,14.40,
2021,899214,55000018,8.60,7.50,8.50,7.25,6.50,,,,8.80,N1,55,Sở GDĐT Cần Thơ ,22.30,,24.40,22.40,,24.90,25.90
2021,899212,55000016,6.40,7.75,,,,2.50,6.50,7.25,7.80,N1,55,Sở GDĐT Cần Thơ ,,16.30,,,16.80,22.00,
2021,899215,55000019,8.40,5.75,,,,3.75,7.75,8.75,8,N1,55,Sở GDĐT Cần Thơ ,,20.30,,,17.30,22.20,
2021,899213,55000017,7,7.50,,,,8,9.25,9.50,7,N1,55,Sở GDĐT Cần Thơ ,,26.80,,,24.80,21.50,
2021,899216,55000020,8.40,6.25,6.25,7.50,8.50,,,,7.60,N1,55,Sở GDĐT Cần Thơ ,22.30,,22.20,24.40,,22.30,22.30
2021,899217,55000021,7.60,8.25,,,,4.75,8,9,8.80,N1,55,Sở GDĐT Cần Thơ ,,21.80,,,21.00,24.70,
2021,899221,55000025,4.60,5.75,,,,6.50,7.25,8.50,5.40,N1,55,Sở GDĐT Cần Thơ ,,22.30,,,19.50,15.80,
2021,899220,55000024,8,7.25,5.75,7.25,6.25,,,,9,N1,55,Sở GDĐT Cần Thơ ,19.30,,21.00,21.50,,24.30,22.80
