schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,664758,38000009,8.60,5.75,7.25,7.25,7.25,,,,6.40,N1,38,Sở GDĐT Gia Lai ,21.80,,23.10,23.10,,20.80,22.30
2021,664752,38000003,6.80,7,,,,6.25,8.50,9.50,5.20,N1,38,Sở GDĐT Gia Lai ,,24.30,,,21.80,19.00,
2021,664753,38000004,5.60,6,,,,7,7.50,9.50,5.40,N1,38,Sở GDĐT Gia Lai ,,24.00,,,20.50,17.00,
2021,664757,38000008,7.60,6.50,7,6,6.25,,,,5.40,N1,38,Sở GDĐT Gia Lai ,19.30,,20.60,19.90,,19.50,20.00
2021,664751,38000002,5.60,6.75,,,,4.25,6,8.75,4.60,N1,38,Sở GDĐT Gia Lai ,,19.00,,,17.00,17.00,
2021,664759,38000010,8.60,6.75,,,,6.75,6.25,8.25,5.60,N1,38,Sở GDĐT Gia Lai ,,21.30,,,19.80,21.00,
2021,664750,38000001,6.60,6.75,5.75,7,5.50,,,,6.20,N1,38,Sở GDĐT Gia Lai ,18.30,,19.40,19.10,,19.60,18.60
2021,664754,38000005,9,6,6.75,8.50,6.75,,,,5.20,N1,38,Sở GDĐT Gia Lai ,22.00,,24.30,24.30,,20.20,21.00
2021,664756,38000007,8,5.75,6.25,6.50,6.25,,,,4,N1,38,Sở GDĐT Gia Lai ,19.00,,20.80,20.80,,17.80,18.30
2021,664755,38000006,7,6,6.50,7.25,5.25,,,,3,N1,38,Sở GDĐT Gia Lai ,19.00,,20.80,19.50,,16.00,16.50
2021,664769,38000020,6.80,7.25,,,,9,8.50,9.75,6.20,N1,38,Sở GDĐT Gia Lai ,,27.30,,,24.80,20.30,
2021,664764,38000015,8.20,6.75,7,8,8,,,,9.60,N1,38,Sở GDĐT Gia Lai ,23.00,,23.20,24.20,,24.50,24.80
2021,664760,38000011,7,6.25,,,,7,7.25,8,4.60,N1,38,Sở GDĐT Gia Lai ,,22.30,,,20.50,17.90,
2021,664771,38000022,7.40,7.50,,,,7.75,6.50,8.75,4.80,N1,38,Sở GDĐT Gia Lai ,,23.00,,,21.80,19.70,
2021,664761,38000012,5,6.41,,,,5.50,7,9.75,4.20,N1,38,Sở GDĐT Gia Lai ,,22.30,,,18.90,15.60,
2021,664762,38000013,8.40,7.16,7.50,8,7.25,,,,7,N1,38,Sở GDĐT Gia Lai ,22.80,,23.90,23.70,,22.60,22.90
2021,664765,38000016,4.80,6.50,,,,3.25,6,7,4.40,N1,38,Sở GDĐT Gia Lai ,,16.30,,,15.80,15.70,
2021,664763,38000014,7.20,7.33,,,,7.50,8,8.75,6.20,N1,38,Sở GDĐT Gia Lai ,,24.30,,,22.80,20.70,
2021,664768,38000019,5.20,6,,,,6.75,7.25,8.50,4.80,N1,38,Sở GDĐT Gia Lai ,,22.50,,,20.00,16.00,
2021,664767,38000018,6,5.75,,,,5.25,7.75,8.75,5.20,N1,38,Sở GDĐT Gia Lai ,,21.80,,,18.80,17.00,
2021,664766,38000017,8,7,6.50,7.25,7.75,,,,5,N1,38,Sở GDĐT Gia Lai ,21.50,,21.80,23.00,,20.00,19.50
2021,664777,38000028,6.60,7.75,,,,6.75,8.75,9.50,5,N1,38,Sở GDĐT Gia Lai ,,25.00,,,23.30,19.40,
2021,664770,38000021,5.80,6.50,,,,4.75,6.25,7.75,7.40,N1,38,Sở GDĐT Gia Lai ,,18.80,,,17.50,19.70,
2021,664772,38000023,8,7.25,6.50,7.25,6.25,,,,5.80,N1,38,Sở GDĐT Gia Lai ,20.00,,21.80,21.50,,21.10,20.30
2021,664774,38000025,7.80,7,,,,8.75,8.25,9.75,8.60,N1,38,Sở GDĐT Gia Lai ,,26.80,,,24.00,23.40,
2021,664773,38000024,7.20,6.75,,,,7,8.50,9,7.20,N1,38,Sở GDĐT Gia Lai ,,24.50,,,22.30,21.20,
2021,664775,38000026,5.80,6,,,,5.50,6.75,8.50,5.20,N1,38,Sở GDĐT Gia Lai ,,20.80,,,18.30,17.00,
2021,664779,38000030,4.40,7,,,,2.75,5.75,8.25,4,N1,38,Sở GDĐT Gia Lai ,,16.80,,,15.50,15.40,
2021,664780,38000031,5.20,5.75,,,,5.25,7,7,4,N1,38,Sở GDĐT Gia Lai ,,19.30,,,18.00,15.00,
2021,664778,38000029,4.60,6.50,,,,3,5.25,7.25,4.60,N1,38,Sở GDĐT Gia Lai ,,15.50,,,14.80,15.70,
