schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,416939,23000008,7.40,5.25,3.50,8,7,,,,3,N1,23,Sở GDĐT Hoà Bình ,18.50,,18.90,22.40,,15.70,13.90
2021,416940,23000009,5.80,6.50,3.50,4.50,6.50,,,,2.40,N1,23,Sở GDĐT Hoà Bình ,14.50,,13.80,16.80,,14.70,11.70
2021,416942,23000011,4.80,5.50,,,,5,8.25,9.25,2.60,N1,23,Sở GDĐT Hoà Bình ,,22.50,,,18.80,12.90,
2021,416932,23000001,2.40,4,,,,3.50,4.50,5.50,2.60,N1,23,Sở GDĐT Hoà Bình ,,13.50,,,12.00,9.00,
2021,416937,23000006,3,6.50,,,,4.50,7.25,7.25,2.40,N1,23,Sở GDĐT Hoà Bình ,,19.00,,,18.30,11.90,
2021,416935,23000004,2.80,5,,,,3.50,6.50,6.50,2.40,N1,23,Sở GDĐT Hoà Bình ,,16.50,,,15.00,10.20,
2021,416941,23000010,4.60,6.25,,,,5,7,9,2.20,N1,23,Sở GDĐT Hoà Bình ,,21.00,,,18.30,13.10,
2021,416938,23000007,4,6.75,,,,4,7.75,9,1.60,N1,23,Sở GDĐT Hoà Bình ,,20.80,,,18.50,12.40,
2021,416933,23000002,2.80,5.50,,,,3,4.75,,,,23,Sở GDĐT Hoà Bình ,,,,,13.30,,
2021,416936,23000005,5.60,7,,,,7.50,7.50,9.50,3,N1,23,Sở GDĐT Hoà Bình ,,24.50,,,22.00,15.60,
2021,416934,23000003,3.60,6,,,,2.50,5.50,4.75,6.60,N1,23,Sở GDĐT Hoà Bình ,,12.80,,,14.00,16.20,
2021,416951,23000020,5.80,7.25,,,,8.75,9,8.25,3.20,N1,23,Sở GDĐT Hoà Bình ,,26.00,,,25.00,16.30,
2021,416950,23000019,4,6.50,,,,5.25,7.50,9.50,5.20,N1,23,Sở GDĐT Hoà Bình ,,22.30,,,19.30,15.70,
2021,416949,23000018,3.60,6.25,,,,4.25,6.75,8.50,3.60,N1,23,Sở GDĐT Hoà Bình ,,19.50,,,17.30,13.50,
2021,416952,23000021,8.40,6.50,,,,4,7.25,7.75,2.40,N3,23,Sở GDĐT Hoà Bình ,,19.00,,,17.80,17.30,
