schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,222833,05000010,8.40,7.50,,,,3.75,6.50,8.75,9.40,N1,05,Sở GDĐT Hà Giang ,,19.00,,,17.80,25.30,
2021,222832,05000009,4.20,6.50,,,,5.50,6.75,,,,05,Sở GDĐT Hà Giang ,,,,,18.80,,
2021,222827,05000004,8.20,7,7.25,8.50,5.75,,,,5.60,N1,05,Sở GDĐT Hà Giang ,21.50,,24.00,22.50,,20.80,21.00
2021,222830,05000007,7.80,8,,,,5,7.25,8.50,8.80,N1,05,Sở GDĐT Hà Giang ,,20.80,,,20.30,24.60,
2021,222828,05000005,5.80,7,,,,2.75,6.75,7.50,8.20,N1,05,Sở GDĐT Hà Giang ,,17.00,,,16.50,21.00,
2021,222829,05000006,8.20,7.50,,,,5,6.25,7.75,7.20,N1,05,Sở GDĐT Hà Giang ,,19.00,,,18.80,22.90,
2021,222824,05000001,7.40,4,,,,4.75,6.50,8.25,3.80,N1,05,Sở GDĐT Hà Giang ,,19.50,,,15.30,15.20,
2021,222825,05000002,7,5.50,,,,3.25,6.25,7.50,7,N1,05,Sở GDĐT Hà Giang ,,17.00,,,15.00,19.50,
2021,222831,05000008,7.20,6.25,,,,6.25,5.75,8.50,5.40,N1,05,Sở GDĐT Hà Giang ,,20.50,,,18.30,18.90,
2021,222826,05000003,7,6.50,,,,3.25,6,6,6.60,N1,05,Sở GDĐT Hà Giang ,,15.30,,,15.80,20.10,
2021,222842,05000019,8.60,,8,5,,,,,9.60,N1,05,Sở GDĐT Hà Giang ,,,21.60,,,,26.20
2021,222835,05000012,8.80,7.25,8,8.75,4.75,,,,5.80,N1,05,Sở GDĐT Hà Giang ,21.50,,25.60,22.30,,21.90,22.60
2021,222834,05000011,8.60,6.75,6.25,5.50,5.25,,,,7.80,N1,05,Sở GDĐT Hà Giang ,17.00,,20.40,19.40,,23.20,22.70
