schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,426411,24000002,8.60,9.25,,,,4.75,8,8.25,9.40,N1,24,Sở GDĐT Hà Nam ,,21.00,,,22.00,27.30,
2021,426414,24000005,8,7.75,3,8.25,8.75,,,,9.20,N1,24,Sở GDĐT Hà Nam ,20.00,,19.30,25.00,,25.00,20.20
2021,426410,24000001,5.40,8,,,,7.75,9,8.75,5.40,N1,24,Sở GDĐT Hà Nam ,,25.50,,,24.80,18.80,
2021,426413,24000004,9.20,6.75,7.75,8.75,5.50,,,,6.80,N1,24,Sở GDĐT Hà Nam ,22.00,,25.70,23.50,,22.80,23.80
2021,426417,24000009,9.20,9,,,,8.75,8.25,9.25,9.80,N1,24,Sở GDĐT Hà Nam ,,26.30,,,26.00,28.00,
2021,426416,24000007,8.80,9,,,,7.25,8,9.50,9.80,N2,24,Sở GDĐT Hà Nam ,,24.80,,,24.30,27.60,
2021,426412,24000003,8,9.50,,,,9,7,9.50,9.80,N1,24,Sở GDĐT Hà Nam ,,25.50,,,25.50,27.30,
2021,426415,24000006,6,7.50,,,,8.50,8,9,5.80,N1,24,Sở GDĐT Hà Nam ,,25.50,,,24.00,19.30,
2021,426418,24000010,8.60,8,7.50,8.75,5.75,,,,7.80,N1,24,Sở GDĐT Hà Nam ,22.00,,24.90,23.10,,24.40,23.90
2021,426427,24000019,7.60,9.25,,,,7.25,9.25,9,8.40,N1,24,Sở GDĐT Hà Nam ,,25.50,,,25.80,25.30,
2021,426422,24000014,7,8.50,,,,6.25,7.25,9.25,9.60,N1,24,Sở GDĐT Hà Nam ,,22.80,,,22.00,25.10,
2021,426426,24000018,8.40,6.75,7,7.75,3.75,,,,6.40,N1,24,Sở GDĐT Hà Nam ,18.50,,23.20,19.90,,21.60,21.80
2021,426424,24000016,8.40,9,,,,6.50,8.50,8,9.60,N1,24,Sở GDĐT Hà Nam ,,23.00,,,24.00,27.00,
2021,426420,24000012,8.80,8.25,7.50,9.25,5.75,,,,7.80,N1,24,Sở GDĐT Hà Nam ,22.50,,25.60,23.80,,24.90,24.10
2021,426428,24000020,7.60,9,,,,5.50,7.50,9.25,9.40,N1,24,Sở GDĐT Hà Nam ,,22.30,,,22.00,26.00,
2021,426421,24000013,8.40,7,,,,,,,8.60,N1,24,Sở GDĐT Hà Nam ,,,,,,24.00,
2021,426423,24000015,8.40,9,,,,4.50,6.75,9,9.20,N1,24,Sở GDĐT Hà Nam ,,20.30,,,20.30,26.60,
2021,426419,24000011,9.60,8,8.50,9,4,,,,8,N1,24,Sở GDĐT Hà Nam ,21.50,,27.10,22.60,,25.60,26.10
2021,426425,24000017,8.80,6.25,8,8.75,5.75,,,,7.80,N1,24,Sở GDĐT Hà Nam ,22.50,,25.60,23.30,,22.90,24.60
2021,426437,24000029,8.40,7,8.25,6.50,6.25,,,,10,N1,24,Sở GDĐT Hà Nam ,21.00,,23.20,21.20,,25.40,26.70
2021,426436,24000028,9.20,6.75,8.75,8,7.25,,,,9.40,N1,24,Sở GDĐT Hà Nam ,24.00,,26.00,24.50,,25.40,27.40
2021,426440,24000032,7.80,7,5.25,7.25,8,,,,7.20,N1,24,Sở GDĐT Hà Nam ,20.50,,20.30,23.10,,22.00,20.30
2021,426431,24000023,8.40,7,7.50,8,5.25,,,,4.20,N1,24,Sở GDĐT Hà Nam ,20.80,,23.90,21.70,,19.60,20.10
