schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,1,01000001,2.20,3.50,,,,2.50,5.50,,,,01,Sở GDĐT Hà Nội ,,,,,11.50,,
2021,5,01000005,8.80,8.25,8.25,5.75,5.25,,,,9.40,N1,01,Sở GDĐT Hà Nội ,19.30,,22.80,19.80,,26.50,26.50
2021,4,01000004,8.40,6.75,4,3,3.50,,,,10,N1,01,Sở GDĐT Hà Nội ,10.50,,15.40,14.90,,25.20,22.40
2021,3,01000003,4.40,6.25,,,,4.25,4,,,,01,Sở GDĐT Hà Nội ,,,,,14.50,,
2021,2,01000002,9.20,8.25,,,,5.75,9.75,9.25,10,N1,01,Sở GDĐT Hà Nội ,,24.80,,,23.80,27.50,
2021,8,01000008,,7.50,,,,2.25,7,,,,01,Sở GDĐT Hà Nội ,,,,,16.80,,
2021,9,01000009,8,8,,,,5.25,8,9,8.40,N1,01,Sở GDĐT Hà Nội ,,22.30,,,21.30,24.40,
2021,7,01000007,9,5.25,7.25,4.75,3.50,,,,9,N1,01,Sở GDĐT Hà Nội ,15.50,,21.00,17.30,,23.30,25.30
2021,6,01000006,8,8.75,,,,5,6.50,9.25,8.60,N1,01,Sở GDĐT Hà Nội ,,20.80,,,20.30,25.40,
2021,10,01000010,8.80,6.25,8.75,8.75,3,,,,9.20,N1,01,Sở GDĐT Hà Nội ,20.50,,26.30,20.60,,24.30,26.80
2021,11,01000011,6,7.75,,,,3,7.25,8.50,8.20,N1,01,Sở GDĐT Hà Nội ,,18.80,,,18.00,22.00,
2021,13,01000013,7.40,6.75,,,,3.75,8.50,6.50,9,N1,01,Sở GDĐT Hà Nội ,,18.80,,,19.00,23.20,
2021,18,01000018,8.80,8.25,8,5,6.75,,,,,,01,Sở GDĐT Hà Nội ,19.80,,21.80,20.60,,,
2021,16,01000016,7.80,8.50,,,,6.50,7.50,8,9.40,N1,01,Sở GDĐT Hà Nội ,,22.00,,,22.50,25.70,
2021,14,01000014,7.40,8,,,,6,6.25,7.50,8.60,N1,01,Sở GDĐT Hà Nội ,,19.80,,,20.30,24.00,
2021,19,01000019,7,8.50,,,,4,5.25,6.75,8.80,N1,01,Sở GDĐT Hà Nội ,,16.00,,,17.80,24.30,
2021,17,01000017,7.80,8,7.50,8,7.25,,,,9.60,N1,01,Sở GDĐT Hà Nội ,22.80,,23.30,23.10,,25.40,24.90
2021,15,01000015,6,7.75,,,,4,7.75,7,9,N1,01,Sở GDĐT Hà Nội ,,18.80,,,19.50,22.80,
2021,12,01000012,6.40,6.75,,,,5.50,7,7.50,7.80,N1,01,Sở GDĐT Hà Nội ,,20.00,,,19.30,21.00,
2021,20,01000020,8.80,6.25,5.50,8.25,4.50,,,,8.40,N1,01,Sở GDĐT Hà Nội ,18.30,,22.60,21.60,,23.50,22.70
2021,21,01000021,9,9,,,,5,8,9.50,9.40,N1,01,Sở GDĐT Hà Nội ,,22.50,,,22.00,27.40,
2021,22,01000022,2.80,6.25,,,,3.25,5.50,,,,01,Sở GDĐT Hà Nội ,,,,,15.00,,
2021,23,01000023,7.60,8.25,,,,7,7.75,9.50,10,N1,01,Sở GDĐT Hà Nội ,,24.30,,,23.00,25.90,
2021,24,01000024,8.40,7.50,,,,4.75,7.50,8.50,9.20,N1,01,Sở GDĐT Hà Nội ,,20.80,,,19.80,25.10,
2021,25,01000025,4.20,6.50,,,,5,6.50,10,3.60,N1,01,Sở GDĐT Hà Nội ,,21.50,,,18.00,14.30,
2021,28,01000028,9.20,8.25,8.75,8,6,,,,9.20,N1,01,Sở GDĐT Hà Nội ,22.80,,26.00,23.20,,26.70,27.20
2021,30,01000030,8.20,7.75,,,,,,,9.20,N1,01,Sở GDĐT Hà Nội ,,,,,,25.20,
2021,27,01000027,8,9,,,,6,7,9.25,9.80,N1,01,Sở GDĐT Hà Nội ,,22.30,,,22.00,26.80,
2021,29,01000029,8.40,6,,,,3.50,7.50,8,9.40,N1,01,Sở GDĐT Hà Nội ,,19.00,,,17.00,23.80,
2021,26,01000026,8.60,7,,,,4.25,6.50,6.50,5.20,N1,01,Sở GDĐT Hà Nội ,,17.30,,,17.80,20.80,
2021,31,01000031,8.60,8.25,,,,7,9.25,9.25,9.80,N1,01,Sở GDĐT Hà Nội ,,25.50,,,24.50,26.70,
2021,32,01000032,3.80,7.25,,,,5.50,7.50,7.75,6.40,N1,01,Sở GDĐT Hà Nội ,,20.80,,,20.30,17.50,
2021,34,01000034,4.80,6.25,,,,4.75,6.50,7.75,3.80,N1,01,Sở GDĐT Hà Nội ,,19.00,,,17.50,14.90,
