schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,565275,30000003,4.20,7.25,,,,7.75,8,8.50,5.40,N1,30,Sở GDĐT Hà Tĩnh ,,24.30,,,23.00,16.90,
2021,565274,30000002,8.60,7.50,,,,4.75,8.25,9.25,7.60,N1,30,Sở GDĐT Hà Tĩnh ,,22.30,,,20.50,23.70,
2021,565273,30000001,6.80,6.50,,,,6,8.50,9,8.40,N1,30,Sở GDĐT Hà Tĩnh ,,23.50,,,21.00,21.70,
2021,565277,30000005,9,8.25,6.25,8.25,9.75,,,,8.80,N1,30,Sở GDĐT Hà Tĩnh ,24.30,,23.50,27.00,,26.10,24.10
2021,565276,30000004,5.80,7.25,,,,5.50,8.50,10,5.40,N1,30,Sở GDĐT Hà Tĩnh ,,24.00,,,21.30,18.50,
2021,565280,30000008,6.80,8,,,,3,6,6.75,5.20,N1,30,Sở GDĐT Hà Tĩnh ,,15.80,,,17.00,20.00,
2021,565282,30000010,8.20,7,7.75,7,3.50,,,,4.20,N1,30,Sở GDĐT Hà Tĩnh ,18.30,,23.00,18.70,,19.40,20.20
2021,565278,30000006,6.80,6,6,7.50,4.75,,,,4.20,N1,30,Sở GDĐT Hà Tĩnh ,18.30,,20.30,19.10,,17.00,17.00
2021,565281,30000009,9.20,7.50,8.25,4,5.25,,,,8.40,N1,30,Sở GDĐT Hà Tĩnh ,17.50,,21.50,18.50,,25.10,25.90
2021,565279,30000007,6.40,6.75,3.25,4.50,3.75,,,,4.80,N1,30,Sở GDĐT Hà Tĩnh ,11.50,,14.20,14.70,,18.00,14.50
2021,565283,30000011,7,7.75,,,,8,7.25,9,4,N1,30,Sở GDĐT Hà Tĩnh ,,24.30,,,23.00,18.80,
2021,565285,30000013,6.20,9,,,,3,6.75,8.75,3.80,N1,30,Sở GDĐT Hà Tĩnh ,,18.50,,,18.80,19.00,
2021,565287,30000015,8.20,8.50,,,,7.75,9,10,8.80,N1,30,Sở GDĐT Hà Tĩnh ,,26.80,,,25.30,25.50,
2021,565293,30000021,8.40,8,,,,9.25,9.50,9.75,5.80,N1,30,Sở GDĐT Hà Tĩnh ,,28.50,,,26.80,22.20,
2021,565286,30000014,6.20,7.25,,,,3.75,6,7.75,5.60,N1,30,Sở GDĐT Hà Tĩnh ,,17.50,,,17.00,19.00,
2021,565288,30000016,7,6.25,5.25,8.25,9.25,,,,3.40,N1,30,Sở GDĐT Hà Tĩnh ,22.80,,20.50,24.50,,16.70,15.70
2021,565290,30000018,7.60,7.75,,,,5.25,7.50,9.50,7.80,N1,30,Sở GDĐT Hà Tĩnh ,,22.30,,,20.50,23.20,
2021,565291,30000019,4.80,7.75,,,,7.50,8.25,8.50,8.40,N1,30,Sở GDĐT Hà Tĩnh ,,24.30,,,23.50,21.00,
2021,565284,30000012,7.60,6.75,,,,3.75,6.75,9.50,5.60,N1,30,Sở GDĐT Hà Tĩnh ,,20.00,,,17.30,20.00,
2021,565292,30000020,7.60,8.25,5.75,8,8,,,,5.80,N1,30,Sở GDĐT Hà Tĩnh ,21.80,,21.40,23.60,,21.70,19.20
2021,565289,30000017,8.20,7.25,,,,5.25,7.25,9.25,7,N1,30,Sở GDĐT Hà Tĩnh ,,21.80,,,19.80,22.50,
2021,565298,30000026,9,8,9,6,5.75,,,,9.60,N1,30,Sở GDĐT Hà Tĩnh ,20.80,,24.00,20.80,,26.60,27.60
2021,565294,30000022,7.40,8.25,6.75,9,10,,,,8.40,N1,30,Sở GDĐT Hà Tĩnh ,25.80,,23.20,26.40,,24.10,22.60
2021,565295,30000023,7.80,7.25,,,,5.50,9,9.75,7.60,N1,30,Sở GDĐT Hà Tĩnh ,,24.30,,,21.80,22.70,
2021,565296,30000024,8,8,,,,9,7.25,9,6.80,N1,30,Sở GDĐT Hà Tĩnh ,,25.30,,,24.30,22.80,
2021,565306,30000034,7.20,8,,,,5.75,7.25,7,8.40,N1,30,Sở GDĐT Hà Tĩnh ,,20.00,,,21.00,23.60,
2021,565297,30000025,7.40,8.50,,,,7,8.25,9.25,8,N1,30,Sở GDĐT Hà Tĩnh ,,24.50,,,23.80,23.90,
2021,565301,30000029,8.20,9.25,,,,5.75,7.75,8.25,8.20,N1,30,Sở GDĐT Hà Tĩnh ,,21.80,,,22.80,25.70,
2021,565307,30000035,5.60,6.75,,,,5,7.75,8,6.40,N1,30,Sở GDĐT Hà Tĩnh ,,20.80,,,19.50,18.80,
2021,565300,30000028,6,8,,,,5.50,9,9.25,4.80,N1,30,Sở GDĐT Hà Tĩnh ,,23.80,,,22.50,18.80,
2021,565299,30000027,8.20,7.75,7.50,8.75,9.75,,,,8.60,N1,30,Sở GDĐT Hà Tĩnh ,26.00,,24.50,26.70,,24.50,24.30
2021,565303,30000031,8.40,8.25,,,,5.25,7.50,9.50,7.60,N1,30,Sở GDĐT Hà Tĩnh ,,22.30,,,21.00,24.30,
2021,565302,30000030,5.80,8,,,,3.25,6.50,,,,30,Sở GDĐT Hà Tĩnh ,,,,,17.80,,
2021,565305,30000033,4.80,7.50,,,,5,8,9.25,2.80,N1,30,Sở GDĐT Hà Tĩnh ,,22.30,,,20.50,15.10,
2021,565304,30000032,4.60,7,,,,4.75,6.75,7,2,N1,30,Sở GDĐT Hà Tĩnh ,,18.50,,,18.50,13.60,
2021,565310,30000038,7.80,7.75,,,,5.25,9,9.25,9,N1,30,Sở GDĐT Hà Tĩnh ,,23.50,,,22.00,24.60,
2021,565311,30000039,5.80,7.25,,,,4,8,9.50,6.40,N1,30,Sở GDĐT Hà Tĩnh ,,21.50,,,19.30,19.50,
2021,565313,30000041,9.20,6.25,8,8.50,4,,,,2.40,N1,30,Sở GDĐT Hà Tĩnh ,20.50,,25.70,21.70,,17.80,19.60
2021,565316,30000044,7.60,7.75,,,,7,8.25,10,7.80,N1,30,Sở GDĐT Hà Tĩnh ,,25.30,,,23.00,23.20,
2021,565308,30000036,7,9.25,,,,8,8,9.75,9,N1,30,Sở GDĐT Hà Tĩnh ,,25.80,,,25.30,25.30,
2021,565317,30000045,8.80,8,9,9,7.50,,,,7.40,N1,30,Sở GDĐT Hà Tĩnh ,25.50,,26.80,25.30,,24.20,25.20
2021,565318,30000046,7.20,8.25,,,,7,7.75,9,7.20,N1,30,Sở GDĐT Hà Tĩnh ,,23.80,,,23.00,22.70,
2021,565309,30000037,8,7.75,7,7.50,3.75,,,,4.80,N1,30,Sở GDĐT Hà Tĩnh ,18.30,,22.50,19.30,,20.60,19.80
2021,565314,30000042,6.60,7.75,7.25,6.50,5.50,,,,4.60,N1,30,Sở GDĐT Hà Tĩnh ,19.30,,20.40,18.60,,19.00,18.50
2021,565322,30000050,6.60,5.75,,,,5.25,6.50,,,,30,Sở GDĐT Hà Tĩnh ,,,,,17.50,,
2021,565324,30000052,7.20,6.25,6.25,7.25,5.25,,,,5,N1,30,Sở GDĐT Hà Tĩnh ,18.80,,20.70,19.70,,18.50,18.50
2021,565315,30000043,8.40,6.25,7.25,8.50,5,,,,6.60,N1,30,Sở GDĐT Hà Tĩnh ,20.80,,24.20,21.90,,21.30,22.30
2021,565312,30000040,7.40,9,,,,6.75,7.75,9.50,7.60,N1,30,Sở GDĐT Hà Tĩnh ,,24.00,,,23.50,24.00,
2021,565319,30000047,8.20,6.75,6.25,8,10,,,,5,N1,30,Sở GDĐT Hà Tĩnh ,24.30,,22.50,26.20,,20.00,19.50
2021,565320,30000048,9,7.75,7.75,8.50,8.50,,,,9.20,N1,30,Sở GDĐT Hà Tĩnh ,24.80,,25.30,26.00,,26.00,26.00
2021,565329,30000057,2.40,6.25,,,,4.50,6.50,9,2.40,N1,30,Sở GDĐT Hà Tĩnh ,,20.00,,,17.30,11.10,
2021,565321,30000049,4.20,7.50,,,,5.50,8,8.25,5,N1,30,Sở GDĐT Hà Tĩnh ,,21.80,,,21.00,16.70,
2021,565323,30000051,7,6.50,5.75,7,5.50,,,,5,N1,30,Sở GDĐT Hà Tĩnh ,18.30,,19.80,19.50,,18.50,17.80
2021,565325,30000053,3.40,5,,,,4,3.25,,,,30,Sở GDĐT Hà Tĩnh ,,,,,12.30,,
2021,565328,30000056,7.20,7,,,,5.50,6.50,9.50,6.60,N1,30,Sở GDĐT Hà Tĩnh ,,21.50,,,19.00,20.80,
2021,565330,30000058,3.40,6,,,,5.25,6.50,,,,30,Sở GDĐT Hà Tĩnh ,,,,,17.80,,
2021,565326,30000054,6.20,6.50,,,,5.50,7.75,8.50,5.40,N1,30,Sở GDĐT Hà Tĩnh ,,21.80,,,19.80,18.10,
