schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,404596,22000003,5.40,7.25,,,,7,8.50,9,8.40,N1,22,Sở GDĐT Hưng Yên ,,24.50,,,22.80,21.10,
2021,404598,22000005,8.40,3.75,6.75,5,4.25,,,,9,N1,22,Sở GDĐT Hưng Yên ,16.00,,20.20,17.70,,21.20,24.20
2021,404604,22000011,7.20,7.50,,,,5.50,7,7.75,9.60,N1,22,Sở GDĐT Hưng Yên ,,20.30,,,20.00,24.30,
2021,404599,22000006,6.20,7.50,,,,8.25,8.50,8.50,8.80,N1,22,Sở GDĐT Hưng Yên ,,25.30,,,24.30,22.50,
2021,404597,22000004,8.40,4.50,9,8.25,2.75,,,,8.80,N1,22,Sở GDĐT Hưng Yên ,20.00,,25.70,19.40,,21.70,26.20
2021,404600,22000007,8,7.25,,,,4.50,6.75,8,9.60,N1,22,Sở GDĐT Hưng Yên ,,19.30,,,18.50,24.90,
2021,404602,22000009,9,7.50,4,7.75,9,,,,8.40,N1,22,Sở GDĐT Hưng Yên ,20.80,,20.80,25.80,,24.90,21.40
2021,404595,22000002,4.20,6,,,,3.75,5.75,7.50,9.20,N1,22,Sở GDĐT Hưng Yên ,,17.00,,,15.50,19.40,
2021,404594,22000001,9,7.25,8.25,4.25,5,,,,9.80,N1,22,Sở GDĐT Hưng Yên ,17.50,,21.50,18.30,,26.10,27.10
2021,404603,22000010,8.40,6.50,7.75,7.50,4.50,,,,9.20,N1,22,Sở GDĐT Hưng Yên ,19.80,,23.70,20.40,,24.10,25.30
2021,404601,22000008,8,5.25,7.75,8.50,3.75,,,,9.80,N1,22,Sở GDĐT Hưng Yên ,20.00,,24.30,20.30,,23.10,25.60
2021,404610,22000018,8.20,8,,,,7,8.75,9,10,N1,22,Sở GDĐT Hưng Yên ,,24.80,,,23.80,26.20,
2021,404605,22000012,6,8.50,,,,8.75,10,7.75,6.80,N1,22,Sở GDĐT Hưng Yên ,,26.50,,,27.30,21.30,
2021,404606,22000013,7.60,7,,,,4.25,6.25,7.50,6,N1,22,Sở GDĐT Hưng Yên ,,18.00,,,17.50,20.60,
2021,404609,22000017,8.60,9,7.75,7.25,7.75,,,,10,N1,22,Sở GDĐT Hưng Yên ,22.80,,23.60,23.60,,27.60,26.40
2021,404613,22000021,8.40,7.50,,,,3.25,5.75,7.75,9.80,N1,22,Sở GDĐT Hưng Yên ,,16.80,,,16.50,25.70,
2021,404611,22000019,7.20,8.50,,,,5.50,6.75,9.25,10,N1,22,Sở GDĐT Hưng Yên ,,21.50,,,20.80,25.70,
2021,404607,22000015,9.60,7.25,6.25,9,8.75,,,,7.80,N1,22,Sở GDĐT Hưng Yên ,24.00,,24.90,27.40,,24.70,23.70
2021,404612,22000020,9.40,6.50,8.75,5,5.75,,,,9.40,N1,22,Sở GDĐT Hưng Yên ,19.50,,23.20,20.20,,25.30,27.60
2021,404608,22000016,7.20,8.50,,,,6.25,7.75,9.50,10,N1,22,Sở GDĐT Hưng Yên ,,23.50,,,22.50,25.70,
2021,404618,22000026,8.20,8,4.50,8,8.50,,,,9.40,N1,22,Sở GDĐT Hưng Yên ,21.00,,20.70,24.70,,25.60,22.10
2021,404620,22000028,8.60,8.75,,,,6,6.75,9.25,9.40,N1,22,Sở GDĐT Hưng Yên ,,22.00,,,21.50,26.80,
2021,404614,22000022,8,6,7.25,5.25,6.25,,,,9.60,N1,22,Sở GDĐT Hưng Yên ,18.80,,20.50,19.50,,23.60,24.90
2021,404615,22000023,9,4.50,7.75,7.25,4.25,,,,4.60,N1,22,Sở GDĐT Hưng Yên ,19.30,,24.00,20.50,,18.10,21.40
2021,404624,22000032,5.60,7.50,,,,5.50,7.50,8,9.60,N1,22,Sở GDĐT Hưng Yên ,,21.00,,,20.50,22.70,
2021,404616,22000024,9,6.50,8.75,8.50,6.25,,,,9.60,N1,22,Sở GDĐT Hưng Yên ,23.50,,26.30,23.80,,25.10,27.40
2021,404617,22000025,8.60,8.50,,,,2.75,6,8.50,9.80,N1,22,Sở GDĐT Hưng Yên ,,17.30,,,17.30,26.90,
2021,404622,22000030,8.20,8.75,,,,4.25,7.75,8.75,9.80,N1,22,Sở GDĐT Hưng Yên ,,20.80,,,20.80,26.80,
2021,404621,22000029,9.20,6.75,9.25,6,5.75,,,,10,N1,22,Sở GDĐT Hưng Yên ,21.00,,24.50,21.00,,26.00,28.50
2021,404623,22000031,7.60,7.75,,,,5.25,7.75,8.50,9.80,N1,22,Sở GDĐT Hưng Yên ,,21.50,,,20.80,25.20,
2021,404619,22000027,8.80,7,4,8.25,8.50,,,,9.20,N1,22,Sở GDĐT Hưng Yên ,20.80,,21.10,25.60,,25.00,22.00
2021,404625,22000033,8.20,8,,,,6.50,6.75,8.25,9.60,N1,22,Sở GDĐT Hưng Yên ,,21.50,,,21.30,25.80,
2021,404626,22000034,8.40,7.50,,,,3.25,5.75,9.50,9.40,N1,22,Sở GDĐT Hưng Yên ,,18.50,,,16.50,25.30,
2021,404627,22000035,9,6.50,8.50,8.50,6.25,,,,4.60,N1,22,Sở GDĐT Hưng Yên ,23.30,,26.00,23.80,,20.10,22.10
2021,404628,22000036,9,5.75,5.50,9,9.50,,,,8.40,N1,22,Sở GDĐT Hưng Yên ,24.00,,23.50,27.50,,23.20,22.90
2021,404629,22000037,8.80,6,8,8.25,5.50,,,,9.20,N1,22,Sở GDĐT Hưng Yên ,21.80,,25.10,22.60,,24.00,26.00
2021,404636,22000045,9.20,8.25,,,,8,8.25,9.50,9.80,N1,22,Sở GDĐT Hưng Yên ,,25.80,,,24.50,27.30,
2021,404635,22000044,9,6.25,6.25,7.75,3.50,,,,4.40,N1,22,Sở GDĐT Hưng Yên ,17.50,,23.00,20.30,,19.70,19.70
2021,404637,22000046,7.20,8,,,,9.50,9.50,9,7.40,N1,22,Sở GDĐT Hưng Yên ,,28.00,,,27.00,22.60,
2021,404632,22000041,9.20,6.50,7.75,9,6.75,,,,9.40,N1,22,Sở GDĐT Hưng Yên ,23.50,,26.00,25.00,,25.10,26.40
2021,404639,22000048,7.80,8,,,,4.75,9.50,8.75,6.60,N1,22,Sở GDĐT Hưng Yên ,,23.00,,,22.30,22.40,
2021,404640,22000049,5,7.75,,,,8.75,9.75,8.50,6.80,N1,22,Sở GDĐT Hưng Yên ,,27.00,,,26.30,19.60,
2021,404641,22000051,7.80,5,7.75,4,4.75,,,,9.40,N1,22,Sở GDĐT Hưng Yên ,16.50,,19.60,16.60,,22.20,25.00
2021,404631,22000039,8.20,5,7.75,4,3.75,,,,9.60,N1,22,Sở GDĐT Hưng Yên ,15.50,,20.00,16.00,,22.80,25.50
2021,404630,22000038,8.80,5.75,,,,4.50,5.25,8.25,9.20,N1,22,Sở GDĐT Hưng Yên ,,18.00,,,15.50,23.80,
2021,404633,22000042,7.80,8,,,,3.75,5.50,7,9.60,N1,22,Sở GDĐT Hưng Yên ,,16.30,,,17.30,25.40,
2021,404634,22000043,7,6.50,5,4.50,4.50,,,,9.60,N1,22,Sở GDĐT Hưng Yên ,14.00,,16.50,16.00,,23.10,21.60
2021,404638,22000047,8.80,7,8,8.25,6,,,,8.80,N1,22,Sở GDĐT Hưng Yên ,22.30,,25.10,23.10,,24.60,25.60
2021,404643,22000053,8.80,8,,,,7.50,7.75,8.50,9.60,N1,22,Sở GDĐT Hưng Yên ,,23.80,,,23.30,26.40,
2021,404642,22000052,8.40,7.50,,,,3,5.25,8,8.60,N1,22,Sở GDĐT Hưng Yên ,,16.30,,,15.80,24.50,
2021,404644,22000054,8.60,5,5.75,4.25,5.50,,,,7.80,N1,22,Sở GDĐT Hưng Yên ,15.50,,18.60,18.40,,21.40,22.20
2021,404649,22000059,8.20,7.75,,,,5.75,7.25,9.25,10,N1,22,Sở GDĐT Hưng Yên ,,22.30,,,20.80,26.00,
2021,404653,22000063,9.40,6,8.75,9,7.75,,,,9.60,N1,22,Sở GDĐT Hưng Yên ,25.50,,27.20,26.20,,25.00,27.80
2021,404646,22000056,9.40,5.50,8.50,8.75,6,,,,8.20,N1,22,Sở GDĐT Hưng Yên ,23.30,,26.70,24.20,,23.10,26.10
2021,404657,22000067,8.80,6.50,5.75,8.25,9.25,,,,7.80,N1,22,Sở GDĐT Hưng Yên ,23.30,,22.80,26.30,,23.10,22.40
2021,404650,22000060,9.20,6.75,9,6.75,6.50,,,,9.80,N1,22,Sở GDĐT Hưng Yên ,22.30,,25.00,22.50,,25.80,28.00
2021,404648,22000058,7.80,9,,,,6,7.50,7.75,9,N1,22,Sở GDĐT Hưng Yên ,,21.30,,,22.50,25.80,
2021,404647,22000057,8.20,7.50,8.50,6.50,5.25,,,,9.20,N1,22,Sở GDĐT Hưng Yên ,20.30,,23.20,20.00,,24.90,25.90
2021,404645,22000055,6.80,7,,,,6,6.75,7.50,6.40,N1,22,Sở GDĐT Hưng Yên ,,20.30,,,19.80,20.20,
2021,404654,22000064,8.40,7.25,,,,6,7.25,8.50,9.40,N1,22,Sở GDĐT Hưng Yên ,,21.80,,,20.50,25.10,
2021,404651,22000061,7.40,8,,,,5.25,6.75,9,9.80,N1,22,Sở GDĐT Hưng Yên ,,21.00,,,20.00,25.20,
2021,404652,22000062,8.80,6.75,7.75,8.25,6.75,,,,9,N1,22,Sở GDĐT Hưng Yên ,22.80,,24.80,23.80,,24.60,25.60
2021,404658,22000068,8.60,6.50,8.25,4.50,4,,,,9.40,N1,22,Sở GDĐT Hưng Yên ,16.80,,21.40,17.10,,24.50,26.30
2021,404656,22000066,7.80,4.50,6,7,3.25,,,,8,N1,22,Sở GDĐT Hưng Yên ,16.30,,20.80,18.10,,20.30,21.80
2021,404655,22000065,9,5.50,8.25,6.50,6.25,,,,9.60,N1,22,Sở GDĐT Hưng Yên ,21.00,,23.80,21.80,,24.10,26.90
2021,404662,22000073,8.40,6.50,7.50,7.25,6,,,,6.40,N1,22,Sở GDĐT Hưng Yên ,20.80,,23.20,21.70,,21.30,22.30
2021,404660,22000071,4.60,5.50,,,,7.75,9.50,9,4.40,N1,22,Sở GDĐT Hưng Yên ,,26.30,,,22.80,14.50,
2021,404659,22000070,8.60,6.75,6.25,7.75,8.25,,,,2.60,N1,22,Sở GDĐT Hưng Yên ,22.30,,22.60,24.60,,18.00,17.50
2021,404661,22000072,6,4.75,,,,5.50,5.50,7.50,6,N1,22,Sở GDĐT Hưng Yên ,,18.50,,,15.80,16.80,
2021,404663,22000074,8.80,7.75,,,,4.75,7.25,6.50,8.80,N1,22,Sở GDĐT Hưng Yên ,,18.50,,,19.80,25.40,
2021,404665,22000076,6.40,7.50,,,,4.75,6,8.50,9.40,N1,22,Sở GDĐT Hưng Yên ,,19.30,,,18.30,23.30,
2021,404664,22000075,8.20,7.50,8,8,7,,,,9.40,N1,22,Sở GDĐT Hưng Yên ,23.00,,24.20,23.20,,25.10,25.60
2021,404666,22000077,9,6.75,7.75,8.75,9.50,,,,8.80,N1,22,Sở GDĐT Hưng Yên ,26.00,,25.50,27.30,,24.60,25.60
2021,404667,22000078,8.40,8.25,,,,6,7.25,9.25,9.40,N1,22,Sở GDĐT Hưng Yên ,,22.50,,,21.50,26.10,
2021,404668,22000079,7.40,6.25,7,6.50,3.25,,,,9.20,N1,22,Sở GDĐT Hưng Yên ,16.80,,20.90,17.20,,22.90,23.60
2021,404672,22000083,8.80,8,5.25,7.50,8.25,,,,3.40,N1,22,Sở GDĐT Hưng Yên ,21.00,,21.60,24.60,,20.20,17.50
2021,404669,22000080,9.20,6.75,8.50,4.75,5.25,,,,9.20,N1,22,Sở GDĐT Hưng Yên ,18.50,,22.50,19.20,,25.20,26.90
2021,404673,22000084,8.40,8.50,,,,4.50,6,6.75,8.80,N1,22,Sở GDĐT Hưng Yên ,,17.30,,,19.00,25.70,
2021,404670,22000081,8.20,7.75,,,,9.25,9.50,8.75,5.20,N1,22,Sở GDĐT Hưng Yên ,,27.50,,,26.50,21.20,
2021,404674,22000085,9.20,7,9.25,8.25,6.75,,,,10,N1,22,Sở GDĐT Hưng Yên ,24.30,,26.70,24.20,,26.20,28.50
2021,404675,22000086,5.40,5.50,,,,4,7,7.50,5.40,N1,22,Sở GDĐT Hưng Yên ,,18.50,,,16.50,16.30,
2021,404671,22000082,5.20,6.75,,,,9,7.25,7.75,6.40,N1,22,Sở GDĐT Hưng Yên ,,24.00,,,23.00,18.40,
2021,404676,22000087,9,6,7.75,7.25,4.50,,,,4.80,N1,22,Sở GDĐT Hưng Yên ,19.50,,24.00,20.80,,19.80,21.60
2021,404677,22000088,9,3.50,7.50,5.50,3.75,,,,9,N1,22,Sở GDĐT Hưng Yên ,16.80,,22.00,18.30,,21.50,25.50
2021,404678,22000089,8.40,8,,,,5,7.25,8.25,9.40,N1,22,Sở GDĐT Hưng Yên ,,20.50,,,20.30,25.80,
2021,404679,22000090,8.80,8,8.50,8.50,7,,,,9.40,N1,22,Sở GDĐT Hưng Yên ,24.00,,25.80,24.30,,26.20,26.70
2021,404680,22000091,9.80,4,6.50,9.75,10,,,,9,N1,22,Sở GDĐT Hưng Yên ,26.30,,26.10,29.60,,22.80,25.30
2021,404681,22000092,9.20,8.25,,,,6,8.75,9.50,9.60,N1,22,Sở GDĐT Hưng Yên ,,24.30,,,23.00,27.10,
2021,404682,22000093,9.20,8.50,,,,3.75,7.25,10,9.20,N1,22,Sở GDĐT Hưng Yên ,,21.00,,,19.50,26.90,
2021,404684,22000095,8.20,8,4.75,8.75,8.25,,,,8.20,N1,22,Sở GDĐT Hưng Yên ,21.80,,21.70,25.20,,24.40,21.20
2021,404683,22000094,7,8.25,,,,5.25,7.75,9.50,9.60,N1,22,Sở GDĐT Hưng Yên ,,22.50,,,21.30,24.90,
2021,404685,22000096,9.20,7.50,8.75,8.75,6.50,,,,9.20,N1,22,Sở GDĐT Hưng Yên ,24.00,,26.70,24.50,,25.90,27.20
2021,404688,22000099,8.60,7.75,,,,6.75,7.25,9,10,N1,22,Sở GDĐT Hưng Yên ,,23.00,,,21.80,26.40,
2021,404690,22000101,7.80,8.50,,,,8.75,9.25,8,9.60,N1,22,Sở GDĐT Hưng Yên ,,26.00,,,26.50,25.90,
2021,404686,22000097,8.80,6.25,9,4,4.25,,,,9.80,N1,22,Sở GDĐT Hưng Yên ,17.30,,21.80,17.10,,24.90,27.60
2021,404693,22000104,6.80,8,,,,3.50,8.75,8,9.60,N1,22,Sở GDĐT Hưng Yên ,,20.30,,,20.30,24.40,
2021,404692,22000103,9,7.75,,,,5.50,8.50,8.75,10,N1,22,Sở GDĐT Hưng Yên ,,22.80,,,21.80,26.80,
2021,404694,22000105,7.80,8.50,,,,6.25,7.75,8.50,9.60,N1,22,Sở GDĐT Hưng Yên ,,22.50,,,22.50,25.90,
2021,404687,22000098,8.40,7.75,8,6.25,4.25,,,,9.60,N1,22,Sở GDĐT Hưng Yên ,18.50,,22.70,18.90,,25.80,26.00
2021,404695,22000106,8.60,8,,,,2.50,6.75,7.50,9.60,N1,22,Sở GDĐT Hưng Yên ,,16.80,,,17.30,26.20,
2021,404698,22000109,9.20,6.75,8.50,8.50,9,,,,7.80,N1,22,Sở GDĐT Hưng Yên ,26.00,,26.20,26.70,,23.80,25.50
2021,404700,22000111,7,7.75,,,,4,7,5.75,8.20,N1,22,Sở GDĐT Hưng Yên ,,16.80,,,18.80,23.00,
2021,404689,22000100,8.60,8.50,,,,5,7,8.75,8.40,N1,22,Sở GDĐT Hưng Yên ,,20.80,,,20.50,25.50,
2021,404691,22000102,8.40,7.50,,,,7.75,7.75,9.50,10,N1,22,Sở GDĐT Hưng Yên ,,25.00,,,23.00,25.90,
2021,404703,22000114,9.40,7,7.50,3.75,3.50,,,,7.60,N1,22,Sở GDĐT Hưng Yên ,14.80,,20.70,16.70,,24.00,24.50
2021,404705,22000116,9.40,7.75,6,8.25,10,,,,9,N1,22,Sở GDĐT Hưng Yên ,24.30,,23.70,27.70,,26.20,24.40
2021,404706,22000117,8.60,6,8.50,8.25,4.50,,,,4.80,N1,22,Sở GDĐT Hưng Yên ,21.30,,25.40,21.40,,19.40,21.90
2021,404704,22000115,8.40,7.50,9.25,8.50,7,,,,9.60,N1,22,Sở GDĐT Hưng Yên ,24.80,,26.20,23.90,,25.50,27.30
2021,404699,22000110,8.20,5,4.25,4.50,4,,,,8.60,N1,22,Sở GDĐT Hưng Yên ,12.80,,17.00,16.70,,21.80,21.00
2021,404696,22000107,8.80,5.75,5.50,9,9.50,,,,7.60,N1,22,Sở GDĐT Hưng Yên ,24.00,,23.30,27.30,,22.20,21.90
2021,404697,22000108,7.80,7.50,,,,2.25,5.75,8.25,10,N1,22,Sở GDĐT Hưng Yên ,,16.30,,,15.50,25.30,
2021,404701,22000112,9,4.75,7.75,8.50,3.50,,,,2.60,N1,22,Sở GDĐT Hưng Yên ,19.80,,25.30,21.00,,16.40,19.40
2021,404702,22000113,9.20,7.75,9.50,9.25,7.25,,,,8.60,N1,22,Sở GDĐT Hưng Yên ,26.00,,28.00,25.70,,25.50,27.30
2021,404710,22000121,9,5.50,8.75,8.50,3.75,,,,5.80,N1,22,Sở GDĐT Hưng Yên ,21.00,,26.30,21.30,,20.30,23.60
2021,404709,22000120,9.40,7.50,8.75,9,8.50,,,,8.40,N1,22,Sở GDĐT Hưng Yên ,26.30,,27.20,26.90,,25.30,26.60
2021,404711,22000122,5.20,7,3.50,6.75,7.75,,,,5.20,N1,22,Sở GDĐT Hưng Yên ,18.00,,15.50,19.70,,17.40,13.90
2021,404713,22000124,8.40,8.25,8.25,4,5.75,,,,9.60,N1,22,Sở GDĐT Hưng Yên ,18.00,,20.70,18.20,,26.30,26.30
2021,404712,22000123,8.80,6,4.50,8.75,5.25,,,,9.60,N1,22,Sở GDĐT Hưng Yên ,18.50,,22.10,22.80,,24.40,22.90
2021,404707,22000118,8.40,6,8,9,5.25,,,,7.80,N1,22,Sở GDĐT Hưng Yên ,22.30,,25.40,22.70,,22.20,24.20
2021,404708,22000119,9,7,7.50,9.75,9.25,,,,8.80,N1,22,Sở GDĐT Hưng Yên ,26.50,,26.30,28.00,,24.80,25.30
2021,404718,22000129,7.20,7.25,,,,7.50,7.25,9,8,N1,22,Sở GDĐT Hưng Yên ,,23.80,,,22.00,22.50,
2021,404719,22000130,7.80,7.50,2.50,6,8.25,,,,9.80,N1,22,Sở GDĐT Hưng Yên ,16.80,,16.30,22.10,,25.10,20.10
2021,404716,22000127,8.20,7.50,4.25,8.25,9,,,,7.40,N1,22,Sở GDĐT Hưng Yên ,21.50,,20.70,25.50,,23.10,19.90
2021,404715,22000126,9,7,9,7.75,8,,,,10,N1,22,Sở GDĐT Hưng Yên ,24.80,,25.80,24.80,,26.00,28.00
2021,404714,22000125,7.80,8.25,,,,3,6.75,8.25,10,N1,22,Sở GDĐT Hưng Yên ,,18.00,,,18.00,26.10,
2021,404717,22000128,7.80,6.50,6.75,7.50,5.25,,,,3.80,N1,22,Sở GDĐT Hưng Yên ,19.50,,22.10,20.60,,18.10,18.40
2021,404720,22000131,7,3.75,6.75,5.75,5.25,,,,7.80,N1,22,Sở GDĐT Hưng Yên ,17.80,,19.50,18.00,,18.60,21.60
2021,404724,22000135,8.60,8.75,8,6.75,4.50,,,,9.60,N1,22,Sở GDĐT Hưng Yên ,19.30,,23.40,19.90,,27.00,26.20
2021,404729,22000140,5.80,6.50,3,3.50,1.75,,,,6.20,N1,22,Sở GDĐT Hưng Yên ,8.30,,12.30,11.10,,18.50,15.00
2021,404721,22000132,7.20,8.25,,,,5.75,7,7.25,,,22,Sở GDĐT Hưng Yên ,,20.00,,,21.00,,
2021,404730,22000141,9.20,6,8.50,8.25,6.25,,,,8.80,N1,22,Sở GDĐT Hưng Yên ,23.00,,26.00,23.70,,24.00,26.50
2021,404732,22000143,8.40,7.25,7.75,8.50,8,,,,9.40,N1,22,Sở GDĐT Hưng Yên ,24.30,,24.70,24.90,,25.10,25.50
2021,404722,22000133,8,3.75,7,6.25,5,,,,9.60,N1,22,Sở GDĐT Hưng Yên ,18.30,,21.30,19.30,,21.40,24.60
2021,404728,22000139,9,5.50,8.75,9,4,,,,8.80,N1,22,Sở GDĐT Hưng Yên ,21.80,,26.80,22.00,,23.30,26.60
2021,404726,22000137,8.60,8.50,,,,5,6.75,9.75,9.40,N1,22,Sở GDĐT Hưng Yên ,,21.50,,,20.30,26.50,
2021,404727,22000138,8.20,8.25,6.25,8.25,7.50,,,,5.60,N1,22,Sở GDĐT Hưng Yên ,22.00,,22.70,24.00,,22.00,20.00
2021,404723,22000134,6.80,5.50,5.75,6.75,4.50,,,,10,N1,22,Sở GDĐT Hưng Yên ,17.00,,19.30,18.10,,22.30,22.60
