schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,382333,21000005,5.40,4.25,,,,4.50,7.50,,,,21,Sở GDĐT Hải Dương ,,,,,16.30,,
2021,382330,21000002,7.40,5.50,,,,3.75,7.50,,,,21,Sở GDĐT Hải Dương ,,,,,16.80,,
2021,382334,21000006,8.40,7.75,,,,4,6.75,7.25,8.80,N1,21,Sở GDĐT Hải Dương ,,18.00,,,18.50,25.00,
2021,382332,21000004,7.80,8.50,,,,4.75,6.75,7.50,7,N1,21,Sở GDĐT Hải Dương ,,19.00,,,20.00,23.30,
2021,382335,21000007,5.60,7.25,4.50,2.50,4,,,,3.20,N1,21,Sở GDĐT Hải Dương ,11.00,,12.60,12.10,,16.10,13.30
2021,382338,21000010,8.60,8.75,,,,5.25,7.25,9,9,N1,21,Sở GDĐT Hải Dương ,,21.50,,,21.30,26.40,
2021,382336,21000008,7.40,7.50,,,,6,6.50,7.50,8.80,N1,21,Sở GDĐT Hải Dương ,,20.00,,,20.00,23.70,
2021,382337,21000009,8.20,6.25,5.75,9,3,,,,9.80,N1,21,Sở GDĐT Hải Dương ,17.80,,23.00,20.20,,24.30,23.80
2021,382331,21000003,8.60,6.75,8,8.25,5.50,,,,5.80,N1,21,Sở GDĐT Hải Dương ,21.80,,24.90,22.40,,21.20,22.40
2021,382329,21000001,5.60,5,,,,5,6.75,,,,21,Sở GDĐT Hải Dương ,,,,,16.80,,
2021,382340,21000012,6.40,7.50,,,,6.75,7,7.50,7.40,N1,21,Sở GDĐT Hải Dương ,,21.30,,,21.30,21.30,
2021,382339,21000011,9,8,,,,3.50,6,6.75,9.60,N1,21,Sở GDĐT Hải Dương ,,16.30,,,17.50,26.60,
2021,382341,21000013,8.80,8,,,,5,6.75,6.50,9,N1,21,Sở GDĐT Hải Dương ,,18.30,,,19.80,25.80,
2021,382342,21000014,8.60,6.25,6.75,7.50,4.75,,,,6,N1,21,Sở GDĐT Hải Dương ,19.00,,22.90,20.90,,20.90,21.40
2021,382343,21000015,9,,,8.25,6.50,,,,,,21,Sở GDĐT Hải Dương ,,,,23.80,,,
2021,382345,21000017,8,7.50,,,,,,,7.80,N1,21,Sở GDĐT Hải Dương ,,,,,,23.30,
2021,382344,21000016,7.40,7.75,,,,6.25,6.75,7.25,9,N1,21,Sở GDĐT Hải Dương ,,20.30,,,20.80,24.20,
2021,382346,21000018,7.20,7.75,,,,4.25,7.25,9,7.60,N1,21,Sở GDĐT Hải Dương ,,20.50,,,19.30,22.50,
2021,382348,21000020,8,8.25,,,,4.75,7,8,5.20,N1,21,Sở GDĐT Hải Dương ,,19.80,,,20.00,21.50,
2021,382347,21000019,5,5.50,,,,5.75,7.50,,,,21,Sở GDĐT Hải Dương ,,,,,18.80,,
2021,382349,21000021,8.40,6.25,7,3.25,4.25,,,,5.60,N1,21,Sở GDĐT Hải Dương ,14.50,,18.70,15.90,,20.30,21.00
2021,382350,21000022,7.60,7,7,7,4.50,,,,6.40,N1,21,Sở GDĐT Hải Dương ,18.50,,21.60,19.10,,21.00,21.00
2021,382357,21000029,8.40,6.25,7,7.75,6,,,,7.40,N1,21,Sở GDĐT Hải Dương ,20.80,,23.20,22.20,,22.10,22.80
2021,382353,21000025,5.80,6.75,,,,5.50,6.75,,,,21,Sở GDĐT Hải Dương ,,,,,19.00,,
2021,382354,21000026,8.80,7.50,8.25,8,7,,,,8.20,N1,21,Sở GDĐT Hải Dương ,23.30,,25.10,23.80,,24.50,25.30
2021,382358,21000030,6.60,8.50,,,,6.25,6.75,9.25,8,N1,21,Sở GDĐT Hải Dương ,,22.30,,,21.50,23.10,
2021,382351,21000023,5.20,4.75,,,,5,7.75,,,,21,Sở GDĐT Hải Dương ,,,,,17.50,,
2021,382352,21000024,7.20,6.50,,,,3.75,7,7.50,4.80,N1,21,Sở GDĐT Hải Dương ,,18.30,,,17.30,18.50,
2021,382355,21000027,6.20,5.75,,,,5.50,7.75,,,,21,Sở GDĐT Hải Dương ,,,,,19.00,,
2021,382356,21000028,7,7.75,,,,6.25,8.25,8,6.20,N1,21,Sở GDĐT Hải Dương ,,22.50,,,22.30,21.00,
2021,382359,21000031,9.20,8.25,,,,4,7.50,8,8.80,N1,21,Sở GDĐT Hải Dương ,,19.50,,,19.80,26.30,
2021,382360,21000032,8.20,7.25,,,,8.75,8.75,8.25,7.80,N1,21,Sở GDĐT Hải Dương ,,25.80,,,24.80,23.30,
2021,382361,21000033,9,7.25,8.25,4.50,6,,,,9.20,N1,21,Sở GDĐT Hải Dương ,18.80,,21.80,19.50,,25.50,26.50
2021,382362,21000034,8.80,7.50,,,,5.50,8.75,9.25,9.20,N1,21,Sở GDĐT Hải Dương ,,23.50,,,21.80,25.50,
2021,382364,21000036,7.40,8,,,,5.50,6.50,7.25,8.80,N1,21,Sở GDĐT Hải Dương ,,19.30,,,20.00,24.20,
2021,382366,21000038,9,6.50,7,8,9,,,,9.40,N1,21,Sở GDĐT Hải Dương ,24.00,,24.00,26.00,,24.90,25.40
2021,382367,21000039,8,7,6.50,8.25,8,,,,8.60,N1,21,Sở GDĐT Hải Dương ,22.80,,22.80,24.30,,23.60,23.10
2021,382371,21000043,8.40,8.50,,,,4.25,8.25,8,8.80,N1,21,Sở GDĐT Hải Dương ,,20.50,,,21.00,25.70,
2021,382363,21000035,8.40,6.75,7.25,8.50,5.50,,,,6.80,N1,21,Sở GDĐT Hải Dương ,21.30,,24.20,22.40,,22.00,22.50
2021,382365,21000037,7.20,6.50,,,,5.50,7,9,9.80,N1,21,Sở GDĐT Hải Dương ,,21.50,,,19.00,23.50,
2021,382368,21000040,7.80,7.25,4.25,3.75,5.25,,,,8,N1,21,Sở GDĐT Hải Dương ,13.30,,15.80,16.80,,23.10,20.10
2021,382370,21000042,7.60,8,,,,6.75,4,7.25,9.20,N1,21,Sở GDĐT Hải Dương ,,18.00,,,18.80,24.80,
2021,382372,21000044,7.40,8.25,,,,6.25,6.75,9.25,7.40,N1,21,Sở GDĐT Hải Dương ,,22.30,,,21.30,23.10,
2021,382369,21000041,8.60,5.50,8,7.75,4,,,,5.20,N1,21,Sở GDĐT Hải Dương ,19.80,,24.40,20.40,,19.30,21.80
2021,382373,21000045,8,6,7.25,7.50,4.25,,,,4,N1,21,Sở GDĐT Hải Dương ,19.00,,22.80,19.80,,18.00,19.30
2021,382375,21000047,7.60,6.50,5.75,5.50,4.50,,,,5.80,N1,21,Sở GDĐT Hải Dương ,15.80,,18.90,17.60,,19.90,19.20
2021,382379,21000051,7.20,6.50,,,,,,,6.60,N1,21,Sở GDĐT Hải Dương ,,,,,,20.30,
2021,382374,21000046,8.80,8.50,,,,4.75,9,6,9.20,N1,21,Sở GDĐT Hải Dương ,,19.80,,,22.30,26.50,
2021,382380,21000052,8.20,,7,,,,,,8.40,N1,21,Sở GDĐT Hải Dương ,,,,,,,23.60
2021,382376,21000048,7,7.25,,,,5.50,7.75,6.75,5.20,N1,21,Sở GDĐT Hải Dương ,,20.00,,,20.50,19.50,
2021,382382,21000054,8.40,,7.75,8.25,6.50,,,,,,21,Sở GDĐT Hải Dương ,22.50,,24.40,23.20,,,
2021,382384,21000056,6.40,7.50,,,,4.50,7.50,,,,21,Sở GDĐT Hải Dương ,,,,,19.50,,
2021,382383,21000055,7.60,7.50,6.75,7.25,5.25,,,,,,21,Sở GDĐT Hải Dương ,19.30,,21.60,20.10,,,
2021,382385,21000057,7.60,6.75,7,5.75,5.50,,,,8,N1,21,Sở GDĐT Hải Dương ,18.30,,20.40,18.90,,22.40,22.60
2021,382386,21000058,9.20,8.75,7.50,8.25,5.50,,,,7.80,N1,21,Sở GDĐT Hải Dương ,21.30,,25.00,23.00,,25.80,24.50
2021,382387,21000059,8.40,6.50,8.25,5,5.50,,,,9.40,N1,21,Sở GDĐT Hải Dương ,18.80,,21.70,18.90,,24.30,26.10
2021,382378,21000050,9.20,8,,,,5.50,6.50,7.75,9,N1,21,Sở GDĐT Hải Dương ,,19.80,,,20.00,26.20,
2021,382389,21000061,6.80,5,,,,6,6.50,,,,21,Sở GDĐT Hải Dương ,,,,,17.50,,
2021,382377,21000049,4.60,5.50,,,,3,5.75,,,,21,Sở GDĐT Hải Dương ,,,,,14.30,,
2021,382381,21000053,8.60,,5.25,7.50,,,,,,,21,Sở GDĐT Hải Dương ,,,21.40,,,,
2021,382396,21000068,7.20,5.75,,,,7.50,8.75,,,,21,Sở GDĐT Hải Dương ,,,,,22.00,,
2021,382388,21000060,8.80,8,,,,7,8.25,8,9,N1,21,Sở GDĐT Hải Dương ,,23.30,,,23.30,25.80,
2021,382390,21000062,8,6.50,,,,6.25,6.25,,,,21,Sở GDĐT Hải Dương ,,,,,19.00,,
2021,382393,21000065,5.40,6,,,,4.25,7,,,,21,Sở GDĐT Hải Dương ,,,,,17.30,,
2021,382391,21000063,8.20,5.75,7.50,8,4,,,,4.20,N1,21,Sở GDĐT Hải Dương ,19.50,,23.70,20.20,,18.20,19.90
2021,382392,21000064,8.20,7,7.75,8.25,3.50,,,,3.80,N1,21,Sở GDĐT Hải Dương ,19.50,,24.20,20.00,,19.00,19.80
2021,382394,21000066,5.80,5,,,,5.50,6.25,,,,21,Sở GDĐT Hải Dương ,,,,,16.80,,
2021,382395,21000067,8.40,6.50,5.25,8.50,4.50,,,,7.80,N1,21,Sở GDĐT Hải Dương ,18.30,,22.20,21.40,,22.70,21.50
2021,382397,21000069,7.80,7.25,,,,5,5.50,8,7,N1,21,Sở GDĐT Hải Dương ,,18.50,,,17.80,22.10,
2021,382401,21000073,7.80,7,,,,5,7.25,8.25,8.40,N1,21,Sở GDĐT Hải Dương ,,20.50,,,19.30,23.20,
2021,382398,21000070,8.20,7.50,,,,7.25,8.50,9,7.80,N1,21,Sở GDĐT Hải Dương ,,24.80,,,23.30,23.50,
2021,382399,21000071,6.80,7.25,,,,6.75,8,7.75,9.60,N1,21,Sở GDĐT Hải Dương ,,22.50,,,22.00,23.70,
2021,382405,21000077,3.40,4.75,,,,4,7,,,,21,Sở GDĐT Hải Dương ,,,,,15.80,,
2021,382408,21000080,9.20,7,8,8.75,5.75,,,,7.60,N1,21,Sở GDĐT Hải Dương ,22.50,,26.00,23.70,,23.80,24.80
2021,382400,21000072,8.80,7.25,,,,6,8.25,7.75,9.20,N1,21,Sở GDĐT Hải Dương ,,22.00,,,21.50,25.30,
2021,382412,21000084,2,6,,,,3.25,5.25,,,,21,Sở GDĐT Hải Dương ,,,,,14.50,,
2021,382403,21000075,8.40,7.25,5.50,7.50,5.50,,,,4.80,N1,21,Sở GDĐT Hải Dương ,18.50,,21.40,21.40,,20.50,18.70
2021,382402,21000074,7.20,7.75,3,5.50,5.25,,,,6.80,N1,21,Sở GDĐT Hải Dương ,13.80,,15.70,18.00,,21.80,17.00
2021,382404,21000076,7.80,6.25,5.25,4,4.75,,,,6,N1,21,Sở GDĐT Hải Dương ,14.00,,17.10,16.60,,20.10,19.10
2021,382407,21000079,9,7.50,8.50,7.75,4.75,,,,7.40,N1,21,Sở GDĐT Hải Dương ,21.00,,25.30,21.50,,23.90,24.90
2021,382406,21000078,4.60,4.50,,,,3.50,7.25,,,,21,Sở GDĐT Hải Dương ,,,,,15.30,,
2021,382418,21000090,8.60,6.50,8.50,5.50,5.75,,,,10,N1,21,Sở GDĐT Hải Dương ,19.80,,22.60,19.90,,25.10,27.10
2021,382410,21000082,5.80,6,,,,4.25,6.25,,,,21,Sở GDĐT Hải Dương ,,,,,16.50,,
2021,382409,21000081,8.40,8,,,,6,7.50,8,9.40,N1,21,Sở GDĐT Hải Dương ,,21.50,,,21.50,25.80,
2021,382411,21000083,8,8,,,,3.50,7.50,8,8.40,N1,21,Sở GDĐT Hải Dương ,,19.00,,,19.00,24.40,
2021,382413,21000085,8.80,6,6.50,8.25,5.25,,,,7,N1,21,Sở GDĐT Hải Dương ,20.00,,23.60,22.30,,21.80,22.30
2021,382415,21000087,7.80,5.75,7.25,7.25,3.50,,,,6.20,N1,21,Sở GDĐT Hải Dương ,18.00,,22.30,18.60,,19.80,21.30
2021,382414,21000086,6.40,7,,,,6.50,6.25,,,,21,Sở GDĐT Hải Dương ,,,,,19.80,,
2021,382417,21000089,6.20,5.50,,,,5,6.75,,,,21,Sở GDĐT Hải Dương ,,,,,17.30,,
2021,382416,21000088,8.40,6.50,8.25,8.50,5.25,,,,9,N1,21,Sở GDĐT Hải Dương ,22.00,,25.20,22.20,,23.90,25.70
2021,382424,21000096,7,6.25,,,,5,7.50,,,,21,Sở GDĐT Hải Dương ,,,,,18.80,,
2021,382426,21000098,6.80,6,,,,5.50,7.25,,,,21,Sở GDĐT Hải Dương ,,,,,18.80,,
2021,382419,21000091,8.20,4.25,6.50,8.50,8,,,,9,N1,21,Sở GDĐT Hải Dương ,23.00,,23.20,24.70,,21.50,23.70
2021,382428,21000100,8.40,8.75,,,,3.25,7.50,6.75,9.60,N1,21,Sở GDĐT Hải Dương ,,17.50,,,19.50,26.80,
2021,382422,21000094,3.20,3.25,,,,4,5.50,,,,21,Sở GDĐT Hải Dương ,,,,,12.80,,
2021,382420,21000092,6,5.25,,,,4.50,6.25,,,,21,Sở GDĐT Hải Dương ,,,,,16.00,,
2021,382421,21000093,7.80,5.50,,,,6.75,8.25,,,,21,Sở GDĐT Hải Dương ,,,,,20.50,,
2021,382431,21000103,8.20,8.50,,,,4.75,6.25,7.75,9,N1,21,Sở GDĐT Hải Dương ,,18.80,,,19.50,25.70,
2021,382423,21000095,6,4.75,,,,5.25,7.50,,,,21,Sở GDĐT Hải Dương ,,,,,17.50,,
2021,382425,21000097,8.40,8.50,,,,5.50,7.75,8,9,N1,21,Sở GDĐT Hải Dương ,,21.30,,,21.80,25.90,
2021,382436,21000108,3.60,2.50,,,,2,6,,,,21,Sở GDĐT Hải Dương ,,,,,10.50,,
2021,382427,21000099,9,8.25,,,,6,8.25,8.50,9.20,N1,21,Sở GDĐT Hải Dương ,,22.80,,,22.50,26.50,
2021,382430,21000102,8.60,8.50,,,,6,7.75,8.75,8.20,N1,21,Sở GDĐT Hải Dương ,,22.50,,,22.30,25.30,
2021,382429,21000101,8.60,5.75,8,8.75,5.50,,,,8,N1,21,Sở GDĐT Hải Dương ,22.30,,25.40,22.90,,22.40,24.60
2021,382433,21000105,5.80,5.25,,,,5,7,,,,21,Sở GDĐT Hải Dương ,,,,,17.30,,
