schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,186953,03000002,7.20,5.25,5.25,6.50,3.25,,,,7.20,N1,03,Sở GDĐT Hải Phòng ,15.00,,19.00,17.00,,19.70,19.70
2021,186954,03000003,8.40,7.25,6.50,8,6.50,,,,8.40,N1,03,Sở GDĐT Hải Phòng ,21.00,,22.90,22.90,,24.10,23.30
2021,186963,03000012,7.80,6.75,7.25,7.75,3.75,,,,4.40,N1,03,Sở GDĐT Hải Phòng ,18.80,,22.80,19.30,,19.00,19.50
2021,186957,03000006,8.60,7,7.75,3.50,4.50,,,,9.40,N1,03,Sở GDĐT Hải Phòng ,15.80,,19.90,16.60,,25.00,25.80
2021,186960,03000009,7.80,7.25,3.25,5.75,6,,,,3.20,N1,03,Sở GDĐT Hải Phòng ,15.00,,16.80,19.60,,18.30,14.30
2021,186956,03000005,8.60,6.50,7.75,8.75,6.25,,,,5.20,N1,03,Sở GDĐT Hải Phòng ,22.80,,25.10,23.60,,20.30,21.60
2021,186959,03000008,8.40,6.75,7.25,7.25,4.75,,,,6,N1,03,Sở GDĐT Hải Phòng ,19.30,,22.90,20.40,,21.20,21.70
2021,186952,03000001,8.40,7,8,8.75,4.25,,,,7.20,N1,03,Sở GDĐT Hải Phòng ,21.00,,25.20,21.40,,22.60,23.60
2021,186961,03000010,7.80,7.75,6,6.75,4.50,,,,9,N1,03,Sở GDĐT Hải Phòng ,17.30,,20.60,19.10,,24.60,22.80
2021,186958,03000007,8.40,7.50,6,8,5,,,,9,N1,03,Sở GDĐT Hải Phòng ,19.00,,22.40,21.40,,24.90,23.40
2021,186955,03000004,8.60,5.75,6,7.50,5.25,,,,8.40,N1,03,Sở GDĐT Hải Phòng ,18.80,,22.10,21.40,,22.80,23.00
2021,186962,03000011,8.40,8.50,5.75,9,8,,,,,,03,Sở GDĐT Hải Phòng ,22.80,,23.20,25.40,,,
2021,186971,03000020,9,8.25,7.50,9.50,10,,,,9.20,N1,03,Sở GDĐT Hải Phòng ,27.00,,26.00,28.50,,26.50,25.70
2021,186964,03000013,8.40,6.50,9,4.25,5.75,,,,9.40,N1,03,Sở GDĐT Hải Phòng ,19.00,,21.70,18.40,,24.30,26.80
2021,186973,03000022,7.20,7.75,5.25,5.75,6,,,,8.60,N1,03,Sở GDĐT Hải Phòng ,17.00,,18.20,19.00,,23.50,21.00
2021,186966,03000015,9.20,7.50,8.75,9,7.50,,,,8.80,N1,03,Sở GDĐT Hải Phòng ,25.30,,27.00,25.70,,25.50,26.80
2021,186965,03000014,8.40,7.50,7.25,7.75,5.50,,,,5.80,N1,03,Sở GDĐT Hải Phòng ,20.50,,23.40,21.70,,21.70,21.50
2021,186968,03000017,8,5.25,6.75,8,6,,,,4.20,N1,03,Sở GDĐT Hải Phòng ,20.80,,22.80,22.00,,17.50,19.00
2021,186967,03000016,7,4,5.50,4.25,5,,,,8.20,N1,03,Sở GDĐT Hải Phòng ,14.80,,16.80,16.30,,19.20,20.70
2021,186970,03000019,7.40,6,7.25,6.50,6,,,,8.80,N1,03,Sở GDĐT Hải Phòng ,19.80,,21.20,19.90,,22.20,23.50
2021,186969,03000018,8.20,6.50,7,7.50,5.50,,,,7.60,N1,03,Sở GDĐT Hải Phòng ,20.00,,22.70,21.20,,22.30,22.80
2021,186972,03000021,7.40,6.75,6.25,3.75,5,,,,7.80,N1,03,Sở GDĐT Hải Phòng ,15.00,,17.40,16.20,,22.00,21.50
2021,186980,03000029,7,7,4.25,4.75,5,,,,8.20,N1,03,Sở GDĐT Hải Phòng ,14.00,,16.00,16.80,,22.20,19.50
2021,186974,03000023,8.20,6.50,6,7.50,5.75,,,,7.20,N1,03,Sở GDĐT Hải Phòng ,19.30,,21.70,21.50,,21.90,21.40
2021,186982,03000031,6.60,6.25,3,3.25,4,,,,,,03,Sở GDĐT Hải Phòng ,10.30,,12.90,13.90,,,
2021,186983,03000032,8.60,7,8,7.50,6.25,,,,7.80,N1,03,Sở GDĐT Hải Phòng ,21.80,,24.10,22.40,,23.40,24.40
2021,186984,03000033,7.80,6.25,7.25,6.50,2,,,,5,N1,03,Sở GDĐT Hải Phòng ,15.80,,21.60,16.30,,19.10,20.10
2021,186976,03000025,6,8,7.25,7.50,4.25,,,,9,N1,03,Sở GDĐT Hải Phòng ,19.00,,20.80,17.80,,23.00,22.30
2021,186975,03000024,8,8.50,7.25,8,5.75,,,,6.40,N1,03,Sở GDĐT Hải Phòng ,21.00,,23.30,21.80,,22.90,21.70
2021,186986,03000035,7.80,5.75,6.75,7,4.75,,,,6.40,N1,03,Sở GDĐT Hải Phòng ,18.50,,21.60,19.60,,20.00,21.00
