schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,984447,64000009,5.20,5,,,,2.50,5.25,6.25,3.40,N1,64,Sở GDĐT Hậu Giang ,,14.00,,,12.80,13.60,
2021,984441,64000003,8.60,7.25,8,7.25,5.75,,,,6,N1,64,Sở GDĐT Hậu Giang ,21.00,,23.90,21.60,,21.90,22.60
2021,984442,64000004,5.40,7,,,,4.25,7,8,4.40,N1,64,Sở GDĐT Hậu Giang ,,19.30,,,18.30,16.80,
2021,984440,64000002,4.60,6,5,4.25,3.50,,,,2,N1,64,Sở GDĐT Hậu Giang ,12.80,,13.90,12.40,,12.60,11.60
2021,984439,64000001,3.60,5.50,,,,4,3.75,7.50,3.60,N1,64,Sở GDĐT Hậu Giang ,,15.30,,,13.30,12.70,
2021,984443,64000005,5.80,6,,,,3,6.50,8.25,4,N1,64,Sở GDĐT Hậu Giang ,,17.80,,,15.50,15.80,
2021,984446,64000008,6.40,5.75,,,,7.50,8.25,9.50,4.40,N1,64,Sở GDĐT Hậu Giang ,,25.30,,,21.50,16.60,
2021,984445,64000007,6.20,6.75,,,,6.25,8,9.75,4.60,N1,64,Sở GDĐT Hậu Giang ,,24.00,,,21.00,17.50,
2021,984448,64000010,5.80,7.50,,,,5.25,7.50,9.50,5,N1,64,Sở GDĐT Hậu Giang ,,22.30,,,20.30,18.30,
2021,984444,64000006,5.80,6.25,,,,7,7.75,8.50,4.60,N1,64,Sở GDĐT Hậu Giang ,,23.30,,,21.00,16.70,
2021,984449,64000011,8.40,7.25,,,,8,7.75,9.50,6.60,N1,64,Sở GDĐT Hậu Giang ,,25.30,,,23.00,22.30,
2021,984450,64000012,6.60,7,,,,8.25,8,9.50,7.40,N1,64,Sở GDĐT Hậu Giang ,,25.80,,,23.30,21.00,
2021,984454,64000016,7.80,7.50,7.25,7.50,7,,,,6.20,N1,64,Sở GDĐT Hậu Giang ,21.80,,22.60,22.30,,21.50,21.30
2021,984453,64000015,7.20,6.25,,,,3.25,6.50,7.50,4.20,N1,64,Sở GDĐT Hậu Giang ,,17.30,,,16.00,17.70,
2021,984452,64000014,7.60,8,,,,7.50,8,8.75,5.60,N1,64,Sở GDĐT Hậu Giang ,,24.30,,,23.50,21.20,
2021,984456,64000018,7,7,,,,5.50,6.25,8.50,3.80,N1,64,Sở GDĐT Hậu Giang ,,20.30,,,18.80,17.80,
2021,984458,64000020,6.20,6.75,,,,2.50,5.50,7,4.20,N1,64,Sở GDĐT Hậu Giang ,,15.00,,,14.80,17.20,
2021,984457,64000019,4.80,5,4.50,7.25,4,,,,3,N1,64,Sở GDĐT Hậu Giang ,15.80,,16.60,16.10,,12.80,12.30
2021,984451,64000013,4,7.75,,,,3.75,6.50,8.50,3.40,N1,64,Sở GDĐT Hậu Giang ,,18.80,,,18.00,15.20,
2021,984455,64000017,4.80,5,,,,6.75,7.25,7.75,3,N1,64,Sở GDĐT Hậu Giang ,,21.80,,,19.00,12.80,
2021,984459,64000021,6.20,7.25,,,,7,7.75,9.25,5.80,N1,64,Sở GDĐT Hậu Giang ,,24.00,,,22.00,19.30,
2021,984460,64000022,7.20,6.25,,,,5.50,8.50,7.75,7.40,N1,64,Sở GDĐT Hậu Giang ,,21.80,,,20.30,20.90,
2021,984461,64000023,6.60,4.75,,,,6.50,8.50,9,6.20,N1,64,Sở GDĐT Hậu Giang ,,24.00,,,19.80,17.60,
2021,984464,64000026,7.60,8.25,7,7.25,5,,,,7.40,N1,64,Sở GDĐT Hậu Giang ,19.30,,21.90,19.90,,23.30,22.00
2021,984467,64000029,7,6.50,7.50,6,4.75,,,,5.40,N1,64,Sở GDĐT Hậu Giang ,18.30,,20.50,17.80,,18.90,19.90
2021,984463,64000025,7,8,,,,7.25,7.50,9.75,6.60,N1,64,Sở GDĐT Hậu Giang ,,24.50,,,22.80,21.60,
2021,984462,64000024,7.80,5.42,,,,6.25,7.75,9,5,N1,64,Sở GDĐT Hậu Giang ,,23.00,,,19.40,18.20,
2021,984466,64000028,4.40,6.50,,,,3.75,6.25,8,4.40,N1,64,Sở GDĐT Hậu Giang ,,18.00,,,16.50,15.30,
2021,984465,64000027,8.20,7.25,5.50,7.25,6.75,,,,5.80,N1,64,Sở GDĐT Hậu Giang ,19.50,,21.00,22.20,,21.30,19.50
2021,984468,64000030,5.60,5.75,,,,3.75,6.50,7.75,2.60,N1,64,Sở GDĐT Hậu Giang ,,18.00,,,16.00,14.00,
2021,984469,64000031,4.60,4.25,,,,1.25,5.50,6.75,4.60,N1,64,Sở GDĐT Hậu Giang ,,13.50,,,11.00,13.50,
2021,984470,64000032,8.80,4.50,7.75,7.75,7,,,,6.60,N1,64,Sở GDĐT Hậu Giang ,22.50,,24.30,23.60,,19.90,23.20
2021,984472,64000034,6,6.25,,,,3.75,7.75,9,2.40,N1,64,Sở GDĐT Hậu Giang ,,20.50,,,17.80,14.70,
2021,984471,64000033,3.40,5,,,,2.50,4.50,7.50,3.40,N1,64,Sở GDĐT Hậu Giang ,,14.50,,,12.00,11.80,
2021,984476,64000038,9,8,,,,9,8.50,9.75,5.40,N1,64,Sở GDĐT Hậu Giang ,,27.30,,,25.50,22.40,
2021,984474,64000036,5,7,5.25,2.50,3.75,,,,3.60,N1,64,Sở GDĐT Hậu Giang ,11.50,,12.80,11.30,,15.60,13.90
2021,984473,64000035,7,6,6,6.50,6,,,,5.60,N1,64,Sở GDĐT Hậu Giang ,18.50,,19.50,19.50,,18.60,18.60
2021,984477,64000039,6.40,7.25,7.25,7,5,,,,4.80,N1,64,Sở GDĐT Hậu Giang ,19.30,,20.70,18.40,,18.50,18.50
2021,984478,64000040,6.80,8,,,,3,7.25,8.75,3.60,N1,64,Sở GDĐT Hậu Giang ,,19.00,,,18.30,18.40,
2021,984475,64000037,6.60,7.50,,,,4.75,6,8.75,8.40,N1,64,Sở GDĐT Hậu Giang ,,19.50,,,18.30,22.50,
2021,984479,64000041,7,7,6.25,7.25,5,,,,4,N1,64,Sở GDĐT Hậu Giang ,18.50,,20.50,19.30,,18.00,17.30
2021,984484,64000046,8,6.50,8.25,8,6.25,,,,5.60,N1,64,Sở GDĐT Hậu Giang ,22.50,,24.30,22.30,,20.10,21.90
2021,984481,64000043,6.80,8.75,7.50,8,5,,,,4.60,N1,64,Sở GDĐT Hậu Giang ,20.50,,22.30,19.80,,20.20,18.90
2021,984480,64000042,7.20,7,,,,5.75,6.50,8.50,4.80,N1,64,Sở GDĐT Hậu Giang ,,20.80,,,19.30,19.00,
2021,984483,64000045,6,8.75,5.75,7.75,4,,,,5.40,N1,64,Sở GDĐT Hậu Giang ,17.50,,19.50,17.80,,20.20,17.20
2021,984485,64000047,6.60,5.50,,,,6,7,8.75,4,N1,64,Sở GDĐT Hậu Giang ,,21.80,,,18.50,16.10,
2021,984482,64000044,6,7.25,,,,5.50,7.50,8.25,3.20,N1,64,Sở GDĐT Hậu Giang ,,21.30,,,20.30,16.50,
2021,984488,64000050,5.60,5.25,,,,3.75,5.75,7.75,5.40,N1,64,Sở GDĐT Hậu Giang ,,17.30,,,14.80,16.30,
2021,984486,64000048,5,6.50,,,,6.75,7.25,9.25,4.40,N1,64,Sở GDĐT Hậu Giang ,,23.30,,,20.50,15.90,
2021,984487,64000049,7.60,6.75,6.25,6.75,5.50,,,,3.40,N1,64,Sở GDĐT Hậu Giang ,18.50,,20.60,19.90,,17.80,17.30
2021,984489,64000051,7,7.25,6.25,7,4.75,,,,6.20,N1,64,Sở GDĐT Hậu Giang ,18.00,,20.30,18.80,,20.50,19.50
2021,984490,64000052,7.40,7.25,,,,7.25,9,9.25,7,N1,64,Sở GDĐT Hậu Giang ,,25.50,,,23.50,21.70,
2021,984491,64000053,7.20,6.50,,,,2.50,7.25,7.25,4.60,N1,64,Sở GDĐT Hậu Giang ,,17.00,,,16.30,18.30,
2021,984493,64000055,5.60,7.25,,,,5,7,8.50,5.20,N1,64,Sở GDĐT Hậu Giang ,,20.50,,,19.30,18.10,
2021,984495,64000057,7,6,,,,6.75,7.75,9.75,4.20,N1,64,Sở GDĐT Hậu Giang ,,24.30,,,20.50,17.20,
2021,984497,64000059,8.20,5,8.50,8.25,6.75,,,,5.40,N1,64,Sở GDĐT Hậu Giang ,23.50,,25.00,23.20,,18.60,22.10
2021,984499,64000061,6.80,6.50,,,,3.75,6,7.25,3.80,N1,64,Sở GDĐT Hậu Giang ,,17.00,,,16.30,17.10,
2021,984502,64000064,7.40,6.50,7.25,7.50,4.25,,,,4.80,N1,64,Sở GDĐT Hậu Giang ,19.00,,22.20,19.20,,18.70,19.50
2021,984504,64000066,4,4,,,,3,5.75,7,3.80,N1,64,Sở GDĐT Hậu Giang ,,15.80,,,12.80,11.80,
2021,984492,64000054,6.20,6.50,,,,4.50,7.50,8.25,3.20,N1,64,Sở GDĐT Hậu Giang ,,20.30,,,18.50,15.90,
2021,984496,64000058,9,8.50,7.75,7.75,7.75,,,,9,N1,64,Sở GDĐT Hậu Giang ,23.30,,24.50,24.50,,26.50,25.80
2021,984506,64000068,6.40,6.08,,,,4.50,6.75,8.50,3.80,N1,64,Sở GDĐT Hậu Giang ,,19.80,,,17.30,16.30,
2021,984498,64000060,4.80,3.50,,,,2.50,7.25,6.50,3,N1,64,Sở GDĐT Hậu Giang ,,16.30,,,13.30,11.30,
2021,984494,64000056,5.20,7.25,,,,3.25,6.75,8.50,3,N1,64,Sở GDĐT Hậu Giang ,,18.50,,,17.30,15.50,
2021,984500,64000062,6.20,4.50,,,,7.75,7.50,10,4.60,N1,64,Sở GDĐT Hậu Giang ,,25.30,,,19.80,15.30,
2021,984511,64000073,4,6.25,,,,3.25,6,7.50,2.20,N1,64,Sở GDĐT Hậu Giang ,,16.80,,,15.50,12.50,
2021,984501,64000063,8,6.75,,,,8.75,8,10,6.40,N1,64,Sở GDĐT Hậu Giang ,,26.80,,,23.50,21.20,
2021,984503,64000065,7.80,7.25,,,,6.50,7.50,9.75,6.80,N1,64,Sở GDĐT Hậu Giang ,,23.80,,,21.30,21.90,
2021,984512,64000074,7.60,6.25,7.25,8.25,6.25,,,,5.60,N1,64,Sở GDĐT Hậu Giang ,21.80,,23.10,22.10,,19.50,20.50
2021,984509,64000071,7.20,5.75,6.75,7,5,,,,4.20,N1,64,Sở GDĐT Hậu Giang ,18.80,,21.00,19.20,,17.20,18.20
2021,984510,64000072,4.80,7,,,,3,6.50,7.75,3.60,N1,64,Sở GDĐT Hậu Giang ,,17.30,,,16.50,15.40,
2021,984505,64000067,6.80,7.75,,,,8.25,8.25,9.25,5.80,N1,64,Sở GDĐT Hậu Giang ,,25.80,,,24.30,20.40,
2021,984513,64000075,3.20,5,,,,5.25,5.75,8.25,3.80,N1,64,Sở GDĐT Hậu Giang ,,19.30,,,16.00,12.00,
2021,984508,64000070,7.60,6.50,,,,6.25,8.25,9.50,5.80,N1,64,Sở GDĐT Hậu Giang ,,24.00,,,21.00,19.90,
2021,984516,64000078,7.20,6.25,6.50,6,6.25,,,,4,N1,64,Sở GDĐT Hậu Giang ,18.80,,19.70,19.50,,17.50,17.70
2021,984519,64000081,6,6.75,,,,4.50,7,9.25,2.80,N1,64,Sở GDĐT Hậu Giang ,,20.80,,,18.30,15.60,
2021,984514,64000076,8,6,6.50,7.75,6.25,,,,5,N1,64,Sở GDĐT Hậu Giang ,20.50,,22.30,22.00,,19.00,19.50
2021,984515,64000077,8,6.75,8,8.25,7,,,,5.20,N1,64,Sở GDĐT Hậu Giang ,23.30,,24.30,23.30,,20.00,21.20
2021,984518,64000080,6.20,5.50,,,,4.25,5.75,7.75,4.60,N1,64,Sở GDĐT Hậu Giang ,,17.80,,,15.50,16.30,
2021,984517,64000079,4,5,,,,3.25,4.50,6.50,2,N1,64,Sở GDĐT Hậu Giang ,,14.30,,,12.80,11.00,
2021,984520,64000082,7.60,8.25,5.50,7.75,7.25,,,,5.20,N1,64,Sở GDĐT Hậu Giang ,20.50,,20.90,22.60,,21.10,18.30
2021,984521,64000083,7,6.50,,,,4.75,6.25,8.75,5.40,N1,64,Sở GDĐT Hậu Giang ,,19.80,,,17.50,18.90,
2021,984522,64000084,6.60,5,,,,3.50,6.25,8.50,6.20,N1,64,Sở GDĐT Hậu Giang ,,18.30,,,14.80,17.80,
