schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,707957,41000007,2.20,1.75,,,,2.25,4.50,6.50,2.80,N1,41,Sở GDĐT Khánh Hoà ,,13.30,,,8.50,6.80,
2021,707952,41000002,8,7.25,,,,5.50,7,8.75,6.40,N1,41,Sở GDĐT Khánh Hoà ,,21.30,,,19.80,21.70,
2021,707951,41000001,3.40,3.50,,,,6.50,6.50,8.50,3.80,N1,41,Sở GDĐT Khánh Hoà ,,21.50,,,16.50,10.70,
2021,707959,41000009,4.40,1.50,,,,1.75,5,5,4,N1,41,Sở GDĐT Khánh Hoà ,,11.80,,,8.30,9.90,
2021,707956,41000006,2.60,3.75,,,,2.75,5.25,6.50,4.20,N1,41,Sở GDĐT Khánh Hoà ,,14.50,,,11.80,10.60,
2021,707958,41000008,3.40,4,,,,4.25,4.75,5.75,5.40,N1,41,Sở GDĐT Khánh Hoà ,,14.80,,,13.00,12.80,
2021,707953,41000003,7.60,6.50,,,,4.75,7.50,8.75,6.80,N1,41,Sở GDĐT Khánh Hoà ,,21.00,,,18.80,20.90,
2021,707954,41000004,4.80,4.25,,,,4,5.50,,,,41,Sở GDĐT Khánh Hoà ,,,,,13.80,,
2021,707960,41000010,3.40,1.25,,,,3,4,4.50,3,N1,41,Sở GDĐT Khánh Hoà ,,11.50,,,8.30,7.70,
2021,707955,41000005,2.20,3.50,,,,5.75,4.25,,,,41,Sở GDĐT Khánh Hoà ,,,,,13.50,,
2021,707961,41000011,2,2.75,,,,3.25,3,,,,41,Sở GDĐT Khánh Hoà ,,,,,9.00,,
2021,707966,41000016,2.60,1.75,,,,3.75,3.75,4,3.40,N1,41,Sở GDĐT Khánh Hoà ,,11.50,,,9.30,7.80,
2021,707962,41000012,2.20,1.75,,,,3,4.50,6.50,4,N1,41,Sở GDĐT Khánh Hoà ,,14.00,,,9.30,8.00,
2021,707967,41000017,4.80,4,,,,3.50,6,8.75,3.20,N1,41,Sở GDĐT Khánh Hoà ,,18.30,,,13.50,12.00,
2021,707965,41000015,4.20,6.50,,,,7,6,7.75,4.40,N1,41,Sở GDĐT Khánh Hoà ,,20.80,,,19.50,15.10,
2021,707963,41000013,2.40,3.75,,,,3.25,3.75,6,2.20,N1,41,Sở GDĐT Khánh Hoà ,,13.00,,,10.80,8.40,
2021,707964,41000014,3.40,1.75,,,,4.50,0.75,3,2.60,N1,41,Sở GDĐT Khánh Hoà ,,8.30,,,7.00,7.80,
2021,707969,41000019,7,6.50,,,,6.50,7.75,9.50,3,N1,41,Sở GDĐT Khánh Hoà ,,23.80,,,20.80,16.50,
2021,707968,41000018,8.60,7,,,,7.25,7.50,8.50,8.40,N1,41,Sở GDĐT Khánh Hoà ,,23.30,,,21.80,24.00,
2021,707970,41000020,5.20,2.25,5,6.50,4,,,,4.20,N1,41,Sở GDĐT Khánh Hoà ,15.50,,16.70,15.70,,11.70,14.40
2021,707972,41000022,8,7.25,4.50,4.50,6.50,,,,4.60,N1,41,Sở GDĐT Khánh Hoà ,15.50,,17.00,19.00,,19.90,17.10
2021,707971,41000021,8.40,7.50,,,,6.75,8,10,7.60,N1,41,Sở GDĐT Khánh Hoà ,,24.80,,,22.30,23.50,
2021,707973,41000023,2.80,4.50,,,,3.25,4.75,7.25,2.40,N1,41,Sở GDĐT Khánh Hoà ,,15.30,,,12.50,9.70,
2021,707976,41000026,2.40,4,,,,3.75,5.75,6,2.20,N1,41,Sở GDĐT Khánh Hoà ,,15.50,,,13.50,8.60,
2021,707975,41000025,3.20,5.25,,,,5.50,6,8.75,5.20,N1,41,Sở GDĐT Khánh Hoà ,,20.30,,,16.80,13.70,
2021,707977,41000027,2,3,,,,3,5.75,7,2.40,N1,41,Sở GDĐT Khánh Hoà ,,15.80,,,11.80,7.40,
2021,707974,41000024,5.80,6.75,6.25,6,7,,,,7.80,N1,41,Sở GDĐT Khánh Hoà ,19.30,,18.10,18.80,,20.40,19.90
2021,707979,41000029,5.40,5.50,,,,5.50,6,,,,41,Sở GDĐT Khánh Hoà ,,,,,17.00,,
2021,707978,41000028,3.40,2,,,,4.25,5.75,6,3.20,N1,41,Sở GDĐT Khánh Hoà ,,16.00,,,12.00,8.60,
2021,707980,41000030,7,6.25,5.25,6,6.50,,,,7.40,N1,41,Sở GDĐT Khánh Hoà ,17.80,,18.30,19.50,,20.70,19.70
2021,707981,41000031,7.80,8,8,8.75,6.25,,,,7.40,N1,41,Sở GDĐT Khánh Hoà ,23.00,,24.60,22.80,,23.20,23.20
2021,707982,41000032,8.60,5.50,7,6.25,5.25,,,,5.40,N1,41,Sở GDĐT Khánh Hoà ,18.50,,21.90,20.10,,19.50,21.00
2021,707983,41000033,6.60,6.50,,,,4.50,7,8,6.40,N1,41,Sở GDĐT Khánh Hoà ,,19.50,,,18.00,19.50,
2021,707991,41000041,5,6.50,,,,4.75,6,9.25,2.80,N1,41,Sở GDĐT Khánh Hoà ,,20.00,,,17.30,14.30,
2021,707984,41000034,3.40,4,,,,4,4.75,6.75,2.80,N1,41,Sở GDĐT Khánh Hoà ,,15.50,,,12.80,10.20,
2021,707985,41000035,3.40,2.25,,,,3,6,7.50,2.60,N1,41,Sở GDĐT Khánh Hoà ,,16.50,,,11.30,8.30,
2021,707987,41000037,6,7.50,,,,8,9,9.50,8.60,N1,41,Sở GDĐT Khánh Hoà ,,26.50,,,24.50,22.10,
2021,707986,41000036,4.20,3.75,,,,5,6.50,,,,41,Sở GDĐT Khánh Hoà ,,,,,15.30,,
2021,707988,41000038,5,6.50,,,,5.75,5.50,8.25,5.80,N1,41,Sở GDĐT Khánh Hoà ,,19.50,,,17.80,17.30,
2021,707989,41000039,7.80,8,5.75,6.50,6,,,,7.80,N1,41,Sở GDĐT Khánh Hoà ,18.30,,20.10,20.30,,23.60,21.40
2021,707990,41000040,6.80,8,,,,9.25,7.50,9.75,9.60,N1,41,Sở GDĐT Khánh Hoà ,,26.50,,,24.80,24.40,
2021,707995,41000045,2.80,1.50,,,,2,3,4,3.40,N1,41,Sở GDĐT Khánh Hoà ,,9.00,,,6.50,7.70,
2021,707997,41000047,,5.75,,,,7,6.75,,,,41,Sở GDĐT Khánh Hoà ,,,,,19.50,,
2021,707992,41000042,8.60,5.75,6.25,8,7.75,,,,7.60,N1,41,Sở GDĐT Khánh Hoà ,22.00,,22.90,24.40,,22.00,22.50
2021,707999,41000049,3.20,3.25,,,,3,5.75,6.25,3.40,N1,41,Sở GDĐT Khánh Hoà ,,15.00,,,12.00,9.90,
2021,708002,41000052,4.40,5.75,,,,4.50,7.50,9.50,4.80,N1,41,Sở GDĐT Khánh Hoà ,,21.50,,,17.80,15.00,
2021,707993,41000043,4.20,7,,,,5,7.50,9,5.60,N1,41,Sở GDĐT Khánh Hoà ,,21.50,,,19.50,16.80,
2021,708001,41000051,2.80,1.25,,,,4.75,3.75,,,,41,Sở GDĐT Khánh Hoà ,,,,,9.80,,
2021,707994,41000044,7.20,6,4.75,6.75,6,,,,4.40,N1,41,Sở GDĐT Khánh Hoà ,17.50,,18.70,20.00,,17.60,16.40
2021,708006,41000056,7.40,7.25,,,,7.50,8,9.50,8.60,N1,41,Sở GDĐT Khánh Hoà ,,25.00,,,22.80,23.30,
2021,708004,41000054,3.40,2.50,,,,2.25,6.25,5.50,4.60,N1,41,Sở GDĐT Khánh Hoà ,,14.00,,,11.00,10.50,
2021,708008,41000058,6.60,6.75,5.25,6,6.25,,,,4.20,N1,41,Sở GDĐT Khánh Hoà ,17.50,,17.90,18.90,,17.60,16.10
2021,707996,41000046,3.20,5.75,,,,3.75,6.50,7,2.60,N1,41,Sở GDĐT Khánh Hoà ,,17.30,,,16.00,11.50,
2021,707998,41000048,3.20,3.50,,,,2.25,5.75,5.50,2.40,N1,41,Sở GDĐT Khánh Hoà ,,13.50,,,11.50,9.10,
2021,708000,41000050,,5,,,,5.75,6.50,,,,41,Sở GDĐT Khánh Hoà ,,,,,17.30,,
2021,708009,41000059,8.80,6.50,6.25,7,6.25,,,,7.40,N1,41,Sở GDĐT Khánh Hoà ,19.50,,22.10,22.10,,22.70,22.50
2021,708010,41000060,5.60,6.25,,,,8,8.25,9.50,5.60,N1,41,Sở GDĐT Khánh Hoà ,,25.80,,,22.50,17.50,
2021,708012,41000062,3.20,5.75,,,,4.50,5.25,6.25,2.20,N1,41,Sở GDĐT Khánh Hoà ,,16.00,,,15.50,11.10,
2021,708013,41000063,7.40,5.75,,,,3,6.25,7,3.40,N1,41,Sở GDĐT Khánh Hoà ,,16.30,,,15.00,16.60,
2021,708003,41000053,7,8.25,,,,9,8.25,9,9.20,N1,41,Sở GDĐT Khánh Hoà ,,26.30,,,25.50,24.50,
2021,708005,41000055,3.60,3,,,,3.50,7.25,7.75,2.40,N1,41,Sở GDĐT Khánh Hoà ,,18.50,,,13.80,9.00,
2021,708015,41000065,5.80,5.75,,,,5.25,6,8.25,3.40,N1,41,Sở GDĐT Khánh Hoà ,,19.50,,,17.00,15.00,
2021,708016,41000066,4.20,5,,,,4.75,6,7.25,3.40,N1,41,Sở GDĐT Khánh Hoà ,,18.00,,,15.80,12.60,
2021,708014,41000064,7.60,6.75,4.75,7.50,5.50,,,,4,N1,41,Sở GDĐT Khánh Hoà ,17.80,,19.90,20.60,,18.40,16.40
2021,708007,41000057,3.80,4,,,,4,5.75,8,3,N1,41,Sở GDĐT Khánh Hoà ,,17.80,,,13.80,10.80,
2021,708023,41000073,2.60,3.25,,,,1.25,4.75,3.75,2.80,N1,41,Sở GDĐT Khánh Hoà ,,9.80,,,9.30,8.60,
2021,708011,41000061,4.80,7,,,,2.75,6.25,7.50,3.60,N1,41,Sở GDĐT Khánh Hoà ,,16.50,,,16.00,15.40,
