schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,885500,54000004,2.80,5.25,,,,4,4.75,,2.20,N1,54,Sở GDĐT Kiên Giang ,,,,,14.00,10.30,
2021,885497,54000001,6.80,6,,,,2.50,8,8.75,3.80,N1,54,Sở GDĐT Kiên Giang ,,19.30,,,16.50,16.60,
2021,885506,54000010,7,7,6.50,7,6.75,,,,8.20,N1,54,Sở GDĐT Kiên Giang ,20.30,,20.50,20.80,,22.20,21.70
2021,885498,54000002,7,7.25,3.50,5.50,4.75,,,,3.20,N1,54,Sở GDĐT Kiên Giang ,13.80,,16.00,17.30,,17.50,13.70
2021,885499,54000003,4.60,5.75,,,,3,5,7,4.20,N1,54,Sở GDĐT Kiên Giang ,,15.00,,,13.80,14.60,
2021,885502,54000006,5.80,5.50,,,,6.25,7,8,3.80,N1,54,Sở GDĐT Kiên Giang ,,21.30,,,18.80,15.10,
2021,885503,54000007,7.60,7.58,,,,8,6.25,9.50,2.80,N1,54,Sở GDĐT Kiên Giang ,,23.80,,,21.80,18.00,
2021,885501,54000005,4.60,5.75,,,,5,6.25,8.75,3.80,N1,54,Sở GDĐT Kiên Giang ,,20.00,,,17.00,14.20,
2021,885504,54000008,7.80,7,3.25,5,4.25,,,,3.40,N1,54,Sở GDĐT Kiên Giang ,12.50,,16.10,17.10,,18.20,14.50
2021,885505,54000009,5.80,6.75,,,,4,7,8,2.40,N1,54,Sở GDĐT Kiên Giang ,,19.00,,,17.80,15.00,
2021,885511,54000015,6.20,7.50,,,,4.50,7,8.75,3.20,N1,54,Sở GDĐT Kiên Giang ,,20.30,,,19.00,16.90,
2021,885512,54000016,4.80,4,,,,5,7,6.75,1.60,N1,54,Sở GDĐT Kiên Giang ,,18.80,,,16.00,10.40,
2021,885509,54000013,7.20,6.75,6.25,6.25,5.50,,,,5.60,N1,54,Sở GDĐT Kiên Giang ,18.00,,19.70,19.00,,19.50,19.00
2021,885516,54000020,6,4.50,,,,4.25,5.25,7.25,3.20,N1,54,Sở GDĐT Kiên Giang ,,16.80,,,14.00,13.70,
2021,885517,54000021,7.40,8,,,,8.50,8.50,9.25,5.20,N1,54,Sở GDĐT Kiên Giang ,,26.30,,,25.00,20.60,
2021,885520,54000024,6.40,6.50,,,,5.25,7.25,8.25,2.80,N1,54,Sở GDĐT Kiên Giang ,,20.80,,,19.00,15.70,
2021,885514,54000018,7.40,5.25,5,7.25,5.25,,,,5.40,N1,54,Sở GDĐT Kiên Giang ,17.50,,19.70,19.90,,18.10,17.80
2021,885507,54000011,3.60,2.25,,,,2.50,2.75,4,2.60,N1,54,Sở GDĐT Kiên Giang ,,9.30,,,7.50,8.50,
2021,885513,54000017,6.80,5.25,,,,2.75,5.75,8,2.80,N1,54,Sở GDĐT Kiên Giang ,,16.50,,,13.80,14.90,
2021,885508,54000012,7.20,6,3.75,5,6.25,,,,4.40,N1,54,Sở GDĐT Kiên Giang ,15.00,,16.00,18.50,,17.60,15.40
2021,885515,54000019,7.40,4.75,,,,3.75,7.75,8.25,2.40,N1,54,Sở GDĐT Kiên Giang ,,19.80,,,16.30,14.60,
2021,885510,54000014,7,4,4.50,4.75,3.50,,,,3.80,N1,54,Sở GDĐT Kiên Giang ,12.80,,16.30,15.30,,14.80,15.30
2021,885521,54000025,5,3.75,,,,3.50,6,5.50,4,N1,54,Sở GDĐT Kiên Giang ,,15.00,,,13.30,12.80,
2021,885526,54000030,6.40,7.25,,,,4.25,7,7.75,4.80,N1,54,Sở GDĐT Kiên Giang ,,19.00,,,18.50,18.50,
2021,885519,54000023,5,5,,,,3.75,5,7.25,2.60,N1,54,Sở GDĐT Kiên Giang ,,16.00,,,13.80,12.60,
2021,885518,54000022,7.40,7.50,,,,8.50,9,9.75,6.40,N1,54,Sở GDĐT Kiên Giang ,,27.30,,,25.00,21.30,
2021,885528,54000032,3.60,5.25,,,,2.25,6,6.75,3.40,N1,54,Sở GDĐT Kiên Giang ,,15.00,,,13.50,12.30,
2021,885522,54000026,6.40,4.75,,,,1.50,5.75,6.75,3,N1,54,Sở GDĐT Kiên Giang ,,14.00,,,12.00,14.20,
2021,885523,54000027,8.60,6.25,7.50,6.50,3.50,,,,3.20,N1,54,Sở GDĐT Kiên Giang ,17.50,,22.60,18.60,,18.10,19.30
2021,885524,54000028,6.20,7.25,,,,3,6.50,7.50,4.20,N1,54,Sở GDĐT Kiên Giang ,,17.00,,,16.80,17.70,
2021,885527,54000031,8,6,,,,3.25,7.75,8.75,4.20,N1,54,Sở GDĐT Kiên Giang ,,19.80,,,17.00,18.20,
2021,885525,54000029,7.40,5.75,5.25,4.75,6,,,,4.40,N1,54,Sở GDĐT Kiên Giang ,16.00,,17.40,18.20,,17.60,17.10
2021,885529,54000033,7.40,7.50,6,3.50,3.75,,,,6,N1,54,Sở GDĐT Kiên Giang ,13.30,,16.90,14.70,,20.90,19.40
2021,885530,54000034,3.80,5.25,,,,3.75,4.25,6.75,1.60,N1,54,Sở GDĐT Kiên Giang ,,14.80,,,13.30,10.70,
2021,885532,54000036,7,8.25,,,,9.50,8.75,9.75,4.60,N1,54,Sở GDĐT Kiên Giang ,,28.00,,,26.50,19.90,
2021,885531,54000035,6.80,7.75,5.25,7.50,3.75,,,,3.40,N1,54,Sở GDĐT Kiên Giang ,16.50,,19.60,18.10,,18.00,15.50
2021,885533,54000037,6.20,6.25,,,,3.75,7.25,6.25,3.20,N1,54,Sở GDĐT Kiên Giang ,,17.30,,,17.30,15.70,
2021,885534,54000038,6.40,7,,,,6.25,7.75,9.75,4.40,N1,54,Sở GDĐT Kiên Giang ,,23.80,,,21.00,17.80,
2021,885535,54000039,7.20,4.25,4.25,4.75,5,,,,4.20,N1,54,Sở GDĐT Kiên Giang ,14.00,,16.20,17.00,,15.70,15.70
2021,885537,54000041,6.80,3.75,6.75,5.75,5.50,,,,7.80,N1,54,Sở GDĐT Kiên Giang ,18.00,,19.30,18.10,,18.40,21.40
2021,885536,54000040,8,6.50,,,,5.50,7.25,8.50,3.60,N1,54,Sở GDĐT Kiên Giang ,,21.30,,,19.30,18.10,
2021,885538,54000042,6.80,6.25,,,,5.25,6.75,7,5.40,N1,54,Sở GDĐT Kiên Giang ,,19.00,,,18.30,18.50,
2021,885539,54000043,6.60,4.50,,,,5.25,8,9.75,4.60,N1,54,Sở GDĐT Kiên Giang ,,23.00,,,17.80,15.70,
2021,885540,54000044,7.60,6.75,6,6.50,7.25,,,,6,N1,54,Sở GDĐT Kiên Giang ,19.80,,20.10,21.40,,20.40,19.60
2021,885542,54000046,6.40,5.50,,,,3.75,6.50,8.25,5,N1,54,Sở GDĐT Kiên Giang ,,18.50,,,15.80,16.90,
2021,885543,54000047,5,5.50,,,,4.75,8.50,8.50,4.20,N1,54,Sở GDĐT Kiên Giang ,,21.80,,,18.80,14.70,
2021,885541,54000045,7,5.25,,,,6,7,9.50,6.80,N1,54,Sở GDĐT Kiên Giang ,,22.50,,,18.30,19.10,
2021,885544,54000048,4.40,6.50,,,,3.50,6.50,8.50,3.60,N1,54,Sở GDĐT Kiên Giang ,,18.50,,,16.50,14.50,
2021,885545,54000049,6,5.75,,,,7,5.25,8.50,4.60,N1,54,Sở GDĐT Kiên Giang ,,20.80,,,18.00,16.40,
2021,885547,54000051,2.40,6,,,,3.25,6.50,6,2.40,N1,54,Sở GDĐT Kiên Giang ,,15.80,,,15.80,10.80,
2021,885546,54000050,6.20,7,,,,3.50,6.50,8.25,4.80,N1,54,Sở GDĐT Kiên Giang ,,18.30,,,17.00,18.00,
2021,885548,54000052,2.40,2.75,,,,3,2.75,4.25,4.20,N1,54,Sở GDĐT Kiên Giang ,,10.00,,,8.50,9.40,
2021,885549,54000053,8.20,7.25,7,5.75,3.50,,,,3.80,N1,54,Sở GDĐT Kiên Giang ,16.30,,21.00,17.50,,19.30,19.00
2021,885550,54000054,7.40,4.25,5,4.25,3.50,,,,3.60,N1,54,Sở GDĐT Kiên Giang ,12.80,,16.70,15.20,,15.30,16.00
2021,885551,54000055,7.40,6.58,7,7.25,6,,,,5.20,N1,54,Sở GDĐT Kiên Giang ,20.30,,21.70,20.70,,19.20,19.60
2021,885552,54000056,7.40,7.75,7,8,5.25,,,,4,N1,54,Sở GDĐT Kiên Giang ,20.30,,22.40,20.70,,19.20,18.40
