schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,644712,36000001,2.40,3,,,,3.25,6.25,,,,36,Sở GDĐT Kon Tum ,,,,,12.50,,
2021,644716,36000005,8.60,4,7.25,5.50,5.25,,,,8.80,N1,36,Sở GDĐT Kon Tum ,18.00,,21.40,19.40,,21.40,24.70
2021,644720,36000009,8,6.25,6,5,5,,,,8.60,N1,36,Sở GDĐT Kon Tum ,16.00,,19.00,18.00,,22.90,22.60
2021,644713,36000002,6.20,6,3.50,4.25,3.50,,,,4.80,N1,36,Sở GDĐT Kon Tum ,11.30,,14.00,14.00,,17.00,14.50
2021,644719,36000008,8.40,6.50,6.50,9.25,8.75,,,,7.60,N1,36,Sở GDĐT Kon Tum ,24.50,,24.20,26.40,,22.50,22.50
2021,644714,36000003,8,7.25,7.50,6,7,,,,8.80,N1,36,Sở GDĐT Kon Tum ,20.50,,21.50,21.00,,24.10,24.30
2021,644717,36000006,8.60,7,,,,8,6.75,9,9.40,N1,36,Sở GDĐT Kon Tum ,,23.80,,,21.80,25.00,
2021,644715,36000004,7.40,6.75,3.75,7.75,9,,,,5.60,N1,36,Sở GDĐT Kon Tum ,20.50,,18.90,24.20,,19.80,16.80
2021,644721,36000010,7.60,8,,,,6,7,7.75,7.20,N1,36,Sở GDĐT Kon Tum ,,20.80,,,21.00,22.80,
2021,644718,36000007,8.80,7.75,,,,6.25,8.50,9,8,N1,36,Sở GDĐT Kon Tum ,,23.80,,,22.50,24.60,
2021,644722,36000011,9.40,7,6.75,9.50,9.50,,,,8.40,N1,36,Sở GDĐT Kon Tum ,25.80,,25.70,28.40,,24.80,24.50
2021,644726,36000015,7.80,5.50,6.25,4,5.25,,,,9.20,N1,36,Sở GDĐT Kon Tum ,15.50,,18.10,17.10,,22.50,23.30
2021,644733,36000022,9,6.75,6.25,9.25,9.75,,,,,,36,Sở GDĐT Kon Tum ,25.30,,24.50,28.00,,,
2021,644727,36000016,8,7.50,,,,3.25,7.25,7.50,8.80,N1,36,Sở GDĐT Kon Tum ,,18.00,,,18.00,24.30,
2021,644723,36000012,7.20,7.25,,,,4.50,7.50,9.25,5.80,N1,36,Sở GDĐT Kon Tum ,,21.30,,,19.30,20.30,
2021,644729,36000018,8.60,6,6.50,5.25,7,,,,8.80,N1,36,Sở GDĐT Kon Tum ,18.80,,20.40,20.90,,23.40,23.90
2021,644728,36000017,7.40,8,,,,5.50,7.75,9.50,8.80,N1,36,Sở GDĐT Kon Tum ,,22.80,,,21.30,24.20,
2021,644724,36000013,8,8,,,,8.25,8.50,9.50,8.60,N1,36,Sở GDĐT Kon Tum ,,26.30,,,24.80,24.60,
2021,644730,36000019,9,6.75,7,8.50,8,,,,9.60,N1,36,Sở GDĐT Kon Tum ,23.50,,24.50,25.50,,25.40,25.60
2021,644731,36000020,8.60,7.50,,,,7.25,8.50,9.25,8.60,N1,36,Sở GDĐT Kon Tum ,,25.00,,,23.30,24.70,
2021,644725,36000014,7.40,4.50,,,,5.75,7.75,9.25,4,N1,36,Sở GDĐT Kon Tum ,,22.80,,,18.00,15.90,
2021,644735,36000024,4.80,5.75,,,,5.75,8,8.25,4.60,N1,36,Sở GDĐT Kon Tum ,,22.00,,,19.50,15.20,
2021,644740,36000029,2.40,1.50,,,,3.50,3.75,,,,36,Sở GDĐT Kon Tum ,,,,,8.80,,
2021,644732,36000021,8.60,8.25,,,,7.50,8,9.75,9,N1,36,Sở GDĐT Kon Tum ,,25.30,,,23.80,25.90,
2021,644743,36000032,3,4.75,,,,5,7,8.75,2.80,N1,36,Sở GDĐT Kon Tum ,,20.80,,,16.80,10.60,
2021,644734,36000023,7,5.50,,,,4.50,6.75,7,4.80,N1,36,Sở GDĐT Kon Tum ,,18.30,,,16.80,17.30,
2021,644736,36000025,7.20,7,,,,4.50,7.25,8,4.80,N1,36,Sở GDĐT Kon Tum ,,19.80,,,18.80,19.00,
2021,644737,36000026,8.40,7.25,7.75,6.25,5.75,,,,,,36,Sở GDĐT Kon Tum ,19.80,,22.40,20.40,,,
2021,644738,36000027,5.40,5,,,,2.25,6,6.25,3.60,N1,36,Sở GDĐT Kon Tum ,,14.50,,,13.30,14.00,
2021,644739,36000028,8.40,6.75,5.75,8.25,8.25,,,,7.40,N1,36,Sở GDĐT Kon Tum ,22.30,,22.40,24.90,,22.60,21.60
2021,644742,36000031,6.60,4.50,,,,4,6.25,7.75,3,N1,36,Sở GDĐT Kon Tum ,,18.00,,,14.80,14.10,
2021,644747,36000036,4.20,5.75,,,,5.50,7.75,6.75,2.60,N1,36,Sở GDĐT Kon Tum ,,20.00,,,19.00,12.50,
2021,644741,36000030,5.40,7.50,,,,4.50,6.50,8,3.60,N1,36,Sở GDĐT Kon Tum ,,19.00,,,18.50,16.50,
2021,644752,36000041,8.40,6.25,6.50,8.75,10,,,,,,36,Sở GDĐT Kon Tum ,25.30,,23.70,27.20,,,
2021,644745,36000034,2.20,3.50,,,,2,4.75,,,,36,Sở GDĐT Kon Tum ,,,,,10.30,,
2021,644753,36000042,7,8.50,,,,9.50,6.25,8.75,8.60,N1,36,Sở GDĐT Kon Tum ,,24.50,,,24.30,24.10,
2021,644744,36000033,6.60,5.50,5.50,5.75,5.25,,,,8.40,N1,36,Sở GDĐT Kon Tum ,16.50,,17.90,17.60,,20.50,20.50
2021,644749,36000038,8,5.75,6.50,5.50,6,,,,,,36,Sở GDĐT Kon Tum ,18.00,,20.00,19.50,,,
2021,644746,36000035,3.60,4,,,,2.25,7.50,6.25,3.20,N1,36,Sở GDĐT Kon Tum ,,16.00,,,13.80,10.80,
2021,644755,36000044,5,6.75,,,,2.75,6,6.50,4.60,N1,36,Sở GDĐT Kon Tum ,,15.30,,,15.50,16.40,
2021,644748,36000037,7.60,7,7.50,6,7.25,,,,9.20,N1,36,Sở GDĐT Kon Tum ,20.80,,21.10,20.90,,23.80,24.30
2021,644754,36000043,7.60,6.50,,,,4.50,7.25,8.25,6.80,N1,36,Sở GDĐT Kon Tum ,,20.00,,,18.30,20.90,
2021,644750,36000039,9.20,7.25,7.50,8.50,9,,,,8,N1,36,Sở GDĐT Kon Tum ,25.00,,25.20,26.70,,24.50,24.70
2021,644751,36000040,7.80,7.25,5.50,7.50,7,,,,8,N1,36,Sở GDĐT Kon Tum ,20.00,,20.80,22.30,,23.10,21.30
2021,644758,36000047,5.20,6.25,,,,3.50,6.75,7.75,4.60,N1,36,Sở GDĐT Kon Tum ,,18.00,,,16.50,16.00,
2021,644756,36000045,6.80,8,,,,6.25,8.25,8.75,4,N1,36,Sở GDĐT Kon Tum ,,23.30,,,22.50,18.80,
2021,644757,36000046,7.80,6.25,7.75,5.25,6.25,,,,8.80,N1,36,Sở GDĐT Kon Tum ,19.30,,20.80,19.30,,22.90,24.40
2021,644759,36000048,4.20,3.50,,,,3,6,7,4,N1,36,Sở GDĐT Kon Tum ,,16.00,,,12.50,11.70,
2021,644760,36000049,4.80,6.75,,,,3.25,6.75,8,4.60,N1,36,Sở GDĐT Kon Tum ,,18.00,,,16.80,16.20,
2021,644761,36000050,8,6.25,7,9,9.50,,,,8.80,N1,36,Sở GDĐT Kon Tum ,25.50,,24.00,26.50,,23.10,23.80
2021,644763,36000052,8,5.75,7.25,5.25,7,,,,9.20,N1,36,Sở GDĐT Kon Tum ,19.50,,20.50,20.30,,23.00,24.50
2021,644764,36000053,7.40,7.75,,,,7.75,9.25,9.75,4.60,N1,36,Sở GDĐT Kon Tum ,,26.80,,,24.80,19.80,
2021,644768,36000057,6,6,,,,6.75,7,8.25,4.40,N1,36,Sở GDĐT Kon Tum ,,22.00,,,19.80,16.40,
2021,644774,36000063,7.80,5.50,6.75,6.25,6.25,,,,8.80,N1,36,Sở GDĐT Kon Tum ,19.30,,20.80,20.30,,22.10,23.40
