schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,233175,07000010,3.20,4,,,,4.25,5.75,,,,07,Sở GDĐT Lai Châu ,,,,,14.00,,
2021,233168,07000003,,6.50,,,,7,7.75,,,,07,Sở GDĐT Lai Châu ,,,,,21.30,,
2021,233169,07000004,9.40,5.50,9,8.25,7,,,,7.80,N1,07,Sở GDĐT Lai Châu ,24.30,,26.70,24.70,,22.70,26.20
2021,233171,07000006,7.80,6,5.75,4.50,5.25,,,,8.80,N1,07,Sở GDĐT Lai Châu ,15.50,,18.10,17.60,,22.60,22.40
2021,233172,07000007,8.80,6,7.25,8,6,,,,7.20,N1,07,Sở GDĐT Lai Châu ,21.30,,24.10,22.80,,22.00,23.30
2021,233170,07000005,7,5.50,,,,5,6.25,7.50,3.20,N1,07,Sở GDĐT Lai Châu ,,18.80,,,16.80,15.70,
2021,233173,07000008,5.60,8.50,,,,9.25,8.25,9.50,2.60,N1,07,Sở GDĐT Lai Châu ,,27.00,,,26.00,16.70,
2021,233174,07000009,8.60,7.50,2.50,5.25,4,,,,8.60,N1,07,Sở GDĐT Lai Châu ,11.80,,16.40,17.90,,24.70,19.70
2021,233166,07000001,7.60,5.50,,,,6.75,8.25,9.75,4.60,N1,07,Sở GDĐT Lai Châu ,,24.80,,,20.50,17.70,
2021,233167,07000002,6.80,5,5.75,3.25,4,,,,4,N1,07,Sở GDĐT Lai Châu ,13.00,,15.80,14.10,,15.80,16.60
2021,233176,07000011,7.80,7.25,6.25,8,8,,,,5.60,N1,07,Sở GDĐT Lai Châu ,22.30,,22.10,23.80,,20.70,19.70
2021,233178,07000013,8,6,3.75,6.25,5.75,,,,4.80,N1,07,Sở GDĐT Lai Châu ,15.80,,18.00,20.00,,18.80,16.60
2021,233177,07000012,4.20,8,,,,5.75,6.50,9,3.20,N1,07,Sở GDĐT Lai Châu ,,21.30,,,20.30,15.40,
2021,233182,07000017,8,6.50,6.75,6.75,7.75,,,,5.60,N1,07,Sở GDĐT Lai Châu ,21.30,,21.50,22.50,,20.10,20.40
2021,233179,07000014,8,3.50,5,2.50,3.50,,,,4.20,N1,07,Sở GDĐT Lai Châu ,11.00,,15.50,14.00,,15.70,17.20
2021,233180,07000015,6.80,6.50,,,,4.75,6.50,8.75,7.20,N1,07,Sở GDĐT Lai Châu ,,20.00,,,17.80,20.50,
2021,233185,07000020,,5.50,,,,4.75,7.50,,,,07,Sở GDĐT Lai Châu ,,,,,17.80,,
2021,233184,07000019,5.40,4.50,,,,6.50,8.50,7.25,4.40,N1,07,Sở GDĐT Lai Châu ,,22.30,,,19.50,14.30,
2021,233183,07000018,7.60,7.75,,,,7,8,9.50,9.40,N1,07,Sở GDĐT Lai Châu ,,24.50,,,22.80,24.80,
2021,233181,07000016,7.80,7.50,,,,3.75,6.25,8.75,7.60,N1,07,Sở GDĐT Lai Châu ,,18.80,,,17.50,22.90,
2021,233187,07000022,9,5.75,8,6.25,4.25,,,,9.20,N1,07,Sở GDĐT Lai Châu ,18.50,,23.30,19.50,,24.00,26.20
2021,233186,07000021,2.40,2.50,,,,3,6.25,5.25,4,N1,07,Sở GDĐT Lai Châu ,,14.50,,,11.80,8.90,
2021,233188,07000023,7.80,5.25,6.75,6.75,4.75,,,,4.20,N1,07,Sở GDĐT Lai Châu ,18.30,,21.30,19.30,,17.30,18.80
2021,233190,07000025,9,5.25,9,9,6.50,,,,6.80,N1,07,Sở GDĐT Lai Châu ,24.50,,27.00,24.50,,21.10,24.80
2021,233189,07000024,8.20,4.75,4,3.75,3.75,,,,7.20,N1,07,Sở GDĐT Lai Châu ,11.50,,16.00,15.70,,20.20,19.40
2021,233191,07000026,7.60,6.25,4,3.75,3.25,,,,4.60,N1,07,Sở GDĐT Lai Châu ,11.00,,15.40,14.60,,18.50,16.20
2021,233192,07000027,4.60,7.75,,,,7.50,8,8.75,5.60,N1,07,Sở GDĐT Lai Châu ,,24.30,,,23.30,18.00,
