schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,817351,49000003,6.80,7,5.50,6.25,5,,,,5.40,N1,49,Sở GDĐT Long An ,16.80,,18.60,18.10,,19.20,17.70
2021,817349,49000001,8.80,6.50,7.25,7.75,6.75,,,,7.80,N1,49,Sở GDĐT Long An ,21.80,,23.80,23.30,,23.10,23.90
2021,817356,49000009,6.20,5.50,4,3.75,3,,,,4.40,N1,49,Sở GDĐT Long An ,10.80,,14.00,13.00,,16.10,14.60
2021,817353,49000005,7,6.83,6,6.25,6.75,,,,5,N1,49,Sở GDĐT Long An ,19.00,,19.30,20.00,,18.80,18.00
2021,817354,49000006,5,4.50,5.75,3.50,5.50,,,,4.20,N1,49,Sở GDĐT Long An ,14.80,,14.30,14.00,,13.70,15.00
2021,817352,49000004,6,5.50,4.25,6.25,7,,,,2.80,N1,49,Sở GDĐT Long An ,17.50,,16.50,19.30,,14.30,13.10
2021,817355,49000008,5.20,4.75,,,,6,7.75,9.25,3.80,N1,49,Sở GDĐT Long An ,,23.00,,,18.50,13.80,
2021,817350,49000002,7.80,8,7.50,8,7.50,,,,7,N1,49,Sở GDĐT Long An ,23.00,,23.30,23.30,,22.80,22.30
2021,817357,49000010,5.60,4,,,,6,9,,,,49,Sở GDĐT Long An ,,,,,19.00,,
2021,817358,49000011,6.40,8.25,6,5.25,7.75,,,,6.40,N1,49,Sở GDĐT Long An ,19.00,,17.70,19.40,,21.10,18.80
2021,817365,49000018,7,8.50,6.50,6.75,4.75,,,,6,N1,49,Sở GDĐT Long An ,18.00,,20.30,18.50,,21.50,19.50
2021,817359,49000012,6.60,5.50,6.50,6.75,6,,,,7.40,N1,49,Sở GDĐT Long An ,19.30,,19.90,19.40,,19.50,20.50
2021,817364,49000017,5.80,6,,,,3,5.25,7,3,N1,49,Sở GDĐT Long An ,,15.30,,,14.30,14.80,
2021,817360,49000013,7.20,7,5.75,7.75,6.50,,,,4.80,N1,49,Sở GDĐT Long An ,20.00,,20.70,21.50,,19.00,17.80
2021,817366,49000019,5.80,4.75,,,,4.25,7.50,9.25,3.40,N1,49,Sở GDĐT Long An ,,21.00,,,16.50,14.00,
2021,817362,49000015,7,6.75,6.50,7.25,5.25,,,,5,N1,49,Sở GDĐT Long An ,19.00,,20.80,19.50,,18.80,18.50
2021,817367,49000020,5.80,4,,,,7.25,8,,,,49,Sở GDĐT Long An ,,,,,19.30,,
2021,817361,49000014,4.60,8.50,,,,6.25,7.75,9.50,4,N1,49,Sở GDĐT Long An ,,23.50,,,22.50,17.10,
2021,817363,49000016,6.40,5.75,4,5.25,3.50,,,,3.80,N1,49,Sở GDĐT Long An ,12.80,,15.70,15.20,,16.00,14.20
2021,817371,49000024,6,5.17,,,,3.50,7.25,9,4.40,N1,49,Sở GDĐT Long An ,,19.80,,,15.90,15.60,
2021,817372,49000025,6.40,6.25,,,,6,8,,,,49,Sở GDĐT Long An ,,,,,20.30,,
2021,817369,49000022,6,5,5,4.50,4,,,,2.60,N1,49,Sở GDĐT Long An ,13.50,,15.50,14.50,,13.60,13.60
2021,817370,49000023,3.60,6,,,,2,5,,,,49,Sở GDĐT Long An ,,,,,13.00,,
2021,817377,49000030,6.20,6.50,,,,5.25,7.25,7,4.80,N1,49,Sở GDĐT Long An ,,19.50,,,19.00,17.50,
2021,817376,49000029,7.40,6,7.50,6,5.25,,,,3.80,N1,49,Sở GDĐT Long An ,18.80,,20.90,18.70,,17.20,18.70
2021,817368,49000021,7.60,6,6.75,7.25,7.50,,,,6.60,N1,49,Sở GDĐT Long An ,21.50,,21.60,22.40,,20.20,21.00
2021,817381,49000034,5.60,7.75,6.25,7.25,4.50,,,,2.60,N1,49,Sở GDĐT Long An ,18.00,,19.10,17.40,,16.00,14.50
