schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,236731,08000003,7,6.50,3.25,5.25,7.25,,,,5,N1,08,Sở GDĐT Lào Cai ,15.80,,15.50,19.50,,18.50,15.30
2021,236729,08000001,6.60,3.75,,,,7.50,7.50,9.50,3.80,N4,08,Sở GDĐT Lào Cai ,,24.50,,,18.80,14.20,
2021,236739,08000011,4.40,6.50,4,4.50,5.50,,,,4.80,N1,08,Sở GDĐT Lào Cai ,14.00,,12.90,14.40,,15.70,13.20
2021,236730,08000002,7.20,8,6.50,5.50,7.50,,,,8.40,N1,08,Sở GDĐT Lào Cai ,19.50,,19.20,20.20,,23.60,22.10
2021,236734,08000006,8.60,8,8,7.75,8,,,,8.60,N1,08,Sở GDĐT Lào Cai ,23.80,,24.40,24.40,,25.20,25.20
2021,236732,08000004,6.40,6.25,,,,5.50,8,8.50,4.80,N1,08,Sở GDĐT Lào Cai ,,22.00,,,19.80,17.50,
2021,236735,08000007,7.80,5,,,,5.50,7,9,3.40,N1,08,Sở GDĐT Lào Cai ,,21.50,,,17.50,16.20,
2021,236736,08000008,5.80,7,,,,4.25,7.50,9.50,5,N1,08,Sở GDĐT Lào Cai ,,21.30,,,18.80,17.80,
2021,236738,08000010,6.80,6.75,4.75,5.75,5.25,,,,4.80,N1,08,Sở GDĐT Lào Cai ,15.80,,17.30,17.80,,18.40,16.40
2021,236733,08000005,6,5,4,4.75,4.25,,,,3.80,N1,08,Sở GDĐT Lào Cai ,13.00,,14.80,15.00,,14.80,13.80
2021,236737,08000009,5.80,3.75,,,,3.50,5.50,7.25,3,N1,08,Sở GDĐT Lào Cai ,,16.30,,,12.80,12.60,
2021,236740,08000012,7.40,6.75,,,,7,7.50,9,6.40,N1,08,Sở GDĐT Lào Cai ,,23.50,,,21.30,20.60,
2021,236747,08000019,8.60,7.75,8.25,7.50,7.25,,,,7.40,N1,08,Sở GDĐT Lào Cai ,23.00,,24.40,23.40,,23.80,24.30
2021,236741,08000013,5,6.75,,,,5.25,5,8.25,3.40,N1,08,Sở GDĐT Lào Cai ,,18.50,,,17.00,15.20,
2021,236750,08000022,7.20,7,,,,6.25,7.50,9.50,4.60,N1,08,Sở GDĐT Lào Cai ,,23.30,,,20.80,18.80,
2021,236742,08000014,7,7.75,,,,8.50,8.50,9.50,3.80,N1,08,Sở GDĐT Lào Cai ,,26.50,,,24.80,18.60,
2021,236746,08000018,7.40,7,4,6,5.25,,,,5.20,N1,08,Sở GDĐT Lào Cai ,15.30,,17.40,18.70,,19.60,16.60
2021,236743,08000015,7,6,4.25,8,6.50,,,,4,N1,08,Sở GDĐT Lào Cai ,18.80,,19.30,21.50,,17.00,15.30
2021,236744,08000016,4.60,6,,,,5.25,8.75,,,,08,Sở GDĐT Lào Cai ,,,,,20.00,,
2021,236752,08000024,6.60,7.50,,,,7.25,6.75,8.50,4.60,N1,08,Sở GDĐT Lào Cai ,,22.50,,,21.50,18.70,
2021,236748,08000020,4.80,7.75,,,,4.75,6.75,9.75,4,N1,08,Sở GDĐT Lào Cai ,,21.30,,,19.30,16.60,
2021,236745,08000017,8.80,7.75,7,7.50,7.25,,,,7.20,N1,08,Sở GDĐT Lào Cai ,21.80,,23.30,23.60,,23.80,23.00
2021,236749,08000021,7.80,6.75,,,,8,8.75,10,6.80,N1,08,Sở GDĐT Lào Cai ,,26.80,,,23.50,21.40,
2021,236751,08000023,7.40,7,4.50,5.75,5.25,,,,5.40,N1,08,Sở GDĐT Lào Cai ,15.50,,17.70,18.40,,19.80,17.30
2021,236753,08000025,7.40,8.25,4.50,3.50,5.75,,,,7,N1,08,Sở GDĐT Lào Cai ,13.80,,15.40,16.70,,22.70,18.90
2021,236754,08000026,6,7.25,,,,3.75,7.50,8.25,2.40,N1,08,Sở GDĐT Lào Cai ,,19.50,,,18.50,15.70,
