schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,721802,42000004,8,5.50,7.50,6.75,4,,,,5.40,N1,42,Sở GDĐT Lâm Đồng ,18.30,,22.30,18.80,,18.90,20.90
2021,721799,42000001,8,8.25,6.75,8,7,,,,8.40,N1,42,Sở GDĐT Lâm Đồng ,21.80,,22.80,23.00,,24.70,23.20
2021,721800,42000002,8.80,8,8,6.25,5.75,,,,9.40,N1,42,Sở GDĐT Lâm Đồng ,20.00,,23.10,20.80,,26.20,26.20
2021,721806,42000008,7.80,7.25,6.75,4.75,4.50,,,,8.60,N1,42,Sở GDĐT Lâm Đồng ,16.00,,19.30,17.10,,23.70,23.20
2021,721803,42000005,8.20,6.50,8.50,5.75,7.50,,,,8.20,N1,42,Sở GDĐT Lâm Đồng ,21.80,,22.50,21.50,,22.90,24.90
2021,721804,42000006,8.20,6.75,7.75,7.50,6.25,,,,7.80,N1,42,Sở GDĐT Lâm Đồng ,21.50,,23.50,22.00,,22.80,23.80
2021,721807,42000009,8.20,9,,,,7.50,7.25,9.25,9,N1,42,Sở GDĐT Lâm Đồng ,,24.00,,,23.80,26.20,
2021,721805,42000007,6.60,4.75,,,,3.75,8,9.25,2.60,N1,42,Sở GDĐT Lâm Đồng ,,21.00,,,16.50,14.00,
2021,721808,42000010,8,6,7.50,7.25,6,,,,6.80,N1,42,Sở GDĐT Lâm Đồng ,20.80,,22.80,21.30,,20.80,22.30
2021,721801,42000003,8,7.25,7.25,7,7,,,,8.40,N1,42,Sở GDĐT Lâm Đồng ,21.30,,22.30,22.00,,23.70,23.70
2021,721809,42000011,6.20,8,,,,2.25,7.25,9,6,N1,42,Sở GDĐT Lâm Đồng ,,18.50,,,17.50,20.20,
2021,721811,42000013,8.20,7.50,8,7.25,6.75,,,,9.40,N1,42,Sở GDĐT Lâm Đồng ,22.00,,23.50,22.20,,25.10,25.60
2021,721816,42000018,9,6,7.75,8.25,7.25,,,,8.80,N1,42,Sở GDĐT Lâm Đồng ,23.30,,25.00,24.50,,23.80,25.60
2021,721810,42000012,9.20,7.25,9,9,7,,,,9,N1,42,Sở GDĐT Lâm Đồng ,25.00,,27.20,25.20,,25.50,27.20
2021,721812,42000014,7.80,6.75,7.25,6.75,5.75,,,,6.40,N1,42,Sở GDĐT Lâm Đồng ,19.80,,21.80,20.30,,21.00,21.50
2021,721813,42000015,7.60,5.75,5.75,3.75,4.75,,,,8.40,N1,42,Sở GDĐT Lâm Đồng ,14.30,,17.10,16.10,,21.80,21.80
2021,721814,42000016,8.20,6.50,6.75,8.50,5.75,,,,8.40,N1,42,Sở GDĐT Lâm Đồng ,21.00,,23.50,22.50,,23.10,23.40
2021,721817,42000019,7.20,6.75,5.75,4.25,6.75,,,,8.40,N1,42,Sở GDĐT Lâm Đồng ,16.80,,17.20,18.20,,22.40,21.40
2021,721815,42000017,7.40,6.75,,,,6.25,8.50,8.50,8.80,N1,42,Sở GDĐT Lâm Đồng ,,23.30,,,21.50,23.00,
2021,721819,42000021,7.20,7.25,,,,4,7.50,9.25,6.40,N1,42,Sở GDĐT Lâm Đồng ,,20.80,,,18.80,20.90,
2021,721822,42000024,5,6.25,,,,4.25,7.75,8.75,6,N1,42,Sở GDĐT Lâm Đồng ,,20.80,,,18.30,17.30,
2021,721826,42000028,6,7.50,,,,8,8,8.75,6.60,N1,42,Sở GDĐT Lâm Đồng ,,24.80,,,23.50,20.10,
2021,721820,42000022,7.40,8.50,,,,6.25,7.25,9.50,9.40,N1,42,Sở GDĐT Lâm Đồng ,,23.00,,,22.00,25.30,
2021,721827,42000029,8.60,7,6.75,7.75,7.25,,,,8.20,N1,42,Sở GDĐT Lâm Đồng ,21.80,,23.10,23.60,,23.80,23.50
2021,721821,42000023,6.40,6.75,,,,5.50,6,9,7.20,N1,42,Sở GDĐT Lâm Đồng ,,20.50,,,18.30,20.40,
2021,721830,42000032,8.80,7.25,,,,5.25,6.75,9.25,6.80,N1,42,Sở GDĐT Lâm Đồng ,,21.30,,,19.30,22.90,
2021,721823,42000025,7,6.50,6.75,6,5,,,,8.60,N1,42,Sở GDĐT Lâm Đồng ,17.80,,19.80,18.00,,22.10,22.40
2021,721825,42000027,8.20,6.50,6.50,5.50,7.50,,,,9,N1,42,Sở GDĐT Lâm Đồng ,19.50,,20.20,21.20,,23.70,23.70
2021,721824,42000026,8.60,7.50,7,8.25,6.50,,,,9,N1,42,Sở GDĐT Lâm Đồng ,21.80,,23.90,23.40,,25.10,24.60
2021,721828,42000030,7,7.50,6.50,8.25,8,,,,6.40,N1,42,Sở GDĐT Lâm Đồng ,22.80,,21.80,23.30,,20.90,19.90
2021,721829,42000031,9.20,7,8,9.25,7.75,,,,8.20,N1,42,Sở GDĐT Lâm Đồng ,25.00,,26.50,26.20,,24.40,25.40
2021,721833,42000035,7.80,6.25,7,6.25,6.75,,,,8.80,N1,42,Sở GDĐT Lâm Đồng ,20.00,,21.10,20.80,,22.90,23.60
2021,721831,42000033,7.60,6.50,6.25,6.25,5.25,,,,9,N1,42,Sở GDĐT Lâm Đồng ,17.80,,20.10,19.10,,23.10,22.90
2021,721837,42000039,6.60,6,,,,3.75,6.25,9.50,5.80,N1,42,Sở GDĐT Lâm Đồng ,,19.50,,,16.00,18.40,
2021,721832,42000034,7.60,5.75,,,,6.50,6.75,6.75,8,N1,42,Sở GDĐT Lâm Đồng ,,20.00,,,19.00,21.40,
2021,721839,42000041,6.60,7,,,,4.75,7.50,9,6.20,N1,42,Sở GDĐT Lâm Đồng ,,21.30,,,19.30,19.80,
2021,721818,42000020,7.40,7.75,,,,5,7.50,8.50,7.80,N1,42,Sở GDĐT Lâm Đồng ,,21.00,,,20.30,23.00,
2021,721840,42000042,7.40,6.75,,,,3.75,6.50,8.75,8.20,N1,42,Sở GDĐT Lâm Đồng ,,19.00,,,17.00,22.40,
2021,721834,42000036,8,7,7.75,7.75,8,,,,9,N1,42,Sở GDĐT Lâm Đồng ,23.50,,23.50,23.80,,24.00,24.80
2021,721843,42000045,8.40,6.75,7,5.75,5.50,,,,9.40,N1,42,Sở GDĐT Lâm Đồng ,18.30,,21.20,19.70,,24.60,24.80
2021,721835,42000037,7.80,6.25,,,,4.75,7.50,8.75,7.20,N1,42,Sở GDĐT Lâm Đồng ,,21.00,,,18.50,21.30,
2021,721845,42000047,7.60,7.25,,,,3.25,7.50,8.25,8.40,N1,42,Sở GDĐT Lâm Đồng ,,19.00,,,18.00,23.30,
2021,721836,42000038,8.60,7.25,8.75,7,5.50,,,,9.60,N1,42,Sở GDĐT Lâm Đồng ,21.30,,24.40,21.10,,25.50,27.00
2021,721838,42000040,8,7.50,8.50,9.50,6.75,,,,8.80,N1,42,Sở GDĐT Lâm Đồng ,24.80,,26.00,24.30,,24.30,25.30
2021,721841,42000043,8.40,7.75,5.75,7.75,6.75,,,,8.80,N1,42,Sở GDĐT Lâm Đồng ,20.30,,21.90,22.90,,25.00,23.00
2021,721842,42000044,6.60,7,,,,5.75,7.75,9.50,6.80,N1,42,Sở GDĐT Lâm Đồng ,,23.00,,,20.50,20.40,
2021,721844,42000046,7.60,6.25,7,6.50,5.50,,,,9.20,N1,42,Sở GDĐT Lâm Đồng ,19.00,,21.10,19.60,,23.00,23.80
2021,721846,42000048,8.40,7,8.50,8.75,7.75,,,,8.60,N1,42,Sở GDĐT Lâm Đồng ,25.00,,25.70,24.90,,24.00,25.50
2021,721847,42000049,6.80,6.75,,,,1.75,6.25,8.75,7.20,N1,42,Sở GDĐT Lâm Đồng ,,16.80,,,14.80,20.80,
2021,721848,42000050,7.40,8.25,4.75,5.75,3.25,,,,8.20,N1,42,Sở GDĐT Lâm Đồng ,13.80,,17.90,16.40,,23.90,20.40
2021,721849,42000051,7.60,6.75,6,7.25,4.75,,,,7.60,N1,42,Sở GDĐT Lâm Đồng ,18.00,,20.90,19.60,,22.00,21.20
2021,721851,42000053,8.60,5.75,7.50,6.75,4.50,,,,3.80,N1,42,Sở GDĐT Lâm Đồng ,18.80,,22.90,19.90,,18.20,19.90
2021,721850,42000052,8.20,7,,,,6,7.25,9.50,9,N1,42,Sở GDĐT Lâm Đồng ,,22.80,,,20.30,24.20,
2021,721860,42000062,8,6.50,7.75,7.50,5.75,,,,8,N1,42,Sở GDĐT Lâm Đồng ,21.00,,23.30,21.30,,22.50,23.80
2021,721852,42000054,5.40,6.25,,,,6,6.50,9,8.80,N1,42,Sở GDĐT Lâm Đồng ,,21.50,,,18.80,20.50,
2021,721853,42000055,8,6.50,8,7,6,,,,6,N1,42,Sở GDĐT Lâm Đồng ,21.00,,23.00,21.00,,20.50,22.00
2021,721854,42000056,7.60,6.50,6.50,8,5.75,,,,8.20,N1,42,Sở GDĐT Lâm Đồng ,20.30,,22.10,21.40,,22.30,22.30
