schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,252741,10000002,6,5,,,,5.25,6,,,,10,Sở GDĐT Lạng Sơn ,,,,,16.30,,
2021,252743,10000004,9.40,7.50,7.50,5.25,5.50,,,,9.60,N1,10,Sở GDĐT Lạng Sơn ,18.30,,22.20,20.20,,26.50,26.50
2021,252747,10000008,5.80,4.25,,,,5.25,6.50,,,,10,Sở GDĐT Lạng Sơn ,,,,,16.00,,
2021,252745,10000006,8.80,6.50,8.25,6.25,5.75,,,,9.80,N1,10,Sở GDĐT Lạng Sơn ,20.30,,23.30,20.80,,25.10,26.90
2021,252742,10000003,8.60,5.75,6.75,8.25,5.25,,,,6.60,N1,10,Sở GDĐT Lạng Sơn ,20.30,,23.60,22.10,,21.00,22.00
2021,252746,10000007,9.20,5.25,5,9.25,9.75,,,,8.80,N1,10,Sở GDĐT Lạng Sơn ,24.00,,23.50,28.20,,23.30,23.00
2021,252740,10000001,4,5,,,,4.75,7,,,,10,Sở GDĐT Lạng Sơn ,,,,,16.80,,
2021,252744,10000005,6.80,6,,,,6.50,7.75,,,,10,Sở GDĐT Lạng Sơn ,,,,,20.30,,
2021,252749,10000010,8.60,8,,,,4.75,6.25,7.50,9.80,N1,10,Sở GDĐT Lạng Sơn ,,18.50,,,19.00,26.40,
2021,252748,10000009,8.40,8,,,,5.75,7.25,8.25,9,N1,10,Sở GDĐT Lạng Sơn ,,21.30,,,21.00,25.40,
2021,252751,10000012,7.80,7.50,,,,4,6.25,8.75,7.80,N1,10,Sở GDĐT Lạng Sơn ,,19.00,,,17.80,23.10,
2021,252750,10000011,8,9,,,,7.50,9.25,9.25,9.40,N1,10,Sở GDĐT Lạng Sơn ,,26.00,,,25.80,26.40,
2021,252752,10000013,8.60,5.25,8.50,9,4.75,,,,7.80,N1,10,Sở GDĐT Lạng Sơn ,22.30,,26.10,22.40,,21.70,24.90
2021,252754,10000015,9,8.25,,,,8.50,7.75,8.75,9.80,N1,10,Sở GDĐT Lạng Sơn ,,25.00,,,24.50,27.10,
2021,252756,10000017,1.60,4.50,,,,3.25,5.50,,,,10,Sở GDĐT Lạng Sơn ,,,,,13.30,,
2021,252757,10000018,6.60,4.25,5.75,4.75,5.25,,,,9.80,N1,10,Sở GDĐT Lạng Sơn ,15.80,,17.10,16.60,,20.70,22.20
2021,252753,10000014,3.60,3.75,,,,6.50,7.50,,,,10,Sở GDĐT Lạng Sơn ,,,,,17.80,,
2021,252759,10000020,7.60,7,8.50,2.50,3.25,,,,9.40,N1,10,Sở GDĐT Lạng Sơn ,14.30,,18.60,13.40,,24.00,25.50
2021,252758,10000019,5.40,4.75,,,,3.50,7,,,,10,Sở GDĐT Lạng Sơn ,,,,,15.30,,
2021,252755,10000016,8.80,6.50,8.25,5.50,4.50,,,,9.40,N1,10,Sở GDĐT Lạng Sơn ,18.30,,22.60,18.80,,24.70,26.50
2021,252760,10000021,3.80,4.50,,,,6.50,6.50,8.75,3.20,N1,10,Sở GDĐT Lạng Sơn ,,21.80,,,17.50,11.50,
2021,252769,10000030,8.20,7,,,,6.75,7.50,9.50,9.80,N1,10,Sở GDĐT Lạng Sơn ,,23.80,,,21.30,25.00,
2021,252761,10000022,8.80,5.50,6.75,4,4.50,,,,9.40,N1,10,Sở GDĐT Lạng Sơn ,15.30,,19.60,17.30,,23.70,25.00
2021,252764,10000025,9.60,7.25,8,5,5.50,,,,9,N1,10,Sở GDĐT Lạng Sơn ,18.50,,22.60,20.10,,25.90,26.60
2021,252762,10000023,4.20,3.75,,,,4.25,6.75,,,,10,Sở GDĐT Lạng Sơn ,,,,,14.80,,
2021,252766,10000027,9.40,5.75,8,3.25,4.25,,,,9,N1,10,Sở GDĐT Lạng Sơn ,15.50,,20.70,16.90,,24.20,26.40
2021,252763,10000024,2.80,2.75,,,,7.75,6.75,,,,10,Sở GDĐT Lạng Sơn ,,,,,17.30,,
2021,252765,10000026,8,8,,,,6.25,7,8,9.40,N1,10,Sở GDĐT Lạng Sơn ,,21.30,,,21.30,25.40,
2021,252767,10000028,8.60,6.50,7.75,9,4,,,,7.40,N1,10,Sở GDĐT Lạng Sơn ,20.80,,25.40,21.60,,22.50,23.80
2021,252768,10000029,2.60,2.25,,,,4.50,7,,,,10,Sở GDĐT Lạng Sơn ,,,,,13.80,,
2021,252772,10000033,7.80,6,,,,8.50,7,9.50,6.40,N1,10,Sở GDĐT Lạng Sơn ,,25.00,,,21.50,20.20,
2021,252770,10000031,7.80,7.50,,,,9,9.25,8.75,4.60,N1,10,Sở GDĐT Lạng Sơn ,,27.00,,,25.80,19.90,
2021,252776,10000037,6.40,7.50,2,7.75,6.50,,,,8.20,N1,10,Sở GDĐT Lạng Sơn ,16.30,,16.20,20.70,,22.10,16.60
2021,252771,10000032,9.20,6,8.25,8.25,5.75,,,,9.80,N1,10,Sở GDĐT Lạng Sơn ,22.30,,25.70,23.20,,25.00,27.30
2021,252779,10000040,5.40,5.25,,,,4.50,7,,,,10,Sở GDĐT Lạng Sơn ,,,,,16.80,,
2021,252784,10000045,6.80,8.25,,,,7.25,8.25,9.50,8.80,N1,10,Sở GDĐT Lạng Sơn ,,25.00,,,23.80,23.90,
2021,252775,10000036,2,1.50,,,,2.50,5.75,,,,10,Sở GDĐT Lạng Sơn ,,,,,9.80,,
2021,252773,10000034,8.60,7,,,,6.50,8.25,8.75,10,N1,10,Sở GDĐT Lạng Sơn ,,23.50,,,21.80,25.60,
2021,252777,10000038,8.20,6.50,6.75,8.50,8.25,,,,6.80,N1,10,Sở GDĐT Lạng Sơn ,23.50,,23.50,25.00,,21.50,21.80
2021,252774,10000035,8.60,7,5.50,8.75,6.50,,,,9.20,N1,10,Sở GDĐT Lạng Sơn ,20.80,,22.90,23.90,,24.80,23.30
2021,252778,10000039,2.80,1.75,,,,3,5,,,,10,Sở GDĐT Lạng Sơn ,,,,,9.80,,
2021,252780,10000041,5.80,6.25,,,,3.75,7,,,,10,Sở GDĐT Lạng Sơn ,,,,,17.00,,
2021,252781,10000042,2.40,4.50,,,,2.50,3.75,,,,10,Sở GDĐT Lạng Sơn ,,,,,10.80,,
2021,252786,10000047,9.40,8.50,,,,6.50,7.25,9.75,9.80,N1,10,Sở GDĐT Lạng Sơn ,,23.50,,,22.30,27.70,
2021,252783,10000044,2.60,3.75,,,,4.75,6,,,,10,Sở GDĐT Lạng Sơn ,,,,,14.50,,
2021,252782,10000043,7,8.50,,,,8.75,9,8,7.40,N1,10,Sở GDĐT Lạng Sơn ,,25.80,,,26.30,22.90,
2021,252787,10000048,8.40,7.50,3.25,8.50,6.50,,,,7,N1,10,Sở GDĐT Lạng Sơn ,18.30,,20.20,23.40,,22.90,18.70
2021,252793,10000054,3.40,2.75,,,,3.25,5.75,,,,10,Sở GDĐT Lạng Sơn ,,,,,11.80,,
2021,252785,10000046,2.40,3.75,,,,4.50,5.50,,,,10,Sở GDĐT Lạng Sơn ,,,,,13.80,,
2021,252796,10000057,2,3,,,,3.25,5.25,,,,10,Sở GDĐT Lạng Sơn ,,,,,11.50,,
2021,252789,10000050,4.40,5.50,,,,5.75,6.75,8.75,4.60,N1,10,Sở GDĐT Lạng Sơn ,,21.30,,,18.00,14.50,
2021,252790,10000051,3.80,4.25,,,,3.75,6.75,,,,10,Sở GDĐT Lạng Sơn ,,,,,14.80,,
2021,252788,10000049,2.40,4.25,,,,2.50,5,,,,10,Sở GDĐT Lạng Sơn ,,,,,11.80,,
2021,252791,10000052,2.20,4.75,,,,5.25,6.50,,,,10,Sở GDĐT Lạng Sơn ,,,,,16.50,,
2021,252792,10000053,6.60,3.25,,,,6.75,7.75,,,,10,Sở GDĐT Lạng Sơn ,,,,,17.80,,
2021,252794,10000055,3.60,5.25,,,,4.25,5.75,,,,10,Sở GDĐT Lạng Sơn ,,,,,15.30,,
2021,252801,10000062,6.80,5.75,,,,6.50,6.50,7.75,10,N4,10,Sở GDĐT Lạng Sơn ,,20.80,,,18.80,22.60,
2021,252795,10000056,4.80,3.75,,,,3,5.25,,,,10,Sở GDĐT Lạng Sơn ,,,,,12.00,,
2021,252803,10000064,8.40,6.50,7.25,8.50,4.75,,,,7.20,N1,10,Sở GDĐT Lạng Sơn ,20.50,,24.20,21.70,,22.10,22.90
2021,252798,10000059,7.60,9.25,,,,3.75,6.25,7.75,9.20,N1,10,Sở GDĐT Lạng Sơn ,,17.80,,,19.30,26.10,
2021,252805,10000066,8.60,5.75,8,4.75,3.75,,,,9.40,N1,10,Sở GDĐT Lạng Sơn ,16.50,,21.40,17.10,,23.80,26.00
2021,252797,10000058,5.20,4.50,,,,2.50,7.25,,,,10,Sở GDĐT Lạng Sơn ,,,,,14.30,,
2021,252799,10000060,5,5.75,,,,5.25,5.50,,,,10,Sở GDĐT Lạng Sơn ,,,,,16.50,,
2021,252808,10000069,9,6,7.25,4,6,,,,9.40,N1,10,Sở GDĐT Lạng Sơn ,17.30,,20.30,19.00,,24.40,25.70
2021,252800,10000061,8.60,6.75,5.25,6.75,5,,,,9.80,N1,10,Sở GDĐT Lạng Sơn ,17.00,,20.60,20.40,,25.20,23.70
2021,252809,10000070,2.60,3.75,,,,4,5.50,,,,10,Sở GDĐT Lạng Sơn ,,,,,13.30,,
2021,252811,10000072,9.40,8,5.25,9,9.75,,,,6.60,N1,10,Sở GDĐT Lạng Sơn ,24.00,,23.70,28.20,,24.00,21.30
2021,252802,10000063,9,6,6.75,6,6,,,,9.80,N1,10,Sở GDĐT Lạng Sơn ,18.80,,21.80,21.00,,24.80,25.60
2021,252804,10000065,6.60,7.50,,,,8.25,7.50,9.50,5,N1,10,Sở GDĐT Lạng Sơn ,,25.30,,,23.30,19.10,
2021,252813,10000074,3.40,5,,,,4,6.25,,,,10,Sở GDĐT Lạng Sơn ,,,,,15.30,,
2021,252814,10000075,4.40,4.25,,,,4.25,6.25,,,,10,Sở GDĐT Lạng Sơn ,,,,,14.80,,
2021,252806,10000067,9,6,8,9,4.25,,,,9,N1,10,Sở GDĐT Lạng Sơn ,21.30,,26.00,22.30,,24.00,26.00
2021,252807,10000068,8.80,6.25,8.50,4.50,3.75,,,,8.80,N1,10,Sở GDĐT Lạng Sơn ,16.80,,21.80,17.10,,23.90,26.10
2021,252817,10000078,8.80,6.25,7.75,8.50,4.25,,,,6.60,N1,10,Sở GDĐT Lạng Sơn ,20.50,,25.10,21.60,,21.70,23.20
2021,252818,10000079,9,6.75,7,8.75,8,,,,8.60,N1,10,Sở GDĐT Lạng Sơn ,23.80,,24.80,25.80,,24.40,24.60
