schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,436088,25000009,7,8,,,,8.75,7.75,8.25,7.80,N3,25,Sở GDĐT Nam Định ,,24.80,,,24.50,22.80,
2021,436082,25000003,8.80,9,,,,4.50,8.50,9.25,9.40,N1,25,Sở GDĐT Nam Định ,,22.30,,,22.00,27.20,
2021,436087,25000008,8.60,7.75,,,,6.50,8.75,10,9.40,N1,25,Sở GDĐT Nam Định ,,25.30,,,23.00,25.80,
2021,436089,25000010,8,8,,,,5.25,7,8.50,9.80,N1,25,Sở GDĐT Nam Định ,,20.80,,,20.30,25.80,
2021,436080,25000001,8.40,8,,,,8.75,8.50,9.50,10,N1,25,Sở GDĐT Nam Định ,,26.80,,,25.30,26.40,
2021,436083,25000004,8.20,8,,,,7.50,8.75,9.25,10,N1,25,Sở GDĐT Nam Định ,,25.50,,,24.30,26.20,
2021,436081,25000002,9,8.50,,,,8.75,8.75,9.25,9.80,N1,25,Sở GDĐT Nam Định ,,26.80,,,26.00,27.30,
2021,436085,25000006,9,7.50,,,,5.75,7.75,9.50,9.60,N1,25,Sở GDĐT Nam Định ,,23.00,,,21.00,26.10,
2021,436084,25000005,9.20,9,,,,7,7.50,10,9.40,N1,25,Sở GDĐT Nam Định ,,24.50,,,23.50,27.60,
2021,436086,25000007,9,6.75,6.75,8.25,8.25,,,,8.60,N1,25,Sở GDĐT Nam Định ,23.30,,24.00,25.50,,24.40,24.40
2021,436099,25000020,9.20,5.75,8.75,8.25,8.25,,,,8.60,N1,25,Sở GDĐT Nam Định ,25.30,,26.20,25.70,,23.50,26.60
2021,436097,25000018,9,6.75,6.50,8.25,9.50,,,,6.40,N1,25,Sở GDĐT Nam Định ,24.30,,23.80,26.80,,22.20,21.90
2021,436090,25000011,8.80,8.50,,,,8,8.50,9.50,9.80,N1,25,Sở GDĐT Nam Định ,,26.00,,,25.00,27.10,
2021,436091,25000012,7.40,6.50,,,,5.25,8.25,9.25,7.20,N3,25,Sở GDĐT Nam Định ,,22.80,,,20.00,21.10,
2021,436092,25000013,8.80,8,,,,6.25,7.75,9.50,10,N1,25,Sở GDĐT Nam Định ,,23.50,,,22.00,26.80,
2021,436093,25000014,8.20,7.50,4.75,9,8.75,,,,4.80,N1,25,Sở GDĐT Nam Định ,22.50,,22.00,26.00,,20.50,17.80
2021,436094,25000015,9.40,7.25,9.25,5.75,6.75,,,,9.80,N1,25,Sở GDĐT Nam Định ,21.80,,24.40,21.90,,26.50,28.50
2021,436098,25000019,9.40,8,,,,6.75,7.50,9.75,9.60,N3,25,Sở GDĐT Nam Định ,,24.00,,,22.30,27.00,
2021,436095,25000016,9.20,5.75,8.50,8.75,9.50,,,,9,N1,25,Sở GDĐT Nam Định ,26.80,,26.50,27.50,,24.00,26.70
2021,436096,25000017,7.20,8.25,,,,3,6.50,9.25,8.20,N1,25,Sở GDĐT Nam Định ,,18.80,,,17.80,23.70,
2021,436100,25000021,8.60,8.75,,,,9,9.25,9.75,9.20,N1,25,Sở GDĐT Nam Định ,,28.00,,,27.00,26.60,
2021,436101,25000022,8.60,7.75,5.75,4.50,8.25,,,,9.20,N1,25,Sở GDĐT Nam Định ,18.50,,18.90,21.40,,25.60,23.50
2021,436106,25000027,7.20,7.75,,,,8.75,9.50,10,7.40,N2,25,Sở GDĐT Nam Định ,,28.30,,,26.00,22.40,
2021,436102,25000023,8.80,6,7.50,6.75,6.75,,,,9.40,N1,25,Sở GDĐT Nam Định ,21.00,,23.10,22.30,,24.20,25.70
2021,436110,25000031,6.60,8,,,,9.75,8.75,9.75,9.80,N1,25,Sở GDĐT Nam Định ,,28.30,,,26.50,24.40,
2021,436112,25000033,9,6,7.25,7.25,7.50,,,,8.80,N1,25,Sở GDĐT Nam Định ,22.00,,23.50,23.80,,23.80,25.10
2021,436113,25000034,8.80,7.50,7.75,5,4,,,,9.80,N1,25,Sở GDĐT Nam Định ,16.80,,21.60,17.80,,26.10,26.40
2021,436103,25000024,8.60,6.75,7.50,8.25,5.25,,,,9,N1,25,Sở GDĐT Nam Định ,21.00,,24.40,22.10,,24.40,25.10
2021,436104,25000025,8.80,7.50,7.25,9,6.75,,,,9,N1,25,Sở GDĐT Nam Định ,23.00,,25.10,24.60,,25.30,25.10
2021,436105,25000026,8.60,8,9.25,8,6,,,,9.60,N1,25,Sở GDĐT Nam Định ,23.30,,25.90,22.60,,26.20,27.50
2021,436109,25000030,9.20,7.25,5.25,8.75,9.25,,,,9,N1,25,Sở GDĐT Nam Định ,23.30,,23.20,27.20,,25.50,23.50
2021,436107,25000028,8.60,6.50,8.25,3.50,5,,,,9.40,N1,25,Sở GDĐT Nam Định ,16.80,,20.40,17.10,,24.50,26.30
2021,436108,25000029,8.40,7.75,,,,7,8,8,8.80,N1,25,Sở GDĐT Nam Định ,,23.00,,,22.80,25.00,
2021,436115,25000036,9,6.75,8.50,5.50,6.75,,,,9.60,N1,25,Sở GDĐT Nam Định ,20.80,,23.00,21.30,,25.40,27.10
2021,436119,25000040,8.60,6.50,7.75,5.75,6.25,,,,9.40,N1,25,Sở GDĐT Nam Định ,19.80,,22.10,20.60,,24.50,25.80
2021,436111,25000032,8.80,8.75,,,,7,7.75,9.75,9,N1,25,Sở GDĐT Nam Định ,,24.50,,,23.50,26.60,
2021,436120,25000041,8,8.75,,,,5.25,7.25,9.25,9,N1,25,Sở GDĐT Nam Định ,,21.80,,,21.30,25.80,
