schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,530953,29000008,9,7.25,8,5.75,3.50,,,,9.60,N1,29,Sở GDĐT Nghệ An ,17.30,,22.80,18.30,,25.90,26.60
2021,530951,29000006,9.80,7.75,7.25,8.25,4.50,,,,6.80,N1,29,Sở GDĐT Nghệ An ,20.00,,25.30,22.60,,24.40,23.90
2021,530947,29000002,2.80,4.25,,,,6.75,6.25,,,,29,Sở GDĐT Nghệ An ,,,,,17.30,,
2021,530952,29000007,9.40,7.25,8.50,4.50,4,,,,10,N1,29,Sở GDĐT Nghệ An ,17.00,,22.40,17.90,,26.70,27.90
2021,530948,29000003,4.40,7.25,,,,7,8.25,,4,N1,29,Sở GDĐT Nghệ An ,,,,,22.50,15.70,
2021,530954,29000009,8.80,9,,,,5.50,7.75,8.50,9.40,N1,29,Sở GDĐT Nghệ An ,,21.80,,,22.30,27.20,
2021,530950,29000005,7.80,9,,,,4,7.25,9.50,8.60,N1,29,Sở GDĐT Nghệ An ,,20.80,,,20.30,25.40,
2021,530946,29000001,9,7,8.75,4,4.25,,,,8.80,N1,29,Sở GDĐT Nghệ An ,17.00,,21.80,17.30,,24.80,26.60
2021,530949,29000004,7.60,,6.75,8,2.75,,,,,,29,Sở GDĐT Nghệ An ,17.50,,22.40,18.40,,,
2021,530955,29000010,8,8,5.25,5.25,4.50,,,,9.60,N1,29,Sở GDĐT Nghệ An ,15.00,,18.50,17.80,,25.60,22.90
2021,530956,29000011,9,7.25,8.25,8.25,3.25,,,,7,N1,29,Sở GDĐT Nghệ An ,19.80,,25.50,20.50,,23.30,24.30
2021,530958,29000013,8.40,8,5.25,7.75,7.75,,,,6.60,N1,29,Sở GDĐT Nghệ An ,20.80,,21.40,23.90,,23.00,20.30
2021,530963,29000018,8.80,6.50,6.75,8.50,3.75,,,,6,N1,29,Sở GDĐT Nghệ An ,19.00,,24.10,21.10,,21.30,21.60
2021,530964,29000019,8.60,9,,,,5.75,7,9,9.40,N1,29,Sở GDĐT Nghệ An ,,21.80,,,21.80,27.00,
2021,530959,29000014,8.60,8.75,,,,6.25,7.25,8.75,9.80,N1,29,Sở GDĐT Nghệ An ,,22.30,,,22.30,27.20,
2021,530960,29000015,8,7.25,6.75,3.25,3,,,,8.40,N1,29,Sở GDĐT Nghệ An ,13.00,,18.00,14.30,,23.70,23.20
2021,530961,29000016,8.20,8.25,,,,6.50,7.25,8,9.20,N1,29,Sở GDĐT Nghệ An ,,21.80,,,22.00,25.70,
2021,530957,29000012,9.40,7,8.75,8.75,4.50,,,,8.40,N1,29,Sở GDĐT Nghệ An ,22.00,,26.90,22.70,,24.80,26.60
2021,530962,29000017,9.60,9,,,,4,6.50,8.75,9.20,N1,29,Sở GDĐT Nghệ An ,,19.30,,,19.50,27.80,
2021,530965,29000020,8.60,8.50,,,,4.25,4.75,8.75,9.60,N1,29,Sở GDĐT Nghệ An ,,17.80,,,17.50,26.70,
2021,530970,29000025,8.60,5.50,8,4.25,3.75,,,,9.40,N1,29,Sở GDĐT Nghệ An ,16.00,,20.90,16.60,,23.50,26.00
2021,530971,29000026,4.20,3.25,,,,4.75,6.75,,,,29,Sở GDĐT Nghệ An ,,,,,14.80,,
2021,530969,29000024,8.80,,8.75,,,,,,8.60,N1,29,Sở GDĐT Nghệ An ,,,,,,,26.20
2021,530967,29000022,7.60,8,,,,5.75,8.75,7.50,9.80,N1,29,Sở GDĐT Nghệ An ,,22.00,,,22.50,25.40,
2021,530968,29000023,8.20,7.75,4.75,7.75,3.50,,,,9,N1,29,Sở GDĐT Nghệ An ,16.00,,20.70,19.50,,25.00,22.00
2021,530972,29000027,8.20,8,8.25,6,5.50,,,,9.80,N1,29,Sở GDĐT Nghệ An ,19.80,,22.50,19.70,,26.00,26.30
2021,530974,29000029,8.80,6.50,8,8.25,3.50,,,,6.80,N1,29,Sở GDĐT Nghệ An ,19.80,,25.10,20.60,,22.10,23.60
2021,530966,29000021,9.60,8.50,8.50,2.75,2.25,,,,8.80,N1,29,Sở GDĐT Nghệ An ,13.50,,20.90,14.60,,26.90,26.90
2021,530973,29000028,2.80,2.75,,,,3.75,4.25,,,,29,Sở GDĐT Nghệ An ,,,,,10.80,,
2021,530975,29000030,8.60,5.83,8.25,4,6.50,,,,8.80,N1,29,Sở GDĐT Nghệ An ,18.80,,20.90,19.10,,23.20,25.70
2021,530976,29000031,8.60,8,7.75,8.75,4.50,,,,7.80,N1,29,Sở GDĐT Nghệ An ,21.00,,25.10,21.90,,24.40,24.20
2021,530978,29000033,8.20,8,,,,5.50,7.25,7.75,6,N1,29,Sở GDĐT Nghệ An ,,20.50,,,20.80,22.20,
2021,530977,29000032,8.40,8.75,,,,8.50,7.75,8.75,7,N1,29,Sở GDĐT Nghệ An ,,25.00,,,25.00,24.20,
2021,530988,29000043,9,8.75,,,,2.50,6,8,9.60,N1,29,Sở GDĐT Nghệ An ,,16.50,,,17.30,27.40,
