schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,479858,27000004,4.80,5.75,,,,4.75,6,7.50,3.60,N1,27,Sở GDĐT Ninh Bình ,,18.30,,,16.50,14.20,
2021,479863,27000009,8.20,9,,,,8.25,9,9.75,6,N1,27,Sở GDĐT Ninh Bình ,,27.00,,,26.30,23.20,
2021,479864,27000010,7,5.25,,,,6.25,8,9.50,3.40,N1,27,Sở GDĐT Ninh Bình ,,23.80,,,19.50,15.70,
2021,479862,27000008,8,6.75,6.25,3.75,4.25,,,,3.60,N1,27,Sở GDĐT Ninh Bình ,14.30,,18.00,16.00,,18.40,17.90
2021,479856,27000002,6.20,5.75,,,,4.25,6.75,7.25,5.20,N1,27,Sở GDĐT Ninh Bình ,,18.30,,,16.80,17.20,
2021,479857,27000003,7.40,6.75,8.50,8,6,,,,5.40,N1,27,Sở GDĐT Ninh Bình ,22.50,,23.90,21.40,,19.60,21.30
2021,479861,27000007,6.20,8,,,,8,8.50,7.75,5,N1,27,Sở GDĐT Ninh Bình ,,24.30,,,24.50,19.20,
2021,479860,27000006,7,6.25,5.75,5.75,4.50,,,,4.40,N1,27,Sở GDĐT Ninh Bình ,16.00,,18.50,17.30,,17.70,17.20
2021,479855,27000001,5.80,6,,,,3.50,6.25,7,3.80,N1,27,Sở GDĐT Ninh Bình ,,16.80,,,15.80,15.60,
2021,479859,27000005,8,7.50,,,,5.25,8.75,9.75,7.60,N1,27,Sở GDĐT Ninh Bình ,,23.80,,,21.50,23.10,
2021,479871,27000017,7.20,5.75,,,,5.75,7.50,9.75,5.60,N1,27,Sở GDĐT Ninh Bình ,,23.00,,,19.00,18.50,
2021,479865,27000011,5.80,5.50,,,,3.50,6.50,7.50,2,N1,27,Sở GDĐT Ninh Bình ,,17.50,,,15.50,13.30,
2021,479870,27000016,6.20,5.75,,,,3.75,7,6.25,3,N1,27,Sở GDĐT Ninh Bình ,,17.00,,,16.50,15.00,
2021,479874,27000020,6,6.75,,,,2.50,6.75,6.75,3.60,N1,27,Sở GDĐT Ninh Bình ,,16.00,,,16.00,16.40,
2021,479869,27000015,6.60,6.25,,,,4.25,5.75,9.25,4.40,N1,27,Sở GDĐT Ninh Bình ,,19.30,,,16.30,17.30,
2021,479867,27000013,7.20,6.50,,,,5.25,7.50,7.75,4.80,N1,27,Sở GDĐT Ninh Bình ,,20.50,,,19.30,18.50,
2021,479868,27000014,8.20,7.75,8.50,7.75,8,,,,6.40,N1,27,Sở GDĐT Ninh Bình ,24.30,,24.50,24.00,,22.40,23.10
2021,479873,27000019,7,6.75,,,,5,6.25,7.25,4.60,N1,27,Sở GDĐT Ninh Bình ,,18.50,,,18.00,18.40,
2021,479866,27000012,4.60,5.25,,,,4.75,6.50,6.50,4,N1,27,Sở GDĐT Ninh Bình ,,17.80,,,16.50,13.90,
2021,479872,27000018,8,7,6.50,6.25,4.75,,,,4,N1,27,Sở GDĐT Ninh Bình ,17.50,,20.80,19.00,,19.00,18.50
2021,479877,27000023,5.20,7,,,,2.50,7.75,9.50,2,N1,27,Sở GDĐT Ninh Bình ,,19.80,,,17.30,14.20,
2021,479875,27000021,8.80,6.25,8.50,8.75,5.25,,,,4.60,N1,27,Sở GDĐT Ninh Bình ,22.50,,26.10,22.80,,19.70,21.90
2021,479876,27000022,7.20,6.50,,,,6,7.50,9,3,N1,27,Sở GDĐT Ninh Bình ,,22.50,,,20.00,16.70,
2021,479878,27000024,6,6.75,,,,3.75,7.25,9,4.80,N1,27,Sở GDĐT Ninh Bình ,,20.00,,,17.80,17.60,
2021,479880,27000026,8.60,8.50,,,,7.25,8.50,9.75,6.20,N1,27,Sở GDĐT Ninh Bình ,,25.50,,,24.30,23.30,
2021,479881,27000027,7.60,7.25,,,,6.50,8,10,8.80,N4,27,Sở GDĐT Ninh Bình ,,24.50,,,21.80,23.70,
2021,479882,27000028,6.20,7.75,,,,8.50,9,9.50,4.40,N1,27,Sở GDĐT Ninh Bình ,,27.00,,,25.30,18.40,
2021,479879,27000025,4.80,5.50,,,,6.50,8.25,9,2.80,N1,27,Sở GDĐT Ninh Bình ,,23.80,,,20.30,13.10,
2021,479883,27000029,8.40,8.50,5.50,8.50,7.75,,,,8,N1,27,Sở GDĐT Ninh Bình ,21.80,,22.40,24.70,,24.90,21.90
2021,479884,27000030,7.40,7.75,,,,3,6.75,8.50,3.40,N1,27,Sở GDĐT Ninh Bình ,,18.30,,,17.50,18.60,
2021,479886,27000032,8.60,5,6.75,8.50,4.75,,,,4.20,N1,27,Sở GDĐT Ninh Bình ,20.00,,23.90,21.90,,17.80,19.60
2021,479885,27000031,8.80,7.25,8.25,8.50,4.75,,,,6.80,N1,27,Sở GDĐT Ninh Bình ,21.50,,25.60,22.10,,22.90,23.90
2021,479890,27000036,8.40,8.25,6.50,4.25,4.75,,,,7,N1,27,Sở GDĐT Ninh Bình ,15.50,,19.20,17.40,,23.70,21.90
