schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,759329,45000001,4,5.25,,,,5.25,5.75,7.50,2.20,N1,45,Sở GDĐT Ninh Thuận ,,18.50,,,16.30,11.50,
2021,759338,45000010,6.60,6,,,,8.25,7.25,9.25,5,N1,45,Sở GDĐT Ninh Thuận ,,24.80,,,21.50,17.60,
2021,759332,45000004,6.20,6,,,,5,6,9,4.80,N1,45,Sở GDĐT Ninh Thuận ,,20.00,,,17.00,17.00,
2021,759333,45000005,6.80,7.25,,,,6.25,9,9.25,3.20,N1,45,Sở GDĐT Ninh Thuận ,,24.50,,,22.50,17.30,
2021,759331,45000003,4.80,4,,,,4.75,5.75,7.75,3.80,N1,45,Sở GDĐT Ninh Thuận ,,18.30,,,14.50,12.60,
2021,759334,45000006,7,4.50,,,,2.75,6.25,7.25,2.80,N1,45,Sở GDĐT Ninh Thuận ,,16.30,,,13.50,14.30,
2021,759335,45000007,6.40,3.75,,,,2.75,7,7.50,2.40,N1,45,Sở GDĐT Ninh Thuận ,,17.30,,,13.50,12.60,
2021,759330,45000002,6,7,6.25,5.75,7,,,,4.20,N1,45,Sở GDĐT Ninh Thuận ,19.00,,18.00,18.80,,17.20,16.50
2021,759337,45000009,6.60,6.50,,,,4.25,6.75,6.50,5.40,N1,45,Sở GDĐT Ninh Thuận ,,17.50,,,17.50,18.50,
2021,759336,45000008,7.40,7,4.50,4.75,8.25,,,,4.60,N1,45,Sở GDĐT Ninh Thuận ,17.50,,16.70,20.40,,19.00,16.50
2021,759340,45000012,5,6.25,,,,3,7,7.50,3.40,N1,45,Sở GDĐT Ninh Thuận ,,17.50,,,16.30,14.70,
2021,759339,45000011,5.80,6.50,,,,5.75,7.75,9,4.40,N1,45,Sở GDĐT Ninh Thuận ,,22.50,,,20.00,16.70,
2021,759345,45000017,6.80,6.25,,,,5.25,5.75,9.75,7,N1,45,Sở GDĐT Ninh Thuận ,,20.80,,,17.30,20.10,
2021,759350,45000022,5,6.75,,,,5.25,6.50,8.75,3.80,N1,45,Sở GDĐT Ninh Thuận ,,20.50,,,18.50,15.60,
2021,759343,45000015,6.20,6.25,,,,5,6.50,9,4.80,N1,45,Sở GDĐT Ninh Thuận ,,20.50,,,17.80,17.30,
2021,759344,45000016,6.20,5,,,,4.50,6.25,5.75,3.80,N1,45,Sở GDĐT Ninh Thuận ,,16.50,,,15.80,15.00,
2021,759348,45000020,6,6.50,,,,6.75,7.75,10,4.40,N1,45,Sở GDĐT Ninh Thuận ,,24.50,,,21.00,16.90,
2021,759342,45000014,5.20,3,,,,4.25,5.50,7.75,3.20,N1,45,Sở GDĐT Ninh Thuận ,,17.50,,,12.80,11.40,
2021,759346,45000018,4.60,4,,,,3,7,7.50,3.80,N1,45,Sở GDĐT Ninh Thuận ,,17.50,,,14.00,12.40,
2021,759341,45000013,5.40,3.50,,,,4.50,6,7.50,4.60,N1,45,Sở GDĐT Ninh Thuận ,,18.00,,,14.00,13.50,
2021,759347,45000019,3.40,5.50,,,,3.50,3.25,6.25,4,N1,45,Sở GDĐT Ninh Thuận ,,13.00,,,12.30,12.90,
2021,759356,45000028,5.20,6,,,,3.25,5.75,7.25,2.80,N1,45,Sở GDĐT Ninh Thuận ,,16.30,,,15.00,14.00,
2021,759349,45000021,4.80,5.75,,,,5,6.75,8.25,3.60,N1,45,Sở GDĐT Ninh Thuận ,,20.00,,,17.50,14.20,
2021,759358,45000030,7.20,8,,,,4.75,7.25,9.75,5.60,N1,45,Sở GDĐT Ninh Thuận ,,21.80,,,20.00,20.80,
2021,759351,45000023,5.80,6.50,,,,4,7.25,9.50,4.80,N1,45,Sở GDĐT Ninh Thuận ,,20.80,,,17.80,17.10,
2021,759352,45000024,3.80,1.50,,,,3.50,6.25,4.50,2,N1,45,Sở GDĐT Ninh Thuận ,,14.30,,,11.30,7.30,
2021,759363,45000035,4.20,4.50,,,,3,5.75,6.50,2.60,N1,45,Sở GDĐT Ninh Thuận ,,15.30,,,13.30,11.30,
2021,759353,45000025,7.40,6.75,5.75,5.25,8,,,,4.40,N1,45,Sở GDĐT Ninh Thuận ,19.00,,18.40,20.70,,18.60,17.60
2021,759355,45000027,6.20,5.75,,,,2.75,7,7,4.60,N1,45,Sở GDĐT Ninh Thuận ,,16.80,,,15.50,16.50,
2021,759354,45000026,3,3.50,,,,4,6,4.50,3.20,N1,45,Sở GDĐT Ninh Thuận ,,14.50,,,13.50,9.70,
2021,759357,45000029,5.80,3,,,,2.50,6.50,8.25,3.80,N1,45,Sở GDĐT Ninh Thuận ,,17.30,,,12.00,12.60,
2021,759359,45000031,5,7,,,,5.25,7.75,9.50,4,N1,45,Sở GDĐT Ninh Thuận ,,22.50,,,20.00,16.00,
2021,759360,45000032,6.60,3.50,,,,3.25,4.75,5,3.20,N1,45,Sở GDĐT Ninh Thuận ,,13.00,,,11.50,13.30,
2021,759361,45000033,5.60,5.50,,,,3.25,5.75,6.50,4.40,N1,45,Sở GDĐT Ninh Thuận ,,15.50,,,14.50,15.50,
2021,759362,45000034,6.80,6,3.75,4.25,7.25,,,,3.20,N1,45,Sở GDĐT Ninh Thuận ,15.30,,14.80,18.30,,16.00,13.80
2021,759367,45000040,7.60,7,7,6.25,8,,,,5.40,N1,45,Sở GDĐT Ninh Thuận ,21.30,,20.90,21.90,,20.00,20.00
2021,759370,45000043,7.20,5,,,,7.25,6.75,8.75,4,N1,45,Sở GDĐT Ninh Thuận ,,22.80,,,19.00,16.20,
2021,759371,45000044,6,7.50,,,,3.75,8,8.50,4.60,N1,45,Sở GDĐT Ninh Thuận ,,20.30,,,19.30,18.10,
2021,759364,45000037,5.40,6.75,,,,3.75,4.75,7.50,3.60,N1,45,Sở GDĐT Ninh Thuận ,,16.00,,,15.30,15.80,
2021,759365,45000038,6.60,7.50,,,,2.75,6.75,8.25,5.40,N1,45,Sở GDĐT Ninh Thuận ,,17.80,,,17.00,19.50,
2021,759366,45000039,6.40,4.75,,,,4.75,7.75,7.25,4.80,N1,45,Sở GDĐT Ninh Thuận ,,19.80,,,17.30,16.00,
2021,759368,45000041,5.80,6.50,,,,3,7.50,10,4.20,N1,45,Sở GDĐT Ninh Thuận ,,20.50,,,17.00,16.50,
2021,759369,45000042,5,5,,,,2.75,6,6.50,3.80,N1,45,Sở GDĐT Ninh Thuận ,,15.30,,,13.80,13.80,
2021,759376,45000049,6.60,4.75,,,,3,6,7.75,3.20,N1,45,Sở GDĐT Ninh Thuận ,,16.80,,,13.80,14.60,
2021,759379,45000052,6.40,7.25,,,,4,7.25,9,4.80,N1,45,Sở GDĐT Ninh Thuận ,,20.30,,,18.50,18.50,
2021,759372,45000045,7,4.25,,,,3.50,6.75,5.50,2.20,N1,45,Sở GDĐT Ninh Thuận ,,15.80,,,14.50,13.50,
2021,759377,45000050,5.40,7.75,,,,3.75,6.25,7.75,5,N1,45,Sở GDĐT Ninh Thuận ,,17.80,,,17.80,18.20,
2021,759381,45000054,6.20,4.25,,,,3,5.25,7,3.80,N1,45,Sở GDĐT Ninh Thuận ,,15.30,,,12.50,14.30,
2021,759373,45000046,7,5.50,,,,2.50,5.25,9,1.80,N1,45,Sở GDĐT Ninh Thuận ,,16.80,,,13.30,14.30,
2021,759374,45000047,6.60,6.50,,,,6.50,8.25,9.25,6,N1,45,Sở GDĐT Ninh Thuận ,,24.00,,,21.30,19.10,
2021,759375,45000048,3.20,3,,,,4.25,7,7.25,4,N1,45,Sở GDĐT Ninh Thuận ,,18.50,,,14.30,10.20,
2021,759384,45000057,6.40,6.75,,,,6,8.25,8.75,5.40,N1,45,Sở GDĐT Ninh Thuận ,,23.00,,,21.00,18.60,
2021,759385,45000058,7.40,5.75,,,,4.75,7.25,6.75,4.60,N1,45,Sở GDĐT Ninh Thuận ,,18.80,,,17.80,17.80,
2021,759387,45000060,6,5.75,,,,6,7.25,9.25,3.60,N1,45,Sở GDĐT Ninh Thuận ,,22.50,,,19.00,15.40,
2021,759378,45000051,7.20,6.75,,,,6.25,6.25,8.50,3.60,N1,45,Sở GDĐT Ninh Thuận ,,21.00,,,19.30,17.60,
2021,759380,45000053,6.80,4.25,,,,3,5,8.25,4.40,N1,45,Sở GDĐT Ninh Thuận ,,16.30,,,12.30,15.50,
2021,759382,45000055,6.20,5.25,,,,2,5.75,6.25,3,N1,45,Sở GDĐT Ninh Thuận ,,14.00,,,13.00,14.50,
2021,759391,45000064,7.20,8,,,,4.50,7.25,9.75,6.60,N1,45,Sở GDĐT Ninh Thuận ,,21.50,,,19.80,21.80,
2021,759389,45000062,8,7.75,,,,7.50,8.75,10,5.40,N1,45,Sở GDĐT Ninh Thuận ,,26.30,,,24.00,21.20,
2021,759383,45000056,5.80,5.75,,,,4,6,8,3.80,N1,45,Sở GDĐT Ninh Thuận ,,18.00,,,15.80,15.40,
2021,759393,45000066,6,7,,,,4,5.25,8.25,4.40,N1,45,Sở GDĐT Ninh Thuận ,,17.50,,,16.30,17.40,
2021,759394,45000067,6.60,3,,,,4.75,7.25,9.25,3.80,N1,45,Sở GDĐT Ninh Thuận ,,21.30,,,15.00,13.40,
2021,759395,45000068,4.60,5,,,,4,5.75,8.50,2.40,N1,45,Sở GDĐT Ninh Thuận ,,18.30,,,14.80,12.00,
2021,759386,45000059,6.60,7.25,,,,4.50,7,9.25,3.20,N1,45,Sở GDĐT Ninh Thuận ,,20.80,,,18.80,17.10,
2021,759400,45000073,5.20,5.75,,,,3.50,5.75,7.75,3.80,N1,45,Sở GDĐT Ninh Thuận ,,17.00,,,15.00,14.80,
2021,759388,45000061,5.80,7,,,,3.25,5.75,7.50,5.40,N1,45,Sở GDĐT Ninh Thuận ,,16.50,,,16.00,18.20,
2021,759390,45000063,5.20,6.25,,,,4,7,9,2.80,N1,45,Sở GDĐT Ninh Thuận ,,20.00,,,17.30,14.30,
2021,759392,45000065,3.60,4,,,,3.50,6.75,5.50,2.80,N1,45,Sở GDĐT Ninh Thuận ,,15.80,,,14.30,10.40,
2021,759402,45000075,7,7.50,,,,4.50,8,9.75,4,N1,45,Sở GDĐT Ninh Thuận ,,22.30,,,20.00,18.50,
2021,759397,45000070,5.60,3.25,,,,3.25,5,3.50,2.60,N1,45,Sở GDĐT Ninh Thuận ,,11.80,,,11.50,11.50,
2021,759396,45000069,7,6.25,,,,2.75,6.25,8.25,3,N1,45,Sở GDĐT Ninh Thuận ,,17.30,,,15.30,16.30,
2021,759398,45000071,5.60,5.50,,,,2.50,7,7.25,3.80,N1,45,Sở GDĐT Ninh Thuận ,,16.80,,,15.00,14.90,
2021,759399,45000072,7.20,5.25,,,,3.50,7.25,7.75,4.20,N1,45,Sở GDĐT Ninh Thuận ,,18.50,,,16.00,16.70,
2021,759401,45000074,5.80,7.50,,,,4.50,6,8.75,4,N1,45,Sở GDĐT Ninh Thuận ,,19.30,,,18.00,17.30,
2021,759409,45000082,5,5.25,,,,4,8.25,10,3.40,N1,45,Sở GDĐT Ninh Thuận ,,22.30,,,17.50,13.70,
2021,759403,45000076,6,7,,,,4,7,8.50,3.80,N1,45,Sở GDĐT Ninh Thuận ,,19.50,,,18.00,16.80,
2021,759404,45000077,6.20,7,4.25,5.75,7.50,,,,4.60,N1,45,Sở GDĐT Ninh Thuận ,17.50,,16.20,19.50,,17.80,15.10
2021,759405,45000078,4.60,3.50,,,,3.25,7.50,8.25,3.40,N1,45,Sở GDĐT Ninh Thuận ,,19.00,,,14.30,11.50,
2021,759406,45000079,6.20,6.75,,,,5.50,5.75,8.50,5,N1,45,Sở GDĐT Ninh Thuận ,,19.80,,,18.00,18.00,
2021,759407,45000080,6,5,,,,3.75,8,8.75,3.20,N1,45,Sở GDĐT Ninh Thuận ,,20.50,,,16.80,14.20,
2021,759413,45000086,8.40,5.75,,,,6,8.25,9.75,4.20,N1,45,Sở GDĐT Ninh Thuận ,,24.00,,,20.00,18.40,
2021,759419,45000092,7.40,5.25,,,,2.75,7,9,7,N1,45,Sở GDĐT Ninh Thuận ,,18.80,,,15.00,19.70,
2021,759408,45000081,5.20,1.75,,,,3,4.25,4.50,1.20,N1,45,Sở GDĐT Ninh Thuận ,,11.80,,,9.00,8.20,
2021,759410,45000083,6.60,6.75,,,,4.25,7,9.75,2,N1,45,Sở GDĐT Ninh Thuận ,,21.00,,,18.00,15.40,
2021,759412,45000085,6.60,6.50,,,,1.50,7.50,9.25,5.80,N1,45,Sở GDĐT Ninh Thuận ,,18.30,,,15.50,18.90,
2021,759411,45000084,6.80,6.75,,,,5.50,8.75,9.50,6,N1,45,Sở GDĐT Ninh Thuận ,,23.80,,,21.00,19.60,
2021,759414,45000087,7.20,6.50,5.75,5.75,7.50,,,,6,N1,45,Sở GDĐT Ninh Thuận ,19.00,,18.70,20.50,,19.70,19.00
2021,759415,45000088,7.20,6.25,4,5.25,6.25,,,,3.60,N1,45,Sở GDĐT Ninh Thuận ,15.50,,16.50,18.70,,17.10,14.80
