schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,301549,15000003,8.60,8.50,,,,5.50,7,8.50,9.40,N1,15,Sở GDĐT Phú Thọ ,,21.00,,,21.00,26.50,
2021,301556,15000010,8.40,7,6.50,8,3.75,,,,8.20,N1,15,Sở GDĐT Phú Thọ ,18.30,,22.90,20.20,,23.60,23.10
2021,301550,15000004,4.60,9,,,,8.75,9.25,9.75,7,N1,15,Sở GDĐT Phú Thọ ,,27.80,,,27.00,20.60,
2021,301555,15000009,8,7.75,,,,6.75,8.25,9,9.80,N1,15,Sở GDĐT Phú Thọ ,,24.00,,,22.80,25.60,
2021,301551,15000005,8.80,6.25,5.75,9.50,7.75,,,,8.60,N1,15,Sở GDĐT Phú Thọ ,23.00,,24.10,26.10,,23.70,23.20
2021,301554,15000008,8.60,8.50,,,,6.50,8.25,9,10,N1,15,Sở GDĐT Phú Thọ ,,23.80,,,23.30,27.10,
2021,301552,15000006,5.40,9,,,,9.75,9.25,8.50,4.80,N1,15,Sở GDĐT Phú Thọ ,,27.50,,,28.00,19.20,
2021,301548,15000002,9.20,5.50,8.75,4.25,5,,,,9.40,N1,15,Sở GDĐT Phú Thọ ,18.00,,22.20,18.50,,24.10,27.40
2021,301553,15000007,8.40,8.25,,,,4.25,7.50,9.50,10,N3,15,Sở GDĐT Phú Thọ ,,21.30,,,20.00,26.70,
2021,301547,15000001,9,8.50,,,,5.50,7.50,9.50,10,N1,15,Sở GDĐT Phú Thọ ,,22.50,,,21.50,27.50,
2021,301557,15000011,8.60,8,5.75,7.75,7.75,,,,6.80,N1,15,Sở GDĐT Phú Thọ ,21.30,,22.10,24.10,,23.40,21.20
2021,301560,15000014,7.40,9,,,,9,10,8.75,7.60,N1,15,Sở GDĐT Phú Thọ ,,27.80,,,28.00,24.00,
2021,301558,15000012,9,8,,,,4,6.25,8.25,9,N1,15,Sở GDĐT Phú Thọ ,,18.50,,,18.30,26.00,
2021,301562,15000016,9,8.50,,,,5.75,7.50,9.75,9.80,N1,15,Sở GDĐT Phú Thọ ,,23.00,,,21.80,27.30,
2021,301559,15000013,4.60,7.50,,,,8.50,9,8.50,5.20,N1,15,Sở GDĐT Phú Thọ ,,26.00,,,25.00,17.30,
2021,301561,15000015,9.40,6.50,8.50,5.75,6,,,,9.40,N1,15,Sở GDĐT Phú Thọ ,20.30,,23.70,21.20,,25.30,27.30
2021,301566,15000020,4.20,8.25,,,,8.75,9.25,8,8.20,N1,15,Sở GDĐT Phú Thọ ,,26.00,,,26.30,20.70,
2021,301564,15000018,9.20,4.50,7.75,8.50,4.50,,,,9.20,N1,15,Sở GDĐT Phú Thọ ,20.80,,25.50,22.20,,22.90,26.20
2021,301565,15000019,8,6.75,7.75,5.75,5.25,,,,8.40,N1,15,Sở GDĐT Phú Thọ ,18.80,,21.50,19.00,,23.20,24.20
2021,301563,15000017,8.60,7,5,8.25,8.50,,,,5.60,N1,15,Sở GDĐT Phú Thọ ,21.80,,21.90,25.40,,21.20,19.20
2021,301567,15000021,9,8.75,,,,8,8.50,9.25,10,N1,15,Sở GDĐT Phú Thọ ,,25.80,,,25.30,27.80,
2021,301568,15000022,5.40,8,,,,9.25,9.25,8.75,3.40,N1,15,Sở GDĐT Phú Thọ ,,27.30,,,26.50,16.80,
2021,301569,15000023,5.20,8.50,,,,9,9.50,8.50,6.80,N1,15,Sở GDĐT Phú Thọ ,,27.00,,,27.00,20.50,
2021,301573,15000027,8.60,6.75,7.50,3.25,2.75,,,,10,N1,15,Sở GDĐT Phú Thọ ,13.50,,19.40,14.60,,25.40,26.10
2021,301578,15000032,8.80,8.75,,,,6.75,9.75,9.50,10,N1,15,Sở GDĐT Phú Thọ ,,26.00,,,25.30,27.60,
2021,301580,15000034,8,8.50,,,,6.75,7.25,8.50,8.60,N1,15,Sở GDĐT Phú Thọ ,,22.50,,,22.50,25.10,
2021,301572,15000026,6.40,7.75,,,,10,9,9,6.80,N1,15,Sở GDĐT Phú Thọ ,,28.00,,,26.80,21.00,
2021,301571,15000025,8.60,9,,,,7.25,8.75,9.75,9.80,N1,15,Sở GDĐT Phú Thọ ,,25.80,,,25.00,27.40,
2021,301570,15000024,8.20,8.50,8,4,3.50,,,,9.20,N1,15,Sở GDĐT Phú Thọ ,15.50,,20.20,15.70,,25.90,25.40
2021,301575,15000029,8.40,5.25,5.75,7.75,9,,,,3.60,N1,15,Sở GDĐT Phú Thọ ,22.50,,21.90,25.20,,17.30,17.80
2021,301574,15000028,8.60,6.50,8.25,8.25,4.50,,,,6.20,N1,15,Sở GDĐT Phú Thọ ,21.00,,25.10,21.40,,21.30,23.10
2021,301582,15000036,8.80,8,4.75,8.50,9.25,,,,7,N1,15,Sở GDĐT Phú Thọ ,22.50,,22.10,26.60,,23.80,20.60
2021,301576,15000030,8.20,7.75,5.75,8,8.25,,,,8.80,N1,15,Sở GDĐT Phú Thọ ,22.00,,22.00,24.50,,24.80,22.80
2021,301577,15000031,8.60,7,8,6.75,6.75,,,,10,N1,15,Sở GDĐT Phú Thọ ,21.50,,23.40,22.10,,25.60,26.60
2021,301579,15000033,8.40,8.25,,,,2.75,9,7.50,9.40,N1,15,Sở GDĐT Phú Thọ ,,19.30,,,20.00,26.10,
2021,301586,15000040,9.20,8.75,,,,5,7,9,10,N1,15,Sở GDĐT Phú Thọ ,,21.00,,,20.80,28.00,
2021,301589,15000043,5,8.25,,,,9.25,9.50,7.75,3.60,N1,15,Sở GDĐT Phú Thọ ,,26.50,,,27.00,16.90,
2021,301581,15000035,8.60,8.25,,,,4.50,8.25,8,9.40,N1,15,Sở GDĐT Phú Thọ ,,20.80,,,21.00,26.30,
2021,301583,15000037,8.60,7.50,8.50,5.50,5.25,,,,9.40,N1,15,Sở GDĐT Phú Thọ ,19.30,,22.60,19.40,,25.50,26.50
2021,301584,15000038,7.20,8.50,,,,6.25,8,9.50,8.60,N1,15,Sở GDĐT Phú Thọ ,,23.80,,,22.80,24.30,
2021,301593,15000047,8.40,9,,,,5.25,6.75,9,9.60,N3,15,Sở GDĐT Phú Thọ ,,21.00,,,21.00,27.00,
2021,301585,15000039,8.40,9,,,,5.75,8.50,8.75,9.20,N1,15,Sở GDĐT Phú Thọ ,,23.00,,,23.30,26.60,
2021,301587,15000041,7.80,8.25,,,,5.50,7.75,9.50,10,N1,15,Sở GDĐT Phú Thọ ,,22.80,,,21.50,26.10,
2021,301588,15000042,9,7.50,5.50,9.50,10,,,,7.40,N1,15,Sở GDĐT Phú Thọ ,25.00,,24.00,28.50,,23.90,21.90
2021,301590,15000044,8.60,8.50,,,,3.75,6.50,7.25,7.60,N1,15,Sở GDĐT Phú Thọ ,,17.50,,,18.80,24.70,
2021,301596,15000050,8.40,9.25,,,,3,7.25,9,9,N1,15,Sở GDĐT Phú Thọ ,,19.30,,,19.50,26.70,
2021,301591,15000045,9,6.25,8.75,8.50,5.75,,,,7.80,N1,15,Sở GDĐT Phú Thọ ,23.00,,26.30,23.30,,23.10,25.60
2021,301599,15000053,8.40,8.75,,,,5.75,7.75,9,9.40,N1,15,Sở GDĐT Phú Thọ ,,22.50,,,22.30,26.60,
2021,301592,15000046,8.80,6,5.75,9.75,9,,,,7.40,N1,15,Sở GDĐT Phú Thọ ,24.50,,24.30,27.60,,22.20,22.00
2021,301602,15000056,9,9,,,,6.50,7.75,8.50,9.40,N1,15,Sở GDĐT Phú Thọ ,,22.80,,,23.30,27.40,
2021,301594,15000048,8.40,9,,,,2.75,7.25,8.50,8.80,N1,15,Sở GDĐT Phú Thọ ,,18.50,,,19.00,26.20,
2021,301595,15000049,9,5.75,9,4.25,4,,,,9.60,N1,15,Sở GDĐT Phú Thọ ,17.30,,22.30,17.30,,24.40,27.60
2021,301603,15000059,9,8,6.50,9,7.75,,,,8,N1,15,Sở GDĐT Phú Thọ ,23.30,,24.50,25.80,,25.00,23.50
2021,301597,15000051,8.20,8.25,,,,7.75,8.75,9.50,9.20,N3,15,Sở GDĐT Phú Thọ ,,26.00,,,24.80,25.70,
2021,301604,15000060,8.60,6.25,7.75,7.25,5.25,,,,8,N1,15,Sở GDĐT Phú Thọ ,20.30,,23.60,21.10,,22.90,24.40
2021,301605,15000061,9,7,8.25,8.50,6.50,,,,7.40,N1,15,Sở GDĐT Phú Thọ ,23.30,,25.80,24.00,,23.40,24.70
2021,301600,15000054,4.60,8.50,,,,9,9.25,8.25,7.60,N1,15,Sở GDĐT Phú Thọ ,,26.50,,,26.80,20.70,
2021,301598,15000052,6.80,8.25,,,,9.25,8.75,8.50,5.40,N1,15,Sở GDĐT Phú Thọ ,,26.50,,,26.30,20.50,
2021,301601,15000055,8,6.75,8.50,4.75,4.50,,,,9.40,N1,15,Sở GDĐT Phú Thọ ,17.80,,21.30,17.30,,24.20,25.90
2021,301607,15000063,8.60,8.50,,,,5.25,8.25,8.25,9.60,N1,15,Sở GDĐT Phú Thọ ,,21.80,,,22.00,26.70,
2021,301610,15000066,8.40,8.75,,,,4.50,6.50,7.50,9.40,N1,15,Sở GDĐT Phú Thọ ,,18.50,,,19.80,26.60,
2021,301609,15000065,7.40,7.75,,,,2.75,7.25,9,9.80,N1,15,Sở GDĐT Phú Thọ ,,19.00,,,17.80,25.00,
2021,301613,15000069,8.80,6.25,8,5.50,6.75,,,,9.20,N1,15,Sở GDĐT Phú Thọ ,20.30,,22.30,21.10,,24.30,26.00
2021,301615,15000071,8.40,6.25,7,3.50,5.25,,,,10,N1,15,Sở GDĐT Phú Thọ ,15.80,,18.90,17.20,,24.70,25.40
2021,301614,15000070,8.40,6.50,7.75,4.50,2.25,,,,9.40,N1,15,Sở GDĐT Phú Thọ ,14.50,,20.70,15.20,,24.30,25.50
2021,301606,15000062,8.80,6.75,7.75,3.75,5,,,,9.80,N1,15,Sở GDĐT Phú Thọ ,16.50,,20.30,17.60,,25.40,26.40
2021,301617,15000073,8,6.75,,,,8,7.50,9.25,10,N1,15,Sở GDĐT Phú Thọ ,,24.80,,,22.30,24.80,
2021,301618,15000074,7.80,7.75,,,,6.25,7.25,7.75,10,N1,15,Sở GDĐT Phú Thọ ,,21.30,,,21.30,25.60,
2021,301608,15000064,9.20,7.50,7.25,9.25,9.50,,,,9.20,N1,15,Sở GDĐT Phú Thọ ,26.00,,25.70,28.00,,25.90,25.70
