schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,678688,39000002,6,4,,,,5.50,6.25,6.50,3.40,N1,39,Sở GDĐT Phú Yên ,,18.30,,,15.80,13.40,
2021,678689,39000003,8,7.75,,,,6,7,8.25,8.20,N1,39,Sở GDĐT Phú Yên ,,21.30,,,20.80,24.00,
2021,678694,39000008,4.80,3.50,,,,5.75,6.75,8.50,3.80,N1,39,Sở GDĐT Phú Yên ,,21.00,,,16.00,12.10,
2021,678692,39000006,6.80,6.50,,,,5.50,8.25,8.75,7.20,N1,39,Sở GDĐT Phú Yên ,,22.50,,,20.30,20.50,
2021,678696,39000010,3.80,4,,,,2.50,3.75,5.50,4.80,N1,39,Sở GDĐT Phú Yên ,,11.80,,,10.30,12.60,
2021,678691,39000005,8.80,4,8.75,9,4.25,,,,5.40,N1,39,Sở GDĐT Phú Yên ,22.00,,26.60,22.10,,18.20,23.00
2021,678695,39000009,6.80,5.50,,,,6.50,7.25,7.75,6.60,N1,39,Sở GDĐT Phú Yên ,,21.50,,,19.30,18.90,
2021,678687,39000001,6,5.75,,,,3.50,6.50,6.25,4.60,N1,39,Sở GDĐT Phú Yên ,,16.30,,,15.80,16.40,
2021,678693,39000007,4,2.75,,,,2,3.75,5.25,3.40,N1,39,Sở GDĐT Phú Yên ,,11.00,,,8.50,10.20,
2021,678690,39000004,7.80,4,7.25,3.75,6.50,,,,7.80,N1,39,Sở GDĐT Phú Yên ,17.50,,18.80,18.10,,19.60,22.90
2021,678697,39000011,7,6.25,,,,6,8,9.50,2.40,N1,39,Sở GDĐT Phú Yên ,,23.50,,,20.30,15.70,
2021,678698,39000012,5,6.50,,,,4.50,7.25,6.50,3.80,N1,39,Sở GDĐT Phú Yên ,,18.30,,,18.30,15.30,
2021,678703,39000017,5.40,5.50,,,,3,7.50,8,7,N1,39,Sở GDĐT Phú Yên ,,18.50,,,16.00,17.90,
2021,678699,39000013,8.80,6.50,,,,7.25,8.75,9,7.60,N1,39,Sở GDĐT Phú Yên ,,25.00,,,22.50,22.90,
2021,678701,39000015,7,6.50,,,,4.25,6.75,8,5,N1,39,Sở GDĐT Phú Yên ,,19.00,,,17.50,18.50,
2021,678702,39000016,6.60,6.25,,,,7,7.25,8.75,5.20,N1,39,Sở GDĐT Phú Yên ,,23.00,,,20.50,18.10,
2021,678700,39000014,4,5.25,,,,4.25,5,7.25,4.40,N1,39,Sở GDĐT Phú Yên ,,16.50,,,14.50,13.70,
2021,678704,39000018,6.40,7,,,,6,8,9,6,N1,39,Sở GDĐT Phú Yên ,,23.00,,,21.00,19.40,
2021,678706,39000020,3.80,5.25,,,,2,6.25,7,4.60,N1,39,Sở GDĐT Phú Yên ,,15.30,,,13.50,13.70,
2021,678705,39000019,7.40,6,,,,4.75,7.25,8.75,5.80,N1,39,Sở GDĐT Phú Yên ,,20.80,,,18.00,19.20,
2021,678707,39000021,6.80,3.75,,,,5.50,6.50,8.25,4.40,N1,39,Sở GDĐT Phú Yên ,,20.30,,,15.80,15.00,
2021,678708,39000022,3,4.25,,,,3.25,5.50,5.75,3.80,N1,39,Sở GDĐT Phú Yên ,,14.50,,,13.00,11.10,
2021,678709,39000023,7.60,5.75,,,,6.25,6.25,9.75,5.80,N1,39,Sở GDĐT Phú Yên ,,22.30,,,18.30,19.20,
2021,678714,39000028,5.40,3.25,,,,4.50,7.25,6.75,3,N1,39,Sở GDĐT Phú Yên ,,18.50,,,15.00,11.70,
2021,678716,39000030,6.60,5.25,,,,2.50,7.50,5.50,4,N1,39,Sở GDĐT Phú Yên ,,15.50,,,15.30,15.90,
2021,678710,39000024,7.60,6.25,6.75,5.25,5,,,,9.40,N1,39,Sở GDĐT Phú Yên ,17.00,,19.60,17.90,,23.30,23.80
2021,678711,39000025,6.20,6.50,,,,6.25,7.50,8,4.80,N1,39,Sở GDĐT Phú Yên ,,21.80,,,20.30,17.50,
2021,678712,39000026,7.60,7,,,,8.50,9.25,9.75,7,N1,39,Sở GDĐT Phú Yên ,,27.50,,,24.80,21.60,
2021,678713,39000027,6.40,7.25,,,,4.50,6.75,8,3.40,N1,39,Sở GDĐT Phú Yên ,,19.30,,,18.50,17.10,
2021,678715,39000029,4.20,7,,,,9,7.25,8.75,5.80,N1,39,Sở GDĐT Phú Yên ,,25.00,,,23.30,17.00,
2021,678717,39000031,5.20,6,3.75,3.75,4,,,,3.40,N1,39,Sở GDĐT Phú Yên ,11.50,,12.70,13.00,,14.60,12.40
2021,678718,39000032,8.40,7.25,7.75,8.50,8.75,,,,9,N1,39,Sở GDĐT Phú Yên ,25.00,,24.70,25.70,,24.70,25.20
2021,678721,39000035,2.80,5,,,,3,4,4.25,3.20,N1,39,Sở GDĐT Phú Yên ,,11.30,,,12.00,11.00,
2021,678719,39000033,6.40,4,4.75,5.50,5.50,,,,5.60,N1,39,Sở GDĐT Phú Yên ,15.80,,16.70,17.40,,16.00,16.80
2021,678730,39000044,7,5.75,,,,7,7.25,8.25,6.20,N1,39,Sở GDĐT Phú Yên ,,22.50,,,20.00,19.00,
2021,678724,39000038,8.40,7.25,6,6.75,5.50,,,,5.80,N1,39,Sở GDĐT Phú Yên ,18.30,,21.20,20.70,,21.50,20.20
2021,678725,39000039,7,7.25,3.75,6,6.75,,,,5.60,N1,39,Sở GDĐT Phú Yên ,16.50,,16.80,19.80,,19.90,16.40
2021,678722,39000036,4.80,5.75,,,,4.50,4.50,4.75,2.80,N1,39,Sở GDĐT Phú Yên ,,13.80,,,14.80,13.40,
2021,678720,39000034,6.40,5.50,,,,1.50,5,7,2,N1,39,Sở GDĐT Phú Yên ,,13.50,,,12.00,13.90,
2021,678726,39000040,7.80,6.50,4.25,7,7.75,,,,7,N1,39,Sở GDĐT Phú Yên ,19.00,,19.10,22.60,,21.30,19.10
2021,678727,39000041,6.80,6,,,,2.50,6.50,7.50,4.20,N1,39,Sở GDĐT Phú Yên ,,16.50,,,15.00,17.00,
2021,678723,39000037,4.80,4.25,,,,5.25,7.75,8.75,3.40,N1,39,Sở GDĐT Phú Yên ,,21.80,,,17.30,12.50,
2021,678728,39000042,3.80,5.25,,,,2,6.25,7,4,N1,39,Sở GDĐT Phú Yên ,,15.30,,,13.50,13.10,
2021,678735,39000049,7,5.75,6,8.25,4.50,,,,3.40,N1,39,Sở GDĐT Phú Yên ,18.80,,21.30,19.80,,16.20,16.40
2021,678733,39000047,7,6.25,,,,5.25,7.25,8.50,6.20,N1,39,Sở GDĐT Phú Yên ,,21.00,,,18.80,19.50,
