schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,582547,31000007,4.40,5.75,,,,7.75,8.25,7.25,3.80,N1,31,Sở GDĐT Quảng Bình ,,23.30,,,21.80,14.00,
2021,582550,31000010,2.80,3.75,,,,3,3.75,5.25,4.80,N1,31,Sở GDĐT Quảng Bình ,,12.00,,,10.50,11.40,
2021,582541,31000001,5,6,,,,5.25,6,8.75,4.80,N1,31,Sở GDĐT Quảng Bình ,,20.00,,,17.30,15.80,
2021,582546,31000006,4.80,3.25,,,,6.25,4.75,,,,31,Sở GDĐT Quảng Bình ,,,,,14.30,,
2021,582542,31000002,8.60,8.75,,,,8.75,,,3,N1,31,Sở GDĐT Quảng Bình ,,,,,,20.40,
2021,582545,31000005,5.80,6.50,,,,5.25,7.25,9,4,N1,31,Sở GDĐT Quảng Bình ,,21.50,,,19.00,16.30,
2021,582549,31000009,3.40,3,,,,3.50,4.50,8,2.80,N1,31,Sở GDĐT Quảng Bình ,,16.00,,,11.00,9.20,
2021,582548,31000008,6.60,5.25,,,,4.25,7.25,8.75,7.80,N1,31,Sở GDĐT Quảng Bình ,,20.30,,,16.80,19.70,
2021,582543,31000003,5.20,5,,,,3.25,6.75,7.50,3,N1,31,Sở GDĐT Quảng Bình ,,17.50,,,15.00,13.20,
2021,582544,31000004,4.80,5,,,,2.75,5.50,7.75,3,N1,31,Sở GDĐT Quảng Bình ,,16.00,,,13.30,12.80,
2021,582557,31000017,6.40,6.25,,,,7,7.50,6.25,7.40,N1,31,Sở GDĐT Quảng Bình ,,20.80,,,20.80,20.10,
2021,582553,31000013,4.20,,,,,,,,6.60,N1,31,Sở GDĐT Quảng Bình ,,,,,,,
2021,582556,31000016,4.20,2.50,,,,3,5.50,3.50,3.80,N1,31,Sở GDĐT Quảng Bình ,,12.00,,,11.00,10.50,
2021,582559,31000019,4.40,5.25,,,,3,6,7.50,5,N1,31,Sở GDĐT Quảng Bình ,,16.50,,,14.30,14.70,
2021,582558,31000018,8.40,8.25,,,,4.50,8.50,9.25,9.20,N1,31,Sở GDĐT Quảng Bình ,,22.30,,,21.30,25.90,
2021,582555,31000015,5.20,4,,,,2.50,7.25,8.50,4.40,N1,31,Sở GDĐT Quảng Bình ,,18.30,,,13.80,13.60,
