schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,616219,34000001,7.80,6.75,6.50,7,7,,,,5.80,N1,34,Sở GDĐT Quảng Nam ,20.50,,21.30,21.80,,20.40,20.10
2021,616226,34000008,7.40,6.50,,,,5.25,7.75,9.25,6.80,N1,34,Sở GDĐT Quảng Nam ,,22.30,,,19.50,20.70,
2021,616225,34000007,5,6.75,,,,3.50,7.50,9,5.20,N1,34,Sở GDĐT Quảng Nam ,,20.00,,,17.80,17.00,
2021,616224,34000006,6.80,6.50,,,,5,7,9.50,3,N1,34,Sở GDĐT Quảng Nam ,,21.50,,,18.50,16.30,
2021,616227,34000009,3.60,5.50,,,,4.25,6.25,8,2,N1,34,Sở GDĐT Quảng Nam ,,18.50,,,16.00,11.10,
2021,616221,34000003,8.20,8.75,,,,5.75,8.25,9.50,9.80,N1,34,Sở GDĐT Quảng Nam ,,23.50,,,22.80,26.80,
2021,616220,34000002,4.60,4.75,,,,3,7.25,6.50,3.40,N1,34,Sở GDĐT Quảng Nam ,,16.80,,,15.00,12.80,
2021,616223,34000005,5,6.25,,,,5,5.25,7,4.40,N1,34,Sở GDĐT Quảng Nam ,,17.30,,,16.50,15.70,
2021,616222,34000004,7.20,6,7,8.50,5.25,,,,6.20,N1,34,Sở GDĐT Quảng Nam ,20.80,,22.70,21.00,,19.40,20.40
2021,616228,34000010,6.20,6,,,,4.50,7,7.25,4,N1,34,Sở GDĐT Quảng Nam ,,18.80,,,17.50,16.20,
2021,616235,34000017,8.60,6.25,4.25,7.50,4,,,,5.60,N1,34,Sở GDĐT Quảng Nam ,15.80,,20.40,20.10,,20.50,18.50
2021,616230,34000012,6.20,5.50,,,,4.25,7.50,8.50,2.60,N1,34,Sở GDĐT Quảng Nam ,,20.30,,,17.30,14.30,
2021,616237,34000019,7.60,6.50,,,,7,7.25,9.75,8.20,N1,34,Sở GDĐT Quảng Nam ,,24.00,,,20.80,22.30,
2021,616240,34000022,7.40,7.50,6.25,6.50,5.75,,,,7.60,N1,34,Sở GDĐT Quảng Nam ,18.50,,20.20,19.70,,22.50,21.30
2021,616234,34000016,6,7.25,,,,4.25,7,9.50,5,N1,34,Sở GDĐT Quảng Nam ,,20.80,,,18.50,18.30,
2021,616229,34000011,8.60,5.50,7,7.25,5.75,,,,7.60,N1,34,Sở GDĐT Quảng Nam ,20.00,,22.90,21.60,,21.70,23.20
2021,616238,34000020,8.40,3.25,7.75,7.25,2,,,,3.60,N1,34,Sở GDĐT Quảng Nam ,17.00,,23.40,17.70,,15.30,19.80
2021,616233,34000015,4.60,6,,,,5,4.50,7,4.40,N1,34,Sở GDĐT Quảng Nam ,,16.50,,,15.50,15.00,
2021,616231,34000013,5.60,5.50,,,,3.50,6.25,6.75,4.20,N1,34,Sở GDĐT Quảng Nam ,,16.50,,,15.30,15.30,
