schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,632922,35000003,8.20,8.75,6,6.25,5.75,,,,8.40,N1,35,Sở GDĐT Quảng Ngãi ,18.00,,20.50,20.20,,25.40,22.60
2021,632927,35000008,9,5.25,7.50,7.50,4.75,,,,3.20,N1,35,Sở GDĐT Quảng Ngãi ,19.80,,24.00,21.30,,17.50,19.70
2021,632924,35000005,5.40,6.75,,,,2.75,4.50,8,3.20,N1,35,Sở GDĐT Quảng Ngãi ,,15.30,,,14.00,15.40,
2021,632920,35000001,8,6.75,5,3.25,3.75,,,,6.80,N1,35,Sở GDĐT Quảng Ngãi ,12.00,,16.30,15.00,,21.60,19.80
2021,632921,35000002,6.60,6.75,5.50,4.50,4.50,,,,3.20,N1,35,Sở GDĐT Quảng Ngãi ,14.50,,16.60,15.60,,16.60,15.30
2021,632929,35000010,7.20,6.25,,,,3.75,6,7.50,4.20,N1,35,Sở GDĐT Quảng Ngãi ,,17.30,,,16.00,17.70,
2021,632923,35000004,8.20,7.75,,,,6.50,8,9.25,4.80,N1,35,Sở GDĐT Quảng Ngãi ,,23.80,,,22.30,20.80,
2021,632925,35000006,6.20,5.50,,,,3.75,6.25,8,3,N1,35,Sở GDĐT Quảng Ngãi ,,18.00,,,15.50,14.70,
2021,632928,35000009,7.40,8.50,,,,4.25,6.50,9.25,5.40,N1,35,Sở GDĐT Quảng Ngãi ,,20.00,,,19.30,21.30,
2021,632926,35000007,8,7,6,6,4,,,,3.20,N1,35,Sở GDĐT Quảng Ngãi ,16.00,,20.00,18.00,,18.20,17.20
2021,632931,35000012,6.40,6,4,7.25,4,,,,4.60,N1,35,Sở GDĐT Quảng Ngãi ,15.30,,17.70,17.70,,17.00,15.00
2021,632930,35000011,3.40,6,,,,3.50,6.50,6.75,3.40,N1,35,Sở GDĐT Quảng Ngãi ,,16.80,,,16.00,12.80,
2021,632932,35000013,4,6.25,,,,3,6.50,8.25,3,N1,35,Sở GDĐT Quảng Ngãi ,,17.80,,,15.80,13.30,
2021,632934,35000015,8,9,,,,7.50,9.75,8.75,4.60,N1,35,Sở GDĐT Quảng Ngãi ,,26.00,,,26.30,21.60,
2021,632936,35000017,6.40,7,5.50,4.75,5.25,,,,4.80,N1,35,Sở GDĐT Quảng Ngãi ,15.50,,16.70,16.40,,18.20,16.70
2021,632933,35000014,5,7.25,4.25,6,5,,,,4,N1,35,Sở GDĐT Quảng Ngãi ,15.30,,15.30,16.00,,16.30,13.30
2021,632937,35000018,6.40,7,,,,4.25,6,7.25,3.60,N1,35,Sở GDĐT Quảng Ngãi ,,17.50,,,17.30,17.00,
2021,632935,35000016,8.40,6.75,7.75,6.75,5.50,,,,7.80,N1,35,Sở GDĐT Quảng Ngãi ,20.00,,22.90,20.70,,23.00,24.00
2021,632939,35000020,6,6,,,,3.50,6,7.25,3.60,N1,35,Sở GDĐT Quảng Ngãi ,,16.80,,,15.50,15.60,
2021,632938,35000019,8.40,6,7,7.25,6.50,,,,2.60,N1,35,Sở GDĐT Quảng Ngãi ,20.80,,22.70,22.20,,17.00,18.00
2021,632947,35000029,4.60,7.50,,,,3.25,5.50,8,3.60,N1,35,Sở GDĐT Quảng Ngãi ,,16.80,,,16.30,15.70,
2021,632940,35000021,8,7.75,8.75,5.25,5.75,,,,10,N1,35,Sở GDĐT Quảng Ngãi ,19.80,,22.00,19.00,,25.80,26.80
2021,632949,35000031,8.40,7.50,7.25,8.50,6.25,,,,6.80,N1,35,Sở GDĐT Quảng Ngãi ,22.00,,24.20,23.20,,22.70,22.50
2021,632942,35000024,8.80,7.75,7.75,6.75,4,,,,10,N1,35,Sở GDĐT Quảng Ngãi ,18.50,,23.30,19.60,,26.60,26.60
2021,632943,35000025,9.20,7.50,7.75,8.25,5.25,,,,7.80,N1,35,Sở GDĐT Quảng Ngãi ,21.30,,25.20,22.70,,24.50,24.80
2021,632941,35000023,7.40,7.25,5.50,6.25,3.75,,,,4.80,N1,35,Sở GDĐT Quảng Ngãi ,15.50,,19.20,17.40,,19.50,17.70
2021,632944,35000026,6.20,6.75,,,,5.50,7,7.50,3.20,N1,35,Sở GDĐT Quảng Ngãi ,,20.00,,,19.30,16.20,
2021,632945,35000027,7.20,7,6.75,4.25,3.75,,,,4,N1,35,Sở GDĐT Quảng Ngãi ,14.80,,18.20,15.20,,18.20,18.00
2021,632946,35000028,5.40,7.25,,,,3.50,5.75,8.50,3.40,N1,35,Sở GDĐT Quảng Ngãi ,,17.80,,,16.50,16.10,
2021,632948,35000030,6.80,8.25,5.75,6.25,3.50,,,,4.60,N1,35,Sở GDĐT Quảng Ngãi ,15.50,,18.80,16.60,,19.70,17.20
2021,632950,35000032,8,8.50,5.50,5,5.50,,,,8,N1,35,Sở GDĐT Quảng Ngãi ,16.00,,18.50,18.50,,24.50,21.50
2021,632951,35000033,7.40,7.75,5.75,5,4.50,,,,4.20,N1,35,Sở GDĐT Quảng Ngãi ,15.30,,18.20,16.90,,19.40,17.40
2021,632952,35000034,5.80,7.75,4.50,3.25,4.75,,,,2.60,N1,35,Sở GDĐT Quảng Ngãi ,12.50,,13.60,13.80,,16.20,12.90
2021,632953,35000035,8.40,7.75,6.50,8.50,9.50,,,,9,N1,35,Sở GDĐT Quảng Ngãi ,24.50,,23.40,26.40,,25.20,23.90
2021,632955,35000037,7.80,4,6,4.50,5.75,,,,4,N1,35,Sở GDĐT Quảng Ngãi ,16.30,,18.30,18.10,,15.80,17.80
2021,632956,35000038,6.40,4.50,4.75,5,5,,,,4.80,N1,35,Sở GDĐT Quảng Ngãi ,14.80,,16.20,16.40,,15.70,16.00
2021,632957,35000039,8.60,6.75,8.25,7.25,5.50,,,,5.20,N1,35,Sở GDĐT Quảng Ngãi ,21.00,,24.10,21.40,,20.60,22.10
2021,632959,35000041,7.40,8.25,,,,6.50,6,9,5.20,N1,35,Sở GDĐT Quảng Ngãi ,,21.50,,,20.80,20.90,
2021,632954,35000036,8.80,7.50,7.75,5.50,6,,,,9.40,N1,35,Sở GDĐT Quảng Ngãi ,19.30,,22.10,20.30,,25.70,26.00
2021,632958,35000040,7.80,6.50,7.25,8.50,5,,,,3.40,N1,35,Sở GDĐT Quảng Ngãi ,20.80,,23.60,21.30,,17.70,18.50
2021,632960,35000042,7.80,8.25,6,7.50,8.75,,,,4.80,N1,35,Sở GDĐT Quảng Ngãi ,22.30,,21.30,24.10,,20.90,18.60
2021,632961,35000043,7.60,8.50,7.75,5.50,5,,,,7.40,N1,35,Sở GDĐT Quảng Ngãi ,18.30,,20.90,18.10,,23.50,22.80
2021,632969,35000051,8.20,7.25,7,8.75,4.75,,,,4.80,N1,35,Sở GDĐT Quảng Ngãi ,20.50,,24.00,21.70,,20.30,20.00
2021,632968,35000050,7.20,5.50,7,6,6,,,,1.60,N1,35,Sở GDĐT Quảng Ngãi ,19.00,,20.20,19.20,,14.30,15.80
2021,632963,35000045,7.60,9.25,,,,6.25,9.25,9.50,5.20,N1,35,Sở GDĐT Quảng Ngãi ,,25.00,,,24.80,22.10,
2021,632962,35000044,7.60,8,5,8.25,7,,,,7,N1,35,Sở GDĐT Quảng Ngãi ,20.30,,20.90,22.90,,22.60,19.60
2021,632964,35000046,7.40,5.25,5.25,6.25,5,,,,6,N1,35,Sở GDĐT Quảng Ngãi ,16.50,,18.90,18.70,,18.70,18.70
2021,632967,35000049,7.80,6.50,6,6.75,5,,,,5.20,N1,35,Sở GDĐT Quảng Ngãi ,17.80,,20.60,19.60,,19.50,19.00
2021,632975,35000057,5.40,6.50,,,,2.75,4.50,8.50,3,N1,35,Sở GDĐT Quảng Ngãi ,,15.80,,,13.80,14.90,
2021,632966,35000048,1.80,3.75,,,,3.50,5.25,5.25,3.60,N1,35,Sở GDĐT Quảng Ngãi ,,14.00,,,12.50,9.20,
2021,632965,35000047,9,7.25,8.50,8.75,6,,,,8.40,N1,35,Sở GDĐT Quảng Ngãi ,23.30,,26.30,23.80,,24.70,25.90
2021,632970,35000052,7.20,7.25,6.50,6.25,5.25,,,,3.80,N1,35,Sở GDĐT Quảng Ngãi ,18.00,,20.00,18.70,,18.30,17.50
2021,632972,35000054,8,6.75,7.75,7.50,5.25,,,,4.20,N1,35,Sở GDĐT Quảng Ngãi ,20.50,,23.30,20.80,,19.00,20.00
2021,632971,35000053,6.40,7.50,,,,5.25,7.50,9,4.20,N1,35,Sở GDĐT Quảng Ngãi ,,21.80,,,20.30,18.10,
2021,632979,35000061,7.20,6.75,,,,6,8,8,3,N1,35,Sở GDĐT Quảng Ngãi ,,22.00,,,20.80,17.00,
2021,632973,35000055,7.40,7,,,,2.75,7,8.75,5.20,N1,35,Sở GDĐT Quảng Ngãi ,,18.50,,,16.80,19.60,
2021,632978,35000060,7.40,6.75,6.50,6,4.25,,,,4.20,N1,35,Sở GDĐT Quảng Ngãi ,16.80,,19.90,17.70,,18.40,18.10
2021,632974,35000056,6,7,,,,4,6.25,7.25,3.60,N1,35,Sở GDĐT Quảng Ngãi ,,17.50,,,17.30,16.60,
2021,632976,35000058,7,6.50,,,,4.75,6.50,8.25,2.60,N1,35,Sở GDĐT Quảng Ngãi ,,19.50,,,17.80,16.10,
2021,632982,35000064,6,7.25,,,,2.50,6.75,6.50,3.40,N1,35,Sở GDĐT Quảng Ngãi ,,15.80,,,16.50,16.70,
2021,632984,35000066,8.20,5.75,6.75,7.75,4.25,,,,6.20,N1,35,Sở GDĐT Quảng Ngãi ,18.80,,22.70,20.20,,20.20,21.20
2021,632977,35000059,5.60,6.75,,,,4.75,7,7.50,3.40,N1,35,Sở GDĐT Quảng Ngãi ,,19.30,,,18.50,15.80,
2021,632988,35000070,5.20,6.25,2.50,2.75,3,,,,3.20,N1,35,Sở GDĐT Quảng Ngãi ,8.30,,10.50,11.00,,14.70,10.90
2021,632989,35000071,7.60,4,,,,5.50,8.50,8.75,4,N1,35,Sở GDĐT Quảng Ngãi ,,22.80,,,18.00,15.60,
2021,632980,35000062,7.60,6,4.75,5.25,2.75,,,,3.60,N1,35,Sở GDĐT Quảng Ngãi ,12.80,,17.60,15.60,,17.20,16.00
2021,632981,35000063,7.20,6.75,6.50,6.25,4.75,,,,3.60,N1,35,Sở GDĐT Quảng Ngãi ,17.50,,20.00,18.20,,17.60,17.30
2021,632991,35000073,6.80,8,6.50,7.25,5.50,,,,7.80,N1,35,Sở GDĐT Quảng Ngãi ,19.30,,20.60,19.60,,22.60,21.10
2021,632992,35000074,6,6.75,,,,2.50,6.50,7.50,3.60,N1,35,Sở GDĐT Quảng Ngãi ,,16.50,,,15.80,16.40,
2021,632985,35000067,5.80,4.75,,,,3.25,6,7.25,3.80,N1,35,Sở GDĐT Quảng Ngãi ,,16.50,,,14.00,14.40,
2021,632983,35000065,8.40,6.50,8.25,7.50,5.75,,,,4.20,N1,35,Sở GDĐT Quảng Ngãi ,21.50,,24.20,21.70,,19.10,20.80
