schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,331707,17000008,5.20,5.75,,,,6.25,6.75,7.25,3.20,N4,17,Sở GDĐT Quảng Ninh ,,20.30,,,18.80,14.20,
2021,331703,17000004,4,5.75,,,,3.75,6.50,7.25,4.60,N1,17,Sở GDĐT Quảng Ninh ,,17.50,,,16.00,14.40,
2021,331704,17000005,5.60,3.25,,,,3.75,7.50,8.50,3.20,N4,17,Sở GDĐT Quảng Ninh ,,19.80,,,14.50,12.10,
2021,331702,17000003,5,6.25,,,,6.75,7.25,9.75,3.20,N1,17,Sở GDĐT Quảng Ninh ,,23.80,,,20.30,14.50,
2021,331706,17000007,5.20,5.50,,,,4,6.50,7.50,2.80,N1,17,Sở GDĐT Quảng Ninh ,,18.00,,,16.00,13.50,
2021,331700,17000001,3.20,4,,,,3.25,6.25,6,2.40,N4,17,Sở GDĐT Quảng Ninh ,,15.50,,,13.50,9.60,
2021,331705,17000006,4.60,5,,,,7.50,7.50,9.25,2,N4,17,Sở GDĐT Quảng Ninh ,,24.30,,,20.00,11.60,
2021,331708,17000009,6.40,4.75,,,,2.50,5.75,8.25,7.40,N4,17,Sở GDĐT Quảng Ninh ,,16.50,,,13.00,18.60,
2021,331701,17000002,4.40,3.75,,,,5.25,6.50,7.75,4.80,N1,17,Sở GDĐT Quảng Ninh ,,19.50,,,15.50,13.00,
2021,331709,17000010,2.80,5,,,,3,5.25,7.75,2.40,N1,17,Sở GDĐT Quảng Ninh ,,16.00,,,13.30,10.20,
2021,331710,17000011,3.20,6.75,,,,3.50,6,7.75,4.20,N4,17,Sở GDĐT Quảng Ninh ,,17.30,,,16.30,14.20,
2021,331713,17000014,6.60,6.25,,,,5.25,8,8.75,8.60,N1,17,Sở GDĐT Quảng Ninh ,,22.00,,,19.50,21.50,
2021,331718,17000019,5.80,7.75,,,,5.50,7,7,4.60,N1,17,Sở GDĐT Quảng Ninh ,,19.50,,,20.30,18.20,
2021,331715,17000016,4.80,5.50,,,,5,5.25,6.50,3.40,N1,17,Sở GDĐT Quảng Ninh ,,16.80,,,15.80,13.70,
2021,331716,17000017,2.20,4.25,,,,4,5.75,8,3.20,N4,17,Sở GDĐT Quảng Ninh ,,17.80,,,14.00,9.70,
2021,331711,17000012,5.40,4.50,,,,4.75,7.75,7.25,,,17,Sở GDĐT Quảng Ninh ,,19.80,,,17.00,,
2021,331712,17000013,6,6.25,,,,4.75,6.50,8.75,7.80,N1,17,Sở GDĐT Quảng Ninh ,,20.00,,,17.50,20.10,
2021,331717,17000018,5.80,5.75,,,,1.75,7,9.50,6,N1,17,Sở GDĐT Quảng Ninh ,,18.30,,,14.50,17.60,
2021,331719,17000020,3.80,6.75,,,,3.25,6.75,6.25,4.60,N1,17,Sở GDĐT Quảng Ninh ,,16.30,,,16.80,15.20,
2021,331714,17000015,5.40,7.50,,,,6.50,8.25,9.50,7,N1,17,Sở GDĐT Quảng Ninh ,,24.30,,,22.30,19.90,
2021,331720,17000021,8.80,8.25,,,,4.75,6.75,6.50,7.80,N1,17,Sở GDĐT Quảng Ninh ,,18.00,,,19.80,24.90,
2021,331722,17000023,3,4.75,,,,3.50,5,6.75,3,N4,17,Sở GDĐT Quảng Ninh ,,15.30,,,13.30,10.80,
2021,331721,17000022,3,6.50,,,,2.75,5.75,5.25,3.20,N1,17,Sở GDĐT Quảng Ninh ,,13.80,,,15.00,12.70,
2021,331724,17000025,4.40,5.75,,,,5.50,7.50,9.75,,,17,Sở GDĐT Quảng Ninh ,,22.80,,,18.80,,
2021,331723,17000024,4.20,6,,,,4.50,6.75,8,6.40,N4,17,Sở GDĐT Quảng Ninh ,,19.30,,,17.30,16.60,
2021,331730,17000031,3,4,,,,5,6.50,7,3.20,N4,17,Sở GDĐT Quảng Ninh ,,18.50,,,15.50,10.20,
2021,331726,17000027,3.60,4,,,,3.50,6,7,3.80,N1,17,Sở GDĐT Quảng Ninh ,,16.50,,,13.50,11.40,
2021,331725,17000026,6.20,7.50,,,,3.25,5.25,7.50,2.60,N1,17,Sở GDĐT Quảng Ninh ,,16.00,,,16.00,16.30,
