schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,594452,32000010,6.60,4,,,,4,7.50,8.50,2.40,N1,32,Sở GDĐT Quảng Trị ,,20.00,,,15.50,13.00,
2021,594443,32000001,6.60,6.50,,,,7,7.50,7.25,3.40,N1,32,Sở GDĐT Quảng Trị ,,21.80,,,21.00,16.50,
2021,594449,32000007,7,6.50,,,,6,7.50,8.50,4.20,N1,32,Sở GDĐT Quảng Trị ,,22.00,,,20.00,17.70,
2021,594444,32000002,6.60,4.25,5.50,7.25,4.25,,,,5.80,N1,32,Sở GDĐT Quảng Trị ,17.00,,19.40,18.10,,16.70,17.90
2021,594450,32000008,4.40,5.75,,,,3,7,7.50,1.80,N1,32,Sở GDĐT Quảng Trị ,,17.50,,,15.80,12.00,
2021,594445,32000003,5.80,,5.50,2.50,,,,,,,32,Sở GDĐT Quảng Trị ,,,13.80,,,,
2021,594451,32000009,5,5.75,,,,6.50,7.50,9,4.60,N1,32,Sở GDĐT Quảng Trị ,,23.00,,,19.80,15.40,
2021,594448,32000006,6.80,6,,,,7.25,8.75,9.50,2.60,N1,32,Sở GDĐT Quảng Trị ,,25.50,,,22.00,15.40,
2021,594446,32000004,7.80,4,7,7.25,5.50,,,,,,32,Sở GDĐT Quảng Trị ,19.80,,22.10,20.60,,,
2021,594447,32000005,5.60,6,,,,3.50,6,7.50,5.60,N1,32,Sở GDĐT Quảng Trị ,,17.00,,,15.50,17.20,
2021,594460,32000018,5.60,5.75,,,,7.50,7.50,8.75,4.80,N1,32,Sở GDĐT Quảng Trị ,,23.80,,,20.80,16.20,
2021,594453,32000011,6,6.50,4,3.25,3.75,,,,8,N1,32,Sở GDĐT Quảng Trị ,11.00,,13.30,13.00,,20.50,18.00
2021,594464,32000022,7.80,7,7.75,4.25,4.75,,,,8.60,N1,32,Sở GDĐT Quảng Trị ,16.80,,19.80,16.80,,23.40,24.20
2021,594456,32000014,5.40,6.50,,,,7,7.25,9.25,3.80,N1,32,Sở GDĐT Quảng Trị ,,23.50,,,20.80,15.70,
2021,594457,32000015,6.20,6,4.25,4.75,3.75,,,,3.60,N1,32,Sở GDĐT Quảng Trị ,12.80,,15.20,14.70,,15.80,14.10
2021,594454,32000012,6.60,4.25,,,,4.75,6,,,,32,Sở GDĐT Quảng Trị ,,,,,15.00,,
2021,594455,32000013,8.80,5.25,7.75,2.75,4.25,,,,9.40,N1,32,Sở GDĐT Quảng Trị ,14.80,,19.30,15.80,,23.50,26.00
2021,594458,32000016,7.20,6.25,4.50,7.50,7.25,,,,5.80,N1,32,Sở GDĐT Quảng Trị ,19.30,,19.20,22.00,,19.30,17.50
2021,594462,32000020,8,6.75,,,,4.25,7,8.25,7.20,N1,32,Sở GDĐT Quảng Trị ,,19.50,,,18.00,22.00,
2021,594459,32000017,4.20,2.75,,,,2.50,6.25,5.50,3,N1,32,Sở GDĐT Quảng Trị ,,14.30,,,11.50,10.00,
2021,594461,32000019,5.20,4.75,,,,4.50,6.50,6.75,3.60,N1,32,Sở GDĐT Quảng Trị ,,17.80,,,15.80,13.60,
2021,594468,32000026,5.20,6.50,,,,6.25,7.25,7.50,4.40,N1,32,Sở GDĐT Quảng Trị ,,21.00,,,20.00,16.10,
2021,594463,32000021,7,7,,,,1.75,6.25,7.75,6.80,N1,32,Sở GDĐT Quảng Trị ,,15.80,,,15.00,20.80,
2021,594474,32000032,3.60,5.25,,,,4,6.50,9,5,N1,32,Sở GDĐT Quảng Trị ,,19.50,,,15.80,13.90,
2021,594465,32000023,8.60,5.50,8.75,7,5.50,,,,9.20,N1,32,Sở GDĐT Quảng Trị ,21.30,,24.40,21.10,,23.30,26.60
2021,594466,32000024,6.80,7.50,,,,6.75,8.25,8.75,5.40,N1,32,Sở GDĐT Quảng Trị ,,23.80,,,22.50,19.70,
2021,594467,32000025,8,5.75,7.75,3.75,3.50,,,,8,N1,32,Sở GDĐT Quảng Trị ,15.00,,19.50,15.30,,21.80,23.80
2021,594469,32000027,7.40,5.25,6,5.75,5.25,,,,4.80,N1,32,Sở GDĐT Quảng Trị ,17.00,,19.20,18.40,,17.50,18.20
2021,594470,32000028,6.20,6,,,,3.50,8,7.75,6.60,N1,32,Sở GDĐT Quảng Trị ,,19.30,,,17.50,18.80,
2021,594471,32000029,8.20,5.50,7,4.75,4.25,,,,3.20,N1,32,Sở GDĐT Quảng Trị ,16.00,,20.00,17.20,,16.90,18.40
2021,594472,32000030,5.40,5.25,,,,4.50,5,6.25,3,N1,32,Sở GDĐT Quảng Trị ,,15.80,,,14.80,13.70,
2021,594473,32000031,8,5.50,,,,3.25,7.50,8,9.60,N1,32,Sở GDĐT Quảng Trị ,,18.80,,,16.30,23.10,
2021,594477,32000035,4.20,6.25,,,,3.50,6.75,8.75,2.40,N1,32,Sở GDĐT Quảng Trị ,,19.00,,,16.50,12.90,
2021,594479,32000037,7.40,7.75,,,,7,8,8.50,8.80,N1,32,Sở GDĐT Quảng Trị ,,23.50,,,22.80,24.00,
2021,594475,32000033,6,6.50,,,,5.25,7.25,8,4,N1,32,Sở GDĐT Quảng Trị ,,20.50,,,19.00,16.50,
2021,594483,32000041,,7.25,,,,9.25,9.50,,,,32,Sở GDĐT Quảng Trị ,,,,,26.00,,
2021,594476,32000034,8.20,8.50,,,,8.50,8.75,9,9.40,N1,32,Sở GDĐT Quảng Trị ,,26.30,,,25.80,26.10,
2021,594482,32000040,6.80,7.50,,,,6.75,7.25,9.75,8,N1,32,Sở GDĐT Quảng Trị ,,23.80,,,21.50,22.30,
