schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,944624,59000004,4.40,6.50,,,,2,7.50,,,,59,Sở GDĐT Sóc Trăng ,,,,,16.00,,
2021,944629,59000009,8.40,7,6.75,5.50,5.75,,,,6,N1,59,Sở GDĐT Sóc Trăng ,18.00,,20.70,19.70,,21.40,21.20
2021,944625,59000005,9,7.75,6,9,9.25,,,,9.40,N1,59,Sở GDĐT Sóc Trăng ,24.30,,24.00,27.30,,26.20,24.40
2021,944627,59000007,8.40,7,3.25,8.75,7.75,,,,8.60,N1,59,Sở GDĐT Sóc Trăng ,19.80,,20.40,24.90,,24.00,20.30
2021,944628,59000008,6.60,8.50,,,,8.75,7.50,9,8.60,N1,59,Sở GDĐT Sóc Trăng ,,25.30,,,24.80,23.70,
2021,944626,59000006,3.20,5.50,,,,5.50,4.75,,,,59,Sở GDĐT Sóc Trăng ,,,,,15.80,,
2021,944621,59000001,4.20,7.75,,,,5.25,5.25,,,,59,Sở GDĐT Sóc Trăng ,,,,,18.30,,
2021,944622,59000002,8.80,8.50,8,7.75,8,,,,6.80,N1,59,Sở GDĐT Sóc Trăng ,23.80,,24.60,24.60,,24.10,23.60
2021,944630,59000010,9,8.50,6.75,8.25,8.50,,,,7.40,N1,59,Sở GDĐT Sóc Trăng ,23.50,,24.00,25.80,,24.90,23.20
2021,944631,59000011,8.40,8.25,,,,7.50,8,9.25,9.80,N1,59,Sở GDĐT Sóc Trăng ,,24.80,,,23.80,26.50,
2021,944623,59000003,3.60,7.25,,,,3.75,6.25,,,,59,Sở GDĐT Sóc Trăng ,,,,,17.30,,
2021,944641,59000021,7.80,8.50,,,,8.25,6.50,8.50,9.20,N1,59,Sở GDĐT Sóc Trăng ,,23.30,,,23.30,25.50,
2021,944642,59000022,4.40,6,,,,3.25,7.25,,,,59,Sở GDĐT Sóc Trăng ,,,,,16.50,,
2021,944632,59000012,8.40,7.50,7.25,8.25,9,,,,7.60,N1,59,Sở GDĐT Sóc Trăng ,24.50,,23.90,25.70,,23.50,23.30
2021,944637,59000017,4.80,6.50,,,,3.50,6.50,,,,59,Sở GDĐT Sóc Trăng ,,,,,16.50,,
2021,944635,59000015,8.20,8.75,,,,9.25,8,7.50,6,N1,59,Sở GDĐT Sóc Trăng ,,24.80,,,26.00,23.00,
2021,944633,59000013,7.20,4.75,,,,7.25,7.75,,,,59,Sở GDĐT Sóc Trăng ,,,,,19.80,,
2021,944639,59000019,7.40,6.25,5.25,8,6,,,,9.20,N1,59,Sở GDĐT Sóc Trăng ,19.30,,20.70,21.40,,22.90,21.90
2021,944638,59000018,3.20,6,,,,4,8.25,,,,59,Sở GDĐT Sóc Trăng ,,,,,18.30,,
2021,944636,59000016,3.80,6.75,,,,3.25,6,,,,59,Sở GDĐT Sóc Trăng ,,,,,16.00,,
2021,944640,59000020,6.60,9,,,,7.25,5.75,9,8.60,N1,59,Sở GDĐT Sóc Trăng ,,22.00,,,22.00,24.20,
2021,944634,59000014,2.20,7.25,,,,3.25,6.75,,,,59,Sở GDĐT Sóc Trăng ,,,,,17.30,,
2021,944644,59000024,7.60,8.75,,,,9.50,8.25,9.25,6.80,N1,59,Sở GDĐT Sóc Trăng ,,27.00,,,26.50,23.20,
2021,944643,59000023,9.20,6.25,6.50,8,9.75,,,,9.20,N1,59,Sở GDĐT Sóc Trăng ,24.30,,23.70,27.00,,24.70,24.90
2021,944645,59000025,6.20,7.25,,,,4.50,6.25,,,,59,Sở GDĐT Sóc Trăng ,,,,,18.00,,
2021,944648,59000028,5.20,6.25,,,,6.25,6.50,,,,59,Sở GDĐT Sóc Trăng ,,,,,19.00,,
2021,944647,59000027,3,5.75,,,,4.50,7,,,,59,Sở GDĐT Sóc Trăng ,,,,,17.30,,
2021,944646,59000026,5.80,7,3.50,7.25,5.50,,,,,,59,Sở GDĐT Sóc Trăng ,16.30,,16.60,18.60,,,
2021,944649,59000029,8.40,8.25,5.50,7.25,7,,,,7,N1,59,Sở GDĐT Sóc Trăng ,19.80,,21.20,22.70,,23.70,20.90
2021,944650,59000030,4.80,5,,,,5.50,8,,,,59,Sở GDĐT Sóc Trăng ,,,,,18.50,,
2021,944651,59000031,7.20,9.25,6,5.25,3,,,,8.80,N1,59,Sở GDĐT Sóc Trăng ,14.30,,18.50,15.50,,25.30,22.00
2021,944652,59000032,8.40,7.25,6.75,8.50,6.50,,,,9,N1,59,Sở GDĐT Sóc Trăng ,21.80,,23.70,23.40,,24.70,24.20
2021,944656,59000036,2.60,5.25,,,,2.25,6.25,,,,59,Sở GDĐT Sóc Trăng ,,,,,13.80,,
2021,944653,59000033,4.80,6,,,,5.75,5.75,,,,59,Sở GDĐT Sóc Trăng ,,,,,17.50,,
2021,944658,59000038,6.60,5.75,,,,3.50,6,,,,59,Sở GDĐT Sóc Trăng ,,,,,15.30,,
2021,944654,59000034,3.20,5.50,,,,5,7.75,,,,59,Sở GDĐT Sóc Trăng ,,,,,18.30,,
2021,944655,59000035,5.60,7.75,3.75,3.75,3.75,,,,,,59,Sở GDĐT Sóc Trăng ,11.30,,13.10,13.10,,,
2021,944659,59000039,6.40,8.50,,,,5.25,6.25,9,8.20,N1,59,Sở GDĐT Sóc Trăng ,,20.50,,,20.00,23.10,
2021,944657,59000037,8.40,7.75,7.75,7.50,6.50,,,,9.40,N1,59,Sở GDĐT Sóc Trăng ,21.80,,23.70,22.40,,25.50,25.50
2021,944660,59000040,8.60,4.75,5.75,6,5.25,,,,7,N1,59,Sở GDĐT Sóc Trăng ,17.00,,20.40,19.90,,20.40,21.40
2021,944662,59000042,8.40,8.25,7.75,6.75,7.50,,,,9.20,N1,59,Sở GDĐT Sóc Trăng ,22.00,,22.90,22.70,,25.90,25.30
2021,944661,59000041,8,8,8,4.75,4.75,,,,9,N1,59,Sở GDĐT Sóc Trăng ,17.50,,20.80,17.50,,25.00,25.00
2021,944663,59000043,8.80,7,7.75,7,7.75,,,,9.60,N1,59,Sở GDĐT Sóc Trăng ,22.50,,23.60,23.60,,25.40,26.20
2021,944664,59000044,9.20,8.25,,,,4.75,5.75,8,9.80,N1,59,Sở GDĐT Sóc Trăng ,,18.50,,,18.80,27.30,
2021,944665,59000045,8.80,7.75,,,,8.50,7.75,9.50,9.40,N1,59,Sở GDĐT Sóc Trăng ,,25.80,,,24.00,26.00,
2021,944666,59000046,2,,,,,4,5.75,,,,59,Sở GDĐT Sóc Trăng ,,,,,,,
2021,944674,59000054,8.80,8,,,,3.75,7.25,9.25,9,N1,59,Sở GDĐT Sóc Trăng ,,20.30,,,19.00,25.80,
2021,944670,59000050,8.60,6,7,5.50,5.50,,,,4.60,N1,59,Sở GDĐT Sóc Trăng ,18.00,,21.10,19.60,,19.20,20.20
2021,944668,59000048,8.40,6,5.25,4.75,4.25,,,,6.60,N1,59,Sở GDĐT Sóc Trăng ,14.30,,18.40,17.40,,21.00,20.30
2021,944669,59000049,5.20,7,,,,5,6,,,,59,Sở GDĐT Sóc Trăng ,,,,,18.00,,
2021,944667,59000047,7.80,8.50,,,,5.25,5.75,7.50,8.80,N1,59,Sở GDĐT Sóc Trăng ,,18.50,,,19.50,25.10,
2021,944671,59000051,2.20,3.50,,,,3.25,5,,,,59,Sở GDĐT Sóc Trăng ,,,,,11.80,,
2021,944672,59000052,2.40,6,,,,3.25,5.75,,,,59,Sở GDĐT Sóc Trăng ,,,,,15.00,,
