schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,290167,14000005,7.20,5.50,5.25,7.50,5.75,,,,2.60,N1,14,Sở GDĐT Sơn La ,18.50,,20.00,20.50,,15.30,15.10
2021,290164,14000002,5,5,,,,2,5.50,,,,14,Sở GDĐT Sơn La ,,,,,12.50,,
2021,290163,14000001,7.80,7,,,,6,7.25,8.75,7.40,N1,14,Sở GDĐT Sơn La ,,22.00,,,20.30,22.20,
2021,290165,14000003,5.20,5,,,,6.25,8,,,,14,Sở GDĐT Sơn La ,,,,,19.30,,
2021,290170,14000008,3,4.75,,,,2.50,6.50,7,3.20,N1,14,Sở GDĐT Sơn La ,,16.00,,,13.80,11.00,
2021,290168,14000006,8.40,6.25,,,,2.75,6.50,,,,14,Sở GDĐT Sơn La ,,,,,15.50,,
2021,290169,14000007,6.60,7.25,4,4.25,4.25,,,,8.60,N1,14,Sở GDĐT Sơn La ,12.50,,14.90,15.10,,22.50,19.20
2021,290166,14000004,7.60,7.25,,,,5.75,6.75,9,5.60,N1,14,Sở GDĐT Sơn La ,,21.50,,,19.80,20.50,
2021,290171,14000009,4.20,6.50,,,,2.75,6.25,8.25,3,N1,14,Sở GDĐT Sơn La ,,17.30,,,15.50,13.70,
2021,290172,14000010,6.60,7.50,,,,8.25,8.50,10,8.40,N1,14,Sở GDĐT Sơn La ,,26.80,,,24.30,22.50,
2021,290173,14000011,5.80,7.25,,,,9.25,9.50,9.75,4.40,N1,14,Sở GDĐT Sơn La ,,28.50,,,26.00,17.50,
2021,290174,14000012,5.40,5.75,,,,2.25,5.75,,,,14,Sở GDĐT Sơn La ,,,,,13.80,,
2021,290175,14000013,3.60,4.50,,,,3,4,,,,14,Sở GDĐT Sơn La ,,,,,11.50,,
2021,290177,14000015,6,6.75,,,,5.50,8,,,,14,Sở GDĐT Sơn La ,,,,,20.30,,
2021,290180,14000018,7.60,8,,,,6,7.75,8,7,N1,14,Sở GDĐT Sơn La ,,21.80,,,21.80,22.60,
2021,290176,14000014,5.20,6,,,,3.50,7,8.75,3.20,N1,14,Sở GDĐT Sơn La ,,19.30,,,16.50,14.40,
2021,290178,14000016,4.80,6.50,,,,6.25,7.25,9.50,7.20,N1,14,Sở GDĐT Sơn La ,,23.00,,,20.00,18.50,
2021,290179,14000017,3.60,5,,,,5.75,6.25,,,,14,Sở GDĐT Sơn La ,,,,,17.00,,
2021,290182,14000020,7.80,7.50,7,8.50,5.50,,,,4.60,N1,14,Sở GDĐT Sơn La ,21.00,,23.30,21.80,,19.90,19.40
2021,290181,14000019,3.20,5.25,,,,2.75,5.25,6.25,2.40,N1,14,Sở GDĐT Sơn La ,,14.30,,,13.30,10.90,
2021,290184,14000022,,4,,,,3.25,5.75,,,,14,Sở GDĐT Sơn La ,,,,,13.00,,
2021,290185,14000023,7.80,8.50,,,,8.25,8,9.75,9.40,N1,14,Sở GDĐT Sơn La ,,26.00,,,24.80,25.70,
2021,290187,14000025,3.80,4.50,,,,3.50,5.25,,,,14,Sở GDĐT Sơn La ,,,,,13.30,,
2021,290183,14000021,6.20,7,,,,6.25,6.50,10,6.20,N1,14,Sở GDĐT Sơn La ,,22.80,,,19.80,19.40,
2021,290194,14000032,3.60,5.75,,,,3.25,5.75,8,2.80,N1,14,Sở GDĐT Sơn La ,,17.00,,,14.80,12.10,
2021,290186,14000024,5.60,6.50,,,,6,6.25,8.50,3.40,N1,14,Sở GDĐT Sơn La ,,20.80,,,18.80,15.50,
2021,290189,14000027,5.40,6.25,,,,4.75,,,,,14,Sở GDĐT Sơn La ,,,,,,,
2021,290188,14000026,5,5.25,,,,4.25,6.50,8.50,4.60,N1,14,Sở GDĐT Sơn La ,,19.30,,,16.00,14.90,
2021,290190,14000028,6.80,8.75,,,,7.50,5.75,8.50,9,N1,14,Sở GDĐT Sơn La ,,21.80,,,22.00,24.60,
2021,290191,14000029,4,6,,,,5,6.75,6.75,9,N1,14,Sở GDĐT Sơn La ,,18.50,,,17.80,19.00,
2021,290192,14000030,6.40,6,,,,3.25,7,8,6.20,N1,14,Sở GDĐT Sơn La ,,18.30,,,16.30,18.60,
2021,290193,14000031,6.20,,,6,5.75,,,,,,14,Sở GDĐT Sơn La ,,,,18.00,,,
2021,290196,14000034,7.60,5,,,,,,,3.40,N1,14,Sở GDĐT Sơn La ,,,,,,16.00,
2021,290195,14000033,7,8,,,,6.75,7.75,9.50,7.20,N1,14,Sở GDĐT Sơn La ,,24.00,,,22.50,22.20,
2021,290200,14000038,7,6.50,,,,4.50,8,8.75,8.40,N1,14,Sở GDĐT Sơn La ,,21.30,,,19.00,21.90,
2021,290197,14000035,5,6.58,,,,5,7.25,7,9.20,N1,14,Sở GDĐT Sơn La ,,19.30,,,18.80,20.80,
2021,290204,14000042,3.40,4,,,,2.75,4,,,,14,Sở GDĐT Sơn La ,,,,,10.80,,
2021,290206,14000044,6.80,7.25,,,,3.50,7.50,9,6.80,N1,14,Sở GDĐT Sơn La ,,20.00,,,18.30,20.90,
2021,290199,14000037,7.20,8,,,,5.50,6.75,9.50,5.80,N1,14,Sở GDĐT Sơn La ,,21.80,,,20.30,21.00,
2021,290198,14000036,6.80,5.50,,,,2.50,6.50,8.75,4.40,N1,14,Sở GDĐT Sơn La ,,17.80,,,14.50,16.70,
2021,290203,14000041,4.20,4.25,,,,3.25,6.50,8.50,5.40,N1,14,Sở GDĐT Sơn La ,,18.30,,,14.00,13.90,
2021,290201,14000039,6.40,5,,,,5,4.75,,,,14,Sở GDĐT Sơn La ,,,,,14.80,,
2021,290202,14000040,9,4.25,8.25,5,4.50,,,,9.20,N1,14,Sở GDĐT Sơn La ,17.80,,22.30,18.50,,22.50,26.50
2021,290207,14000045,8.60,7.50,,,,7,8.50,7.50,8.80,N1,14,Sở GDĐT Sơn La ,,23.00,,,23.00,24.90,
2021,290215,14000053,6,7,,,,2.50,7.75,9.25,3.60,N1,14,Sở GDĐT Sơn La ,,19.50,,,17.30,16.60,
2021,290205,14000043,4,5.75,,,,4.50,5.75,7.50,4.80,N1,14,Sở GDĐT Sơn La ,,17.80,,,16.00,14.60,
2021,290208,14000046,5.60,6.50,,,,5.25,6,8,8.40,N1,14,Sở GDĐT Sơn La ,,19.30,,,17.80,20.50,
2021,290209,14000047,6,7.75,,,,9,9.75,7.75,7.20,N1,14,Sở GDĐT Sơn La ,,26.50,,,26.50,21.00,
2021,290216,14000054,6.80,5.50,,,,3,5.75,9.50,5.20,N1,14,Sở GDĐT Sơn La ,,18.30,,,14.30,17.50,
2021,290210,14000048,6.60,7.25,,,,4.25,7.25,8,5,N1,14,Sở GDĐT Sơn La ,,19.50,,,18.80,18.90,
2021,290218,14000056,7.20,7,,,,7,8.25,9.25,3.80,N1,14,Sở GDĐT Sơn La ,,24.50,,,22.30,18.00,
2021,290211,14000049,6,6.75,,,,3.75,6,7.50,8.60,N1,14,Sở GDĐT Sơn La ,,17.30,,,16.50,21.40,
2021,290212,14000050,5,8,,,,2,5.75,8,5.20,N1,14,Sở GDĐT Sơn La ,,15.80,,,15.80,18.20,
2021,290219,14000057,6.20,4.75,,,,5,8.50,,,,14,Sở GDĐT Sơn La ,,,,,18.30,,
2021,290213,14000051,8,6.50,7.50,7.50,5.50,,,,5.40,N1,14,Sở GDĐT Sơn La ,20.50,,23.00,21.00,,19.90,20.90
2021,290221,14000059,7.20,7.50,,,,7.75,8.50,10,6.60,N1,14,Sở GDĐT Sơn La ,,26.30,,,23.80,21.30,
2021,290214,14000052,6.40,7.25,,,,4.50,5.75,9,5,N1,14,Sở GDĐT Sơn La ,,19.30,,,17.50,18.70,
2021,290223,14000061,7.40,6.75,,,,5.50,6.75,8.50,5.80,N1,14,Sở GDĐT Sơn La ,,20.80,,,19.00,20.00,
2021,290217,14000055,5.40,6.50,3,4.75,3.75,,,,1.40,N1,14,Sở GDĐT Sơn La ,11.50,,13.20,13.90,,13.30,9.80
2021,290220,14000058,5,6,,,,3.25,6.50,8.25,3.80,N1,14,Sở GDĐT Sơn La ,,18.00,,,15.80,14.80,
2021,290222,14000060,8.20,6.75,7.25,4.50,3.50,,,,7.60,N1,14,Sở GDĐT Sơn La ,15.30,,20.00,16.20,,22.50,23.00
2021,290231,14000069,4.80,7.75,,,,6.25,5,8.75,7.60,N1,14,Sở GDĐT Sơn La ,,20.00,,,19.00,20.20,
2021,290224,14000062,5,6,,,,4.75,6,8.50,5,N1,14,Sở GDĐT Sơn La ,,19.30,,,16.80,16.00,
2021,290225,14000063,2.80,4.75,,,,3.50,7.25,8.25,2.60,N1,14,Sở GDĐT Sơn La ,,19.00,,,15.50,10.20,
2021,290227,14000065,7.40,8,,,,6.25,8.25,9.25,7.40,N1,14,Sở GDĐT Sơn La ,,23.80,,,22.50,22.80,
2021,290228,14000066,3,3.75,,,,3.25,,,,,14,Sở GDĐT Sơn La ,,,,,,,
2021,290226,14000064,6.60,7.25,,,,6.75,8.25,9,9.60,N1,14,Sở GDĐT Sơn La ,,24.00,,,22.30,23.50,
2021,290229,14000067,2.40,1.75,,,,3.75,,,,,14,Sở GDĐT Sơn La ,,,,,,,
2021,290230,14000068,8,6.50,,,,4.25,7.75,8.75,6.60,N1,14,Sở GDĐT Sơn La ,,20.80,,,18.50,21.10,
2021,290233,14000071,4.20,5.50,,,,7,6.25,8.50,3.80,N1,14,Sở GDĐT Sơn La ,,21.80,,,18.80,13.50,
2021,290236,14000074,8.60,7.75,5,5.50,5.75,,,,9.20,N1,14,Sở GDĐT Sơn La ,16.30,,19.10,19.90,,25.60,22.80
2021,290235,14000073,5.20,6.25,,,,4.50,5.75,8.50,6.80,N1,14,Sở GDĐT Sơn La ,,18.80,,,16.50,18.30,
2021,290238,14000076,,5.25,,,,5.25,5.50,,,,14,Sở GDĐT Sơn La ,,,,,16.00,,
2021,290241,14000079,6.60,6.75,,,,5.50,7.25,9.50,3.60,N1,14,Sở GDĐT Sơn La ,,22.30,,,19.50,17.00,
