schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,100699,02000007,8.20,6,5.50,7.25,4.75,,,,5,N1,02,Sở GDĐT TP. Hồ Chí Minh ,17.50,,21.00,20.20,,19.20,18.70
2021,100698,02000006,7.80,6.50,,,,6.75,6.50,8.25,8.80,N1,02,Sở GDĐT TP. Hồ Chí Minh ,,21.50,,,19.80,23.10,
2021,100700,02000008,7.60,5.50,6.25,7,5.25,,,,9,N1,02,Sở GDĐT TP. Hồ Chí Minh ,18.50,,20.90,19.90,,22.10,22.90
2021,100693,02000001,8.20,7,8,8.50,7.75,,,,8.20,N1,02,Sở GDĐT TP. Hồ Chí Minh ,24.30,,24.70,24.50,,23.40,24.40
2021,100696,02000004,6.60,7,,,,6,7.50,9.25,9.60,N1,02,Sở GDĐT TP. Hồ Chí Minh ,,22.80,,,20.50,23.20,
2021,100702,02000010,7.40,7.50,,,,7.25,7,8,9.20,N1,02,Sở GDĐT TP. Hồ Chí Minh ,,22.30,,,21.80,24.10,
2021,100701,02000009,7.60,7.25,6.50,8.25,5.75,,,,9,N1,02,Sở GDĐT TP. Hồ Chí Minh ,20.50,,22.40,21.60,,23.90,23.10
2021,100694,02000002,8.80,7,,,,7.75,8,9,9.80,N1,02,Sở GDĐT TP. Hồ Chí Minh ,,24.80,,,22.80,25.60,
2021,100697,02000005,8,6.75,5.75,8,7.25,,,,8.60,N1,02,Sở GDĐT TP. Hồ Chí Minh ,21.00,,21.80,23.30,,23.40,22.40
2021,100695,02000003,7.80,6.50,,,,7.75,7.25,9.25,9.20,N6,02,Sở GDĐT TP. Hồ Chí Minh ,,24.30,,,21.50,23.50,
2021,100709,02000017,7.20,7.50,6.50,7,5.25,,,,8.20,N1,02,Sở GDĐT TP. Hồ Chí Minh ,18.80,,20.70,19.50,,22.90,21.90
2021,100703,02000011,7.60,7.50,5.75,6.25,5.75,,,,8.80,N1,02,Sở GDĐT TP. Hồ Chí Minh ,17.80,,19.60,19.60,,23.90,22.20
2021,100705,02000013,8.40,8,5,8,7.50,,,,7.60,N1,02,Sở GDĐT TP. Hồ Chí Minh ,20.50,,21.40,23.90,,24.00,21.00
2021,100704,02000012,8.40,5.25,8.25,4.75,4.75,,,,9.40,N1,02,Sở GDĐT TP. Hồ Chí Minh ,17.80,,21.40,17.90,,23.10,26.10
2021,100715,02000023,7.20,7.75,5.50,7.50,3.50,,,,7.60,N1,02,Sở GDĐT TP. Hồ Chí Minh ,16.50,,20.20,18.20,,22.50,20.30
2021,100706,02000014,7,7.75,6.50,6.25,6,,,,8.60,N1,02,Sở GDĐT TP. Hồ Chí Minh ,18.80,,19.80,19.30,,23.40,22.10
2021,100708,02000016,8,7.75,6.25,8.25,7.75,,,,9.20,N1,02,Sở GDĐT TP. Hồ Chí Minh ,22.30,,22.50,24.00,,25.00,23.50
2021,100707,02000015,8.40,5.75,7.25,7.25,6,,,,9.20,N1,02,Sở GDĐT TP. Hồ Chí Minh ,20.50,,22.90,21.70,,23.40,24.90
2021,100710,02000018,8.80,8,,,,5.75,5.50,9,9.40,N1,02,Sở GDĐT TP. Hồ Chí Minh ,,20.30,,,19.30,26.20,
2021,100711,02000019,7.80,7,7.75,8.25,6.75,,,,9.60,N1,02,Sở GDĐT TP. Hồ Chí Minh ,22.80,,23.80,22.80,,24.40,25.20
2021,100712,02000020,8.40,6.50,5.75,6.50,4.50,,,,8.80,N1,02,Sở GDĐT TP. Hồ Chí Minh ,16.80,,20.70,19.40,,23.70,23.00
2021,100713,02000021,8.40,8,,,,7.50,9,10,9.20,N1,02,Sở GDĐT TP. Hồ Chí Minh ,,26.50,,,24.50,25.60,
2021,100720,02000028,4.60,7.50,,,,2.75,6.50,5.75,6,N1,02,Sở GDĐT TP. Hồ Chí Minh ,,15.00,,,16.80,18.10,
2021,100714,02000022,7.40,7.25,,,,7.75,7.25,9.50,9.80,N1,02,Sở GDĐT TP. Hồ Chí Minh ,,24.50,,,22.30,24.50,
2021,100716,02000024,5.60,6.75,,,,6.50,7.75,10,9,N1,02,Sở GDĐT TP. Hồ Chí Minh ,,24.30,,,21.00,21.40,
2021,100717,02000025,7.80,7.50,6,7.25,4.25,,,,9.40,N1,02,Sở GDĐT TP. Hồ Chí Minh ,17.50,,21.10,19.30,,24.70,23.20
2021,100719,02000027,8.40,6.75,7.75,6.25,5.75,,,,9.80,N1,02,Sở GDĐT TP. Hồ Chí Minh ,19.80,,22.40,20.40,,25.00,26.00
2021,100718,02000026,7.80,4.25,5.25,4.25,3.75,,,,8.60,N1,02,Sở GDĐT TP. Hồ Chí Minh ,13.30,,17.30,15.80,,20.70,21.70
2021,100721,02000030,7.60,6.75,8,8.25,4.25,,,,,,02,Sở GDĐT TP. Hồ Chí Minh ,20.50,,23.90,20.10,,,
2021,100722,02000031,8,7.25,,,,4.75,6.50,8,8,N1,02,Sở GDĐT TP. Hồ Chí Minh ,,19.30,,,18.50,23.30,
2021,100724,02000033,7.60,3.75,8.25,7.25,4.50,,,,5.80,N1,02,Sở GDĐT TP. Hồ Chí Minh ,20.00,,23.10,19.40,,17.20,21.70
