schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,490908,28000004,6.60,5.25,,,,3.75,6.25,,,,28,Sở GDĐT Thanh Hoá ,,,,,15.30,,
2021,490910,28000006,7.80,5,5.25,4,4.50,,,,8.80,N1,28,Sở GDĐT Thanh Hoá ,13.80,,17.10,16.30,,21.60,21.90
2021,490906,28000002,8.80,9.25,,,,9,7.75,9.25,10,N1,28,Sở GDĐT Thanh Hoá ,,26.00,,,26.00,28.10,
2021,490905,28000001,8.60,8.75,,,,4.25,6.50,7.75,9,N1,28,Sở GDĐT Thanh Hoá ,,18.50,,,19.50,26.40,
2021,490912,28000008,5.80,8.25,,,,4,6.25,7.75,9.20,N1,28,Sở GDĐT Thanh Hoá ,,18.00,,,18.50,23.30,
2021,490909,28000005,8.80,7.50,5.50,8.75,4.25,,,,6.80,N1,28,Sở GDĐT Thanh Hoá ,18.50,,23.10,21.80,,23.10,21.10
2021,490907,28000003,5.20,5,,,,3.50,5,,,,28,Sở GDĐT Thanh Hoá ,,,,,13.50,,
2021,490913,28000009,4.80,7.25,,,,6.25,5.75,,,,28,Sở GDĐT Thanh Hoá ,,,,,19.30,,
2021,490911,28000007,6.80,7.25,,,,5.50,7,,,,28,Sở GDĐT Thanh Hoá ,,,,,19.80,,
2021,490914,28000010,7.60,9,,,,4.75,5.25,8.75,9,N1,28,Sở GDĐT Thanh Hoá ,,18.80,,,19.00,25.60,
2021,490916,28000012,8.20,6.75,4.25,6.50,7.25,,,,8,N1,28,Sở GDĐT Thanh Hoá ,18.00,,19.00,22.00,,23.00,20.50
2021,490915,28000011,7.60,7.25,,,,4.75,6.75,9.25,9.40,N1,28,Sở GDĐT Thanh Hoá ,,20.80,,,18.80,24.30,
2021,490917,28000013,7.60,7.75,,,,4.50,6.25,8,9,N1,28,Sở GDĐT Thanh Hoá ,,18.80,,,18.50,24.40,
2021,490919,28000015,3.60,7.75,,,,5.75,8.50,6.75,3,N1,28,Sở GDĐT Thanh Hoá ,,21.00,,,22.00,14.40,
2021,490920,28000016,8,8.25,,,,3.25,7,7.25,9.20,N1,28,Sở GDĐT Thanh Hoá ,,17.50,,,18.50,25.50,
2021,490922,28000018,5,6.25,5.50,3,2.75,,,,3.80,N1,28,Sở GDĐT Thanh Hoá ,11.30,,13.50,10.80,,15.10,14.30
2021,490923,28000019,8.40,8.50,,,,3.50,5.25,8,9.20,N1,28,Sở GDĐT Thanh Hoá ,,16.80,,,17.30,26.10,
2021,490926,28000022,8.20,7.50,8.50,8.75,6.25,,,,8.60,N1,28,Sở GDĐT Thanh Hoá ,23.50,,25.50,23.20,,24.30,25.30
2021,490925,28000021,8.40,8.50,,,,3.50,6.50,7.75,9.40,N1,28,Sở GDĐT Thanh Hoá ,,17.80,,,18.50,26.30,
2021,490921,28000017,7.20,8.75,,,,4.25,6.50,7.50,6.60,N1,28,Sở GDĐT Thanh Hoá ,,18.30,,,19.50,22.50,
2021,490918,28000014,7.40,6.75,,,,6.50,6.75,8.25,6.20,N1,28,Sở GDĐT Thanh Hoá ,,21.50,,,20.00,20.40,
2021,490924,28000020,5,5.50,,,,4.75,6.75,,,,28,Sở GDĐT Thanh Hoá ,,,,,17.00,,
2021,490927,28000023,2.60,7.50,,,,3.75,6,6,3.20,N1,28,Sở GDĐT Thanh Hoá ,,15.80,,,17.30,13.30,
2021,490928,28000024,8,6.25,3.50,6.75,5,,,,6,N1,28,Sở GDĐT Thanh Hoá ,15.30,,18.30,19.80,,20.30,17.50
2021,490932,28000028,7.40,9,,,,4,6.25,7.75,9.40,N1,28,Sở GDĐT Thanh Hoá ,,18.00,,,19.30,25.80,
2021,490933,28000029,8,6,6.50,2.50,4.25,,,,10,N1,28,Sở GDĐT Thanh Hoá ,13.30,,17.00,14.80,,24.00,24.50
2021,490931,28000027,7.20,8,6,7.25,6,,,,4.40,N1,28,Sở GDĐT Thanh Hoá ,19.30,,20.50,20.50,,19.60,17.60
2021,490940,28000036,6,8.25,,,,7,7,8,8.60,N1,28,Sở GDĐT Thanh Hoá ,,22.00,,,22.30,22.90,
2021,490941,28000037,7.60,8,,,,3,7,6.75,9.60,N1,28,Sở GDĐT Thanh Hoá ,,16.80,,,18.00,25.20,
2021,490929,28000025,8.60,7.25,6,6.75,4,,,,8.40,N1,28,Sở GDĐT Thanh Hoá ,16.80,,21.40,19.40,,24.30,23.00
2021,490934,28000030,4.40,5,,,,3.50,6,,,,28,Sở GDĐT Thanh Hoá ,,,,,14.50,,
2021,490930,28000026,9.20,5.50,8,4,6.25,,,,8.80,N1,28,Sở GDĐT Thanh Hoá ,18.30,,21.20,19.50,,23.50,26.00
2021,490936,28000032,7.80,5.50,6.75,6.50,3.50,,,,4.40,N1,28,Sở GDĐT Thanh Hoá ,16.80,,21.10,17.80,,17.70,19.00
2021,490935,28000031,8,8.25,,,,6.25,5.50,7.25,10,N1,28,Sở GDĐT Thanh Hoá ,,19.00,,,20.00,26.30,
2021,490943,28000039,7.20,7.50,,,,5.25,7.25,6,8,N1,28,Sở GDĐT Thanh Hoá ,,18.50,,,20.00,22.70,
