schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,457002,26000006,9.20,7,8,9.25,9.75,,,,8.60,N1,26,Sở GDĐT Thái Bình ,27.00,,26.50,28.20,,24.80,25.80
2021,457001,26000005,2.40,3.75,,,,3,5.50,,,,26,Sở GDĐT Thái Bình ,,,,,12.30,,
2021,456997,26000001,7,7,,,,8.25,8.75,8.75,6.40,N1,26,Sở GDĐT Thái Bình ,,25.80,,,24.00,20.40,
2021,456999,26000003,8.60,7.50,,,,3.50,8.25,7.50,9,N1,26,Sở GDĐT Thái Bình ,,19.30,,,19.30,25.10,
2021,457004,26000008,8,8.50,,,,4.25,6,8.50,9,N1,26,Sở GDĐT Thái Bình ,,18.80,,,18.80,25.50,
2021,457005,26000009,6.80,5.25,,,,5.25,6.50,,6,N1,26,Sở GDĐT Thái Bình ,,,,,17.00,18.10,
2021,456998,26000002,6.40,7.25,,,,5.25,6.25,,8.80,N1,26,Sở GDĐT Thái Bình ,,,,,18.80,22.50,
2021,457006,26000010,3.60,4,,,,5.75,7.25,,,,26,Sở GDĐT Thái Bình ,,,,,17.00,,
2021,457003,26000007,8.40,8.50,,,,5.75,8.50,9.50,9.60,N1,26,Sở GDĐT Thái Bình ,,23.80,,,22.80,26.50,
2021,457000,26000004,6,8,,,,6.25,7.25,9.50,7,N1,26,Sở GDĐT Thái Bình ,,23.00,,,21.50,21.00,
2021,457016,26000020,8.60,9,,,,6.75,7.25,9.50,9,N1,26,Sở GDĐT Thái Bình ,,23.50,,,23.00,26.60,
2021,457013,26000017,8,8,6.25,6,4,,,,9.20,N1,26,Sở GDĐT Thái Bình ,16.30,,20.30,18.00,,25.20,23.50
2021,457008,26000012,8.80,4.50,7.25,4.25,6.75,,,,8.80,N1,26,Sở GDĐT Thái Bình ,18.30,,20.30,19.80,,22.10,24.90
2021,457007,26000011,6.60,7.75,,,,6.25,8.25,9.75,9,N1,26,Sở GDĐT Thái Bình ,,24.30,,,22.30,23.40,
2021,457012,26000016,3.80,2.75,,,,1.25,5.50,,,,26,Sở GDĐT Thái Bình ,,,,,9.50,,
2021,457010,26000014,8.60,4.75,7.75,4.75,6,,,,8.20,N1,26,Sở GDĐT Thái Bình ,18.50,,21.10,19.40,,21.50,24.60
2021,457011,26000015,9,8.25,,,,7,8.25,10,9.60,N1,26,Sở GDĐT Thái Bình ,,25.30,,,23.50,26.90,
2021,457009,26000013,8.60,8.75,,,,3,7.50,9.25,9.40,N1,26,Sở GDĐT Thái Bình ,,19.80,,,19.30,26.80,
2021,457015,26000019,8.20,7,5.25,6.75,4.75,,,,,,26,Sở GDĐT Thái Bình ,16.80,,20.20,19.70,,,
2021,457014,26000018,8.60,4.25,8.25,8,3,,,,9,N1,26,Sở GDĐT Thái Bình ,19.30,,24.90,19.60,,21.90,25.90
2021,457018,26000022,6.60,6.25,,,,2.50,6.75,,,,26,Sở GDĐT Thái Bình ,,,,,15.50,,
2021,457026,26000030,6.80,7.50,,,,9.50,9.75,9.50,6.60,N1,26,Sở GDĐT Thái Bình ,,28.80,,,26.80,20.90,
2021,457017,26000021,6,6.25,,,,2,7.25,,,,26,Sở GDĐT Thái Bình ,,,,,15.50,,
2021,457020,26000024,7,8,,,,10,9.25,8.75,6.80,N1,26,Sở GDĐT Thái Bình ,,28.00,,,27.30,21.80,
2021,457019,26000023,8.40,8.25,7,8,8.25,,,,7,N1,26,Sở GDĐT Thái Bình ,23.30,,23.40,24.70,,23.70,22.40
2021,457021,26000025,6,5.75,,,,6.75,6,,,,26,Sở GDĐT Thái Bình ,,,,,18.50,,
2021,457024,26000028,9,8.75,,,,5.50,7.50,9.25,9.80,N1,26,Sở GDĐT Thái Bình ,,22.30,,,21.80,27.60,
2021,457022,26000026,9,7.75,8,6.75,6.25,,,,9.80,N1,26,Sở GDĐT Thái Bình ,21.00,,23.80,22.00,,26.60,26.80
2021,457023,26000027,7.20,6.75,3.50,3,2.75,,,,,,26,Sở GDĐT Thái Bình ,9.30,,13.70,13.00,,,
2021,457025,26000029,8.60,7.50,8.75,8.75,5.50,,,,9,N1,26,Sở GDĐT Thái Bình ,23.00,,26.10,22.90,,25.10,26.40
2021,457027,26000031,8.80,8,6.50,8.25,8.25,,,,7.40,N1,26,Sở GDĐT Thái Bình ,23.00,,23.60,25.30,,24.20,22.70
2021,457029,26000033,2.40,4.75,,,,3.50,5.50,,,,26,Sở GDĐT Thái Bình ,,,,,13.80,,
2021,457028,26000032,3.40,2,,,,1.50,3.75,,,,26,Sở GDĐT Thái Bình ,,,,,7.30,,
2021,457032,26000036,8.40,7.25,,,,7.50,6.75,9,9.60,N1,26,Sở GDĐT Thái Bình ,,23.30,,,21.50,25.30,
2021,457036,26000040,7.40,8.25,,,,5.25,7.25,10,9.20,N1,26,Sở GDĐT Thái Bình ,,22.50,,,20.80,24.90,
2021,457031,26000035,2.60,4.50,,,,1.75,6.50,,,,26,Sở GDĐT Thái Bình ,,,,,12.80,,
2021,457030,26000034,8,7.50,,,,7.50,8.25,9.25,9.40,N1,26,Sở GDĐT Thái Bình ,,25.00,,,23.30,24.90,
2021,457033,26000037,9,8,,,,7.75,7.25,9.25,9.20,N1,26,Sở GDĐT Thái Bình ,,24.30,,,23.00,26.20,
2021,457037,26000041,7.60,7,,,,3.50,7,7.50,8.60,N1,26,Sở GDĐT Thái Bình ,,18.00,,,17.50,23.20,
2021,457034,26000038,5.20,5.75,,,,5.50,6.50,,,,26,Sở GDĐT Thái Bình ,,,,,17.80,,
2021,457035,26000039,7.60,6.50,,,,5.50,8.25,,5.60,N1,26,Sở GDĐT Thái Bình ,,,,,20.30,19.70,
2021,457038,26000042,9,8.50,,,,6.75,8.25,9.50,9.80,N1,26,Sở GDĐT Thái Bình ,,24.50,,,23.50,27.30,
2021,457041,26000045,6,6.75,,,,2.75,5.75,,6,N1,26,Sở GDĐT Thái Bình ,,,,,15.30,18.80,
2021,457040,26000044,8.60,8.50,,,,6.75,8,7.50,9.80,N1,26,Sở GDĐT Thái Bình ,,22.30,,,23.30,26.90,
2021,457039,26000043,8.40,8,8.50,8.25,5.50,,,,7.80,N1,26,Sở GDĐT Thái Bình ,22.30,,25.20,22.20,,24.20,24.70
2021,457042,26000046,8.20,8.75,,,,6.75,8.50,9,9.60,N1,26,Sở GDĐT Thái Bình ,,24.30,,,24.00,26.60,
2021,457043,26000047,7.60,8,,,,5.75,8,7.50,9.60,N1,26,Sở GDĐT Thái Bình ,,21.30,,,21.80,25.20,
