schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,265167,12000005,9,5,8.25,8.75,6,,,,7.80,N1,12,Sở GDĐT Thái Nguyên ,23.00,,26.00,23.80,,21.80,25.10
2021,265170,12000008,8.60,4,8.25,8.50,5.25,,,,9.40,N1,12,Sở GDĐT Thái Nguyên ,22.00,,25.40,22.40,,22.00,26.30
2021,265163,12000001,4.60,5.50,,,,4,6,,,,12,Sở GDĐT Thái Nguyên ,,,,,15.50,,
2021,265166,12000004,8.20,6.25,6.50,6.25,4.50,,,,9.20,N1,12,Sở GDĐT Thái Nguyên ,17.30,,21.00,19.00,,23.70,23.90
2021,265164,12000002,8,8,,,,8.50,7.75,9.50,9.80,N1,12,Sở GDĐT Thái Nguyên ,,25.80,,,24.30,25.80,
2021,265169,12000007,8.80,4.50,8.50,4.75,2.50,,,,8,N1,12,Sở GDĐT Thái Nguyên ,15.80,,22.10,16.10,,21.30,25.30
2021,265165,12000003,8.60,6.50,5.75,8.50,8.75,,,,7.60,N1,12,Sở GDĐT Thái Nguyên ,23.00,,22.90,25.90,,22.70,22.00
2021,265168,12000006,8.40,8.75,,,,4.75,7.25,7.25,9.20,N1,12,Sở GDĐT Thái Nguyên ,,19.30,,,20.80,26.40,
2021,265172,12000010,6.60,7.75,,,,8.75,8.50,7.75,5.20,N1,12,Sở GDĐT Thái Nguyên ,,25.00,,,25.00,19.60,
2021,265171,12000009,9.20,3.75,8.75,8.75,4.50,,,,7.40,N1,12,Sở GDĐT Thái Nguyên ,22.00,,26.70,22.50,,20.40,25.40
2021,265176,12000014,7.40,7.25,2.50,7.50,7.25,,,,3,N1,12,Sở GDĐT Thái Nguyên ,17.30,,17.40,22.20,,17.70,12.90
2021,265179,12000017,8.60,8.25,,,,5.75,6.50,9,9.40,N1,12,Sở GDĐT Thái Nguyên ,,21.30,,,20.50,26.30,
2021,265175,12000013,7.20,6,7.50,8,5,,,,5,N1,12,Sở GDĐT Thái Nguyên ,20.50,,22.70,20.20,,18.20,19.70
2021,265181,12000019,8.60,3.75,7.25,7.25,4.25,,,,7.80,N1,12,Sở GDĐT Thái Nguyên ,18.80,,23.10,20.10,,20.20,23.70
2021,265173,12000011,7.40,6,3,4.75,2.50,,,,5,N1,12,Sở GDĐT Thái Nguyên ,10.30,,15.20,14.70,,18.40,15.40
2021,265177,12000015,9.20,4.50,7.75,8,5.75,,,,5.80,N1,12,Sở GDĐT Thái Nguyên ,21.50,,25.00,23.00,,19.50,22.80
2021,265182,12000020,8.40,7.25,,,,5.50,7.75,9,7.20,N1,12,Sở GDĐT Thái Nguyên ,,22.30,,,20.50,22.90,
2021,265180,12000018,2.80,5,,,,2,2.75,,,,12,Sở GDĐT Thái Nguyên ,,,,,9.80,,
2021,265174,12000012,8.40,6,8.25,8,7,,,,6.40,N1,12,Sở GDĐT Thái Nguyên ,23.30,,24.70,23.40,,20.80,23.00
2021,265178,12000016,3.20,6,,,,3.75,5.25,,,,12,Sở GDĐT Thái Nguyên ,,,,,15.00,,
2021,265184,12000022,8.20,6,7.75,5.75,5.25,,,,9,N1,12,Sở GDĐT Thái Nguyên ,18.80,,21.70,19.20,,23.20,25.00
2021,265187,12000025,7.40,7.50,,,,3.25,5.50,6.50,8.40,N1,12,Sở GDĐT Thái Nguyên ,,15.30,,,16.30,23.30,
2021,265192,12000030,4.60,7.75,,,,7.25,7,,,,12,Sở GDĐT Thái Nguyên ,,,,,22.00,,
2021,265183,12000021,6.20,7.50,,,,6.25,7.50,9,8.80,N1,12,Sở GDĐT Thái Nguyên ,,22.80,,,21.30,22.50,
2021,265185,12000023,8.60,8.25,,,,6.25,7.75,8,9.60,N1,12,Sở GDĐT Thái Nguyên ,,22.00,,,22.30,26.50,
2021,265188,12000026,7.80,6.25,6.75,7.25,3,,,,2.80,N1,12,Sở GDĐT Thái Nguyên ,17.00,,21.80,18.10,,16.90,17.40
2021,265186,12000024,8.20,6.50,6.75,7.75,4.75,,,,9,N1,12,Sở GDĐT Thái Nguyên ,19.30,,22.70,20.70,,23.70,24.00
2021,265191,12000029,9.20,7.25,5,8.50,8,,,,8.20,N1,12,Sở GDĐT Thái Nguyên ,21.50,,22.70,25.70,,24.70,22.40
2021,265189,12000027,8.80,4.75,6.25,8.25,4.50,,,,9.60,N1,12,Sở GDĐT Thái Nguyên ,19.00,,23.30,21.60,,23.20,24.70
2021,265190,12000028,8.20,4.50,5.25,7.50,6.75,,,,5.40,N1,12,Sở GDĐT Thái Nguyên ,19.50,,21.00,22.50,,18.10,18.90
