schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,602930,33000003,6.80,6.50,,,,5,6.75,9.25,8.60,N1,33,Sở GDĐT Thừa Thiên -Huế ,,21.00,,,18.30,21.90,
2021,602934,33000007,5.60,7,,,,5,8,7.75,7.60,N1,33,Sở GDĐT Thừa Thiên -Huế ,,20.80,,,20.00,20.20,
2021,602935,33000008,7.20,6.50,,,,4.75,8,9.50,2.80,N1,33,Sở GDĐT Thừa Thiên -Huế ,,22.30,,,19.30,16.50,
2021,602933,33000006,8.20,8,,,,6,8.50,9,8,N1,33,Sở GDĐT Thừa Thiên -Huế ,,23.50,,,22.50,24.20,
2021,602937,33000010,4.60,6.75,,,,5.25,6.25,8,2.20,N1,33,Sở GDĐT Thừa Thiên -Huế ,,19.50,,,18.30,13.60,
2021,602929,33000002,8.40,9.25,,,,6,8,9.25,7,N1,33,Sở GDĐT Thừa Thiên -Huế ,,23.30,,,23.30,24.70,
2021,602932,33000005,4.60,7.25,,,,5.25,7.25,,,,33,Sở GDĐT Thừa Thiên -Huế ,,,,,19.80,,
2021,602936,33000009,8.40,4.50,6.50,6.75,4.25,,,,5.20,N1,33,Sở GDĐT Thừa Thiên -Huế ,17.50,,21.70,19.40,,18.10,20.10
2021,602931,33000004,6.20,8,,,,4,7,9,8.60,N1,33,Sở GDĐT Thừa Thiên -Huế ,,20.00,,,19.00,22.80,
2021,602928,33000001,6.40,4.50,,,,6.50,7.50,7.75,3,N1,33,Sở GDĐT Thừa Thiên -Huế ,,21.80,,,18.50,13.90,
2021,602938,33000011,6.80,6,,,,6.75,7.50,9,4.60,N1,33,Sở GDĐT Thừa Thiên -Huế ,,23.30,,,20.30,17.40,
2021,602939,33000012,4.80,6.25,,,,3.25,7,7.75,3,N1,33,Sở GDĐT Thừa Thiên -Huế ,,18.00,,,16.50,14.10,
2021,602940,33000013,7.40,6.75,5.75,7.75,2.75,,,,4.80,N1,33,Sở GDĐT Thừa Thiên -Huế ,16.30,,20.90,17.90,,19.00,18.00
2021,602943,33000016,8,8.50,,,,9,8,9.75,9.80,N1,33,Sở GDĐT Thừa Thiên -Huế ,,26.80,,,25.50,26.30,
2021,602942,33000015,5.80,5.25,,,,3.50,8.25,8,4.60,N1,33,Sở GDĐT Thừa Thiên -Huế ,,19.80,,,17.00,15.70,
2021,602941,33000014,6.20,6,,,,3.50,4.75,8.50,3.40,N1,33,Sở GDĐT Thừa Thiên -Huế ,,16.80,,,14.30,15.60,
2021,602944,33000017,7.60,5,,,,5.25,7,9,2.20,N1,33,Sở GDĐT Thừa Thiên -Huế ,,21.30,,,17.30,14.80,
2021,602945,33000018,7.20,6.25,,,,6.50,8.25,9.25,2.60,N1,33,Sở GDĐT Thừa Thiên -Huế ,,24.00,,,21.00,16.10,
2021,602946,33000019,7.80,7.50,,,,3.25,6.25,6.75,5.80,N1,33,Sở GDĐT Thừa Thiên -Huế ,,16.30,,,17.00,21.10,
