schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,869303,53000009,7,7.25,6,6.25,4.50,,,,4,N1,53,Sở GDĐT Tiền Giang ,16.80,,19.30,17.80,,18.30,17.00
2021,869295,53000001,8,7.75,6,8.25,9,,,,9.20,N1,53,Sở GDĐT Tiền Giang ,23.30,,22.30,25.30,,25.00,23.20
2021,869301,53000007,7.40,7,7.75,6.75,3.50,,,,3.40,N1,53,Sở GDĐT Tiền Giang ,18.00,,21.90,17.70,,17.80,18.60
2021,869298,53000004,7,8,,,,7.25,8.25,9,2.20,N1,53,Sở GDĐT Tiền Giang ,,24.50,,,23.50,17.20,
2021,869296,53000002,6.40,7.50,,,,5.75,7.75,9,4.60,N1,53,Sở GDĐT Tiền Giang ,,22.50,,,21.00,18.50,
2021,869299,53000005,7.40,6.50,6.50,4,4.50,,,,7.20,N1,53,Sở GDĐT Tiền Giang ,15.00,,17.90,15.90,,21.10,21.10
2021,869302,53000008,4.40,5.75,,,,6.25,5.50,7.25,3.80,N1,53,Sở GDĐT Tiền Giang ,,19.00,,,17.50,14.00,
2021,869300,53000006,8.20,8.25,7.25,8.50,4.75,,,,8,N1,53,Sở GDĐT Tiền Giang ,20.50,,24.00,21.50,,24.50,23.50
2021,869304,53000010,6.80,6,,,,6.50,6.75,8,5,N1,53,Sở GDĐT Tiền Giang ,,21.30,,,19.30,17.80,
2021,869297,53000003,6.40,8,,,,4.50,7.25,9.50,6.80,N1,53,Sở GDĐT Tiền Giang ,,21.30,,,19.80,21.20,
2021,869308,53000015,7.60,7.50,6.75,7,6.25,,,,7.40,N1,53,Sở GDĐT Tiền Giang ,20.00,,21.40,20.90,,22.50,21.80
2021,869305,53000012,7.60,8,6.50,7,5.50,,,,8.20,N1,53,Sở GDĐT Tiền Giang ,19.00,,21.10,20.10,,23.80,22.30
2021,869312,53000019,8,6.75,6.75,4.50,5,,,,8.80,N1,53,Sở GDĐT Tiền Giang ,16.30,,19.30,17.50,,23.60,23.60
2021,869317,53000024,5,7.25,,,,3.50,6.75,8.25,5.80,N1,53,Sở GDĐT Tiền Giang ,,18.50,,,17.50,18.10,
2021,869306,53000013,6.60,8.50,,,,5.25,8,9,8,N1,53,Sở GDĐT Tiền Giang ,,22.30,,,21.80,23.10,
2021,869307,53000014,7,7.50,6.50,7,4.75,,,,8,N1,53,Sở GDĐT Tiền Giang ,18.30,,20.50,18.80,,22.50,21.50
2021,869310,53000017,7,8.75,6,5,5.75,,,,9,N1,53,Sở GDĐT Tiền Giang ,16.80,,18.00,17.80,,24.80,22.00
2021,869311,53000018,9.20,6.50,8,7.25,5.75,,,,5.80,N1,53,Sở GDĐT Tiền Giang ,21.00,,24.50,22.20,,21.50,23.00
2021,869313,53000020,5.80,7.50,,,,3.25,6.50,8,2.80,N1,53,Sở GDĐT Tiền Giang ,,17.80,,,17.30,16.10,
2021,869309,53000016,7.80,8.50,,,,3.50,7.25,9.75,8.60,N1,53,Sở GDĐT Tiền Giang ,,20.50,,,19.30,24.90,
2021,869314,53000021,7.40,7.75,7.25,5.75,4.75,,,,9,N1,53,Sở GDĐT Tiền Giang ,17.80,,20.40,17.90,,24.20,23.70
2021,869316,53000023,8.40,7,7.50,8.50,6,,,,8.20,N1,53,Sở GDĐT Tiền Giang ,22.00,,24.40,22.90,,23.60,24.10
2021,869315,53000022,7.20,7.75,,,,7,8.25,8.25,6.20,N1,53,Sở GDĐT Tiền Giang ,,23.50,,,23.00,21.20,
2021,869326,53000033,7.80,7.50,6.50,6.50,6,,,,4.60,N1,53,Sở GDĐT Tiền Giang ,19.00,,20.80,20.30,,19.90,18.90
2021,869318,53000025,7.80,8.25,,,,7,8.50,9.75,8.40,N1,53,Sở GDĐT Tiền Giang ,,25.30,,,23.80,24.50,
