schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,935820,58000006,6.80,6.50,4.50,6.25,5.25,,,,5.40,N1,58,Sở GDĐT Trà Vinh ,16.00,,17.60,18.30,,18.70,16.70
2021,935815,58000001,6.20,5.50,,,,4.50,6.25,8.50,4,N1,58,Sở GDĐT Trà Vinh ,,19.30,,,16.30,15.70,
2021,935819,58000005,4.80,6.25,,,,5.75,7.50,,,,58,Sở GDĐT Trà Vinh ,,,,,19.50,,
2021,935816,58000002,5.80,6.75,,,,5.75,8,,,,58,Sở GDĐT Trà Vinh ,,,,,20.50,,
2021,935822,58000008,8.40,7,8,7.50,7,,,,4.20,N1,58,Sở GDĐT Trà Vinh ,22.50,,23.90,22.90,,19.60,20.60
2021,935823,58000009,7.40,7,7.50,6.75,7.50,,,,8.20,N1,58,Sở GDĐT Trà Vinh ,21.80,,21.70,21.70,,22.60,23.10
2021,935821,58000007,8.40,6.25,6.50,7.75,7.75,,,,8.80,N1,58,Sở GDĐT Trà Vinh ,22.00,,22.70,23.90,,23.50,23.70
2021,935824,58000010,5.60,6.75,5.25,6.50,7.25,,,,6.60,N1,58,Sở GDĐT Trà Vinh ,19.00,,17.40,19.40,,19.00,17.50
2021,935818,58000004,5.40,5.75,,,,4.50,7.75,9.50,2.40,N1,58,Sở GDĐT Trà Vinh ,,21.80,,,18.00,13.60,
2021,935817,58000003,6.40,7.25,4.25,6.50,5.50,,,,9,N1,58,Sở GDĐT Trà Vinh ,16.30,,17.20,18.40,,22.70,19.70
2021,935833,58000019,6.20,8,,,,7.50,8,8.75,6.20,N1,58,Sở GDĐT Trà Vinh ,,24.30,,,23.50,20.40,
2021,935825,58000011,4,6,,,,2,5.25,7,2.40,N1,58,Sở GDĐT Trà Vinh ,,14.30,,,13.30,12.40,
2021,935828,58000014,4.60,7.50,2.25,3.75,3.75,,,,3.20,N1,58,Sở GDĐT Trà Vinh ,9.80,,10.60,12.10,,15.30,10.10
2021,935827,58000013,5.80,7.50,,,,8.25,7.50,9.25,4.60,N1,58,Sở GDĐT Trà Vinh ,,25.00,,,23.30,17.90,
2021,935831,58000017,5.80,6.25,,,,5,7,8.75,5.80,N1,58,Sở GDĐT Trà Vinh ,,20.80,,,18.30,17.90,
2021,935829,58000015,3.40,6.75,,,,3.75,7.25,,,,58,Sở GDĐT Trà Vinh ,,,,,17.80,,
2021,935830,58000016,8.60,7.25,,,,8.50,7.25,9.75,7.40,N1,58,Sở GDĐT Trà Vinh ,,25.50,,,23.00,23.30,
2021,935832,58000018,6.80,6.50,,,,5,6.50,,,,58,Sở GDĐT Trà Vinh ,,,,,18.00,,
2021,935826,58000012,6,8,,,,4.25,7.75,9,4.60,N1,58,Sở GDĐT Trà Vinh ,,21.00,,,20.00,18.60,
2021,935838,58000025,4,5,,,,3.50,6,8.50,2.60,N1,58,Sở GDĐT Trà Vinh ,,18.00,,,14.50,11.60,
2021,935834,58000021,3.80,6.50,,,,6,8.25,9,2.80,N1,58,Sở GDĐT Trà Vinh ,,23.30,,,20.80,13.10,
