schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,244064,09000005,8.40,7.75,,,,9.50,9,9.75,9,N1,09,Sở GDĐT Tuyên Quang ,,28.30,,,26.30,25.20,
2021,244065,09000006,5.60,7.25,,,,5.75,8.75,,,,09,Sở GDĐT Tuyên Quang ,,,,,21.80,,
2021,244063,09000004,8.40,7,8,9,7.50,,,,5.80,N1,09,Sở GDĐT Tuyên Quang ,24.50,,25.40,24.90,,21.20,22.20
2021,244066,09000007,2.60,3.50,,,,3.25,6.25,,,,09,Sở GDĐT Tuyên Quang ,,,,,13.00,,
2021,244061,09000002,8.20,6.25,7.50,8.75,5.25,,,,7.40,N1,09,Sở GDĐT Tuyên Quang ,21.50,,24.50,22.20,,21.90,23.10
2021,244060,09000001,8.80,7,8.25,8.25,5.75,,,,8.20,N1,09,Sở GDĐT Tuyên Quang ,22.30,,25.30,22.80,,24.00,25.30
2021,244068,09000009,8,7.75,5.50,6.50,7,,,,7.40,N1,09,Sở GDĐT Tuyên Quang ,19.00,,20.00,21.50,,23.20,20.90
2021,244067,09000008,8.60,8.50,,,,6.50,7.75,9.50,8.60,N1,09,Sở GDĐT Tuyên Quang ,,23.80,,,22.80,25.70,
2021,244062,09000003,8.60,8.50,,,,8,8.75,9.50,9.20,N1,09,Sở GDĐT Tuyên Quang ,,26.30,,,25.30,26.30,
2021,244069,09000010,3.80,6.25,,,,6.50,5.75,,,,09,Sở GDĐT Tuyên Quang ,,,,,18.50,,
2021,244072,09000013,8.40,6.50,7,8,6,,,,7,N1,09,Sở GDĐT Tuyên Quang ,21.00,,23.40,22.40,,21.90,22.40
2021,244077,09000018,6.20,7.75,,,,8.50,8.75,9,5.40,N1,09,Sở GDĐT Tuyên Quang ,,26.30,,,25.00,19.40,
2021,244071,09000012,5.80,8,,,,7.75,9,9.50,5.40,N1,09,Sở GDĐT Tuyên Quang ,,26.30,,,24.80,19.20,
2021,244078,09000019,7.60,6.50,5.25,7.50,7.25,,,,6.40,N1,09,Sở GDĐT Tuyên Quang ,20.00,,20.40,22.40,,20.50,19.30
2021,244081,09000022,8.80,7.50,,,,9.25,9.75,9.50,7.40,N1,09,Sở GDĐT Tuyên Quang ,,28.50,,,26.50,23.70,
2021,244075,09000016,8.40,8,,,,7.25,8.50,8.50,6,N1,09,Sở GDĐT Tuyên Quang ,,24.30,,,23.80,22.40,
2021,244073,09000014,8.40,6.50,5.50,8,9,,,,6.40,N1,09,Sở GDĐT Tuyên Quang ,22.50,,21.90,25.40,,21.30,20.30
2021,244076,09000017,5.20,4,,,,4.25,6.50,,,,09,Sở GDĐT Tuyên Quang ,,,,,14.80,,
2021,244070,09000011,4.40,6.75,,,,4.25,5.75,,,,09,Sở GDĐT Tuyên Quang ,,,,,16.80,,
