schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,765303,46000003,7.80,7.50,7.50,8,2.50,,,,6.60,N1,46,Sở GDĐT Tây Ninh ,18.00,,23.30,18.30,,21.90,21.90
2021,765311,46000011,8.20,6.75,7.75,6.25,6.25,,,,9.60,N1,46,Sở GDĐT Tây Ninh ,20.30,,22.20,20.70,,24.50,25.50
2021,765302,46000002,5.20,5.75,,,,3.50,6.75,,,,46,Sở GDĐT Tây Ninh ,,,,,16.00,,
2021,765301,46000001,8.20,7.75,,,,7.50,7.75,9.75,8.60,N1,46,Sở GDĐT Tây Ninh ,,25.00,,,23.00,24.50,
2021,765304,46000004,8.40,6.25,,,,8,9.25,9.75,6.80,N1,46,Sở GDĐT Tây Ninh ,,27.00,,,23.50,21.50,
2021,765307,46000007,7.80,7.50,,,,6.25,6.25,8.50,9.80,N1,46,Sở GDĐT Tây Ninh ,,21.00,,,20.00,25.10,
2021,765308,46000008,8,6.50,6,7,5.50,,,,9,N1,46,Sở GDĐT Tây Ninh ,18.50,,21.00,20.50,,23.50,23.00
2021,765305,46000005,8,7,,,,4.50,7.75,8.25,7.20,N1,46,Sở GDĐT Tây Ninh ,,20.50,,,19.30,22.20,
2021,765309,46000009,8.60,7.25,8,8.75,7,,,,6.40,N1,46,Sở GDĐT Tây Ninh ,23.80,,25.40,24.40,,22.30,23.00
2021,765310,46000010,7.80,7,7.50,7.75,6.25,,,,5,N1,46,Sở GDĐT Tây Ninh ,21.50,,23.10,21.80,,19.80,20.30
2021,765306,46000006,7.80,7.75,7.50,7,7,,,,6.40,N1,46,Sở GDĐT Tây Ninh ,21.50,,22.30,21.80,,22.00,21.70
2021,765315,46000015,3.20,,,,,5,,,4.60,N1,46,Sở GDĐT Tây Ninh ,,,,,,,
2021,765312,46000012,6.20,4,,,,5.75,7.25,,,,46,Sở GDĐT Tây Ninh ,,,,,17.00,,
2021,765314,46000014,6.40,7.75,,,,4.75,7.25,9,4.80,N1,46,Sở GDĐT Tây Ninh ,,21.00,,,19.80,19.00,
2021,765313,46000013,6.40,6.75,,,,8,8.25,9.75,9.20,N1,46,Sở GDĐT Tây Ninh ,,26.00,,,23.00,22.40,
2021,765316,46000016,3.40,5.50,,,,3,4.50,6.50,4,N1,46,Sở GDĐT Tây Ninh ,,14.00,,,13.00,12.90,
2021,765320,46000020,7,7.50,,,,6.75,7.25,7.75,9,N1,46,Sở GDĐT Tây Ninh ,,21.80,,,21.50,23.50,
2021,765317,46000017,7,7.75,,,,3.25,7.75,9,6.60,N1,46,Sở GDĐT Tây Ninh ,,20.00,,,18.80,21.40,
2021,765321,46000021,5.20,6.75,,,,7.75,7,8.75,7,N1,46,Sở GDĐT Tây Ninh ,,23.50,,,21.50,19.00,
2021,765318,46000018,8.80,6.25,5.25,8.50,8.75,,,,6.80,N1,46,Sở GDĐT Tây Ninh ,22.50,,22.60,26.10,,21.90,20.90
2021,765319,46000019,8.40,7.25,5.75,8,7.50,,,,8.20,N1,46,Sở GDĐT Tây Ninh ,21.30,,22.20,23.90,,23.90,22.40
2021,765322,46000022,5.80,6.25,,,,7,8.75,,,,46,Sở GDĐT Tây Ninh ,,,,,22.00,,
2021,765325,46000025,8,6,5.50,4.25,5.25,,,,9.80,N1,46,Sở GDĐT Tây Ninh ,15.00,,17.80,17.50,,23.80,23.30
