schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,924488,57000001,6,5.50,,,,4.75,6.50,8.25,5.20,N1,57,Sở GDĐT Vĩnh Long ,,19.50,,,16.80,16.70,
2021,924494,57000007,7.80,5.75,,,,4,8.25,8.25,5.40,N1,57,Sở GDĐT Vĩnh Long ,,20.50,,,18.00,19.00,
2021,924496,57000009,7.20,7,,,,6.25,8.50,9,7.60,N1,57,Sở GDĐT Vĩnh Long ,,23.80,,,21.80,21.80,
2021,924493,57000006,6.40,5.75,6.50,5.50,4.50,,,,5,N1,57,Sở GDĐT Vĩnh Long ,16.50,,18.40,16.40,,17.20,17.90
2021,924495,57000008,6.80,7,5.75,7.50,5.75,,,,6.60,N1,57,Sở GDĐT Vĩnh Long ,19.00,,20.10,20.10,,20.40,19.20
2021,924491,57000004,6.80,6.25,,,,8,8,,,,57,Sở GDĐT Vĩnh Long ,,,,,22.30,,
2021,924492,57000005,4.80,6.25,6,5,5,,,,5,N1,57,Sở GDĐT Vĩnh Long ,16.00,,15.80,14.80,,16.10,15.80
2021,924497,57000010,6.80,6.25,6.50,5.25,7,,,,6.80,N1,57,Sở GDĐT Vĩnh Long ,18.80,,18.60,19.10,,19.90,20.10
2021,924490,57000003,3.80,1.75,,,,4,6.25,,,,57,Sở GDĐT Vĩnh Long ,,,,,12.00,,
2021,924489,57000002,7.60,5.75,,,,5,6.75,8.75,7.60,N1,57,Sở GDĐT Vĩnh Long ,,20.50,,,17.50,21.00,
2021,924499,57000012,7.40,6,4,3.75,4.25,,,,3.20,N1,57,Sở GDĐT Vĩnh Long ,12.00,,15.20,15.40,,16.60,14.60
2021,924500,57000013,5.60,6.75,,,,8,6.50,9.75,7.20,N1,57,Sở GDĐT Vĩnh Long ,,24.30,,,21.30,19.60,
2021,924506,57000019,6,7,,,,3.50,6.75,,,,57,Sở GDĐT Vĩnh Long ,,,,,17.30,,
