schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,317699,16000002,8.40,8.75,,,,8.75,8.75,9.75,9.40,N3,16,Sở GDĐT Vĩnh Phúc ,,27.30,,,26.30,26.60,
2021,317701,16000004,6.40,8.25,,,,9.75,9.50,9.75,6.60,N1,16,Sở GDĐT Vĩnh Phúc ,,29.00,,,27.50,21.30,
2021,317704,16000007,8.60,8.50,8.25,8,5.75,,,,9.20,N1,16,Sở GDĐT Vĩnh Phúc ,22.00,,24.90,22.40,,26.30,26.10
2021,317705,16000008,8.20,9,,,,7,9.25,9.75,9.40,N1,16,Sở GDĐT Vĩnh Phúc ,,26.00,,,25.30,26.60,
2021,317700,16000003,7.60,8.75,,,,9.25,10,10,8.40,N1,16,Sở GDĐT Vĩnh Phúc ,,29.30,,,28.00,24.80,
2021,317702,16000005,8.40,9,,,,6.75,9,9.50,9.40,N1,16,Sở GDĐT Vĩnh Phúc ,,25.30,,,24.80,26.80,
2021,317706,16000009,9.40,9.50,,,,5.75,7.25,9.75,9.80,N1,16,Sở GDĐT Vĩnh Phúc ,,22.80,,,22.50,28.70,
2021,317698,16000001,8.60,9,,,,8.50,8.75,9.75,10,N1,16,Sở GDĐT Vĩnh Phúc ,,27.00,,,26.30,27.60,
2021,317707,16000010,9.20,8.25,7.75,8.50,7.25,,,,7.80,N1,16,Sở GDĐT Vĩnh Phúc ,23.50,,25.50,25.00,,25.30,24.80
2021,317703,16000006,8.40,7.25,8,4,3.25,,,,9.40,N1,16,Sở GDĐT Vĩnh Phúc ,15.30,,20.40,15.70,,25.10,25.80
2021,317708,16000011,9.20,8.75,,,,8.75,9.50,9.75,9.60,N1,16,Sở GDĐT Vĩnh Phúc ,,28.00,,,27.00,27.60,
2021,317714,16000018,8.60,9.25,,,,7.25,8,9.50,9.40,N1,16,Sở GDĐT Vĩnh Phúc ,,24.80,,,24.50,27.30,
2021,317709,16000012,5.20,9,,,,10,9.50,10,6.80,N1,16,Sở GDĐT Vĩnh Phúc ,,29.50,,,28.50,21.00,
2021,317717,16000021,8.40,8,,,,7.75,9.25,9.25,9.20,N1,16,Sở GDĐT Vĩnh Phúc ,,26.30,,,25.00,25.60,
2021,317710,16000013,8.80,8.25,,,,5.25,8.25,9.50,9,N1,16,Sở GDĐT Vĩnh Phúc ,,23.00,,,21.80,26.10,
2021,317711,16000014,7.80,7,7.75,7.75,6.75,,,,8,N1,16,Sở GDĐT Vĩnh Phúc ,22.30,,23.30,22.30,,22.80,23.60
2021,317712,16000015,9.40,9,8.50,9.50,10,,,,9.20,N1,16,Sở GDĐT Vĩnh Phúc ,28.00,,27.40,28.90,,27.60,27.10
2021,317716,16000020,9.20,8.75,,,,6.75,9.25,9.25,9.80,N1,16,Sở GDĐT Vĩnh Phúc ,,25.30,,,24.80,27.80,
2021,317715,16000019,9.20,7,8.50,7.75,4.75,,,,4.60,N1,16,Sở GDĐT Vĩnh Phúc ,21.00,,25.50,21.70,,20.80,22.30
2021,317713,16000017,9,6.50,5.75,8.50,6.50,,,,10,N1,16,Sở GDĐT Vĩnh Phúc ,20.80,,23.30,24.00,,25.50,24.80
2021,317718,16000022,6.40,8,,,,9,9.75,9.75,9,N1,16,Sở GDĐT Vĩnh Phúc ,,28.50,,,26.80,23.40,
2021,317725,16000029,9,8,8,8,5.50,,,,7.40,N1,16,Sở GDĐT Vĩnh Phúc ,21.50,,25.00,22.50,,24.40,24.40
