schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,282075,13000001,4,4.50,,,,3.25,5.25,,,,13,Sở GDĐT Yên Bái ,,,,,13.00,,
2021,282076,13000002,2.20,2.75,,,,3.75,4.75,,,,13,Sở GDĐT Yên Bái ,,,,,11.30,,
2021,282083,13000009,4,5.50,,,,4,5.50,,,,13,Sở GDĐT Yên Bái ,,,,,15.00,,
2021,282082,13000008,8.20,8.25,,,,4,7.25,10,9.60,N1,13,Sở GDĐT Yên Bái ,,21.30,,,19.50,26.10,
2021,282080,13000006,8.80,9,6.75,8.75,6.50,,,,9.40,N1,13,Sở GDĐT Yên Bái ,22.00,,24.30,24.10,,27.20,25.00
2021,282077,13000003,9.20,9.25,,,,5.25,7.75,8.50,9.60,N1,13,Sở GDĐT Yên Bái ,,21.50,,,22.30,28.10,
2021,282084,13000010,2.20,3.25,,,,2.50,4.75,,,,13,Sở GDĐT Yên Bái ,,,,,10.50,,
2021,282081,13000007,8,7.25,6.25,7.25,7,,,,7.20,N1,13,Sở GDĐT Yên Bái ,20.50,,21.50,22.30,,22.50,21.50
2021,282079,13000005,6.40,8.75,,,,6,7.50,9.25,7,N1,13,Sở GDĐT Yên Bái ,,22.80,,,22.30,22.20,
2021,282078,13000004,7.40,4.50,8.25,4.75,6.75,,,,9.40,N1,13,Sở GDĐT Yên Bái ,19.80,,20.40,18.90,,21.30,25.10
2021,282085,13000011,8.20,6.75,5,5,6.50,,,,8,N1,13,Sở GDĐT Yên Bái ,16.50,,18.20,19.70,,23.00,21.20
2021,282092,13000018,6,4.25,,,,3.75,5,,,,13,Sở GDĐT Yên Bái ,,,,,13.00,,
2021,282094,13000020,8.60,8.25,6.50,8.25,4.50,,,,9.40,N1,13,Sở GDĐT Yên Bái ,19.30,,23.40,21.40,,26.30,24.50
2021,282097,13000023,8.80,8.50,4.75,6.75,9,,,,7.80,N1,13,Sở GDĐT Yên Bái ,20.50,,20.30,24.60,,25.10,21.40
2021,282088,13000014,8.60,9,,,,7.25,7.50,9.50,9.20,N1,13,Sở GDĐT Yên Bái ,,24.30,,,23.80,26.80,
2021,282089,13000015,7.40,8.50,,,,5,7,9.50,9.60,N1,13,Sở GDĐT Yên Bái ,,21.50,,,20.50,25.50,
2021,282087,13000013,7.80,7.50,4,6.25,5.75,,,,8.80,N3,13,Sở GDĐT Yên Bái ,16.00,,18.10,19.80,,24.10,20.60
2021,282093,13000019,6.20,9.25,,,,8,9.50,9.75,9.80,N1,13,Sở GDĐT Yên Bái ,,27.30,,,26.80,25.30,
2021,282086,13000012,7,7.50,,,,4.25,7.50,9.50,9.60,N1,13,Sở GDĐT Yên Bái ,,21.30,,,19.30,24.10,
2021,282091,13000017,8.20,8.75,,,,5.75,6.75,9,9.60,N1,13,Sở GDĐT Yên Bái ,,21.50,,,21.30,26.60,
2021,282090,13000016,6.60,5.25,5,6.25,5,,,,9.60,N1,13,Sở GDĐT Yên Bái ,16.30,,17.90,17.90,,21.50,21.20
2021,282095,13000021,8.60,9,,,,5,6.50,8.25,9.80,N1,13,Sở GDĐT Yên Bái ,,19.80,,,20.50,27.40,
2021,282096,13000022,9.20,7.75,7.75,7.50,6.25,,,,10,N1,13,Sở GDĐT Yên Bái ,21.50,,24.50,23.00,,27.00,27.00
