schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,971500,62000009,4.20,5,,,,2.75,3.25,7.25,3.40,N1,62,Sở GDĐT Điện Biên ,,13.30,,,11.00,12.60,
2021,971492,62000001,6.60,7.75,,,,9.75,9.25,9,6.80,N1,62,Sở GDĐT Điện Biên ,,28.00,,,26.80,21.20,
2021,971497,62000006,6,8.25,,,,2,7.25,9,3.80,N1,62,Sở GDĐT Điện Biên ,,18.30,,,17.50,18.10,
2021,971493,62000002,5.40,8,,,,6.50,5.50,8,7,N1,62,Sở GDĐT Điện Biên ,,20.00,,,20.00,20.40,
2021,971498,62000007,8.20,9,,,,5,6.75,7.50,9.80,N1,62,Sở GDĐT Điện Biên ,,19.30,,,20.80,27.00,
2021,971496,62000005,6.20,6.50,,,,5.25,5.50,6.75,4,N1,62,Sở GDĐT Điện Biên ,,17.50,,,17.30,16.70,
2021,971495,62000004,7.40,6.50,7.25,6.50,5.50,,,,5.40,N1,62,Sở GDĐT Điện Biên ,19.30,,21.20,19.40,,19.30,20.10
2021,971501,62000010,4.40,7.50,,,,2.75,6,8,4.20,N1,62,Sở GDĐT Điện Biên ,,16.80,,,16.30,16.10,
2021,971499,62000008,8.60,6.50,5,6.25,6,,,,3.20,N1,62,Sở GDĐT Điện Biên ,17.30,,19.90,20.90,,18.30,16.80
2021,971494,62000003,5.40,6.25,,,,7,6.75,9.25,2.80,N1,62,Sở GDĐT Điện Biên ,,23.00,,,20.00,14.50,
2021,971502,62000011,8.20,7.75,7.50,7.25,3.75,,,,5,N1,62,Sở GDĐT Điện Biên ,18.50,,23.00,19.20,,21.00,20.70
2021,971507,62000016,7.40,,,7.75,9.25,,,,,,62,Sở GDĐT Điện Biên ,,,,24.40,,,
2021,971510,62000019,7.80,8.75,,,,7.75,7,9,4.40,N1,62,Sở GDĐT Điện Biên ,,23.80,,,23.50,21.00,
2021,971503,62000012,7,9,,,,4,6.50,8.75,5.60,N1,62,Sở GDĐT Điện Biên ,,19.30,,,19.50,21.60,
2021,971504,62000013,7,7.50,,,,4,6.75,7.25,8.20,N1,62,Sở GDĐT Điện Biên ,,18.00,,,18.30,22.70,
2021,971506,62000015,6.80,7,,,,5.25,6.75,7.75,8.80,N1,62,Sở GDĐT Điện Biên ,,19.80,,,19.00,22.60,
2021,971509,62000018,6.80,8,,,,3.50,6.75,7.75,5,N1,62,Sở GDĐT Điện Biên ,,18.00,,,18.30,19.80,
2021,971508,62000017,7,7.25,,,,3.75,7,8.75,7,N1,62,Sở GDĐT Điện Biên ,,19.50,,,18.00,21.30,
2021,971511,62000020,6.80,6,4.25,5.50,5,,,,6.60,N1,62,Sở GDĐT Điện Biên ,14.80,,16.60,17.30,,19.40,17.70
2021,971512,62000021,5.20,6.50,,,,3.25,5.50,6.75,3.60,N1,62,Sở GDĐT Điện Biên ,,15.50,,,15.30,15.30,
2021,971516,62000025,5.60,6.25,,,,4.50,7.50,7.25,3.60,N1,62,Sở GDĐT Điện Biên ,,19.30,,,18.30,15.50,
2021,971517,62000026,3.20,6.50,,,,2.50,5.75,7.50,3.80,N1,62,Sở GDĐT Điện Biên ,,15.80,,,14.80,13.50,
2021,971514,62000023,5,7,,,,5,8.50,9,3,N1,62,Sở GDĐT Điện Biên ,,22.50,,,20.50,15.00,
2021,971513,62000022,3,5.25,,,,4.50,7,8.75,2.40,N1,62,Sở GDĐT Điện Biên ,,20.30,,,16.80,10.70,
2021,971505,62000014,5.40,7,,,,5.75,7.25,8.25,6,N1,62,Sở GDĐT Điện Biên ,,21.30,,,20.00,18.40,
2021,971524,62000033,5.80,6.75,,,,7.50,7,8.75,8,N1,62,Sở GDĐT Điện Biên ,,23.30,,,21.30,20.60,
2021,971515,62000024,5.40,8.50,,,,4.50,7.75,9.75,4.80,N1,62,Sở GDĐT Điện Biên ,,22.00,,,20.80,18.70,
2021,971519,62000028,4.60,6.25,3,4.75,4,,,,4,N1,62,Sở GDĐT Điện Biên ,11.80,,12.40,13.40,,14.90,11.60
2021,971520,62000029,4.80,7.50,,,,3.25,7.25,8.25,3.20,N1,62,Sở GDĐT Điện Biên ,,18.80,,,18.00,15.50,
2021,971518,62000027,,6,,,,4.25,5,,,,62,Sở GDĐT Điện Biên ,,,,,15.30,,
2021,971521,62000030,2.80,6.50,,,,5.25,7.75,8.75,2.60,N1,62,Sở GDĐT Điện Biên ,,21.80,,,19.50,11.90,
2021,971522,62000031,5,7,,,,3.25,5.75,5,2.40,N1,62,Sở GDĐT Điện Biên ,,14.00,,,16.00,14.40,
2021,971523,62000032,8.40,8,7,8,5.75,,,,7.40,N1,62,Sở GDĐT Điện Biên ,20.80,,23.40,22.20,,23.80,22.80
2021,971525,62000034,7.60,7,4.50,7.25,7.50,,,,9.40,N1,62,Sở GDĐT Điện Biên ,19.30,,19.40,22.40,,24.00,21.50
2021,971526,62000035,5.60,7.75,,,,3.75,7.50,8.25,4.60,N1,62,Sở GDĐT Điện Biên ,,19.50,,,19.00,18.00,
2021,971527,62000036,8,7.75,6.50,6,4.75,,,,3.80,N1,62,Sở GDĐT Điện Biên ,17.30,,20.50,18.80,,19.60,18.30
2021,971533,62000042,8.40,6.50,5.25,8,5,,,,4.40,N1,62,Sở GDĐT Điện Biên ,18.30,,21.70,21.40,,19.30,18.10
2021,971528,62000037,8,7,7,8.25,4.50,,,,4.40,N1,62,Sở GDĐT Điện Biên ,19.80,,23.30,20.80,,19.40,19.40
2021,971530,62000039,9,7.75,6.25,8,8.25,,,,8,N1,62,Sở GDĐT Điện Biên ,22.50,,23.30,25.30,,24.80,23.30
2021,971531,62000040,7.40,7.50,4.25,5.25,5.25,,,,4.40,N1,62,Sở GDĐT Điện Biên ,14.80,,16.90,17.90,,19.30,16.10
