schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,210202,04000010,8.20,5.75,8,9,4.25,,,,4.40,N1,04,Sở GDĐT Đà Nẵng ,21.30,,25.20,21.50,,18.40,20.60
2021,210193,04000001,7.80,8,2.50,5,4.50,,,,8.40,N1,04,Sở GDĐT Đà Nẵng ,12.00,,15.30,17.30,,24.20,18.70
2021,210204,04000012,7.60,6.25,5.75,7.25,5,,,,7.40,N1,04,Sở GDĐT Đà Nẵng ,18.00,,20.60,19.90,,21.30,20.80
2021,210195,04000003,8.60,6.25,7.50,8,5.25,,,,5.80,N1,04,Sở GDĐT Đà Nẵng ,20.80,,24.10,21.90,,20.70,21.90
2021,210196,04000004,9,6.50,8,9,6.75,,,,8.60,N1,04,Sở GDĐT Đà Nẵng ,23.80,,26.00,24.80,,24.10,25.60
2021,210199,04000007,9,6,7.50,8.25,4.50,,,,6,N1,04,Sở GDĐT Đà Nẵng ,20.30,,24.80,21.80,,21.00,22.50
2021,210194,04000002,9,6.25,8.25,7,7.25,,,,9.60,N1,04,Sở GDĐT Đà Nẵng ,22.50,,24.30,23.30,,24.90,26.90
2021,210197,04000005,7.80,7,,,,2.50,6.50,7,9,N1,04,Sở GDĐT Đà Nẵng ,,16.00,,,16.00,23.80,
2021,210201,04000009,6.40,7.75,,,,3.50,7.50,9.75,4,N1,04,Sở GDĐT Đà Nẵng ,,20.80,,,18.80,18.20,
2021,210200,04000008,8,5.75,5.75,9,7.50,,,,8.40,N1,04,Sở GDĐT Đà Nẵng ,22.30,,22.80,24.50,,22.20,22.20
2021,210198,04000006,6,4,3.50,4.75,4.75,,,,2.40,N1,04,Sở GDĐT Đà Nẵng ,13.00,,14.30,15.50,,12.40,11.90
2021,210209,04000017,8.80,6,6,8.25,4.75,,,,3.80,N1,04,Sở GDĐT Đà Nẵng ,19.00,,23.10,21.80,,18.60,18.60
2021,210203,04000011,8.20,6,4.25,8.50,10,,,,6.40,N1,04,Sở GDĐT Đà Nẵng ,22.80,,21.00,26.70,,20.60,18.90
2021,210205,04000013,5.60,7.50,,,,6.50,7,9.25,5.20,N1,04,Sở GDĐT Đà Nẵng ,,22.80,,,21.00,18.30,
2021,210206,04000014,7.80,7.25,,,,3.25,5.75,8,5.40,N1,04,Sở GDĐT Đà Nẵng ,,17.00,,,16.30,20.50,
2021,210207,04000015,4.80,7.25,,,,2.75,6,8.50,7.20,N1,04,Sở GDĐT Đà Nẵng ,,17.30,,,16.00,19.30,
2021,210208,04000016,6.80,6.50,,,,5.75,7,8,6,N1,04,Sở GDĐT Đà Nẵng ,,20.80,,,19.30,19.30,
2021,210212,04000020,7.40,7.75,,,,4.75,6.50,7.50,7.80,N1,04,Sở GDĐT Đà Nẵng ,,18.80,,,19.00,23.00,
2021,210211,04000019,8.20,7.25,,,,5.25,7.25,8,7,N1,04,Sở GDĐT Đà Nẵng ,,20.50,,,19.80,22.50,
2021,210210,04000018,5.80,6,,,,3.50,6,9.50,4.60,N1,04,Sở GDĐT Đà Nẵng ,,19.00,,,15.50,16.40,
2021,210216,04000024,7.40,6,6,7,5.75,,,,9.80,N1,04,Sở GDĐT Đà Nẵng ,18.80,,20.40,20.20,,23.20,23.20
2021,210213,04000021,6.80,5.25,5.50,7.25,6.50,,,,5,N1,04,Sở GDĐT Đà Nẵng ,19.30,,19.60,20.60,,17.10,17.30
2021,210214,04000022,8,6.50,,,,7.25,7.75,9.25,7.40,N1,04,Sở GDĐT Đà Nẵng ,,24.30,,,21.50,21.90,
2021,210220,04000028,4.80,7,,,,8.25,7.25,10,6,N1,04,Sở GDĐT Đà Nẵng ,,25.50,,,22.50,17.80,
2021,210222,04000030,7.40,6,,,,5.50,6.75,7.75,7.20,N1,04,Sở GDĐT Đà Nẵng ,,20.00,,,18.30,20.60,
2021,210224,04000032,7.20,6.50,5.75,5,5.75,,,,9.20,N1,04,Sở GDĐT Đà Nẵng ,16.50,,18.00,18.00,,22.90,22.20
2021,210215,04000023,5.40,3.50,,,,3.25,6.75,8.25,2.40,N1,04,Sở GDĐT Đà Nẵng ,,18.30,,,13.50,11.30,
2021,210225,04000033,7.60,6,,,,7.25,7,8.25,7.40,N1,04,Sở GDĐT Đà Nẵng ,,22.50,,,20.30,21.00,
