schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,977765,63000006,7.80,5.50,6.75,6.50,4.50,,,,3.80,N1,63,Sở GDĐT Đăk Nông ,17.80,,21.10,18.80,,17.10,18.40
2021,977769,63000010,5.80,5.50,,,,7,7.50,8.75,3.80,N1,63,Sở GDĐT Đăk Nông ,,23.30,,,20.00,15.10,
2021,977768,63000009,4.40,4.75,,,,3.50,6.50,7.50,3.40,N1,63,Sở GDĐT Đăk Nông ,,17.50,,,14.80,12.60,
2021,977764,63000005,8.40,5.50,7.25,5.75,5.50,,,,9.60,N1,63,Sở GDĐT Đăk Nông ,18.50,,21.40,19.70,,23.50,25.30
2021,977766,63000007,8.40,7.25,,,,6,8.50,9,9.40,N1,63,Sở GDĐT Đăk Nông ,,23.50,,,21.80,25.10,
2021,977767,63000008,7.60,8,,,,3.50,8.25,7,8.60,N1,63,Sở GDĐT Đăk Nông ,,18.80,,,19.80,24.20,
2021,977763,63000004,,5.75,,,,6.25,6.25,,,,63,Sở GDĐT Đăk Nông ,,,,,18.30,,
2021,977760,63000001,7.40,4.25,,,,5.50,7.25,8.50,3,N1,63,Sở GDĐT Đăk Nông ,,21.30,,,17.00,14.70,
2021,977762,63000003,5.20,7.50,,,,8,8.75,7.75,3.60,N1,63,Sở GDĐT Đăk Nông ,,24.50,,,24.30,16.30,
2021,977761,63000002,6.80,6,,,,4.25,5.75,8,6.60,N1,63,Sở GDĐT Đăk Nông ,,18.00,,,16.00,19.40,
2021,977775,63000016,8.80,5.50,7,8.50,8.75,,,,6,N1,63,Sở GDĐT Đăk Nông ,24.30,,24.30,26.10,,20.30,21.80
2021,977777,63000018,7.60,6.50,5.50,5.50,6,,,,8.60,N1,63,Sở GDĐT Đăk Nông ,17.00,,18.60,19.10,,22.70,21.70
2021,977780,63000021,6,6.25,,,,4.25,8.50,9.25,3,N1,63,Sở GDĐT Đăk Nông ,,22.00,,,19.00,15.30,
2021,977770,63000011,7.80,6.75,7.50,8.25,4.50,,,,5.60,N1,63,Sở GDĐT Đăk Nông ,20.30,,23.60,20.60,,20.20,20.90
2021,977773,63000014,6.20,4,,,,6.25,6,5.75,3.20,N1,63,Sở GDĐT Đăk Nông ,,18.00,,,16.30,13.40,
2021,977776,63000017,8.20,6.25,7,5.75,5.75,,,,9.20,N1,63,Sở GDĐT Đăk Nông ,18.50,,21.00,19.70,,23.70,24.40
2021,977772,63000013,7.40,7,5,5.75,3.25,,,,8.60,N1,63,Sở GDĐT Đăk Nông ,14.00,,18.20,16.40,,23.00,21.00
2021,977774,63000015,7.20,7.25,,,,5.75,6.50,9,4.80,N1,63,Sở GDĐT Đăk Nông ,,21.30,,,19.50,19.30,
2021,977779,63000020,7.20,5.50,,,,5.50,7.75,9,8.80,N1,63,Sở GDĐT Đăk Nông ,,22.30,,,18.80,21.50,
2021,977771,63000012,7.60,5.75,6.50,6.25,6,,,,3,N1,63,Sở GDĐT Đăk Nông ,18.80,,20.40,19.90,,16.40,17.10
2021,977778,63000019,6.60,6,,,,3.50,5.50,6.75,5,N1,63,Sở GDĐT Đăk Nông ,,15.80,,,15.00,17.60,
2021,977781,63000022,6.60,6,4.50,,,,,,5.40,N1,63,Sở GDĐT Đăk Nông ,,,,,,18.00,16.50
2021,977782,63000023,4.60,6,,,,6.25,7.50,7.75,3,N1,63,Sở GDĐT Đăk Nông ,,21.50,,,19.80,13.60,
2021,977783,63000024,6.20,6.25,,,,5,6.50,8.75,2,N1,63,Sở GDĐT Đăk Nông ,,20.30,,,17.80,14.50,
2021,977785,63000026,8.60,5,7.75,7.50,5.25,,,,6.20,N1,63,Sở GDĐT Đăk Nông ,20.50,,23.90,21.40,,19.80,22.60
2021,977787,63000028,,7,,,,6.25,6.25,,,,63,Sở GDĐT Đăk Nông ,,,,,19.50,,
2021,977784,63000025,7.80,6.50,6.50,5.75,3.25,,,,7.60,N1,63,Sở GDĐT Đăk Nông ,15.50,,20.10,16.80,,21.90,21.90
2021,977789,63000030,8.40,5.75,7.75,7.50,7,,,,3.80,N1,63,Sở GDĐT Đăk Nông ,22.30,,23.70,22.90,,18.00,20.00
2021,977788,63000029,8.80,6.50,8.75,9,5.75,,,,7.40,N1,63,Sở GDĐT Đăk Nông ,23.50,,26.60,23.60,,22.70,25.00
2021,977790,63000031,7.80,6.75,7,7,6.50,,,,9.40,N1,63,Sở GDĐT Đăk Nông ,20.50,,21.80,21.30,,24.00,24.20
2021,977792,63000033,6.20,5.50,,,,5.75,7.25,8.25,5.80,N1,63,Sở GDĐT Đăk Nông ,,21.30,,,18.50,17.50,
2021,977796,63000037,5.40,4.25,,,,5,6.25,8,4.80,N1,63,Sở GDĐT Đăk Nông ,,19.30,,,15.50,14.50,
2021,977791,63000032,6.60,3.75,,,,5.75,7.50,8.50,4,N1,63,Sở GDĐT Đăk Nông ,,21.80,,,17.00,14.40,
2021,977799,63000040,8,7,5.25,6.75,4.75,,,,4.80,N1,63,Sở GDĐT Đăk Nông ,16.80,,20.00,19.50,,19.80,18.10
2021,977803,63000044,8,5.75,7,7,5.50,,,,5.40,N1,63,Sở GDĐT Đăk Nông ,19.50,,22.00,20.50,,19.20,20.40
2021,977794,63000035,6.80,4.50,5.75,6.50,4.75,,,,7,N1,63,Sở GDĐT Đăk Nông ,17.00,,19.10,18.10,,18.30,19.60
2021,977793,63000034,8,4,7,3.75,2.25,,,,8.20,N1,63,Sở GDĐT Đăk Nông ,13.00,,18.80,14.00,,20.20,23.20
2021,977795,63000036,4.40,4.75,,,,3,6.75,6.75,2,N1,63,Sở GDĐT Đăk Nông ,,16.50,,,14.50,11.20,
2021,977797,63000038,7.40,6.50,,,,5.50,9,9,5.80,N1,63,Sở GDĐT Đăk Nông ,,23.50,,,21.00,19.70,
2021,977798,63000039,4.20,3.75,,,,4.50,7,8.75,3.20,N1,63,Sở GDĐT Đăk Nông ,,20.30,,,15.30,11.20,
2021,977800,63000041,5.80,6.75,,,,,,,8.80,N1,63,Sở GDĐT Đăk Nông ,,,,,,21.40,
2021,977801,63000042,6.20,5,3.25,4.50,4.75,,,,2,N1,63,Sở GDĐT Đăk Nông ,12.50,,14.00,15.50,,13.20,11.50
2021,977802,63000043,4.80,3.50,,,,3.25,6.25,8,2,N1,63,Sở GDĐT Đăk Nông ,,17.50,,,13.00,10.30,
2021,977811,63000052,8.40,7.25,,,,4.75,8.50,9,9.60,N1,63,Sở GDĐT Đăk Nông ,,22.30,,,20.50,25.30,
2021,977804,63000045,8.40,3.75,8.50,6,5.25,,,,9.60,N1,63,Sở GDĐT Đăk Nông ,19.80,,22.90,19.70,,21.80,26.50
2021,977786,63000027,5.20,3.25,,,,4.25,7.25,7.75,4.80,N1,63,Sở GDĐT Đăk Nông ,,19.30,,,14.80,13.30,
2021,977805,63000046,3,2.75,,,,3,,,,,63,Sở GDĐT Đăk Nông ,,,,,,,
2021,977806,63000047,6.20,5,4.25,6.25,5.50,,,,4.20,N1,63,Sở GDĐT Đăk Nông ,16.00,,16.70,18.00,,15.40,14.70
2021,977807,63000048,3.40,4.50,,,,5.25,7.75,9.50,3,N1,63,Sở GDĐT Đăk Nông ,,22.50,,,17.50,10.90,
2021,977808,63000049,8.20,5.25,6,7.50,7.25,,,,5.20,N1,63,Sở GDĐT Đăk Nông ,20.80,,21.70,23.00,,18.70,19.40
2021,977809,63000050,5.80,5.66,,,,6,7,8.75,5,N1,63,Sở GDĐT Đăk Nông ,,21.80,,,18.70,16.50,
2021,977810,63000051,8.40,5,7.75,8.25,4.25,,,,5.80,N1,63,Sở GDĐT Đăk Nông ,20.30,,24.40,20.90,,19.20,22.00
2021,977812,63000053,6,7,,,,5.75,8.75,9.75,7.20,N1,63,Sở GDĐT Đăk Nông ,,24.30,,,21.50,20.20,
2021,977819,63000060,,7.25,,,,8,9.25,,,,63,Sở GDĐT Đăk Nông ,,,,,24.50,,
2021,977813,63000054,8,6.25,,,,9.50,,,,,63,Sở GDĐT Đăk Nông ,,,,,,,
2021,977815,63000056,9,5,6.75,7.50,5.75,,,,3.20,N1,63,Sở GDĐT Đăk Nông ,20.00,,23.30,22.30,,17.20,19.00
2021,977814,63000055,5.20,3.75,,,,4,4.50,5,5,N1,63,Sở GDĐT Đăk Nông ,,13.50,,,12.30,14.00,
2021,977816,63000057,6.60,8.75,,,,5.75,8.25,8,7,N1,63,Sở GDĐT Đăk Nông ,,22.00,,,22.80,22.40,
2021,977817,63000058,8,6.50,,,,,,,7.80,N1,63,Sở GDĐT Đăk Nông ,,,,,,22.30,
2021,977818,63000059,7,6.25,6.25,7.50,6.50,,,,4,N1,63,Sở GDĐT Đăk Nông ,20.30,,20.80,21.00,,17.30,17.30
2021,977820,63000061,8.40,4.75,2.75,8,6.75,,,,2.60,N1,63,Sở GDĐT Đăk Nông ,17.50,,19.20,23.20,,15.80,13.80
2021,977821,63000062,8,6.50,6.50,6.25,5,,,,7.80,N1,63,Sở GDĐT Đăk Nông ,17.80,,20.80,19.30,,22.30,22.30
2021,977822,63000063,8.80,6.50,,,,5,7.75,9.50,6,N1,63,Sở GDĐT Đăk Nông ,,22.30,,,19.30,21.30,
2021,977823,63000064,9,7.75,8,8.25,6.75,,,,8.20,N1,63,Sở GDĐT Đăk Nông ,23.00,,25.30,24.00,,25.00,25.20
2021,977824,63000065,7,7.25,,,,4,8.75,9.75,8,N1,63,Sở GDĐT Đăk Nông ,,22.50,,,20.00,22.30,
2021,977825,63000066,6.20,6.75,,,,4.50,6.75,7.75,4,N1,63,Sở GDĐT Đăk Nông ,,19.00,,,18.00,17.00,
