schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,688192,40000009,5.80,4.50,,,,4.25,7.25,8.75,4.40,N1,40,Sở GDĐT Đắk Lắk ,,20.30,,,16.00,14.70,
2021,688193,40000010,3.80,5.25,,,,4,7.75,8,2.80,N1,40,Sở GDĐT Đắk Lắk ,,19.80,,,17.00,11.90,
2021,688188,40000005,5.80,6.50,4,6.75,5.75,,,,2.60,N1,40,Sở GDĐT Đắk Lắk ,16.50,,16.60,18.30,,14.90,12.40
2021,688190,40000007,5.60,7.25,,,,6.50,6.75,9,6,N1,40,Sở GDĐT Đắk Lắk ,,22.30,,,20.50,18.90,
2021,688187,40000004,7.40,6.25,7,6.75,5.50,,,,8.40,N1,40,Sở GDĐT Đắk Lắk ,19.30,,21.20,19.70,,22.10,22.80
2021,688186,40000003,7.40,6.50,6,6.50,6.25,,,,8.20,N1,40,Sở GDĐT Đắk Lắk ,18.80,,19.90,20.20,,22.10,21.60
2021,688185,40000002,4.80,6.75,,,,4.25,5.25,8.50,4.60,N1,40,Sở GDĐT Đắk Lắk ,,18.00,,,16.30,16.20,
2021,688189,40000006,2.20,5.50,,,,4.75,6,6.25,2.40,N1,40,Sở GDĐT Đắk Lắk ,,17.00,,,16.30,10.10,
2021,688184,40000001,2.60,5.50,,,,3.75,6.25,6.75,4.40,N1,40,Sở GDĐT Đắk Lắk ,,16.80,,,15.50,12.50,
2021,688191,40000008,7.60,7.50,5,6.75,5,,,,7.20,N1,40,Sở GDĐT Đắk Lắk ,16.80,,19.40,19.40,,22.30,19.80
2021,688194,40000011,4.80,5.25,,,,2.75,6,8.25,2.20,N1,40,Sở GDĐT Đắk Lắk ,,17.00,,,14.00,12.30,
2021,688200,40000017,7.40,8,,,,7,7.75,10,7.40,N1,40,Sở GDĐT Đắk Lắk ,,24.80,,,22.80,22.80,
2021,688196,40000013,8,8.25,3.25,6.50,3.75,,,,6,N1,40,Sở GDĐT Đắk Lắk ,13.50,,17.80,18.30,,22.30,17.30
2021,688201,40000018,2.40,3.75,,,,2.75,7,6.25,2.80,N1,40,Sở GDĐT Đắk Lắk ,,16.00,,,13.50,9.00,
2021,688206,40000023,2.80,4.50,,,,2.50,4.75,7,2.80,N1,40,Sở GDĐT Đắk Lắk ,,14.30,,,11.80,10.10,
2021,688198,40000015,8,7.25,7.50,7.75,7,,,,6.60,N1,40,Sở GDĐT Đắk Lắk ,22.30,,23.30,22.80,,21.90,22.10
2021,688199,40000016,3.60,5.25,,,,4.25,4.50,6.50,2.80,N1,40,Sở GDĐT Đắk Lắk ,,15.30,,,14.00,11.60,
2021,688197,40000014,6,5.75,,,,4,6.25,7.50,3,N1,40,Sở GDĐT Đắk Lắk ,,17.80,,,16.00,14.80,
2021,688195,40000012,7.80,6.25,6.50,4.50,5.25,,,,5.40,N1,40,Sở GDĐT Đắk Lắk ,16.30,,18.80,17.60,,19.50,19.70
2021,688202,40000019,4.40,5,,,,5,5.25,8.25,3.20,N1,40,Sở GDĐT Đắk Lắk ,,18.50,,,15.30,12.60,
2021,688203,40000020,3.20,6.75,,,,2.75,4.50,5.50,2.80,N1,40,Sở GDĐT Đắk Lắk ,,12.80,,,14.00,12.80,
2021,688208,40000025,3,5.25,,,,2,4.25,8,3.40,N1,40,Sở GDĐT Đắk Lắk ,,14.30,,,11.50,11.70,
2021,688205,40000022,4.20,6.50,,,,4.50,5.75,8.25,3.20,N1,40,Sở GDĐT Đắk Lắk ,,18.50,,,16.80,13.90,
2021,688204,40000021,7.80,7.75,,,,7.75,8,9.75,7.60,N1,40,Sở GDĐT Đắk Lắk ,,25.50,,,23.50,23.20,
2021,688210,40000027,1.80,5.42,,,,4,6.25,7.25,1.60,N1,40,Sở GDĐT Đắk Lắk ,,17.50,,,15.70,8.80,
2021,688207,40000024,2,5,,,,3,5,,,,40,Sở GDĐT Đắk Lắk ,,,,,13.00,,
2021,688215,40000032,8,6.75,5.75,6.50,6.75,,,,5.40,N1,40,Sở GDĐT Đắk Lắk ,19.00,,20.30,21.30,,20.20,19.20
2021,688209,40000026,3.40,3.75,,,,3.50,6.50,7.25,3,N1,40,Sở GDĐT Đắk Lắk ,,17.30,,,13.80,10.20,
2021,688213,40000030,8.20,7.50,8.25,7.50,8.25,,,,4.60,N1,40,Sở GDĐT Đắk Lắk ,24.00,,24.00,24.00,,20.30,21.00
2021,688212,40000029,3.60,3.75,,,,4,6,6.25,2.20,N1,40,Sở GDĐT Đắk Lắk ,,16.30,,,13.80,9.60,
2021,688211,40000028,2.40,4,,,,3.50,5.25,7.25,3.20,N1,40,Sở GDĐT Đắk Lắk ,,16.00,,,12.80,9.60,
2021,688214,40000031,7.60,6.50,,,,5.25,8,8.75,7.60,N1,40,Sở GDĐT Đắk Lắk ,,22.00,,,19.80,21.70,
2021,688221,40000038,8.40,6.75,8.50,7.75,6,,,,3.40,N1,40,Sở GDĐT Đắk Lắk ,22.30,,24.70,22.20,,18.60,20.30
2021,688216,40000033,7.20,7,,,,6.25,7.75,9.75,2.60,N1,40,Sở GDĐT Đắk Lắk ,,23.80,,,21.00,16.80,
2021,688217,40000034,7.80,6.50,5.50,8,5.75,,,,4.20,N1,40,Sở GDĐT Đắk Lắk ,19.30,,21.30,21.60,,18.50,17.50
2021,688218,40000035,8.60,8.75,,,,,,,8.20,N1,40,Sở GDĐT Đắk Lắk ,,,,,,25.60,
2021,688220,40000037,5,5.75,,,,5,6,7.50,3.80,N1,40,Sở GDĐT Đắk Lắk ,,18.50,,,16.80,14.60,
2021,688219,40000036,3.40,4.25,,,,3.75,4.75,6.75,2.40,N1,40,Sở GDĐT Đắk Lắk ,,15.30,,,12.80,10.10,
2021,688226,40000044,3,6.75,,,,3,5.25,6.25,3,N1,40,Sở GDĐT Đắk Lắk ,,14.50,,,15.00,12.80,
2021,688222,40000039,3.80,5,,,,3.50,5,8,2.80,N1,40,Sở GDĐT Đắk Lắk ,,16.50,,,13.50,11.60,
2021,688223,40000041,6.80,6.75,,,,6.25,8,9.25,5.40,N1,40,Sở GDĐT Đắk Lắk ,,23.50,,,21.00,19.00,
2021,688232,40000050,7.20,7.25,,,,4.25,6.75,7.50,4.40,N1,40,Sở GDĐT Đắk Lắk ,,18.50,,,18.30,18.90,
2021,688224,40000042,6,7,,,,3.25,7.50,9,3.80,N1,40,Sở GDĐT Đắk Lắk ,,19.80,,,17.80,16.80,
2021,688225,40000043,4.80,5.25,,,,3.25,6.50,7.25,2.40,N1,40,Sở GDĐT Đắk Lắk ,,17.00,,,15.00,12.50,
2021,688229,40000047,7,8.25,,,,4.25,7,8,2,N1,40,Sở GDĐT Đắk Lắk ,,19.30,,,19.50,17.30,
2021,688228,40000046,7,6.92,,,,7,7,8.75,3.60,N1,40,Sở GDĐT Đắk Lắk ,,22.80,,,20.90,17.50,
2021,688227,40000045,5.60,6.50,,,,3.25,7,9.25,2.60,N1,40,Sở GDĐT Đắk Lắk ,,19.50,,,16.80,14.70,
2021,688230,40000048,8.40,8.25,5.25,7.75,7.25,,,,6,N1,40,Sở GDĐT Đắk Lắk ,20.30,,21.40,23.40,,22.70,19.70
2021,688231,40000049,6.60,8,6,7.50,7.50,,,,5,N1,40,Sở GDĐT Đắk Lắk ,21.00,,20.10,21.60,,19.60,17.60
2021,688239,40000057,4.80,5.25,,,,2.50,5,7.25,2.60,N1,40,Sở GDĐT Đắk Lắk ,,14.80,,,12.80,12.70,
2021,688240,40000058,5.20,6.75,,,,6,8.25,9.75,4.20,N1,40,Sở GDĐT Đắk Lắk ,,24.00,,,21.00,16.20,
2021,688241,40000059,6.80,8,5.50,5.75,5.50,,,,4.80,N1,40,Sở GDĐT Đắk Lắk ,16.80,,18.10,18.10,,19.60,17.10
2021,688233,40000051,7.80,6.50,6.25,8.25,6.75,,,,6,N1,40,Sở GDĐT Đắk Lắk ,21.30,,22.30,22.80,,20.30,20.10
2021,688234,40000052,5.80,6,,,,5.50,7.25,8.75,4.20,N1,40,Sở GDĐT Đắk Lắk ,,21.50,,,18.80,16.00,
2021,688235,40000053,5.20,6.25,,,,3.25,6.25,7,4.20,N1,40,Sở GDĐT Đắk Lắk ,,16.50,,,15.80,15.70,
2021,688236,40000054,7.80,6.75,7.25,7.25,6.25,,,,4.80,N1,40,Sở GDĐT Đắk Lắk ,20.80,,22.30,21.30,,19.40,19.90
2021,688244,40000062,7,6.25,,,,5.25,7.25,9.50,6.40,N1,40,Sở GDĐT Đắk Lắk ,,22.00,,,18.80,19.70,
2021,688237,40000055,3.20,6.50,,,,4,7.75,7.75,4,N1,40,Sở GDĐT Đắk Lắk ,,19.50,,,18.30,13.70,
2021,688238,40000056,8.20,6,6.50,4.75,4,,,,7.60,N1,40,Sở GDĐT Đắk Lắk ,15.30,,19.50,17.00,,21.80,22.30
2021,688246,40000064,5.80,6.25,,,,4.50,5.75,8.75,3,N1,40,Sở GDĐT Đắk Lắk ,,19.00,,,16.50,15.10,
2021,688249,40000067,7.40,6.75,,,,6.50,7,9.75,3.40,N1,40,Sở GDĐT Đắk Lắk ,,23.30,,,20.30,17.60,
2021,688242,40000060,4.40,4,,,,4.25,6.75,6.25,4,N1,40,Sở GDĐT Đắk Lắk ,,17.30,,,15.00,12.40,
2021,688243,40000061,5,7.50,,,,3.75,7,9.25,6,N1,40,Sở GDĐT Đắk Lắk ,,20.00,,,18.30,18.50,
2021,688252,40000070,8,8.50,8,8,8.25,,,,6.20,N1,40,Sở GDĐT Đắk Lắk ,24.30,,24.00,24.30,,22.70,22.20
2021,688245,40000063,6.60,6.25,6.25,6.25,4.50,,,,2.60,N1,40,Sở GDĐT Đắk Lắk ,17.00,,19.10,17.40,,15.50,15.50
2021,688254,40000072,5.40,6.50,,,,4.50,7,8.25,5.40,N1,40,Sở GDĐT Đắk Lắk ,,19.80,,,18.00,17.30,
2021,688247,40000065,7,7.50,6.25,6,3.50,,,,4,N1,40,Sở GDĐT Đắk Lắk ,15.80,,19.30,16.50,,18.50,17.30
2021,688256,40000074,8.40,6,7.50,6.25,5.50,,,,8.80,N1,40,Sở GDĐT Đắk Lắk ,19.30,,22.20,20.20,,23.20,24.70
2021,688248,40000066,6.80,7.50,,,,5,8,8,3.80,N1,40,Sở GDĐT Đắk Lắk ,,21.00,,,20.50,18.10,
2021,688250,40000068,6,5.58,,,,3.25,7,7.75,3.20,N1,40,Sở GDĐT Đắk Lắk ,,18.00,,,15.80,14.80,
2021,688259,40000077,8.40,6.75,7.50,8,4,,,,8,N1,40,Sở GDĐT Đắk Lắk ,19.50,,23.90,20.40,,23.20,23.90
