schoolYear,stt,studentCode,TOAN,VAN,LY,HOA,SINH,SU,DIA,GDCD,NGOAINGU,CODE_NGOAINGU,groupCode,groupName,HKTN,HKXH,A00,B00,C00,D01,A01
2021,786984,48000004,8.80,6.75,7,6.50,6.50,,,,9,N1,48,Sở GDĐT Đồng Nai ,20.00,,22.30,21.80,,24.60,24.80
2021,786989,48000009,8.40,9,,,,6.50,8.25,8.75,9.80,N1,48,Sở GDĐT Đồng Nai ,,23.50,,,23.80,27.20,
2021,786983,48000003,6.40,6,6,3.75,3.75,,,,7.80,N1,48,Sở GDĐT Đồng Nai ,13.50,,16.20,13.90,,20.20,20.20
2021,786982,48000002,6.60,7.75,,,,8.75,8.75,9.25,9.60,N1,48,Sở GDĐT Đồng Nai ,,26.80,,,25.30,24.00,
2021,786987,48000007,8,6.75,6.75,8,8.50,,,,8.40,N1,48,Sở GDĐT Đồng Nai ,23.30,,22.80,24.50,,23.20,23.20
2021,786981,48000001,8.80,8.75,6.25,7.75,6,,,,9,N1,48,Sở GDĐT Đồng Nai ,20.00,,22.80,22.60,,26.60,24.10
2021,786988,48000008,9,5.75,7.75,5.25,5.75,,,,9.60,N1,48,Sở GDĐT Đồng Nai ,18.80,,22.00,20.00,,24.40,26.40
2021,786990,48000010,8.80,8,,,,8.25,8,9.75,9.40,N1,48,Sở GDĐT Đồng Nai ,,26.00,,,24.30,26.20,
2021,786986,48000006,8.40,5.75,7,4,5.25,,,,10,N1,48,Sở GDĐT Đồng Nai ,16.30,,19.40,17.70,,24.20,25.40
2021,786985,48000005,8.40,8,,,,5,7,8.75,9.80,N1,48,Sở GDĐT Đồng Nai ,,20.80,,,20.00,26.20,
2021,787000,48000020,8,8.75,,,,9,8.75,6.25,9.40,N1,48,Sở GDĐT Đồng Nai ,,24.00,,,26.50,26.20,
2021,786992,48000012,7.60,4.25,4.75,6.75,7.50,,,,6.40,N1,48,Sở GDĐT Đồng Nai ,19.00,,19.10,21.90,,18.30,18.80
2021,786993,48000013,8.40,6.75,7.75,5,5.50,,,,8.80,N1,48,Sở GDĐT Đồng Nai ,18.30,,21.20,18.90,,24.00,25.00
2021,786995,48000015,8.60,6.25,8.25,5.75,6,,,,9.60,N1,48,Sở GDĐT Đồng Nai ,20.00,,22.60,20.40,,24.50,26.50
2021,786997,48000017,8.20,8,,,,4.75,6,7.25,9.20,N1,48,Sở GDĐT Đồng Nai ,,18.00,,,18.80,25.40,
