url,university_code,university_name
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thu-do-ha-noi-HNM.html,HNM,Đại học Thủ Đô Hà Nội
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-thong-tin-va-truyen-thong-viet-han-dai-hoc-da-nang-VKU.html,VKU,Đại học Công nghệ Thông tin và Truyền thông Việt Hàn
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-van-xuan-DVX.html,DVX,Đại Học Công Nghệ Vạn Xuân
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-my-thuat-tphcm-MTS.html,MTS,Đại Học Mỹ Thuật TPHCM
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-quang-trung-DQT.html,DQT,Đại Học Quang Trung
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ky-thuat-y-duoc-da-nang-YDN.html,YDN,Đại học Kỹ thuật Y Dược Đà Nẵng
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-van-hoa-nghe-thuat-quan-doi-ZNH.html,ZNH,Đại học Văn hóa Nghệ thuật Quân đội
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-hai-duong-DKT.html,DKT,Đại Học Hải Dương
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-tphcm-SPS.html,SPS,Đại Học Sư Phạm TPHCM
https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-hanh-chinh-quoc-gia-HCH.html,HCH,Học Viện Hành Chính Quốc Gia
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-lao-dong-xa-hoi-co-so-son-tay-DLT.html,DLT,Đại Học Lao Động – Xã Hội (Cơ sở Sơn Tây)
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-lao-dong-xa-hoi-co-so-ha-noi-DLX.html,DLX,Đại Học Lao Động – Xã Hội (Cơ sở Hà Nội)
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-ky-thuat-cong-nghiep-DKK.html,DKK,Đại Học Kinh Tế Kỹ Thuật Công Nghiệp
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tra-vinh-DVT.html,DVT,Đại Học Trà Vinh
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-phuong-dong-DPD.html,DPD,Đại Học Phương Đông
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-khoa-hoc-suc-khoe-dai-hoc-quoc-gia-tphcm-QSY.html,QSY,Đại học Khoa học sức khỏe
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-dai-nam-DDN.html,DDN,Đại Học Đại Nam
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-bac-lieu-DBL.html,DBL,Đại Học Bạc Liêu
https://diemthi.tuyensinh247.com/diem-chuan/phan-hieu-dai-hoc-lam-nghiep-tai-dong-nai-LNS.html,LNS,Phân hiệu Đại Học Lâm nghiệp tại Đồng Nai
